QUARTER,TIME_REMAINING,HOUSTON_ACTION,OKLAHOMA CITY_ACTION,HOUSTON_SCORE,OKLAHOMA CITY_SCORE
1,11:43.0,C. Capela makes 2-pt layup from 3 ft (assist by E. Gordon),,2,0
1,11:23.0,,R. Westbrook misses 3-pt jump shot from 25 ft,2,0
1,11:20.0,Defensive rebound by E. Gordon,,2,0
1,11:15.0,E. Gordon makes 2-pt layup from 1 ft,,4,0
1,11:03.0,,T. Ferguson makes 2-pt jump shot from 16 ft (assist by R. Westbrook),4,2
1,10:46.0,P. Tucker misses 3-pt jump shot from 24 ft,,4,2
1,10:43.0,Offensive rebound by C. Capela,,4,2
1,10:41.0,E. Gordon misses 3-pt jump shot from 26 ft,,4,2
1,10:38.0,,Defensive rebound by S. Adams,4,2
1,10:21.0,,J. Grant misses 2-pt layup from 2 ft,4,2
1,10:17.0,,Offensive rebound by S. Adams,4,2
1,10:17.0,,S. Adams misses 2-pt layup at rim,4,2
1,10:17.0,Defensive rebound by C. Capela,,4,2
1,10:11.0,,Violation by Team (kicked ball),4,2
1,10:07.0,C. Paul misses 2-pt layup from 1 ft,,4,2
1,10:05.0,,Defensive rebound by S. Adams,4,2
1,9:55.0,,S. Adams makes 2-pt layup from 2 ft (assist by T. Ferguson),4,4
1,9:30.0,J. Harden misses 2-pt layup from 3 ft (block by J. Grant),,4,4
1,9:28.0,,Defensive rebound by S. Adams,4,4
1,9:25.0,,T. Ferguson makes 2-pt layup from 1 ft (assist by R. Westbrook),4,6
1,9:06.0,J. Harden makes 2-pt layup from 1 ft,,6,6
1,8:53.0,,P. George misses 3-pt jump shot from 25 ft,6,6
1,8:51.0,Defensive rebound by P. Tucker,,6,6
1,8:41.0,J. Harden misses 3-pt jump shot from 26 ft,,6,6
1,8:38.0,,Defensive rebound by T. Ferguson,6,6
1,8:34.0,,P. George makes 2-pt layup from 1 ft (assist by R. Westbrook),6,8
1,8:24.0,C. Capela makes 2-pt layup from 2 ft (assist by C. Paul),,8,8
1,8:16.0,,T. Ferguson misses 3-pt jump shot from 23 ft,8,8
1,8:14.0,,Offensive rebound by R. Westbrook,8,8
1,8:12.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Westbrook),8,11
1,7:57.0,C. Paul makes 3-pt jump shot from 26 ft,,11,11
1,7:37.0,,P. George misses 2-pt jump shot from 10 ft,11,11
1,7:34.0,,Offensive rebound by S. Adams,11,11
1,7:34.0,,S. Adams misses 2-pt layup at rim,11,11
1,7:34.0,,Offensive rebound by S. Adams,11,11
1,7:30.0,,S. Adams makes 2-pt layup from 1 ft,11,13
