QUARTER,TIME_REMAINING,UTAH_ACTION,INDIANA_ACTION,UTAH_SCORE,INDIANA_SCORE
1,11:47.0,Turnover by D. Favors (bad pass; steal by B. Bogdanović),,0,0
1,11:31.0,,M. Turner makes 2-pt jump shot from 18 ft (assist by T. Evans),0,2
1,11:15.0,R. Rubio makes 2-pt jump shot from 13 ft,,2,2
1,10:59.0,,B. Bogdanović makes 2-pt layup from 4 ft (assist by M. Turner),2,4
1,10:36.0,J. Ingles misses 3-pt jump shot from 23 ft,,2,4
1,10:32.0,,Defensive rebound by D. Collison,2,4
1,10:26.0,,T. Evans misses 3-pt jump shot from 26 ft,2,4
1,10:23.0,Defensive rebound by R. Gobert,,2,4
1,10:14.0,R. Gobert misses 2-pt dunk from 1 ft (block by M. Turner),,2,4
1,10:12.0,,Defensive rebound by D. Collison,2,4
1,10:06.0,,D. Collison misses 2-pt jump shot from 15 ft,2,4
1,10:03.0,Defensive rebound by R. Rubio,,2,4
1,9:53.0,J. Ingles makes 2-pt layup from 1 ft,,4,4
1,9:36.0,,T. Young misses 2-pt layup from 1 ft (block by D. Favors),4,4
1,9:34.0,,Offensive rebound by M. Turner,4,4
1,9:28.0,,M. Turner misses 3-pt jump shot from 28 ft,4,4
1,9:25.0,Defensive rebound by D. Favors,,4,4
1,9:17.0,D. Favors makes 2-pt jump shot from 16 ft (assist by R. Rubio),,6,4
1,9:03.0,,B. Bogdanović misses 2-pt layup from 3 ft (block by J. Ingles),6,4
1,9:00.0,Defensive rebound by R. Gobert,,6,4
1,8:56.0,R. Gobert makes 2-pt dunk from 1 ft (assist by D. Favors),,8,4
1,8:44.0,,M. Turner misses 2-pt jump shot from 13 ft,8,4
1,8:43.0,Defensive rebound by D. Favors,,8,4
1,8:30.0,Turnover by J. Ingles (bad pass; steal by M. Turner),,8,4
1,8:26.0,,Personal take foul by D. Mitchell (drawn by T. Evans),8,4
1,8:20.0,,B. Bogdanović makes 2-pt jump shot from 19 ft (assist by T. Evans),8,6
1,7:55.0,Turnover by R. Rubio (bad pass; steal by T. Young),,8,6
1,7:52.0,,D. Collison makes 2-pt layup from 1 ft (assist by T. Evans),8,8
1,7:52.0,Utah full timeout,,8,8
1,7:40.0,D. Mitchell misses 2-pt jump shot from 17 ft,,8,8
1,7:39.0,,Defensive rebound by T. Young,8,8
1,7:22.0,,T. Young misses 2-pt layup from 1 ft,8,8
1,7:19.0,Defensive rebound by R. Gobert,,8,8
1,7:11.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),,10,8
1,6:55.0,,Shooting foul by R. Rubio (drawn by M. Turner),10,8
1,6:55.0,,M. Turner makes free throw 1 of 2,10,9
1,6:55.0,J. Crowder enters the game for D. Favors,,10,9
1,6:55.0,,M. Turner misses free throw 2 of 2,10,9
1,6:53.0,Defensive rebound by J. Crowder,,10,9
1,6:38.0,Turnover by D. Mitchell (bad pass; steal by T. Young),,10,9
1,6:35.0,,Personal foul by R. Rubio (drawn by T. Evans),10,9
1,6:35.0,D. Exum enters the game for R. Rubio,,10,9
1,6:20.0,,M. Turner misses 2-pt layup from 7 ft,10,9
1,6:19.0,,Offensive rebound by Team,10,9
1,6:19.0,Loose ball foul by J. Crowder (drawn by T. Young),,10,9
1,6:19.0,R. O'Neale enters the game for J. Ingles,,10,9
1,6:09.0,,T. Evans misses 2-pt jump shot from 5 ft (block by D. Mitchell),10,9
1,6:06.0,,Offensive rebound by T. Evans,10,9
1,6:05.0,,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by T. Evans),10,12
1,5:56.0,Turnover by D. Exum (bad pass; steal by D. Collison),,10,12
1,5:52.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,10,12
1,5:46.0,,Offensive rebound by D. Collison,10,12
1,5:43.0,,D. Collison makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),10,15
1,5:41.0,Utah full timeout,,10,15
1,5:41.0,A. Burks enters the game for D. Mitchell,,10,15
1,5:23.0,D. Exum misses 2-pt jump shot from 8 ft,,10,15
1,5:22.0,Offensive rebound by Team,,10,15
1,5:20.0,A. Burks makes 2-pt jump shot from 17 ft (assist by D. Exum),,12,15
1,4:57.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by D. Collison),12,18
1,4:40.0,Turnover by R. O'Neale (lost ball; steal by T. Evans),,12,18
1,4:37.0,,D. Collison misses 2-pt layup from 1 ft (block by A. Burks),12,18
1,4:37.0,,Offensive rebound by Team,12,18
1,4:37.0,,C. Joseph enters the game for B. Bogdanović,12,18
1,4:37.0,,D. Sabonis enters the game for T. Young,12,18
1,4:28.0,,Personal foul by R. O'Neale (drawn by D. Sabonis),12,18
