QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,UTAH_ACTION,SAN ANTONIO_SCORE,UTAH_SCORE
1,11:40.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by R. Gobert),0,3
1,11:25.0,D. DeRozan misses 2-pt jump shot from 9 ft,,0,3
1,11:23.0,,Defensive rebound by R. Rubio,0,3
1,11:16.0,,D. Favors makes 2-pt jump shot from 16 ft (assist by J. Ingles),0,5
1,11:00.0,D. DeRozan makes 2-pt layup from 2 ft (assist by L. Aldridge),,2,5
1,11:00.0,Shooting foul by D. Favors (drawn by D. DeRozan),,2,5
1,11:00.0,D. DeRozan makes free throw 1 of 1,,3,5
1,10:54.0,,Personal foul by D. Bertāns (drawn by J. Ingles),3,5
1,10:49.0,,J. Ingles misses 3-pt jump shot from 24 ft,3,5
1,10:45.0,Defensive rebound by J. Poeltl,,3,5
1,10:33.0,J. Poeltl makes 2-pt dunk from 2 ft (assist by L. Aldridge),,5,5
1,10:10.0,,D. Mitchell makes 2-pt jump shot from 16 ft,5,7
1,10:00.0,D. DeRozan misses 2-pt jump shot from 21 ft,,5,7
1,9:58.0,,Defensive rebound by R. Gobert,5,7
1,9:50.0,,Turnover by R. Gobert (lost ball; steal by D. Bertāns),5,7
1,9:43.0,Turnover by D. DeRozan (lost ball; steal by D. Favors),,5,7
1,9:34.0,,D. Favors misses 3-pt jump shot from 23 ft,5,7
1,9:31.0,,Offensive rebound by D. Mitchell,5,7
1,9:27.0,,R. Rubio misses 3-pt jump shot from 25 ft,5,7
1,9:23.0,Defensive rebound by L. Aldridge,,5,7
1,9:07.0,L. Aldridge makes 2-pt jump shot from 11 ft,,7,7
1,8:51.0,,D. Favors misses 2-pt hook shot from 4 ft,7,7
1,8:48.0,Defensive rebound by J. Poeltl,,7,7
1,8:41.0,D. DeRozan makes 2-pt jump shot from 19 ft,,9,7
1,8:17.0,,D. Mitchell misses 3-pt jump shot from 25 ft,9,7
1,8:14.0,Defensive rebound by J. Poeltl,,9,7
1,8:02.0,B. Forbes makes 2-pt jump shot from 20 ft,,11,7
1,7:46.0,,D. Favors makes 2-pt layup from 2 ft (assist by R. Gobert),11,9
1,7:28.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,14,9
1,7:26.0,,Utah full timeout,14,9
1,7:26.0,,J. Crowder enters the game for D. Favors,14,9
1,7:26.0,,K. Korver enters the game for J. Ingles,14,9
1,7:13.0,,J. Crowder makes 3-pt jump shot from 24 ft (assist by R. Rubio),14,12
1,6:53.0,B. Forbes misses 3-pt jump shot from 25 ft,,14,12
1,6:50.0,,Defensive rebound by R. Gobert,14,12
1,6:46.0,,J. Crowder misses 3-pt jump shot from 25 ft,14,12
1,6:43.0,Defensive rebound by L. Aldridge,,14,12
1,6:30.0,Personal foul by R. Rubio (drawn by D. DeRozan),,14,12
1,6:21.0,D. DeRozan makes 2-pt jump shot from 11 ft (assist by D. Bertāns),,16,12
1,6:18.0,,Technical foul by R. Gobert,16,12
1,6:18.0,D. DeRozan makes technical free throw,,17,12
1,6:18.0,D. Cunningham enters the game for J. Poeltl,,17,12
1,5:57.0,,Turnover by R. Gobert (out of bounds lost ball),17,12
1,5:34.0,L. Aldridge makes 2-pt jump shot from 14 ft,,19,12
