QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ORLANDO_ACTION,PHILADELPHIA_SCORE,ORLANDO_SCORE
1,11:41.0,W. Chandler misses 2-pt dunk from 3 ft (block by A. Gordon),,0,0
1,11:39.0,Offensive rebound by W. Chandler,,0,0
1,11:39.0,Turnover by W. Chandler (bad pass),,0,0
1,11:24.0,,W. Iwundu makes 2-pt jump shot from 23 ft (assist by A. Gordon),0,2
1,11:16.0,J. Redick misses 2-pt jump shot from 18 ft,,0,2
1,11:12.0,Offensive rebound by J. Butler,,0,2
1,11:02.0,J. Embiid makes 2-pt jump shot from 16 ft,,2,2
1,10:44.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin),2,5
1,10:33.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by B. Simmons),,5,5
1,10:03.0,,A. Gordon makes 2-pt jump shot from 13 ft,5,7
1,9:52.0,J. Butler makes 2-pt layup from 2 ft (assist by J. Embiid),,7,7
1,9:32.0,,E. Fournier makes 2-pt layup from 1 ft,7,9
1,9:17.0,Turnover by J. Redick (bad pass),,7,9
1,9:04.0,,N. Vučević misses 2-pt hook shot from 11 ft,7,9
1,9:02.0,,Offensive rebound by E. Fournier,7,9
1,9:00.0,,Turnover by E. Fournier (lost ball; steal by W. Chandler),7,9
1,8:54.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by B. Simmons),,10,9
1,8:31.0,,A. Gordon misses 2-pt layup from 3 ft,10,9
1,8:28.0,Defensive rebound by J. Embiid,,10,9
1,8:14.0,J. Embiid misses 2-pt jump shot from 23 ft,,10,9
1,8:11.0,,Defensive rebound by A. Gordon,10,9
1,8:02.0,,A. Gordon makes 2-pt layup from 2 ft (assist by N. Vučević),10,11
1,7:51.0,J. Embiid makes 3-pt jump shot from 26 ft (assist by J. Redick),,13,11
1,7:37.0,,E. Fournier misses 3-pt jump shot from 26 ft,13,11
1,7:33.0,Defensive rebound by B. Simmons,,13,11
1,7:32.0,Turnover by B. Simmons (lost ball; steal by N. Vučević),,13,11
1,7:21.0,,D. Augustin misses 3-pt jump shot from 25 ft,13,11
1,7:18.0,Defensive rebound by W. Chandler,,13,11
1,7:09.0,J. Butler makes 2-pt dunk from 1 ft (assist by J. Redick),,15,11
1,6:54.0,,D. Augustin misses 3-pt jump shot from 23 ft,15,11
1,6:49.0,Defensive rebound by J. Embiid,,15,11
1,6:49.0,Shooting foul by E. Fournier (drawn by J. Butler),,15,11
1,6:49.0,,Orlando full timeout,15,11
1,6:49.0,A. Johnson enters the game for W. Chandler,,15,11
1,6:49.0,M. Muscala enters the game for J. Embiid,,15,11
1,6:49.0,L. Shamet enters the game for J. Redick,,15,11
1,6:49.0,J. Butler makes free throw 1 of 2,,16,11
1,6:49.0,J. Butler makes free throw 2 of 2,,17,11
1,6:26.0,,A. Gordon makes 2-pt jump shot from 17 ft (assist by D. Augustin),17,13
1,6:13.0,Turnover by J. Butler (bad pass; steal by N. Vučević),,17,13
1,6:08.0,,D. Augustin makes 2-pt layup from 2 ft (assist by A. Gordon),17,15
1,5:58.0,L. Shamet misses 3-pt jump shot from 25 ft,,17,15
1,5:55.0,,Defensive rebound by A. Gordon,17,15
1,5:54.0,,Shooting foul by L. Shamet (drawn by W. Iwundu),17,15
1,5:54.0,,W. Iwundu makes free throw 1 of 2,17,16
1,5:54.0,,W. Iwundu makes free throw 2 of 2,17,17
1,5:36.0,J. Butler makes 2-pt jump shot from 16 ft (assist by A. Johnson),,19,17
1,5:26.0,,Shooting foul by M. Muscala (drawn by D. Augustin),19,17
1,5:26.0,,D. Augustin makes free throw 1 of 3,19,18
1,5:26.0,,D. Augustin misses free throw 2 of 3,19,18
1,5:26.0,,Offensive rebound by Team,19,18
1,5:26.0,,D. Augustin makes free throw 3 of 3,19,19
1,5:11.0,B. Simmons makes 2-pt hook shot from 4 ft,,21,19
1,4:57.0,,N. Vučević makes 2-pt hook shot from 7 ft,21,21
1,4:47.0,L. Shamet makes 2-pt jump shot from 13 ft (assist by A. Johnson),,23,21
1,4:30.0,,A. Gordon misses 3-pt jump shot from 26 ft,23,21
1,4:27.0,Defensive rebound by B. Simmons,,23,21
1,4:20.0,Turnover by A. Johnson (3 sec),,23,21
1,4:20.0,M. Fultz enters the game for J. Butler,,23,21
1,4:20.0,F. Korkmaz enters the game for L. Shamet,,23,21
1,4:20.0,J. Redick enters the game for B. Simmons,,23,21
1,4:20.0,,T. Ross enters the game for W. Iwundu,23,21
1,4:04.0,,E. Fournier makes 2-pt layup from 2 ft,23,23
1,3:53.0,J. Redick makes 3-pt jump shot from 26 ft (assist by M. Muscala),,26,23
1,3:40.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin),26,26
1,3:21.0,M. Muscala misses 3-pt jump shot from 28 ft,,26,26
1,3:16.0,,Defensive rebound by T. Ross,26,26
1,3:15.0,,Personal foul by M. Muscala (drawn by A. Gordon),26,26
1,3:15.0,J. Embiid enters the game for A. Johnson,,26,26
1,3:15.0,,J. Isaac enters the game for A. Gordon,26,26
1,3:12.0,,Personal foul by M. Fultz (drawn by D. Augustin),26,26
1,3:05.0,,E. Fournier misses 2-pt jump shot from 20 ft,26,26
1,3:04.0,Defensive rebound by F. Korkmaz,,26,26
1,2:51.0,F. Korkmaz misses 2-pt layup from 2 ft,,26,26
1,2:51.0,,Defensive rebound by N. Vučević,26,26
1,2:43.0,,Personal foul by M. Fultz (drawn by N. Vučević),26,26
1,2:43.0,Philadelphia full timeout,,26,26
1,2:43.0,,J. Simmons enters the game for E. Fournier,26,26
1,2:43.0,,N. Vučević makes free throw 1 of 2,26,27
1,2:43.0,,N. Vučević misses free throw 2 of 2,26,27
1,2:42.0,Defensive rebound by J. Embiid,,26,27
1,2:42.0,,M. Bamba enters the game for N. Vučević,26,27
