QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW ORLEANS_ACTION,PHOENIX_SCORE,NEW ORLEANS_SCORE
1,8:01.0,T. Warren makes free throw 2 of 2,,8,14
1,7:55.0,,Personal foul by I. Canaan (drawn by E. Moore),8,14
1,7:55.0,J. Jackson enters the game for T. Warren,,8,14
1,7:46.0,,J. Holiday misses 2-pt layup from 2 ft,8,14
1,7:41.0,,Offensive rebound by J. Holiday,8,14
1,7:41.0,,J. Holiday makes 2-pt layup from 1 ft,8,16
1,7:38.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by I. Canaan),,11,16
1,7:34.0,,New Orleans full timeout,11,16
1,7:27.0,,Turnover by J. Holiday (bad pass),11,16
1,7:17.0,J. Jackson misses 3-pt jump shot from 24 ft,,11,16
1,7:14.0,,Defensive rebound by A. Davis,11,16
1,7:06.0,,J. Randle makes 2-pt layup from 2 ft (assist by E. Moore),11,18
1,6:49.0,D. Ayton makes 2-pt jump shot from 17 ft (assist by I. Canaan),,13,18
1,6:25.0,,Turnover by J. Holiday (lost ball; steal by D. Booker),13,18
1,6:15.0,D. Booker misses 3-pt jump shot from 28 ft,,13,18
1,6:12.0,,Defensive rebound by J. Randle,13,18
1,6:05.0,,J. Holiday makes 2-pt layup from 1 ft (assist by A. Davis),13,20
1,5:44.0,J. Jackson makes 2-pt layup from 2 ft,,15,20
1,5:36.0,,Shooting foul by D. Ayton (drawn by A. Davis),15,20
1,5:36.0,,A. Davis makes free throw 1 of 2,15,21
1,5:36.0,,C. Diallo enters the game for J. Randle,15,21
1,5:36.0,,A. Davis makes free throw 2 of 2,15,22
1,5:14.0,J. Jackson misses 2-pt jump shot from 20 ft,,15,22
1,5:10.0,,Defensive rebound by C. Diallo,15,22
1,4:59.0,,J. Holiday misses 3-pt jump shot from 26 ft,15,22
1,4:56.0,Defensive rebound by J. Jackson,,15,22
1,4:50.0,J. Jackson makes 2-pt jump shot from 14 ft,,17,22
1,4:37.0,,A. Davis misses 2-pt jump shot from 10 ft,17,22
1,4:35.0,Defensive rebound by D. Ayton,,17,22
1,4:27.0,D. Booker makes 2-pt layup from 3 ft,,19,22
1,4:23.0,,Turnover by J. Holiday (traveling),19,22
1,4:23.0,R. Holmes enters the game for D. Ayton,,19,22
1,4:23.0,,D. Miller enters the game for W. Johnson,19,22
1,4:11.0,I. Canaan misses 3-pt jump shot from 26 ft,,19,22
1,4:05.0,,Defensive rebound by C. Diallo,19,22
1,4:03.0,,Shooting foul by J. Jackson (drawn by C. Diallo),19,22
1,4:03.0,,C. Diallo misses free throw 1 of 2,19,22
1,4:03.0,,Offensive rebound by Team,19,22
1,4:03.0,,I. Clark enters the game for E. Moore,19,22
1,4:03.0,,C. Diallo makes free throw 2 of 2,19,23
1,3:47.0,R. Holmes misses 2-pt jump shot from 13 ft (block by A. Davis),,19,23
1,3:46.0,,Defensive rebound by A. Davis,19,23
1,3:46.0,,Personal foul by R. Holmes (drawn by A. Davis),19,23
1,3:46.0,,A. Davis makes free throw 1 of 2,19,24
1,3:46.0,,A. Davis makes free throw 2 of 2,19,25
1,3:32.0,Turnover by D. Booker (bad pass),,19,25
1,3:19.0,,A. Davis misses 2-pt jump shot from 10 ft,19,25
1,3:16.0,Defensive rebound by I. Canaan,,19,25
1,3:07.0,R. Holmes misses 2-pt layup from 5 ft,,19,25
1,3:05.0,,Defensive rebound by C. Diallo,19,25
1,2:59.0,,Shooting foul by R. Holmes (drawn by A. Davis),19,25
1,2:59.0,Phoenix full timeout,,19,25
1,2:59.0,D. Ayton enters the game for I. Canaan,,19,25
1,2:59.0,E. Okobo enters the game for R. Holmes,,19,25
1,2:59.0,,A. Davis makes free throw 1 of 2,19,26
1,2:59.0,,A. Davis makes free throw 2 of 2,19,27
1,2:49.0,T. Ariza misses 3-pt jump shot from 23 ft,,19,27
1,2:44.0,,Defensive rebound by A. Davis,19,27
