QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CHICAGO_ACTION,PHILADELPHIA_SCORE,CHICAGO_SCORE
1,11:38.0,Personal foul by W. Selden (drawn by J. Embiid),,0,0
1,11:29.0,T. Harris misses 2-pt jump shot from 21 ft,,0,0
1,11:27.0,,Defensive rebound by R. Lopez,0,0
1,11:12.0,,S. Harrison makes 3-pt jump shot from 25 ft (assist by R. Alkins),0,3
1,10:58.0,Turnover by B. Simmons (lost ball; steal by W. Lemon),,0,3
1,10:52.0,,R. Alkins makes 3-pt jump shot from 23 ft (assist by W. Lemon),0,6
1,10:31.0,J. Embiid misses 2-pt jump shot from 6 ft,,0,6
1,10:28.0,,Defensive rebound by R. Lopez,0,6
1,10:19.0,,W. Lemon misses 2-pt jump shot from 17 ft,0,6
1,10:16.0,Defensive rebound by J. Redick,,0,6
1,10:08.0,J. Redick makes 2-pt jump shot from 22 ft (assist by T. Harris),,2,6
1,9:42.0,,R. Lopez makes 2-pt hook shot from 4 ft,2,8
1,9:30.0,B. Simmons makes 2-pt dunk from 1 ft,,4,8
1,9:11.0,,R. Lopez misses 2-pt hook shot from 6 ft,4,8
1,9:09.0,Defensive rebound by J. Redick,,4,8
1,9:01.0,J. Embiid makes 2-pt jump shot from 19 ft (assist by T. Harris),,6,8
1,8:42.0,,R. Alkins makes 2-pt jump shot from 5 ft (assist by W. Selden),6,10
1,8:32.0,J. Redick misses 3-pt jump shot from 25 ft,,6,10
1,8:29.0,,Defensive rebound by W. Selden,6,10
1,8:22.0,,W. Selden misses 2-pt jump shot from 15 ft,6,10
1,8:19.0,Defensive rebound by T. Harris,,6,10
1,8:12.0,J. Embiid misses 3-pt jump shot from 25 ft,,6,10
1,8:09.0,,Defensive rebound by R. Alkins,6,10
1,8:01.0,,W. Selden misses 3-pt jump shot from 23 ft,6,10
1,7:59.0,Defensive rebound by J. Embiid,,6,10
1,7:53.0,B. Simmons makes 2-pt layup from 2 ft,,8,10
1,7:33.0,,S. Harrison makes 2-pt layup from 1 ft,8,12
1,7:20.0,J. Embiid makes 2-pt layup from 2 ft (assist by B. Simmons),,10,12
1,7:15.0,,Offensive foul by W. Selden (drawn by J. Redick),10,12
