QUARTER,TIME_REMAINING,NEW YORK_ACTION,MEMPHIS_ACTION,NEW YORK_SCORE,MEMPHIS_SCORE
1,11:36.0,E. Freedom misses 2-pt hook shot from 5 ft,,0,0
1,11:34.0,,Defensive rebound by M. Gasol,0,0
1,11:17.0,,M. Conley misses 3-pt jump shot from 25 ft,0,0
1,11:14.0,Defensive rebound by E. Mudiay,,0,0
1,11:09.0,T. Hardaway makes 2-pt jump shot from 9 ft (assist by E. Mudiay),,2,0
1,10:59.0,,J. Jackson makes 2-pt layup from 1 ft (assist by K. Anderson),2,2
1,10:45.0,E. Mudiay makes 3-pt jump shot from 26 ft (assist by E. Freedom),,5,2
1,10:24.0,,M. Conley misses 2-pt layup from 3 ft,5,2
1,10:21.0,Defensive rebound by E. Freedom,,5,2
1,10:11.0,M. Hezonja misses 3-pt jump shot from 26 ft,,5,2
1,10:08.0,,Defensive rebound by M. Conley,5,2
1,10:04.0,,Personal foul by N. Vonleh (drawn by J. Jackson),5,2
1,9:49.0,,M. Conley misses 2-pt jump shot from 13 ft,5,2
1,9:45.0,Defensive rebound by M. Hezonja,,5,2
1,9:43.0,E. Mudiay misses 2-pt layup from 2 ft (block by G. Temple),,5,2
1,9:43.0,Offensive rebound by Team,,5,2
1,9:41.0,Turnover by M. Hezonja (bad pass; steal by M. Gasol),,5,2
1,9:37.0,,M. Gasol makes 2-pt dunk from 1 ft,5,4
1,9:27.0,E. Mudiay makes 2-pt layup at rim,,7,4
1,9:17.0,,M. Conley makes 2-pt layup at rim,7,6
1,9:04.0,E. Freedom makes 2-pt layup at rim (assist by M. Hezonja),,9,6
1,8:39.0,,M. Gasol makes 2-pt jump shot from 10 ft (assist by M. Conley),9,8
1,8:18.0,T. Hardaway misses 3-pt jump shot from 27 ft,,9,8
1,8:15.0,,Defensive rebound by K. Anderson,9,8
1,8:11.0,,J. Jackson makes 2-pt layup from 1 ft (assist by M. Conley),9,10
1,8:00.0,E. Mudiay misses 3-pt jump shot from 25 ft,,9,10
1,7:58.0,Offensive rebound by M. Hezonja,,9,10
1,7:55.0,Turnover by M. Hezonja (bad pass; steal by M. Conley),,9,10
1,7:52.0,,Turnover by G. Temple (dbl dribble),9,10
1,7:36.0,N. Vonleh misses 3-pt jump shot from 26 ft,,9,10
1,7:32.0,,Defensive rebound by K. Anderson,9,10
1,7:28.0,,G. Temple misses 3-pt jump shot from 24 ft,9,10
1,7:23.0,,Offensive rebound by K. Anderson,9,10
1,7:23.0,,Personal foul by N. Vonleh (drawn by K. Anderson),9,10
1,7:23.0,T. Burke enters the game for E. Mudiay,,9,10
1,7:23.0,M. Robinson enters the game for N. Vonleh,,9,10
1,7:02.0,,M. Gasol misses 2-pt jump shot from 6 ft,9,10
1,6:59.0,Defensive rebound by E. Freedom,,9,10
1,6:50.0,T. Hardaway misses 2-pt jump shot from 6 ft,,9,10
1,6:47.0,,Defensive rebound by G. Temple,9,10
1,6:40.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by K. Anderson),9,13
1,6:33.0,New York full timeout,,9,13
1,6:33.0,F. Ntilikina enters the game for M. Hezonja,,9,13
1,6:26.0,T. Hardaway makes 2-pt dunk from 1 ft,,11,13
1,5:59.0,,M. Gasol misses 2-pt jump shot from 18 ft,11,13
1,5:56.0,Defensive rebound by E. Freedom,,11,13
1,5:45.0,Shooting foul by J. Jackson (drawn by E. Freedom),,11,13
1,5:45.0,E. Freedom makes free throw 1 of 2,,12,13
1,5:45.0,,J. Green enters the game for K. Anderson,12,13
1,5:45.0,,W. Selden enters the game for J. Jackson,12,13
1,5:45.0,E. Freedom misses free throw 2 of 2,,12,13
1,5:42.0,,Defensive rebound by G. Temple,12,13
1,5:32.0,,W. Selden makes 3-pt jump shot from 26 ft (assist by M. Conley),12,16
1,5:18.0,T. Hardaway misses 3-pt jump shot from 25 ft,,12,16
1,5:14.0,,Defensive rebound by W. Selden,12,16
1,4:55.0,,G. Temple misses 3-pt jump shot from 25 ft,12,16
1,4:54.0,Defensive rebound by E. Freedom,,12,16
1,4:46.0,Shooting foul by W. Selden (drawn by T. Burke),,12,16
1,4:46.0,T. Burke makes free throw 1 of 2,,13,16
1,4:46.0,K. Knox enters the game for E. Freedom,,13,16
1,4:46.0,,S. Mack enters the game for M. Conley,13,16
1,4:46.0,T. Burke makes free throw 2 of 2,,14,16
1,4:33.0,,M. Gasol misses 2-pt jump shot from 13 ft,14,16
1,4:30.0,,Offensive rebound by J. Green,14,16
1,4:30.0,,J. Green misses 2-pt layup at rim,14,16
1,4:29.0,Defensive rebound by K. Knox,,14,16
1,4:16.0,K. Knox misses 2-pt jump shot from 19 ft,,14,16
1,4:13.0,,Defensive rebound by Team,14,16
1,4:13.0,Loose ball foul by F. Ntilikina (drawn by W. Selden),,14,16
1,3:50.0,,S. Mack misses 3-pt jump shot from 26 ft,14,16
1,3:47.0,Defensive rebound by F. Ntilikina,,14,16
1,3:43.0,F. Ntilikina misses 2-pt layup from 1 ft (block by M. Gasol),,14,16
1,3:43.0,Offensive rebound by Team,,14,16
1,3:39.0,T. Burke misses 2-pt jump shot from 18 ft,,14,16
1,3:36.0,,Defensive rebound by J. Green,14,16
1,3:32.0,,Personal foul by M. Robinson (drawn by M. Gasol),14,16
1,3:32.0,A. Trier enters the game for T. Hardaway,,14,16
1,3:18.0,,G. Temple makes 2-pt layup from 1 ft (assist by W. Selden),14,18
1,3:02.0,F. Ntilikina makes 2-pt jump shot from 20 ft,,16,18
1,2:48.0,,M. Gasol makes 2-pt layup from 1 ft (assist by S. Mack),16,20
1,2:48.0,,Shooting foul by M. Robinson (drawn by M. Gasol),16,20
1,2:48.0,,Memphis full timeout,16,20
1,2:48.0,,M. Brooks enters the game for G. Temple,16,20
1,2:48.0,,M. Gasol misses free throw 1 of 1,16,20
1,2:46.0,Defensive rebound by F. Ntilikina,,16,20
1,2:37.0,F. Ntilikina misses 2-pt jump shot from 14 ft,,16,20
1,2:33.0,Offensive rebound by F. Ntilikina,,16,20
1,2:33.0,F. Ntilikina misses 2-pt layup from 1 ft,,16,20
1,2:31.0,Offensive rebound by M. Robinson,,16,20
1,2:29.0,F. Ntilikina makes 3-pt jump shot from 23 ft (assist by T. Burke),,19,20
1,2:01.0,,M. Brooks misses 2-pt jump shot from 7 ft,19,20
1,2:01.0,,Offensive rebound by Team,19,20
1,2:01.0,Loose ball foul by K. Knox (drawn by J. Green),,19,20
1,2:01.0,,J. Green makes free throw 1 of 2,19,21
1,2:01.0,,J. Jackson enters the game for M. Gasol,19,21
1,2:01.0,,J. Green makes free throw 2 of 2,19,22
1,1:52.0,T. Burke misses 2-pt jump shot from 10 ft (block by J. Jackson),,19,22
1,1:48.0,Offensive rebound by T. Burke,,19,22
1,1:48.0,T. Burke misses 2-pt layup from 1 ft,,19,22
1,1:46.0,Offensive rebound by M. Robinson,,19,22
1,1:46.0,M. Robinson misses 2-pt dunk from 1 ft (block by J. Jackson),,19,22
1,1:45.0,,Defensive rebound by J. Green,19,22
1,1:28.0,,J. Green makes 2-pt hook shot from 7 ft (assist by W. Selden),19,24
1,1:08.0,T. Burke makes 2-pt jump shot from 10 ft,,21,24
1,0:50.0,,W. Selden misses 2-pt layup from 3 ft,21,24
1,0:47.0,Defensive rebound by A. Trier,,21,24
1,0:43.0,F. Ntilikina misses 3-pt jump shot from 25 ft,,21,24
1,0:40.0,,Defensive rebound by J. Green,21,24
1,0:35.0,,M. Brooks makes 2-pt layup from 6 ft,21,26
1,0:24.0,M. Robinson misses 2-pt dunk from 2 ft (block by W. Selden),,21,26
1,0:20.0,,Defensive rebound by J. Jackson,21,26
