QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MIAMI_ACTION,CHARLOTTE_SCORE,MIAMI_SCORE
4,6:23.0,,B. Adebayo enters the game for H. Whiteside,67,73
4,6:23.0,J. Lamb makes free throw 2 of 2,,68,73
4,6:02.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by J. Richardson),68,76
4,5:38.0,J. Lamb misses 2-pt jump shot from 12 ft,,68,76
4,5:37.0,,Defensive rebound by J. Richardson,68,76
4,5:37.0,D. Bacon enters the game for M. Williams,,68,76
4,5:19.0,,G. Dragić makes 2-pt jump shot from 19 ft,68,78
4,4:56.0,D. Bacon misses 2-pt layup from 1 ft (block by D. Wade),,68,78
4,4:53.0,,Defensive rebound by B. Adebayo,68,78
4,4:44.0,,D. Wade makes 3-pt jump shot from 25 ft (assist by G. Dragić),68,81
4,4:44.0,Charlotte full timeout,,68,81
4,4:30.0,Shooting foul by B. Adebayo (drawn by F. Kaminsky),,68,81
4,4:30.0,F. Kaminsky makes free throw 1 of 2,,69,81
4,4:30.0,F. Kaminsky makes free throw 2 of 2,,70,81
4,4:09.0,,G. Dragić makes 2-pt jump shot from 11 ft (assist by D. Wade),70,83
4,3:51.0,D. Bacon makes 2-pt layup from 2 ft (assist by F. Kaminsky),,72,83
4,3:34.0,,Turnover by B. Adebayo (bad pass),72,83
4,3:34.0,M. Monk enters the game for D. Bacon,,72,83
4,3:24.0,N. Batum misses 3-pt jump shot from 23 ft,,72,83
4,3:21.0,,Defensive rebound by B. Adebayo,72,83
4,3:18.0,,Miami full timeout,72,83
4,3:06.0,,G. Dragić makes 3-pt jump shot from 25 ft (assist by J. Johnson),72,86
4,2:54.0,M. Monk misses 3-pt jump shot from 23 ft (block by J. Johnson),,72,86
4,2:53.0,Offensive rebound by Team,,72,86
4,2:42.0,Shooting foul by B. Adebayo (drawn by F. Kaminsky),,72,86
4,2:42.0,F. Kaminsky misses free throw 1 of 2,,72,86
4,2:42.0,Offensive rebound by Team,,72,86
4,2:42.0,F. Kaminsky makes free throw 2 of 2,,73,86
4,2:16.0,,D. Wade misses 2-pt jump shot from 19 ft,73,86
4,2:14.0,Defensive rebound by F. Kaminsky,,73,86
4,2:08.0,K. Walker misses 3-pt jump shot from 25 ft,,73,86
4,2:06.0,Offensive rebound by F. Kaminsky,,73,86
4,2:03.0,F. Kaminsky makes 2-pt hook shot from 6 ft,,75,86
4,1:59.0,,Personal foul by J. Lamb (drawn by J. Richardson),75,86
4,1:46.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by G. Dragić),75,88
4,1:33.0,J. Lamb misses 2-pt jump shot from 15 ft,,75,88
4,1:31.0,,Defensive rebound by J. Johnson,75,88
4,1:20.0,,D. Wade makes 2-pt layup from 2 ft (assist by J. Johnson),75,90
4,1:07.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,75,90
4,1:03.0,,Defensive rebound by J. Johnson,75,90
4,0:43.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by G. Dragić),75,93
4,0:36.0,J. Lamb misses 3-pt jump shot from 29 ft,,75,93
4,0:34.0,,Defensive rebound by J. Johnson,75,93
4,0:11.0,,Turnover by Team (shot clock),75,93
