QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MIAMI_ACTION,CHARLOTTE_SCORE,MIAMI_SCORE
1,5:15.0,,D. Jones makes 3-pt jump shot from 23 ft (assist by K. Olynyk),9,11
1,5:01.0,Turnover by K. Walker (bad pass; steal by J. Richardson),,9,11
1,4:57.0,,J. Richardson misses 2-pt layup from 2 ft,9,11
1,4:56.0,,Offensive rebound by B. Adebayo,9,11
1,4:55.0,,Shooting foul by M. Williams (drawn by B. Adebayo),9,11
1,4:55.0,,B. Adebayo makes free throw 1 of 2,9,12
1,4:55.0,D. Bacon enters the game for N. Batum,,9,12
1,4:55.0,F. Kaminsky enters the game for B. Biyombo,,9,12
1,4:55.0,,D. Wade enters the game for J. Richardson,9,12
1,4:55.0,,B. Adebayo misses free throw 2 of 2,9,12
1,4:54.0,,Offensive rebound by D. Jones,9,12
1,4:50.0,,D. Waiters misses 3-pt jump shot from 23 ft,9,12
1,4:49.0,Defensive rebound by Team,,9,12
1,4:28.0,J. Lamb makes 2-pt layup from 2 ft,,11,12
1,4:20.0,,Personal foul by J. Lamb (drawn by K. Olynyk),11,12
1,4:20.0,,G. Dragić enters the game for B. Adebayo,11,12
1,4:20.0,,H. Whiteside enters the game for D. Waiters,11,12
1,4:07.0,,D. Wade makes 2-pt layup from 1 ft (assist by G. Dragić),11,14
1,3:56.0,Personal foul by G. Dragić (drawn by J. Lamb),,11,14
1,3:40.0,J. Lamb makes 3-pt jump shot from 23 ft (assist by M. Williams),,14,14
1,3:26.0,,Turnover by D. Wade (bad pass; steal by M. Williams),14,14
1,3:20.0,K. Walker misses 3-pt jump shot from 25 ft,,14,14
1,3:18.0,,Defensive rebound by H. Whiteside,14,14
1,3:11.0,,H. Whiteside misses 2-pt hook shot from 2 ft,14,14
1,3:09.0,Defensive rebound by K. Walker,,14,14
1,3:04.0,K. Walker misses 2-pt layup from 4 ft (block by D. Jones),,14,14
1,3:01.0,Offensive rebound by D. Bacon,,14,14
1,2:56.0,J. Lamb misses 2-pt jump shot from 15 ft (block by H. Whiteside),,14,14
1,2:55.0,Offensive rebound by Team,,14,14
1,2:55.0,,Miami full timeout,14,14
1,2:55.0,M. Kidd-Gilchrist enters the game for K. Walker,,14,14
1,2:55.0,T. Parker enters the game for M. Williams,,14,14
1,2:55.0,,J. Richardson enters the game for D. Jones,14,14
1,2:44.0,J. Lamb makes 3-pt jump shot from 29 ft (assist by D. Bacon),,17,14
1,2:27.0,,D. Wade misses 2-pt layup from 2 ft,17,14
1,2:25.0,Defensive rebound by D. Bacon,,17,14
1,2:16.0,D. Bacon misses 2-pt layup from 3 ft,,17,14
1,2:14.0,Offensive rebound by M. Kidd-Gilchrist,,17,14
1,2:08.0,J. Lamb makes 3-pt jump shot from 24 ft (assist by D. Bacon),,20,14
1,1:50.0,,G. Dragić makes 3-pt jump shot from 23 ft (assist by K. Olynyk),20,17
1,1:37.0,J. Lamb misses 3-pt jump shot from 26 ft,,20,17
1,1:34.0,Offensive rebound by M. Kidd-Gilchrist,,20,17
1,1:25.0,F. Kaminsky misses 3-pt jump shot from 24 ft,,20,17
1,1:24.0,,Defensive rebound by D. Wade,20,17
1,1:18.0,,D. Wade misses 2-pt layup from 2 ft,20,17
1,1:17.0,,Offensive rebound by H. Whiteside,20,17
1,1:14.0,,H. Whiteside makes 2-pt dunk from 1 ft,20,19
1,0:45.0,D. Bacon misses 2-pt jump shot from 15 ft,,20,19
1,0:44.0,,Defensive rebound by K. Olynyk,20,19
1,0:42.0,,G. Dragić misses 2-pt layup from 1 ft (block by D. Bacon),20,19
1,0:41.0,,Offensive rebound by Team,20,19
1,0:41.0,,J. Johnson enters the game for K. Olynyk,20,19
1,0:21.0,,J. Johnson misses 3-pt jump shot from 23 ft,20,19
1,0:18.0,Defensive rebound by F. Kaminsky,,20,19
1,0:00.0,J. Lamb misses 3-pt jump shot from 24 ft,,20,19
1,0:00.0,,Defensive rebound by G. Dragić,20,19
2,11:39.0,F. Kaminsky misses 2-pt hook shot from 9 ft,,20,19
2,11:37.0,,Defensive rebound by G. Dragić,20,19
2,11:29.0,,G. Dragić makes 2-pt layup from 2 ft,20,21
2,11:29.0,,Shooting foul by M. Kidd-Gilchrist (drawn by G. Dragić),20,21
2,11:29.0,,G. Dragić makes free throw 1 of 1,20,22
2,11:14.0,Turnover by J. Lamb (bad pass),,20,22
2,10:55.0,,J. Johnson misses 2-pt hook shot from 7 ft,20,22
2,10:54.0,,Offensive rebound by H. Whiteside,20,22
2,10:53.0,,H. Whiteside makes 2-pt layup at rim,20,24
2,10:43.0,Turnover by T. Parker (bad pass),,20,24
2,10:32.0,,J. Richardson misses 3-pt jump shot from 24 ft,20,24
2,10:30.0,Defensive rebound by T. Parker,,20,24
2,10:24.0,T. Parker makes 2-pt layup from 3 ft,,22,24
2,10:07.0,,H. Whiteside misses 2-pt jump shot from 3 ft,22,24
2,10:05.0,Defensive rebound by F. Kaminsky,,22,24
2,10:02.0,Personal foul by D. Wade (drawn by M. Kidd-Gilchrist),,22,24
2,9:51.0,T. Parker makes 3-pt jump shot from 25 ft (assist by J. Lamb),,25,24
2,9:36.0,,D. Wade makes 2-pt jump shot from 17 ft (assist by J. Richardson),25,26
2,9:36.0,,Shooting foul by J. Lamb (drawn by D. Wade),25,26
2,9:36.0,,D. Wade makes free throw 1 of 1,25,27
2,9:15.0,T. Parker misses 3-pt jump shot from 28 ft,,25,27
