QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DALLAS_ACTION,MINNESOTA_SCORE,DALLAS_SCORE
1,11:44.0,A. Wiggins misses 2-pt jump shot from 19 ft,,0,0
1,11:42.0,,Defensive rebound by D. Powell,0,0
1,11:27.0,,D. Nowitzki misses 3-pt jump shot from 23 ft,0,0
1,11:24.0,Defensive rebound by K. Towns,,0,0
1,11:17.0,J. Okogie misses 2-pt jump shot from 21 ft,,0,0
1,11:14.0,,Defensive rebound by J. Brunson,0,0
1,11:09.0,,Shooting foul by J. Okogie (drawn by J. Jackson),0,0
1,11:09.0,,J. Jackson misses free throw 1 of 2,0,0
1,11:09.0,,Offensive rebound by Team,0,0
1,11:09.0,,J. Jackson misses free throw 2 of 2,0,0
1,11:06.0,Defensive rebound by K. Towns,,0,0
1,10:49.0,K. Towns makes 2-pt dunk from 1 ft (assist by A. Wiggins),,2,0
1,10:35.0,,D. Powell makes 2-pt dunk from 1 ft (assist by L. Dončić),2,2
1,10:22.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by A. Wiggins),,5,2
1,10:09.0,,J. Brunson misses 2-pt jump shot from 8 ft,5,2
1,10:07.0,Defensive rebound by D. Šarić,,5,2
1,9:58.0,K. Towns makes 2-pt jump shot from 19 ft (assist by T. Jones),,7,2
1,9:36.0,,J. Jackson makes 3-pt jump shot from 23 ft (assist by J. Brunson),7,5
1,9:21.0,A. Wiggins makes 3-pt jump shot from 25 ft,,10,5
1,9:02.0,,D. Powell makes 2-pt layup from 4 ft (assist by J. Brunson),10,7
1,9:02.0,,Shooting foul by D. Šarić (drawn by D. Powell),10,7
1,9:02.0,,D. Powell makes free throw 1 of 1,10,8
1,8:48.0,A. Wiggins makes 2-pt layup from 1 ft,,12,8
1,8:34.0,,L. Dončić misses 3-pt jump shot from 26 ft,12,8
1,8:30.0,Defensive rebound by K. Towns,,12,8
1,8:27.0,Personal foul by J. Brunson (drawn by D. Šarić),,12,8
1,8:20.0,D. Šarić misses 3-pt jump shot from 25 ft,,12,8
1,8:17.0,,Defensive rebound by L. Dončić,12,8
1,8:11.0,,L. Dončić makes 2-pt layup from 4 ft,12,10
1,7:53.0,D. Šarić makes 2-pt layup from 2 ft,,14,10
1,7:35.0,,J. Jackson makes 2-pt jump shot from 5 ft (assist by L. Dončić),14,12
1,7:25.0,T. Jones misses 2-pt jump shot from 15 ft,,14,12
1,7:22.0,,Defensive rebound by L. Dončić,14,12
1,7:17.0,,J. Jackson misses 3-pt jump shot from 23 ft,14,12
1,7:15.0,,Offensive rebound by D. Powell,14,12
1,7:13.0,,J. Jackson makes 2-pt layup from 1 ft (assist by D. Powell),14,14
1,6:53.0,K. Towns makes 2-pt hook shot from 2 ft,,16,14
1,6:53.0,,Dallas full timeout,16,14
1,6:53.0,,M. Kleber enters the game for D. Nowitzki,16,14
1,6:53.0,,S. Mejri enters the game for D. Powell,16,14
1,6:43.0,,Turnover by S. Mejri (bad pass; steal by T. Jones),16,14
1,6:32.0,J. Okogie misses 2-pt dunk from 1 ft (block by S. Mejri),,16,14
1,6:29.0,,Defensive rebound by J. Jackson,16,14
1,6:17.0,,S. Mejri misses 3-pt jump shot from 25 ft,16,14
1,6:15.0,Defensive rebound by Team,,16,14
1,5:58.0,D. Šarić misses 2-pt layup from 1 ft,,16,14
1,5:55.0,,Defensive rebound by S. Mejri,16,14
1,5:53.0,,S. Mejri makes 2-pt dunk from 1 ft (assist by J. Jackson),16,16
1,5:32.0,A. Wiggins misses 3-pt jump shot from 25 ft,,16,16
1,5:30.0,,Defensive rebound by L. Dončić,16,16
1,5:23.0,,L. Dončić misses 2-pt jump shot from 12 ft,16,16
1,5:21.0,Defensive rebound by K. Towns,,16,16
1,5:10.0,J. Okogie makes 3-pt jump shot from 25 ft (assist by A. Wiggins),,19,16
1,4:59.0,,Personal foul by D. Šarić (drawn by M. Kleber),19,16
1,4:59.0,K. Bates-Diop enters the game for D. Šarić,,19,16
1,4:59.0,G. Dieng enters the game for A. Wiggins,,19,16
1,4:54.0,,L. Dončić misses 3-pt jump shot from 27 ft,19,16
1,4:50.0,Defensive rebound by K. Towns,,19,16
1,4:41.0,K. Towns makes 2-pt dunk from 1 ft (assist by T. Jones),,21,16
1,4:41.0,Shooting foul by S. Mejri (drawn by K. Towns),,21,16
1,4:41.0,K. Towns makes free throw 1 of 1,,22,16
1,4:27.0,,Turnover by J. Brunson (bad pass),22,16
1,4:24.0,K. Towns makes 2-pt hook shot from 7 ft (assist by K. Bates-Diop),,24,16
1,4:07.0,,L. Dončić makes 2-pt jump shot from 5 ft (assist by J. Jackson),24,18
1,3:54.0,T. Jones makes 2-pt jump shot from 18 ft,,26,18
1,3:41.0,,Turnover by L. Dončić (bad pass; steal by K. Bates-Diop),26,18
1,3:24.0,J. Okogie misses 3-pt jump shot from 25 ft,,26,18
1,3:21.0,,Defensive rebound by L. Dončić,26,18
1,3:10.0,,M. Kleber misses 2-pt jump shot from 9 ft,26,18
