QUARTER,TIME_REMAINING,ATLANTA_ACTION,SAN ANTONIO_ACTION,ATLANTA_SCORE,SAN ANTONIO_SCORE
1,11:49.0,,B. Forbes makes 2-pt jump shot from 20 ft,0,2
1,11:34.0,T. Young makes 2-pt jump shot from 10 ft,,2,2
1,11:23.0,,D. DeRozan makes 2-pt jump shot from 16 ft,2,4
1,11:06.0,V. Carter makes 2-pt jump shot from 12 ft,,4,4
1,10:51.0,,R. Gay makes 2-pt jump shot from 16 ft (assist by B. Forbes),4,6
1,10:34.0,Personal foul by B. Forbes (drawn by V. Carter),,4,6
1,10:22.0,A. Len makes 2-pt dunk from 1 ft (assist by V. Carter),,6,6
1,9:57.0,,Turnover by R. Gay (bad pass; steal by J. Anderson),6,6
1,9:45.0,T. Young misses 3-pt jump shot from 33 ft,,6,6
1,9:45.0,,Defensive rebound by L. Aldridge,6,6
1,9:37.0,,Shooting foul by J. Anderson (drawn by D. DeRozan),6,6
1,9:37.0,,D. DeRozan makes free throw 1 of 2,6,7
1,9:37.0,,D. DeRozan makes free throw 2 of 2,6,8
1,9:27.0,A. Len makes 3-pt jump shot from 25 ft (assist by T. Young),,9,8
1,9:10.0,,B. Forbes misses 2-pt jump shot from 8 ft,9,8
1,9:08.0,Defensive rebound by J. Anderson,,9,8
1,9:00.0,T. Young misses 2-pt layup from 1 ft,,9,8
1,8:58.0,,Defensive rebound by D. DeRozan,9,8
1,8:44.0,,D. White makes 2-pt layup from 2 ft (assist by R. Gay),9,10
1,8:20.0,K. Huerter makes 2-pt jump shot from 19 ft,,11,10
1,8:06.0,,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. DeRozan),11,13
1,7:48.0,J. Anderson makes 3-pt jump shot from 23 ft (assist by K. Huerter),,14,13
1,7:29.0,,L. Aldridge makes 2-pt jump shot from 15 ft (assist by D. White),14,15
1,7:07.0,A. Len misses 2-pt jump shot from 18 ft,,14,15
1,7:05.0,,Defensive rebound by R. Gay,14,15
1,6:51.0,,R. Gay makes 2-pt layup from 1 ft (assist by D. DeRozan),14,17
1,6:38.0,J. Anderson misses 2-pt jump shot from 14 ft,,14,17
1,6:35.0,,Defensive rebound by L. Aldridge,14,17
1,6:27.0,,Turnover by D. DeRozan (bad pass),14,17
1,6:27.0,,San Antonio full timeout,14,17
1,6:27.0,,D. Bertāns enters the game for R. Gay,14,17
1,6:10.0,K. Huerter misses 2-pt jump shot from 4 ft,,14,17
1,6:09.0,Offensive rebound by A. Len,,14,17
1,6:09.0,Shooting foul by D. Bertāns (drawn by A. Len),,14,17
1,6:09.0,A. Len makes free throw 1 of 2,,15,17
1,6:09.0,A. Len misses free throw 2 of 2,,15,17
1,6:07.0,,Defensive rebound by D. Bertāns,15,17
1,5:50.0,,L. Aldridge misses 2-pt jump shot from 13 ft,15,17
1,5:47.0,Defensive rebound by J. Anderson,,15,17
1,5:41.0,T. Young makes 2-pt jump shot from 10 ft,,17,17
1,5:28.0,,D. White makes 2-pt jump shot from 14 ft,17,19
1,5:08.0,K. Huerter makes 2-pt jump shot from 20 ft (assist by A. Len),,19,19
1,4:53.0,,L. Aldridge makes 2-pt jump shot from 10 ft,19,21
1,4:46.0,T. Young misses 3-pt jump shot from 25 ft,,19,21
1,4:42.0,,Defensive rebound by D. DeRozan,19,21
1,4:31.0,,D. Bertāns misses 2-pt layup from 10 ft (block by K. Huerter),19,21
1,4:28.0,Defensive rebound by K. Huerter,,19,21
1,4:25.0,K. Huerter makes 2-pt jump shot from 6 ft,,21,21
1,4:13.0,,Shooting foul by T. Young (drawn by D. DeRozan),21,21
1,4:13.0,,D. DeRozan makes free throw 1 of 2,21,22
1,4:13.0,K. Bazemore enters the game for V. Carter,,21,22
1,4:13.0,D. Bembry enters the game for K. Huerter,,21,22
1,4:13.0,D. Davis enters the game for A. Len,,21,22
1,4:13.0,,M. Belinelli enters the game for B. Forbes,21,22
1,4:13.0,,P. Mills enters the game for D. White,21,22
1,4:13.0,,D. DeRozan misses free throw 2 of 2,21,22
1,4:11.0,Defensive rebound by D. Davis,,21,22
1,4:02.0,T. Young misses 2-pt jump shot from 15 ft,,21,22
1,3:59.0,,Defensive rebound by D. DeRozan,21,22
1,3:59.0,,L. Walker enters the game for D. DeRozan,21,22
1,3:46.0,,P. Mills misses 3-pt jump shot from 26 ft,21,22
1,3:43.0,Defensive rebound by D. Bembry,,21,22
1,3:37.0,D. Bembry misses 2-pt jump shot from 11 ft,,21,22
1,3:33.0,Offensive rebound by D. Davis,,21,22
1,3:21.0,J. Anderson misses 2-pt layup from 2 ft,,21,22
1,3:21.0,Offensive rebound by J. Anderson,,21,22
1,3:21.0,K. Bazemore misses 2-pt jump shot from 23 ft,,21,22
1,3:17.0,Offensive rebound by J. Anderson,,21,22
1,3:15.0,J. Anderson misses 2-pt layup from 3 ft (block by L. Aldridge),,21,22
1,3:15.0,,Defensive rebound by M. Belinelli,21,22
1,3:11.0,,M. Belinelli misses 2-pt jump shot from 16 ft,21,22
1,3:11.0,Defensive rebound by J. Anderson,,21,22
1,3:03.0,Shooting foul by M. Belinelli (drawn by T. Young),,21,22
1,3:03.0,T. Young makes free throw 1 of 2,,22,22
1,3:03.0,I. Humphries enters the game for J. Anderson,,22,22
1,3:03.0,,J. Poeltl enters the game for L. Aldridge,22,22
1,3:03.0,T. Young makes free throw 2 of 2,,23,22
1,2:52.0,,P. Mills makes 3-pt jump shot from 23 ft (assist by L. Walker),23,25
1,2:40.0,D. Davis makes 2-pt dunk from 1 ft (assist by T. Young),,25,25
1,2:22.0,,L. Walker misses 2-pt jump shot from 11 ft,25,25
1,2:19.0,Defensive rebound by D. Davis,,25,25
1,2:16.0,Shooting foul by L. Walker (drawn by D. Bembry),,25,25
1,2:16.0,Atlanta full timeout,,25,25
1,2:16.0,J. Adams enters the game for T. Young,,25,25
1,2:16.0,D. Bembry makes free throw 1 of 2,,26,25
1,2:16.0,D. Bembry misses free throw 2 of 2,,26,25
1,2:14.0,,Defensive rebound by J. Poeltl,26,25
1,2:02.0,,P. Mills makes 3-pt jump shot from 25 ft (assist by J. Poeltl),26,28
1,1:49.0,I. Humphries misses 3-pt jump shot from 25 ft,,26,28
1,1:45.0,,Defensive rebound by D. Bertāns,26,28
1,1:36.0,,P. Mills makes 3-pt jump shot from 23 ft (assist by D. Bertāns),26,31
1,1:15.0,Offensive foul by D. Davis (drawn by M. Belinelli),,26,31
1,1:15.0,Turnover by D. Davis (offensive foul),,26,31
1,0:59.0,,M. Belinelli misses 3-pt jump shot from 25 ft,26,31
1,0:57.0,Defensive rebound by K. Bazemore,,26,31
1,0:51.0,K. Bazemore makes 2-pt jump shot from 15 ft,,28,31
1,0:43.0,,J. Poeltl makes 2-pt layup from 1 ft,28,33
1,0:35.0,Shooting foul by L. Walker (drawn by K. Bazemore),,28,33
1,0:35.0,K. Bazemore makes free throw 1 of 2,,29,33
1,0:35.0,K. Bazemore misses free throw 2 of 2,,29,33
1,0:34.0,Offensive rebound by I. Humphries,,29,33
1,0:33.0,I. Humphries makes 2-pt layup from 3 ft,,31,33
1,0:12.0,,M. Belinelli misses 2-pt layup from 4 ft,31,33
1,0:10.0,Defensive rebound by D. Davis,,31,33
1,0:02.0,K. Bazemore misses 3-pt jump shot from 25 ft,,31,33
1,0:02.0,,Defensive rebound by M. Belinelli,31,33
1,0:01.0,,M. Belinelli misses 3-pt jump shot from 58 ft,31,33
1,0:01.0,,Offensive rebound by Team,31,33
2,11:45.0,K. Bazemore makes 2-pt layup from 2 ft (assist by D. Bembry),,33,33
2,11:31.0,,R. Gay misses 2-pt jump shot from 17 ft,33,33
2,11:28.0,,Offensive rebound by J. Poeltl,33,33
2,11:26.0,,P. Mills makes 3-pt jump shot from 23 ft (assist by B. Forbes),33,36
2,11:04.0,I. Humphries misses 3-pt jump shot from 23 ft,,33,36
2,11:00.0,,Defensive rebound by R. Gay,33,36
2,10:47.0,,Turnover by B. Forbes (bad pass; steal by J. Adams),33,36
2,10:43.0,K. Bazemore makes 2-pt layup from 1 ft (assist by J. Adams),,35,36
2,10:41.0,,San Antonio full timeout,35,36
2,10:25.0,,Personal foul by D. Davis (drawn by R. Gay),35,36
2,10:15.0,,B. Forbes misses 3-pt jump shot from 26 ft,35,36
2,10:12.0,Defensive rebound by I. Humphries,,35,36
2,10:12.0,,L. Aldridge enters the game for B. Forbes,35,36
2,10:12.0,,D. DeRozan enters the game for J. Poeltl,35,36
2,9:52.0,J. Adams misses 3-pt jump shot from 23 ft (block by P. Mills),,35,36
2,9:47.0,Offensive rebound by I. Humphries,,35,36
2,9:46.0,I. Humphries misses 2-pt hook shot from 15 ft,,35,36
2,9:43.0,,Defensive rebound by M. Belinelli,35,36
2,9:33.0,,R. Gay misses 2-pt layup at rim,35,36
2,9:28.0,,Offensive rebound by R. Gay,35,36
2,9:28.0,,R. Gay misses 2-pt layup from 1 ft,35,36
2,9:27.0,Defensive rebound by D. Bembry,,35,36
2,9:26.0,Turnover by D. Bembry (lost ball; steal by R. Gay),,35,36
2,9:23.0,,Turnover by L. Aldridge (bad pass; steal by D. Bembry),35,36
2,9:19.0,J. Adams misses 2-pt jump shot from 16 ft,,35,36
2,9:15.0,,Defensive rebound by R. Gay,35,36
2,8:54.0,,L. Aldridge misses 2-pt jump shot from 13 ft,35,36
2,8:50.0,Defensive rebound by J. Adams,,35,36
2,8:45.0,Turnover by K. Bazemore (lost ball; steal by D. DeRozan),,35,36
2,8:41.0,,D. DeRozan makes 2-pt layup at rim (assist by R. Gay),35,38
2,8:41.0,,Shooting foul by D. Bembry (drawn by D. DeRozan),35,38
2,8:41.0,A. Len enters the game for D. Davis,,35,38
2,8:41.0,,D. Bertāns enters the game for M. Belinelli,35,38
2,8:41.0,,D. DeRozan makes free throw 1 of 1,35,39
2,8:33.0,Personal foul by D. DeRozan (drawn by K. Bazemore),,35,39
