QUARTER,TIME_REMAINING,NEW YORK_ACTION,BOSTON_ACTION,NEW YORK_SCORE,BOSTON_SCORE
1,4:22.0,,K. Irving misses 2-pt layup from 4 ft,15,11
1,4:21.0,Defensive rebound by T. Burke,,15,11
1,4:14.0,T. Hardaway makes 3-pt jump shot from 26 ft (assist by T. Burke),,18,11
1,3:55.0,,G. Hayward makes 2-pt layup from 4 ft (assist by M. Morris),18,13
1,3:44.0,T. Hardaway misses 2-pt jump shot from 11 ft,,18,13
1,3:42.0,,Defensive rebound by G. Hayward,18,13
1,3:33.0,,Shooting foul by F. Ntilikina (drawn by J. Tatum),18,13
1,3:33.0,,J. Tatum misses free throw 1 of 2,18,13
1,3:33.0,,Offensive rebound by Team,18,13
1,3:33.0,K. Knox enters the game for E. Freedom,,18,13
1,3:33.0,,A. Horford enters the game for A. Baynes,18,13
1,3:33.0,,T. Rozier enters the game for K. Irving,18,13
1,3:33.0,,J. Tatum makes free throw 2 of 2,18,14
1,3:20.0,F. Ntilikina makes 2-pt layup from 2 ft (assist by T. Burke),,20,14
1,2:58.0,,A. Horford misses 2-pt jump shot from 10 ft,20,14
1,2:56.0,Defensive rebound by N. Vonleh,,20,14
1,2:40.0,T. Burke makes 2-pt jump shot from 20 ft,,22,14
1,2:19.0,,T. Rozier misses 2-pt jump shot from 10 ft,22,14
1,2:18.0,Defensive rebound by T. Burke,,22,14
1,2:10.0,T. Burke makes 3-pt jump shot from 27 ft,,25,14
1,1:51.0,,G. Hayward misses 3-pt jump shot from 25 ft,25,14
1,1:49.0,Defensive rebound by K. Knox,,25,14
1,1:46.0,Shooting foul by M. Morris (drawn by K. Knox),,25,14
1,1:46.0,New York full timeout,,25,14
1,1:46.0,,M. Smart enters the game for J. Tatum,25,14
1,1:46.0,K. Knox makes free throw 1 of 2,,26,14
1,1:46.0,K. Knox misses free throw 2 of 2,,26,14
1,1:46.0,,Defensive rebound by A. Horford,26,14
1,1:38.0,,Offensive foul by T. Rozier (drawn by K. Knox),26,14
1,1:38.0,,Turnover by T. Rozier (offensive foul),26,14
1,1:19.0,T. Burke misses 3-pt jump shot from 28 ft,,26,14
1,1:17.0,,Defensive rebound by G. Hayward,26,14
1,0:59.0,,M. Morris makes 2-pt layup from 3 ft (assist by A. Horford),26,16
1,0:49.0,T. Hardaway misses 2-pt jump shot from 18 ft,,26,16
1,0:47.0,,Defensive rebound by G. Hayward,26,16
1,0:34.0,,M. Morris makes 2-pt jump shot from 9 ft,26,18
1,0:13.0,T. Burke misses 2-pt layup from 4 ft (block by A. Horford),,26,18
1,0:12.0,Offensive rebound by Team,,26,18
1,0:09.0,T. Burke misses 2-pt jump shot from 13 ft,,26,18
1,0:07.0,,Defensive rebound by G. Hayward,26,18
2,11:47.0,K. Knox misses 2-pt hook shot from 10 ft (block by A. Horford),,26,18
2,11:46.0,Offensive rebound by M. Robinson,,26,18
