QUARTER,TIME_REMAINING,MIAMI_ACTION,MEMPHIS_ACTION,MIAMI_SCORE,MEMPHIS_SCORE
1,11:42.0,J. Richardson misses 3-pt jump shot from 26 ft,,0,0
1,11:38.0,,Defensive rebound by J. Jackson,0,0
1,11:20.0,,K. Anderson makes 2-pt layup from 1 ft,0,2
1,11:02.0,J. Johnson makes 2-pt layup at rim (assist by R. McGruder),,2,2
1,10:54.0,,Shooting foul by J. Johnson (drawn by J. Jackson),2,2
1,10:54.0,,J. Jackson makes free throw 1 of 2,2,3
1,10:54.0,,J. Jackson makes free throw 2 of 2,2,4
1,10:41.0,H. Whiteside misses 3-pt jump shot from 23 ft,,2,4
1,10:38.0,Offensive rebound by Team,,2,4
1,10:33.0,H. Whiteside misses 2-pt hook shot from 6 ft,,2,4
1,10:29.0,,Defensive rebound by J. Jackson,2,4
1,10:22.0,,M. Gasol makes 2-pt jump shot from 13 ft,2,6
1,10:09.0,J. Winslow makes 3-pt jump shot from 25 ft (assist by J. Richardson),,5,6
1,9:52.0,,M. Conley makes 2-pt jump shot from 9 ft,5,8
1,9:38.0,Turnover by J. Johnson (bad pass; steal by J. Jackson),,5,8
1,9:33.0,,K. Anderson makes 2-pt layup from 1 ft,5,10
1,9:06.0,H. Whiteside makes 2-pt dunk at rim (assist by R. McGruder),,7,10
1,8:40.0,,J. Jackson makes 2-pt jump shot from 7 ft,7,12
1,8:24.0,J. Winslow misses 2-pt layup from 3 ft,,7,12
1,8:21.0,,Defensive rebound by M. Gasol,7,12
1,8:07.0,,J. Jackson makes 2-pt layup from 1 ft (assist by M. Conley),7,14
1,7:52.0,R. McGruder misses 3-pt jump shot from 27 ft,,7,14
1,7:49.0,,Defensive rebound by K. Anderson,7,14
1,7:47.0,,Shooting foul by R. McGruder (drawn by G. Temple),7,14
1,7:47.0,,G. Temple misses free throw 1 of 2,7,14
1,7:47.0,,Offensive rebound by Team,7,14
1,7:47.0,,S. Mack enters the game for M. Conley,7,14
1,7:47.0,,G. Temple makes free throw 2 of 2,7,15
1,7:43.0,Miami full timeout,,7,15
1,7:27.0,R. McGruder misses 3-pt jump shot from 23 ft,,7,15
1,7:23.0,Offensive rebound by H. Whiteside,,7,15
1,7:23.0,Personal foul by S. Mack (drawn by H. Whiteside),,7,15
1,7:17.0,R. McGruder makes 2-pt layup from 1 ft (assist by H. Whiteside),,9,15
1,7:04.0,,Turnover by K. Anderson (bad pass; steal by J. Richardson),9,15
1,6:59.0,R. McGruder misses 2-pt layup from 2 ft (block by K. Anderson),,9,15
1,6:52.0,Offensive rebound by J. Winslow,,9,15
1,6:51.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by J. Winslow),,12,15
1,6:45.0,,Memphis full timeout,12,15
1,6:39.0,,Shooting foul by J. Winslow (drawn by K. Anderson),12,15
1,6:39.0,,K. Anderson makes free throw 1 of 2,12,16
1,6:39.0,,K. Anderson makes free throw 2 of 2,12,17
1,6:31.0,Turnover by J. Winslow (out of bounds lost ball),,12,17
1,6:31.0,T. Johnson enters the game for J. Winslow,,12,17
1,6:31.0,,J. Green enters the game for J. Jackson,12,17
1,6:19.0,,G. Temple misses 3-pt jump shot from 25 ft,12,17
1,6:17.0,Defensive rebound by Team,,12,17
1,6:03.0,T. Johnson makes 3-pt jump shot from 26 ft (assist by J. Richardson),,15,17
1,5:41.0,,J. Green makes 3-pt jump shot from 25 ft (assist by S. Mack),15,20
1,5:21.0,Shooting foul by K. Anderson (drawn by R. McGruder),,15,20
1,5:21.0,R. McGruder makes free throw 1 of 3,,16,20
1,5:21.0,R. McGruder makes free throw 2 of 3,,17,20
1,5:21.0,,M. Brooks enters the game for K. Anderson,17,20
1,5:21.0,R. McGruder makes free throw 3 of 3,,18,20
1,5:13.0,,S. Mack misses 2-pt jump shot from 12 ft,18,20
1,5:11.0,,Offensive rebound by S. Mack,18,20
1,5:09.0,,J. Green misses 3-pt jump shot from 25 ft,18,20
1,5:05.0,Defensive rebound by H. Whiteside,,18,20
1,4:51.0,J. Johnson misses 3-pt jump shot from 26 ft,,18,20
1,4:48.0,Offensive rebound by R. McGruder,,18,20
1,4:45.0,Turnover by R. McGruder (out of bounds lost ball),,18,20
1,4:30.0,,M. Gasol misses 2-pt jump shot from 20 ft,18,20
1,4:26.0,Defensive rebound by T. Johnson,,18,20
1,4:20.0,Shooting foul by S. Mack (drawn by T. Johnson),,18,20
1,4:20.0,T. Johnson misses free throw 1 of 2,,18,20
1,4:20.0,Offensive rebound by Team,,18,20
1,4:20.0,B. Adebayo enters the game for J. Johnson,,18,20
1,4:20.0,K. Olynyk enters the game for H. Whiteside,,18,20
1,4:20.0,,M. Conley enters the game for S. Mack,18,20
1,4:20.0,,W. Selden enters the game for G. Temple,18,20
1,4:20.0,T. Johnson makes free throw 2 of 2,,19,20
1,4:00.0,,Personal foul by T. Johnson (drawn by M. Gasol),19,20
1,3:52.0,,W. Selden misses 2-pt jump shot from 15 ft,19,20
1,3:49.0,,Offensive rebound by Team,19,20
1,3:38.0,,M. Gasol makes 2-pt dunk at rim (assist by M. Conley),19,22
1,3:21.0,Personal foul by J. Green (drawn by K. Olynyk),,19,22
1,3:16.0,J. Richardson makes 3-pt jump shot from 27 ft (assist by B. Adebayo),,22,22
1,2:54.0,,M. Gasol misses 2-pt layup from 1 ft,22,22
1,2:49.0,,Offensive rebound by J. Green,22,22
1,2:49.0,,J. Green makes 2-pt dunk at rim,22,24
1,2:37.0,Personal foul by W. Selden (drawn by J. Richardson),,22,24
1,2:37.0,J. Richardson makes free throw 1 of 2,,23,24
1,2:37.0,D. Jones enters the game for R. McGruder,,23,24
1,2:37.0,,J. Jackson enters the game for M. Gasol,23,24
1,2:37.0,J. Richardson misses free throw 2 of 2,,23,24
1,2:33.0,Offensive rebound by J. Richardson,,23,24
1,2:28.0,K. Olynyk misses 3-pt jump shot from 25 ft,,23,24
1,2:25.0,,Defensive rebound by M. Conley,23,24
1,2:15.0,,J. Jackson makes 2-pt dunk from 1 ft (assist by M. Conley),23,26
1,2:01.0,J. Richardson misses 2-pt layup from 1 ft,,23,26
1,2:00.0,Offensive rebound by J. Richardson,,23,26
1,1:59.0,J. Richardson makes 2-pt layup from 4 ft,,25,26
1,1:47.0,,M. Conley misses 2-pt jump shot from 18 ft,25,26
1,1:44.0,Defensive rebound by T. Johnson,,25,26
1,1:39.0,Shooting foul by J. Jackson (drawn by T. Johnson),,25,26
1,1:39.0,T. Johnson makes free throw 1 of 2,,26,26
1,1:39.0,T. Johnson makes free throw 2 of 2,,27,26
1,1:26.0,,J. Jackson misses 2-pt jump shot from 11 ft,27,26
1,1:22.0,Defensive rebound by B. Adebayo,,27,26
1,1:11.0,T. Johnson misses 2-pt layup from 2 ft (block by M. Conley),,27,26
1,1:11.0,Offensive rebound by Team,,27,26
1,1:11.0,J. Winslow enters the game for J. Richardson,,27,26
1,1:02.0,B. Adebayo makes 2-pt layup from 2 ft (assist by J. Winslow),,29,26
1,0:44.0,,Turnover by J. Green (bad pass; steal by T. Johnson),29,26
1,0:41.0,Turnover by T. Johnson (bad pass; steal by W. Selden),,29,26
1,0:38.0,,W. Selden misses 2-pt layup at rim,29,26
1,0:38.0,,Offensive rebound by M. Brooks,29,26
1,0:38.0,,M. Brooks makes 2-pt layup at rim,29,28
1,0:21.0,Turnover by J. Winslow (bad pass; steal by M. Conley),,29,28
1,0:16.0,,J. Green misses 2-pt layup from 4 ft (block by D. Jones),29,28
1,0:16.0,,Offensive rebound by Team,29,28
1,0:02.0,,M. Conley misses 3-pt jump shot from 26 ft,29,28
1,0:02.0,Defensive rebound by J. Winslow,,29,28
2,11:46.0,,Personal foul by D. Jones (drawn by W. Selden),29,28
2,11:36.0,,J. Noah misses 2-pt layup from 2 ft,29,28
2,11:32.0,Defensive rebound by T. Johnson,,29,28
2,11:24.0,K. Olynyk makes 3-pt jump shot from 24 ft (assist by T. Johnson),,32,28
2,11:11.0,,M. Conley misses 2-pt jump shot from 12 ft,32,28
2,11:10.0,,Offensive rebound by M. Conley,32,28
2,11:08.0,,M. Conley makes 2-pt jump shot from 6 ft,32,30
2,10:52.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by T. Johnson),,35,30
2,10:30.0,,M. Brooks misses 3-pt jump shot from 27 ft,35,30
2,10:28.0,Defensive rebound by J. Winslow,,35,30
2,10:18.0,K. Olynyk misses 3-pt jump shot from 26 ft,,35,30
2,10:14.0,Offensive rebound by B. Adebayo,,35,30
2,10:11.0,D. Jones makes 2-pt layup from 1 ft (assist by B. Adebayo),,37,30
2,10:10.0,,Memphis full timeout,37,30
2,10:10.0,W. Ellington enters the game for T. Johnson,,37,30
2,10:10.0,,O. Casspi enters the game for M. Brooks,37,30
2,10:10.0,,M. Gasol enters the game for J. Green,37,30
2,10:10.0,,G. Temple enters the game for W. Selden,37,30
2,9:54.0,,J. Noah makes 2-pt dunk from 1 ft (assist by M. Conley),37,32
2,9:30.0,D. Jones misses 2-pt layup from 2 ft,,37,32
2,9:26.0,Offensive rebound by B. Adebayo,,37,32
2,9:26.0,B. Adebayo makes 2-pt layup from 1 ft,,39,32
2,9:06.0,,Shooting foul by K. Olynyk (drawn by J. Noah),39,32
2,9:06.0,,J. Noah makes free throw 1 of 2,39,33
2,9:06.0,,J. Noah misses free throw 2 of 2,39,33
2,9:04.0,Defensive rebound by D. Jones,,39,33
2,8:51.0,W. Ellington misses 3-pt jump shot from 27 ft,,39,33
2,8:46.0,,Defensive rebound by O. Casspi,39,33
