QUARTER,TIME_REMAINING,DENVER_ACTION,UTAH_ACTION,DENVER_SCORE,UTAH_SCORE
1,11:46.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by R. Rubio),0,3
1,11:20.0,P. Millsap misses 2-pt layup from 3 ft (block by R. Gobert),,0,3
1,11:18.0,,Defensive rebound by D. Favors,0,3
1,11:14.0,,R. Rubio makes 2-pt layup from 2 ft (assist by D. Mitchell),0,5
1,11:14.0,,Shooting foul by J. Murray (drawn by R. Rubio),0,5
1,11:14.0,,R. Rubio makes free throw 1 of 1,0,6
1,11:02.0,T. Craig misses 3-pt jump shot from 25 ft,,0,6
1,10:58.0,,Defensive rebound by R. Gobert,0,6
1,10:47.0,,R. Gobert makes 2-pt layup from 2 ft (assist by R. Rubio),0,8
1,10:28.0,J. Murray misses 2-pt jump shot from 14 ft,,0,8
1,10:25.0,,Defensive rebound by R. Rubio,0,8
1,10:15.0,,D. Mitchell misses 2-pt jump shot from 11 ft,0,8
1,10:12.0,Defensive rebound by P. Millsap,,0,8
1,9:56.0,T. Craig makes 2-pt dunk from 1 ft (assist by N. Jokić),,2,8
1,9:39.0,,J. Ingles misses 3-pt jump shot from 26 ft,2,8
1,9:34.0,Defensive rebound by N. Jokić,,2,8
1,9:20.0,P. Millsap misses 3-pt jump shot from 25 ft,,2,8
1,9:17.0,,Defensive rebound by D. Favors,2,8
1,9:14.0,,R. Rubio makes 2-pt jump shot from 17 ft,2,10
1,8:47.0,J. Murray makes 2-pt jump shot from 17 ft,,4,10
1,8:34.0,,Turnover by R. Rubio (out of bounds lost ball),4,10
1,8:16.0,J. Murray makes 2-pt jump shot from 12 ft (assist by T. Craig),,6,10
1,8:00.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by R. Rubio),6,13
1,7:47.0,Personal foul by D. Favors (drawn by J. Murray),,6,13
1,7:38.0,N. Jokić misses 3-pt jump shot from 25 ft,,6,13
1,7:34.0,Offensive rebound by P. Millsap,,6,13
