QUARTER,TIME_REMAINING,PHOENIX_ACTION,PORTLAND_ACTION,PHOENIX_SCORE,PORTLAND_SCORE
1,11:50.0,Offensive foul by R. Holmes (drawn by S. Curry),,0,0
1,11:50.0,Turnover by R. Holmes (offensive foul),,0,0
1,11:30.0,,Turnover by D. Lillard (bad pass; steal by T. Ariza),0,0
1,11:22.0,J. Jackson makes 2-pt hook shot from 5 ft,,2,0
1,11:02.0,,M. Harkless makes 2-pt dunk at rim (assist by J. Nurkić),2,2
1,10:46.0,J. Jackson misses 2-pt layup from 2 ft,,2,2
1,10:44.0,,Defensive rebound by J. Nurkić,2,2
1,10:31.0,,J. Nurkić misses 2-pt layup from 4 ft,2,2
1,10:29.0,,Offensive rebound by A. Aminu,2,2
1,10:27.0,,D. Lillard makes 3-pt jump shot from 32 ft (assist by A. Aminu),2,5
1,10:08.0,T. Ariza misses 2-pt jump shot from 13 ft,,2,5
1,10:06.0,,Defensive rebound by J. Nurkić,2,5
1,9:58.0,,Personal foul by T. Ariza (drawn by D. Lillard),2,5
1,9:47.0,,A. Aminu makes 2-pt layup from 2 ft (assist by D. Lillard),2,7
1,9:31.0,E. Okobo misses 2-pt jump shot from 15 ft (block by S. Curry),,2,7
1,9:31.0,Offensive rebound by E. Okobo,,2,7
1,9:25.0,E. Okobo misses 2-pt jump shot from 17 ft,,2,7
1,9:20.0,,Defensive rebound by J. Nurkić,2,7
1,9:13.0,,S. Curry misses 2-pt jump shot from 21 ft,2,7
1,9:10.0,Defensive rebound by J. Jackson,,2,7
1,9:00.0,Turnover by J. Jackson (lost ball; steal by M. Harkless),,2,7
1,9:00.0,,Personal take foul by E. Okobo (drawn by D. Lillard),2,7
1,9:00.0,D. Ayton enters the game for R. Holmes,,2,7
1,8:48.0,,D. Lillard makes 2-pt jump shot from 9 ft,2,9
1,8:36.0,Phoenix full timeout,,2,9
1,8:24.0,E. Okobo misses 2-pt jump shot from 15 ft,,2,9
1,8:21.0,,Defensive rebound by D. Lillard,2,9
1,8:13.0,,D. Lillard makes 2-pt jump shot from 21 ft,2,11
1,8:02.0,T. Ariza misses 3-pt jump shot from 27 ft,,2,11
1,8:01.0,,Defensive rebound by J. Nurkić,2,11
1,7:51.0,,Turnover by S. Curry (lost ball; steal by D. Ayton),2,11
1,7:45.0,T. Ariza makes 2-pt layup from 2 ft (assist by M. Bridges),,4,11
1,7:24.0,,D. Lillard makes 3-pt jump shot from 29 ft (assist by S. Curry),4,14
1,7:02.0,D. Ayton misses 2-pt jump shot from 18 ft,,4,14
1,7:02.0,Offensive rebound by M. Bridges,,4,14
1,6:58.0,Shooting foul by M. Harkless (drawn by D. Ayton),,4,14
1,6:58.0,D. Ayton misses free throw 1 of 2,,4,14
1,6:58.0,Offensive rebound by Team,,4,14
1,6:58.0,D. Ayton makes free throw 2 of 2,,5,14
1,6:49.0,,D. Lillard makes 2-pt layup from 1 ft,5,16
1,6:39.0,Personal foul by D. Lillard (drawn by M. Bridges),,5,16
1,6:30.0,D. Ayton misses 2-pt jump shot from 18 ft,,5,16
1,6:27.0,,Defensive rebound by A. Aminu,5,16
1,6:12.0,,Offensive foul by J. Nurkić (drawn by J. Jackson),5,16
1,6:12.0,,Turnover by J. Nurkić (offensive foul),5,16
1,5:56.0,Personal foul by M. Harkless (drawn by J. Jackson),,5,16
1,5:56.0,,J. Layman enters the game for M. Harkless,5,16
1,5:47.0,E. Okobo misses 2-pt jump shot from 18 ft,,5,16
1,5:46.0,,Defensive rebound by J. Nurkić,5,16
1,5:36.0,,Turnover by D. Lillard (bad pass; steal by J. Jackson),5,16
1,5:31.0,J. Jackson misses 2-pt layup from 2 ft,,5,16
1,5:28.0,,Defensive rebound by A. Aminu,5,16
1,5:22.0,,Turnover by J. Nurkić (out of bounds lost ball),5,16
1,5:07.0,Turnover by D. Ayton (step out of bounds),,5,16
1,5:07.0,J. Crawford enters the game for J. Jackson,,5,16
1,4:51.0,,J. Layman makes 2-pt dunk from 1 ft (assist by D. Lillard),5,18
1,4:30.0,D. Ayton misses 2-pt jump shot from 7 ft,,5,18
1,4:26.0,,Defensive rebound by J. Nurkić,5,18
1,4:18.0,,D. Lillard misses 2-pt layup from 1 ft (block by E. Okobo),5,18
1,4:17.0,,Offensive rebound by D. Lillard,5,18
1,4:15.0,,S. Curry misses 3-pt jump shot from 25 ft,5,18
1,4:15.0,Defensive rebound by E. Okobo,,5,18
1,4:15.0,Personal take foul by J. Nurkić (drawn by E. Okobo),,5,18
1,4:15.0,,Z. Collins enters the game for S. Curry,5,18
1,4:15.0,,E. Turner enters the game for J. Nurkić,5,18
1,4:00.0,Turnover by J. Crawford (bad pass; steal by E. Turner),,5,18
1,3:55.0,,J. Layman makes 2-pt dunk at rim (assist by E. Turner),5,20
1,3:55.0,Phoenix full timeout,,5,20
1,3:55.0,D. Melton enters the game for E. Okobo,,5,20
1,3:35.0,D. Melton misses 2-pt jump shot from 7 ft,,5,20
1,3:34.0,,Defensive rebound by D. Lillard,5,20
1,3:20.0,,Z. Collins misses 2-pt jump shot from 11 ft,5,20
1,3:17.0,Defensive rebound by D. Melton,,5,20
1,3:10.0,Turnover by D. Melton (bad pass; steal by J. Layman),,5,20
1,3:04.0,,J. Layman makes 3-pt jump shot from 25 ft (assist by E. Turner),5,23
1,2:49.0,J. Crawford misses 2-pt jump shot from 17 ft,,5,23
1,2:47.0,,Defensive rebound by Z. Collins,5,23
1,2:32.0,,D. Lillard makes 3-pt jump shot from 24 ft,5,26
1,2:11.0,D. Ayton misses 2-pt hook shot from 9 ft,,5,26
1,2:10.0,,Defensive rebound by J. Layman,5,26
1,2:04.0,,D. Lillard misses 3-pt jump shot from 28 ft,5,26
1,2:00.0,,Offensive rebound by J. Layman,5,26
1,2:00.0,,J. Layman makes 2-pt layup from 1 ft,5,28
1,1:31.0,D. Ayton misses 2-pt hook shot from 2 ft,,5,28
1,1:28.0,,Defensive rebound by J. Layman,5,28
1,1:24.0,,J. Layman makes 3-pt jump shot from 29 ft (assist by D. Lillard),5,31
1,0:59.0,D. Ayton makes 2-pt jump shot from 18 ft (assist by D. Melton),,7,31
1,0:44.0,,J. Layman makes 3-pt jump shot from 25 ft (assist by Z. Collins),7,34
1,0:44.0,,Shooting foul by D. Melton (drawn by J. Layman),7,34
1,0:44.0,D. Bender enters the game for T. Ariza,,7,34
1,0:44.0,J. Jackson enters the game for M. Bridges,,7,34
1,0:44.0,,M. Harkless enters the game for A. Aminu,7,34
1,0:44.0,,N. Stauskas enters the game for D. Lillard,7,34
1,0:44.0,,J. Layman misses free throw 1 of 1,7,34
1,0:44.0,Defensive rebound by D. Melton,,7,34
1,0:20.0,J. Crawford misses 3-pt jump shot from 28 ft,,7,34
1,0:17.0,,Defensive rebound by M. Harkless,7,34
1,0:06.0,,Turnover by J. Layman (lost ball; steal by J. Jackson),7,34
1,0:03.0,J. Jackson makes 2-pt dunk from 2 ft,,9,34
1,0:00.0,,E. Turner misses 3-pt jump shot from 28 ft,9,34
1,0:00.0,,Offensive rebound by Team,9,34
2,11:43.0,,N. Stauskas makes 2-pt layup from 2 ft (assist by E. Turner),9,36
2,11:16.0,D. Ayton misses 2-pt jump shot from 10 ft,,9,36
2,11:15.0,Offensive rebound by D. Bender,,9,36
2,11:15.0,D. Bender makes 2-pt layup from 2 ft,,11,36
2,11:15.0,Shooting foul by N. Stauskas (drawn by D. Bender),,11,36
2,11:15.0,D. Bender makes free throw 1 of 1,,12,36
2,11:02.0,,M. Harkless makes 2-pt layup from 1 ft,12,38
2,10:52.0,Personal foul by Z. Collins (drawn by D. Ayton),,12,38
2,10:42.0,J. Crawford misses 2-pt jump shot from 15 ft,,12,38
2,10:37.0,Offensive rebound by D. Ayton,,12,38
2,10:37.0,D. Ayton makes 2-pt layup at rim,,14,38
2,10:19.0,,J. Layman misses 3-pt jump shot from 25 ft,14,38
2,10:16.0,Defensive rebound by J. Jackson,,14,38
2,10:06.0,J. Jackson misses 2-pt jump shot from 13 ft,,14,38
2,10:04.0,,Defensive rebound by E. Turner,14,38
2,9:58.0,,E. Turner makes 2-pt jump shot from 9 ft,14,40
2,9:43.0,J. Jackson makes 2-pt layup from 2 ft,,16,40
2,9:43.0,Shooting foul by M. Harkless (drawn by J. Jackson),,16,40
2,9:43.0,R. Holmes enters the game for D. Ayton,,16,40
2,9:43.0,,M. Leonard enters the game for M. Harkless,16,40
2,9:43.0,J. Jackson misses free throw 1 of 1,,16,40
2,9:40.0,,Defensive rebound by M. Leonard,16,40
2,9:30.0,,Turnover by N. Stauskas (bad pass; steal by J. Jackson),16,40
2,9:19.0,J. Crawford misses 2-pt jump shot from 16 ft,,16,40
2,9:17.0,,Defensive rebound by E. Turner,16,40
2,9:12.0,,N. Stauskas misses 3-pt jump shot from 25 ft,16,40
2,9:09.0,Defensive rebound by R. Holmes,,16,40
2,9:05.0,Shooting foul by N. Stauskas (drawn by J. Jackson),,16,40
2,9:05.0,J. Jackson makes free throw 1 of 2,,17,40
2,9:05.0,J. Jackson makes free throw 2 of 2,,18,40
2,8:44.0,,E. Turner misses 2-pt jump shot from 15 ft,18,40
2,8:42.0,Defensive rebound by D. Bender,,18,40
2,8:31.0,Turnover by D. Bender (lost ball; steal by J. Layman),,18,40
2,8:27.0,,N. Stauskas misses 3-pt jump shot from 26 ft,18,40
2,8:24.0,,Offensive rebound by Team,18,40
2,8:24.0,T. Daniels enters the game for J. Jackson,,18,40
2,8:16.0,,N. Stauskas makes 2-pt jump shot from 13 ft,18,42
2,7:52.0,R. Holmes makes 2-pt layup from 1 ft,,20,42
2,7:43.0,,J. Layman makes 2-pt hook shot from 3 ft (assist by N. Stauskas),20,44
2,7:35.0,Personal foul by J. Layman (drawn by J. Crawford),,20,44
2,7:35.0,J. Crawford makes free throw 1 of 2,,21,44
2,7:35.0,J. Crawford makes free throw 2 of 2,,22,44
2,7:24.0,,Turnover by E. Turner (bad pass; steal by D. Melton),22,44
2,7:21.0,D. Bender makes 2-pt dunk from 2 ft (assist by J. Crawford),,24,44
2,7:20.0,,Portland full timeout,24,44
2,7:20.0,,A. Aminu enters the game for Z. Collins,24,44
2,7:20.0,,D. Lillard enters the game for M. Leonard,24,44
2,7:20.0,,J. Nurkić enters the game for E. Turner,24,44
2,7:02.0,,J. Nurkić makes 2-pt hook shot from 6 ft (assist by D. Lillard),24,46
2,6:45.0,Turnover by J. Crawford (bad pass; steal by D. Lillard),,24,46
2,6:42.0,,D. Lillard makes 2-pt dunk from 1 ft,24,48
2,6:24.0,T. Daniels makes 2-pt layup from 4 ft,,26,48
2,6:24.0,,Loose ball foul by A. Aminu (drawn by R. Holmes),26,48
2,6:24.0,R. Holmes makes free throw 1 of 1,,27,48
2,6:13.0,,Shooting foul by D. Melton (drawn by N. Stauskas),27,48
2,6:13.0,,N. Stauskas makes free throw 1 of 2,27,49
2,6:13.0,,N. Stauskas makes free throw 2 of 2,27,50
2,5:59.0,Turnover by T. Daniels (bad pass; steal by J. Nurkić),,27,50
2,5:50.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by D. Lillard),27,53
2,5:49.0,Phoenix full timeout,,27,53
2,5:49.0,T. Ariza enters the game for D. Bender,,27,53
2,5:49.0,D. Ayton enters the game for J. Crawford,,27,53
2,5:49.0,M. Bridges enters the game for R. Holmes,,27,53
2,5:37.0,T. Daniels makes 3-pt jump shot from 24 ft (assist by D. Melton),,30,53
2,5:20.0,,A. Aminu misses 3-pt jump shot from 26 ft,30,53
2,5:18.0,Defensive rebound by D. Ayton,,30,53
2,5:07.0,T. Daniels misses 3-pt jump shot from 23 ft,,30,53
2,5:05.0,,Defensive rebound by A. Aminu,30,53
2,4:53.0,,J. Nurkić makes 2-pt jump shot from 2 ft (assist by D. Lillard),30,55
2,4:39.0,D. Melton misses 3-pt jump shot from 23 ft,,30,55
2,4:38.0,,Defensive rebound by D. Lillard,30,55
2,4:26.0,,D. Lillard misses 2-pt jump shot from 17 ft,30,55
2,4:21.0,Defensive rebound by D. Ayton,,30,55
2,4:17.0,T. Ariza misses 3-pt jump shot from 22 ft,,30,55
2,4:14.0,Offensive rebound by T. Daniels,,30,55
2,4:14.0,T. Daniels makes 2-pt layup at rim,,32,55
2,3:54.0,,J. Nurkić misses 2-pt hook shot from 5 ft,32,55
2,3:52.0,Defensive rebound by D. Ayton,,32,55
2,3:48.0,D. Melton misses 3-pt jump shot from 24 ft,,32,55
2,3:46.0,,Defensive rebound by J. Nurkić,32,55
2,3:30.0,,J. Nurkić misses 2-pt jump shot from 21 ft,32,55
2,3:28.0,Defensive rebound by D. Ayton,,32,55
2,3:08.0,D. Ayton makes 2-pt layup from 4 ft (assist by T. Ariza),,34,55
2,2:52.0,,Personal foul by M. Bridges (drawn by D. Lillard),34,55
2,2:52.0,E. Okobo enters the game for D. Melton,,34,55
2,2:52.0,,E. Turner enters the game for J. Layman,34,55
2,2:44.0,,N. Stauskas misses 3-pt jump shot from 27 ft,34,55
2,2:43.0,,Offensive rebound by N. Stauskas,34,55
2,2:41.0,,J. Nurkić makes 2-pt dunk from 1 ft (assist by N. Stauskas),34,57
2,2:26.0,,Violation by Team (kicked ball),34,57
2,2:15.0,D. Ayton misses 2-pt hook shot from 1 ft (block by J. Nurkić),,34,57
2,2:13.0,,Defensive rebound by A. Aminu,34,57
2,2:06.0,,J. Nurkić misses 3-pt jump shot from 26 ft,34,57
2,2:03.0,Defensive rebound by M. Bridges,,34,57
2,1:58.0,E. Okobo makes 2-pt layup from 2 ft,,36,57
2,1:39.0,,D. Lillard misses 3-pt jump shot from 26 ft,36,57
2,1:37.0,Defensive rebound by E. Okobo,,36,57
2,1:31.0,M. Bridges misses 3-pt jump shot from 25 ft,,36,57
2,1:29.0,,Defensive rebound by D. Lillard,36,57
2,1:26.0,,Shooting foul by E. Okobo (drawn by D. Lillard),36,57
2,1:26.0,,D. Lillard makes free throw 1 of 2,36,58
2,1:26.0,,D. Lillard makes free throw 2 of 2,36,59
2,1:12.0,M. Bridges makes 2-pt jump shot from 9 ft (assist by D. Ayton),,38,59
2,1:02.0,,Personal foul by M. Bridges (drawn by D. Lillard),38,59
2,1:02.0,,D. Lillard makes free throw 1 of 2,38,60
2,1:02.0,,D. Lillard makes free throw 2 of 2,38,61
2,0:38.0,Turnover by Team (shot clock),,38,61
2,0:38.0,,J. Layman enters the game for E. Turner,38,61
2,0:30.0,,Shooting foul by M. Bridges (drawn by J. Nurkić),38,61
2,0:30.0,,J. Nurkić misses free throw 1 of 2,38,61
2,0:30.0,,Offensive rebound by Team,38,61
2,0:30.0,,E. Turner enters the game for J. Layman,38,61
2,0:30.0,,J. Nurkić makes free throw 2 of 2,38,62
2,0:11.0,T. Daniels makes 3-pt jump shot from 25 ft,,41,62
2,0:11.0,,J. Layman enters the game for E. Turner,41,62
2,0:01.0,,D. Lillard misses 2-pt jump shot from 20 ft (block by D. Ayton),41,62
2,0:01.0,,Offensive rebound by J. Nurkić,41,62
2,0:00.0,,J. Nurkić misses 2-pt layup from 1 ft,41,62
2,0:00.0,,Offensive rebound by Team,41,62
3,11:46.0,,S. Curry misses 3-pt jump shot from 25 ft,41,62
3,11:42.0,,Offensive rebound by J. Nurkić,41,62
3,11:42.0,,J. Nurkić misses 2-pt layup from 1 ft,41,62
3,11:42.0,,Offensive rebound by J. Nurkić,41,62
3,11:36.0,,D. Lillard makes 2-pt layup from 1 ft (assist by J. Nurkić),41,64
3,11:16.0,J. Jackson misses 3-pt jump shot from 26 ft,,41,64
3,11:13.0,,Defensive rebound by J. Nurkić,41,64
3,10:56.0,,M. Harkless makes 2-pt jump shot from 12 ft,41,66
3,10:39.0,,Violation by Team (kicked ball),41,66
3,10:27.0,E. Okobo misses 3-pt jump shot from 25 ft,,41,66
3,10:25.0,,Defensive rebound by J. Nurkić,41,66
3,10:18.0,,Turnover by D. Lillard (lost ball; steal by M. Bridges),41,66
3,10:13.0,J. Jackson makes 2-pt dunk from 1 ft (assist by E. Okobo),,43,66
3,9:51.0,,Shooting foul by E. Okobo (drawn by J. Nurkić),43,66
