QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MIAMI_ACTION,BROOKLYN_SCORE,MIAMI_SCORE
1,7:20.0,C. LeVert makes 2-pt layup from 2 ft,,11,13
1,7:01.0,,J. Richardson makes 2-pt jump shot from 18 ft,11,15
1,6:44.0,J. Allen makes 2-pt layup from 1 ft (assist by C. LeVert),,13,15
1,6:27.0,,J. Winslow makes 2-pt jump shot from 5 ft,13,17
1,6:10.0,T. Graham misses 2-pt layup from 2 ft (block by K. Olynyk),,13,17
1,6:06.0,,Defensive rebound by K. Olynyk,13,17
1,6:03.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by D. Waiters),13,20
1,6:02.0,Brooklyn full timeout,,13,20
1,6:02.0,A. Crabbe enters the game for T. Graham,,13,20
1,6:02.0,R. Kurucs enters the game for C. LeVert,,13,20
1,5:48.0,J. Harris makes 3-pt jump shot from 26 ft (assist by D. Russell),,16,20
1,5:29.0,,J. Winslow makes 2-pt layup from 2 ft,16,22
1,5:19.0,J. Harris misses 3-pt jump shot from 25 ft,,16,22
1,5:12.0,,Defensive rebound by D. Waiters,16,22
1,5:06.0,,Turnover by D. Waiters (bad pass; steal by D. Russell),16,22
1,5:00.0,A. Crabbe misses 3-pt jump shot from 25 ft,,16,22
1,4:56.0,,Defensive rebound by B. Adebayo,16,22
1,4:40.0,,B. Adebayo misses 2-pt jump shot from 10 ft,16,22
1,4:37.0,Defensive rebound by A. Crabbe,,16,22
1,4:34.0,Personal foul by B. Adebayo (drawn by D. Russell),,16,22
1,4:34.0,D. Carroll enters the game for J. Allen,,16,22
1,4:34.0,E. Davis enters the game for J. Harris,,16,22
1,4:34.0,S. Dinwiddie enters the game for D. Russell,,16,22
1,4:34.0,,D. Jones enters the game for K. Olynyk,16,22
1,4:34.0,,R. McGruder enters the game for J. Richardson,16,22
1,4:34.0,,D. Wade enters the game for D. Waiters,16,22
1,4:26.0,A. Crabbe misses 3-pt jump shot from 26 ft,,16,22
1,4:24.0,,Defensive rebound by B. Adebayo,16,22
1,4:06.0,,J. Winslow misses 3-pt jump shot from 25 ft,16,22
1,4:03.0,Defensive rebound by D. Carroll,,16,22
1,3:50.0,Turnover by S. Dinwiddie (lost ball; steal by D. Wade),,16,22
1,3:48.0,,Turnover by R. McGruder (traveling),16,22
1,3:34.0,R. Kurucs makes 2-pt dunk from 2 ft,,18,22
1,3:33.0,,Miami full timeout,18,22
1,3:33.0,,U. Haslem enters the game for B. Adebayo,18,22
1,3:24.0,,Turnover by D. Wade (bad pass),18,22
1,3:24.0,,J. Richardson enters the game for J. Winslow,18,22
1,3:06.0,D. Carroll misses 3-pt jump shot from 24 ft,,18,22
1,3:03.0,,Defensive rebound by D. Wade,18,22
1,2:56.0,,D. Wade misses 2-pt jump shot from 8 ft,18,22
1,2:53.0,,Offensive rebound by D. Wade,18,22
1,2:51.0,,D. Wade misses 2-pt jump shot from 15 ft,18,22
1,2:49.0,Defensive rebound by A. Crabbe,,18,22
1,2:45.0,Turnover by S. Dinwiddie (bad pass),,18,22
1,2:33.0,,D. Wade misses 2-pt layup from 2 ft,18,22
1,2:28.0,,Offensive rebound by D. Wade,18,22
1,2:28.0,,D. Wade misses 2-pt layup from 1 ft,18,22
1,2:27.0,Defensive rebound by E. Davis,,18,22
1,2:19.0,Shooting foul by R. McGruder (drawn by R. Kurucs),,18,22
