QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DETROIT_ACTION,GOLDEN STATE_SCORE,DETROIT_SCORE
1,11:45.0,,R. Jackson misses 3-pt jump shot from 27 ft,0,0
1,11:41.0,Defensive rebound by K. Durant,,0,0
1,11:24.0,J. Jerebko misses 3-pt jump shot from 23 ft,,0,0
1,11:19.0,Offensive rebound by D. Jones,,0,0
1,11:17.0,D. Jones misses 2-pt layup from 1 ft (block by A. Drummond),,0,0
1,11:16.0,,Defensive rebound by Team,0,0
1,11:02.0,,R. Bullock misses 3-pt jump shot from 30 ft,0,0
1,10:58.0,,Offensive rebound by A. Drummond,0,0
1,10:55.0,,A. Drummond makes 2-pt layup from 2 ft,0,2
1,10:49.0,K. Durant misses 3-pt jump shot from 28 ft,,0,2
1,10:46.0,,Defensive rebound by Team,0,2
1,10:28.0,,A. Drummond misses 2-pt layup from 3 ft,0,2
1,10:25.0,Defensive rebound by J. Jerebko,,0,2
1,10:20.0,K. Thompson makes 2-pt jump shot from 8 ft,,2,2
1,9:57.0,,R. Bullock misses 3-pt jump shot from 28 ft,2,2
1,9:57.0,Defensive rebound by D. Jones,,2,2
1,9:50.0,K. Thompson misses 2-pt jump shot from 16 ft,,2,2
1,9:44.0,,Defensive rebound by A. Drummond,2,2
1,9:26.0,,R. Bullock misses 2-pt jump shot from 11 ft,2,2
1,9:21.0,,Offensive rebound by A. Drummond,2,2
1,9:21.0,,Turnover by A. Drummond (bad pass; steal by K. Thompson),2,2
1,9:17.0,J. Jerebko makes 2-pt layup at rim,,4,2
1,9:02.0,,R. Bullock misses 3-pt jump shot from 27 ft,4,2
1,8:57.0,Defensive rebound by K. Thompson,,4,2
1,8:54.0,S. Curry misses 3-pt jump shot from 28 ft,,4,2
1,8:51.0,,Defensive rebound by R. Jackson,4,2
1,8:47.0,,G. Robinson misses 2-pt layup from 4 ft (block by K. Durant),4,2
1,8:43.0,Defensive rebound by S. Curry,,4,2
1,8:39.0,K. Thompson makes 2-pt layup from 1 ft (assist by S. Curry),,6,2
1,8:22.0,,Turnover by B. Griffin (bad pass; steal by J. Jerebko),6,2
1,8:17.0,Turnover by K. Durant (bad pass),,6,2
1,8:03.0,,R. Jackson makes 3-pt jump shot from 28 ft (assist by B. Griffin),6,5
