QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PHILADELPHIA_ACTION,CHARLOTTE_SCORE,PHILADELPHIA_SCORE
1,11:50.0,,B. Simmons misses 2-pt layup from 2 ft,0,0
1,11:43.0,,Offensive rebound by B. Simmons,0,0
1,11:43.0,,B. Simmons misses 2-pt layup from 1 ft,0,0
1,11:42.0,,Offensive rebound by B. Simmons,0,0
1,11:42.0,,B. Simmons misses 2-pt layup at rim,0,0
1,11:41.0,Defensive rebound by C. Zeller,,0,0
1,11:34.0,N. Batum misses 2-pt jump shot from 11 ft,,0,0
1,11:29.0,,Defensive rebound by J. Embiid,0,0
1,11:17.0,,J. Embiid misses 2-pt jump shot from 10 ft,0,0
1,11:16.0,Defensive rebound by M. Williams,,0,0
1,10:52.0,K. Walker makes 2-pt jump shot from 5 ft,,2,0
1,10:43.0,,R. Covington misses 3-pt jump shot from 26 ft,2,0
1,10:38.0,Defensive rebound by N. Batum,,2,0
1,10:21.0,J. Lamb misses 2-pt layup from 2 ft,,2,0
1,10:18.0,Offensive rebound by C. Zeller,,2,0
1,10:15.0,K. Walker misses 3-pt jump shot from 25 ft,,2,0
1,10:11.0,,Defensive rebound by J. Embiid,2,0
1,10:07.0,,Turnover by J. Embiid (bad pass; steal by M. Williams),2,0
1,10:02.0,C. Zeller makes 2-pt layup from 1 ft (assist by M. Williams),,4,0
1,10:02.0,Shooting foul by M. Fultz (drawn by C. Zeller),,4,0
1,10:02.0,C. Zeller makes free throw 1 of 1,,5,0
1,9:53.0,Violation by Team (kicked ball),,5,0
1,9:50.0,,Turnover by B. Simmons (bad pass),5,0
1,9:33.0,J. Lamb makes 3-pt jump shot from 25 ft,,8,0
1,9:22.0,,Personal foul by M. Williams (drawn by D. Šarić),8,0
1,9:10.0,,J. Embiid makes 2-pt jump shot from 14 ft,8,2
1,9:00.0,Shooting foul by R. Covington (drawn by K. Walker),,8,2
1,9:00.0,K. Walker makes free throw 1 of 2,,9,2
1,9:00.0,K. Walker makes free throw 2 of 2,,10,2
1,8:46.0,,Shooting foul by C. Zeller (drawn by R. Covington),10,2
1,8:46.0,,R. Covington makes free throw 1 of 2,10,3
1,8:46.0,,R. Covington makes free throw 2 of 2,10,4
1,8:35.0,C. Zeller misses 2-pt dunk from 1 ft,,10,4
1,8:33.0,,Defensive rebound by M. Fultz,10,4
1,8:30.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by M. Fultz),10,7
1,8:17.0,N. Batum makes 3-pt jump shot from 26 ft (assist by K. Walker),,13,7
1,7:59.0,,B. Simmons makes 2-pt hook shot from 4 ft (assist by J. Embiid),13,9
1,7:43.0,J. Lamb misses 2-pt jump shot from 18 ft,,13,9
1,7:38.0,,Defensive rebound by M. Fultz,13,9
1,7:36.0,,R. Covington misses 3-pt jump shot from 26 ft,13,9
1,7:32.0,Defensive rebound by K. Walker,,13,9
1,7:29.0,J. Lamb makes 3-pt jump shot from 26 ft (assist by K. Walker),,16,9
1,7:12.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by B. Simmons),16,12
1,6:58.0,K. Walker misses 2-pt jump shot from 16 ft,,16,12
1,6:55.0,,Defensive rebound by B. Simmons,16,12
1,6:43.0,,R. Covington misses 3-pt jump shot from 27 ft,16,12
1,6:37.0,,Offensive rebound by J. Embiid,16,12
1,6:37.0,,J. Embiid makes 2-pt dunk at rim,16,14
1,6:36.0,Charlotte full timeout,,16,14
1,6:36.0,W. Hernangómez enters the game for M. Williams,,16,14
1,6:36.0,M. Kidd-Gilchrist enters the game for C. Zeller,,16,14
1,6:36.0,,A. Johnson enters the game for J. Embiid,16,14
1,6:36.0,,J. Redick enters the game for M. Fultz,16,14
1,6:24.0,N. Batum makes 2-pt dunk from 1 ft (assist by J. Lamb),,18,14
1,6:09.0,,A. Johnson misses 2-pt hook shot from 5 ft (block by W. Hernangómez),18,14
1,6:05.0,,Offensive rebound by A. Johnson,18,14
1,6:04.0,,A. Johnson makes 2-pt layup from 2 ft,18,16
1,5:49.0,M. Kidd-Gilchrist misses 2-pt jump shot from 6 ft,,18,16
1,5:46.0,,Defensive rebound by D. Šarić,18,16
1,5:42.0,,D. Šarić makes 3-pt jump shot from 27 ft (assist by B. Simmons),18,19
1,5:32.0,Personal foul by R. Covington (drawn by W. Hernangómez),,18,19
1,5:32.0,,W. Chandler enters the game for R. Covington,18,19
1,5:31.0,Personal foul by D. Šarić (drawn by M. Kidd-Gilchrist),,18,19
1,5:24.0,Offensive foul by W. Hernangómez (drawn by B. Simmons),,18,19
1,5:24.0,Turnover by W. Hernangómez (offensive foul),,18,19
1,5:06.0,,Turnover by D. Šarić (traveling),18,19
1,4:54.0,J. Lamb makes 2-pt jump shot from 16 ft (assist by K. Walker),,20,19
1,4:41.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by A. Johnson),20,21
1,4:19.0,K. Walker misses 2-pt layup from 5 ft,,20,21
1,4:19.0,Offensive rebound by Team,,20,21
1,4:11.0,W. Hernangómez misses 2-pt hook shot from 5 ft,,20,21
1,4:09.0,,Defensive rebound by A. Johnson,20,21
1,4:03.0,,D. Šarić misses 2-pt layup from 5 ft (block by J. Lamb),20,21
1,4:00.0,,Offensive rebound by D. Šarić,20,21
1,3:57.0,,Turnover by W. Chandler (bad pass; steal by N. Batum),20,21
1,3:51.0,W. Hernangómez misses 2-pt layup from 5 ft (block by A. Johnson),,20,21
1,3:51.0,Offensive rebound by M. Kidd-Gilchrist,,20,21
1,3:51.0,M. Kidd-Gilchrist makes 2-pt layup from 3 ft,,22,21
1,3:51.0,Shooting foul by A. Johnson (drawn by M. Kidd-Gilchrist),,22,21
1,3:51.0,M. Bridges enters the game for N. Batum,,22,21
1,3:51.0,,J. Bolden enters the game for A. Johnson,22,21
1,3:51.0,,J. Embiid enters the game for D. Šarić,22,21
1,3:51.0,,Violation by Team (delay of game),22,21
1,3:51.0,M. Kidd-Gilchrist makes free throw 1 of 1,,23,21
1,3:34.0,,Def 3 sec tech foul by Team,23,21
1,3:34.0,,J. Redick makes technical free throw,23,22
1,3:20.0,,J. Bolden misses 3-pt jump shot from 44 ft,23,22
1,3:20.0,,Offensive rebound by Team,23,22
1,3:20.0,,Turnover by Team (shot clock),23,22
1,3:09.0,K. Walker makes 3-pt jump shot from 26 ft,,26,22
1,3:04.0,,J. Redick makes 3-pt jump shot from 28 ft (assist by B. Simmons),26,25
1,2:46.0,K. Walker misses 2-pt layup from 3 ft,,26,25
1,2:46.0,,Defensive rebound by J. Bolden,26,25
1,2:33.0,,Shooting foul by M. Bridges (drawn by J. Embiid),26,25
1,2:33.0,,Philadelphia full timeout,26,25
1,2:33.0,M. Monk enters the game for J. Lamb,,26,25
1,2:33.0,T. Parker enters the game for K. Walker,,26,25
1,2:33.0,,M. Fultz enters the game for B. Simmons,26,25
1,2:33.0,,J. Embiid makes free throw 1 of 2,26,26
1,2:33.0,,J. Embiid makes free throw 2 of 2,26,27
1,2:22.0,M. Kidd-Gilchrist misses 2-pt jump shot from 16 ft,,26,27
1,2:19.0,,Defensive rebound by W. Chandler,26,27
1,2:08.0,,M. Fultz misses 2-pt jump shot from 11 ft,26,27
1,2:06.0,Defensive rebound by M. Kidd-Gilchrist,,26,27
1,2:04.0,Shooting foul by J. Bolden (drawn by M. Kidd-Gilchrist),,26,27
1,2:04.0,M. Kidd-Gilchrist makes free throw 1 of 2,,27,27
1,2:04.0,M. Kidd-Gilchrist misses free throw 2 of 2,,27,27
1,2:04.0,,Defensive rebound by J. Bolden,27,27
1,1:57.0,,Personal foul by W. Hernangómez (drawn by J. Embiid),27,27
1,1:50.0,,W. Chandler makes 3-pt jump shot from 25 ft (assist by J. Bolden),27,30
1,1:31.0,Personal foul by W. Chandler (drawn by W. Hernangómez),,27,30
1,1:31.0,W. Hernangómez makes free throw 1 of 2,,28,30
1,1:31.0,W. Hernangómez misses free throw 2 of 2,,28,30
1,1:29.0,,Defensive rebound by W. Chandler,28,30
1,1:18.0,,Turnover by M. Fultz (bad pass; steal by T. Parker),28,30
1,1:12.0,T. Parker makes 2-pt jump shot from 12 ft,,30,30
1,1:00.0,,J. Embiid misses 2-pt layup from 3 ft,30,30
1,0:56.0,Defensive rebound by M. Monk,,30,30
1,0:51.0,W. Hernangómez makes 3-pt jump shot from 25 ft (assist by T. Parker),,33,30
1,0:31.0,,J. Redick misses 2-pt jump shot from 17 ft,33,30
1,0:28.0,Defensive rebound by M. Bridges,,33,30
1,0:09.0,M. Kidd-Gilchrist misses 2-pt layup from 5 ft,,33,30
1,0:06.0,,Defensive rebound by J. Redick,33,30
1,0:02.0,,J. Bolden makes 3-pt jump shot from 28 ft (assist by J. Redick),33,33
1,0:00.0,M. Monk misses 3-pt jump shot from 56 ft,,33,33
1,0:00.0,Offensive rebound by Team,,33,33
2,12:00.0,Violation by Team (delay of game),,33,33
2,11:45.0,Turnover by B. Biyombo (lost ball; steal by L. Shamet),,33,33
2,11:35.0,,Personal foul by M. Williams (drawn by J. Embiid),33,33
2,11:28.0,,J. Redick misses 3-pt jump shot from 26 ft,33,33
2,11:27.0,,Offensive rebound by Team,33,33
