QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MIAMI_ACTION,LA LAKERS_SCORE,MIAMI_SCORE
1,11:39.0,,J. Richardson misses 2-pt jump shot from 16 ft,0,0
1,11:35.0,Defensive rebound by J. McGee,,0,0
1,11:25.0,K. Kuzma makes 2-pt layup from 2 ft (assist by L. James),,2,0
1,11:11.0,,R. McGruder misses 2-pt layup from 2 ft,2,0
1,11:11.0,,Offensive rebound by Team,2,0
1,11:09.0,,Turnover by W. Ellington (bad pass; steal by L. James),2,0
1,11:03.0,L. James makes 2-pt dunk from 1 ft (assist by L. Ball),,4,0
1,10:47.0,,W. Ellington makes 2-pt layup from 1 ft,4,2
1,10:36.0,B. Ingram makes 2-pt layup at rim (assist by J. McGee),,6,2
1,10:21.0,,J. Richardson makes 2-pt layup from 2 ft,6,4
1,10:10.0,K. Kuzma misses 2-pt hook shot from 1 ft,,6,4
1,10:08.0,Offensive rebound by L. Ball,,6,4
1,10:06.0,Personal foul by W. Ellington (drawn by J. McGee),,6,4
1,9:52.0,Turnover by Team (shot clock),,6,4
1,9:39.0,,W. Ellington misses 3-pt jump shot from 25 ft,6,4
1,9:36.0,Defensive rebound by L. James,,6,4
1,9:29.0,L. James makes 2-pt jump shot from 13 ft (assist by L. Ball),,8,4
1,9:08.0,,Turnover by R. McGruder (bad pass; steal by J. McGee),8,4
1,8:53.0,L. James makes 3-pt jump shot from 24 ft,,11,4
1,8:33.0,,W. Ellington makes 2-pt layup from 2 ft (assist by R. McGruder),11,6
1,8:22.0,K. Kuzma misses 3-pt jump shot from 23 ft,,11,6
1,8:19.0,,Defensive rebound by H. Whiteside,11,6
1,8:11.0,,R. McGruder makes 2-pt jump shot from 13 ft,11,8
1,7:53.0,B. Ingram misses 2-pt jump shot from 14 ft,,11,8
1,7:50.0,Offensive rebound by J. McGee,,11,8
1,7:50.0,J. McGee misses 2-pt dunk from 1 ft,,11,8
1,7:48.0,,Defensive rebound by J. Richardson,11,8
1,7:43.0,,W. Ellington misses 3-pt jump shot from 24 ft,11,8
1,7:41.0,,Offensive rebound by J. Winslow,11,8
1,7:33.0,,R. McGruder makes 2-pt jump shot from 18 ft,11,10
1,7:14.0,B. Ingram makes 2-pt layup from 2 ft,,13,10
1,7:02.0,,J. Winslow misses 3-pt jump shot from 24 ft,13,10
1,6:58.0,Defensive rebound by L. Ball,,13,10
1,6:47.0,L. Ball misses 3-pt jump shot from 28 ft,,13,10
1,6:45.0,Offensive rebound by Team,,13,10
1,6:45.0,,Miami full timeout,13,10
1,6:45.0,T. Chandler enters the game for J. McGee,,13,10
1,6:36.0,L. James misses 2-pt jump shot from 11 ft,,13,10
1,6:32.0,,Defensive rebound by J. Richardson,13,10
1,6:27.0,,J. Richardson makes 2-pt jump shot from 14 ft,13,12
1,6:11.0,B. Ingram misses 2-pt layup from 1 ft (block by H. Whiteside),,13,12
1,6:07.0,,Defensive rebound by J. Winslow,13,12
1,6:07.0,,Shooting foul by K. Kuzma (drawn by J. Winslow),13,12
1,6:07.0,,J. Winslow misses free throw 1 of 2,13,12
1,6:07.0,,Offensive rebound by Team,13,12
1,6:07.0,,J. Winslow makes free throw 2 of 2,13,13
1,5:50.0,L. Ball misses 2-pt jump shot from 11 ft,,13,13
1,5:47.0,Offensive rebound by T. Chandler,,13,13
1,5:36.0,B. Ingram misses 2-pt jump shot from 17 ft (block by H. Whiteside),,13,13
1,5:34.0,,Defensive rebound by J. Winslow,13,13
1,5:28.0,,J. Winslow misses 2-pt hook shot from 2 ft,13,13
1,5:28.0,Defensive rebound by T. Chandler,,13,13
1,5:21.0,K. Kuzma misses 2-pt jump shot from 9 ft (block by J. Richardson),,13,13
1,5:17.0,,Defensive rebound by R. McGruder,13,13
1,5:10.0,,H. Whiteside misses 3-pt jump shot from 25 ft,13,13
1,5:06.0,Defensive rebound by K. Kuzma,,13,13
1,4:54.0,L. James makes 2-pt jump shot from 12 ft,,15,13
1,4:35.0,,H. Whiteside misses 2-pt layup from 2 ft,15,13
1,4:33.0,Defensive rebound by T. Chandler,,15,13
1,4:28.0,K. Kuzma makes 3-pt jump shot from 23 ft (assist by B. Ingram),,18,13
1,4:14.0,,Personal foul by K. Kuzma (drawn by J. Winslow),18,13
1,4:14.0,K. Caldwell-Pope enters the game for L. Ball,,18,13
1,4:14.0,,J. Johnson enters the game for J. Richardson,18,13
1,4:14.0,,T. Johnson enters the game for H. Whiteside,18,13
1,4:14.0,,K. Olynyk enters the game for J. Winslow,18,13
1,4:00.0,,J. Johnson misses 2-pt jump shot from 19 ft,18,13
1,3:58.0,Defensive rebound by B. Ingram,,18,13
1,3:51.0,B. Ingram misses 2-pt layup from 3 ft,,18,13
1,3:49.0,,Defensive rebound by R. McGruder,18,13
1,3:49.0,,R. McGruder makes 2-pt layup from 1 ft,18,15
1,3:49.0,Violation by Team (def goaltending),,18,15
1,3:49.0,LA Lakers full timeout,,18,15
1,3:49.0,J. Hart enters the game for K. Kuzma,,18,15
1,3:30.0,L. James makes 3-pt jump shot from 25 ft,,21,15
1,3:09.0,,K. Olynyk misses 3-pt jump shot from 25 ft,21,15
1,3:07.0,Defensive rebound by J. Hart,,21,15
1,2:57.0,L. James makes 3-pt jump shot from 24 ft,,24,15
1,2:38.0,,J. Johnson misses 3-pt jump shot from 25 ft,24,15
1,2:35.0,,Offensive rebound by R. McGruder,24,15
1,2:22.0,,J. Johnson misses 2-pt jump shot from 11 ft,24,15
1,2:19.0,Defensive rebound by T. Chandler,,24,15
