QUARTER,TIME_REMAINING,PORTLAND_ACTION,PHILADELPHIA_ACTION,PORTLAND_SCORE,PHILADELPHIA_SCORE
1,11:41.0,D. Lillard misses 3-pt jump shot from 26 ft,,0,0
1,11:37.0,,Defensive rebound by T. Harris,0,0
1,11:29.0,,J. Butler makes 2-pt jump shot from 14 ft (assist by B. Simmons),0,2
1,11:21.0,C. McCollum makes 2-pt layup from 1 ft,,2,2
1,11:09.0,,J. Butler makes 2-pt jump shot from 4 ft,2,4
1,10:48.0,C. McCollum misses 2-pt jump shot from 16 ft,,2,4
1,10:44.0,,Defensive rebound by J. Butler,2,4
1,10:35.0,,J. Redick misses 2-pt layup from 3 ft,2,4
1,10:32.0,Defensive rebound by M. Harkless,,2,4
1,10:25.0,Turnover by A. Aminu (bad pass; steal by B. Marjanović),,2,4
1,10:16.0,,B. Simmons makes 2-pt layup from 2 ft (assist by B. Marjanović),2,6
1,9:58.0,C. McCollum misses 3-pt jump shot from 25 ft,,2,6
1,9:56.0,,Defensive rebound by B. Simmons,2,6
1,9:49.0,,T. Harris misses 3-pt jump shot from 24 ft,2,6
1,9:45.0,Defensive rebound by J. Nurkić,,2,6
1,9:34.0,D. Lillard makes 2-pt jump shot from 19 ft,,4,6
1,9:21.0,,B. Marjanović misses 2-pt layup from 3 ft (block by M. Harkless),4,6
1,9:18.0,Defensive rebound by J. Nurkić,,4,6
1,9:14.0,A. Aminu misses 3-pt jump shot from 23 ft,,4,6
1,9:10.0,,Defensive rebound by B. Marjanović,4,6
1,9:05.0,,B. Simmons misses 2-pt jump shot from 7 ft,4,6
1,9:02.0,,Offensive rebound by B. Simmons,4,6
1,8:52.0,,B. Simmons misses 2-pt jump shot from 10 ft,4,6
1,8:49.0,,Offensive rebound by B. Marjanović,4,6
1,8:46.0,,B. Simmons makes 2-pt layup from 1 ft (assist by B. Marjanović),4,8
1,8:30.0,A. Aminu misses 2-pt jump shot from 18 ft,,4,8
1,8:26.0,,Defensive rebound by J. Redick,4,8
1,8:13.0,,T. Harris makes 2-pt jump shot from 9 ft,4,10
1,7:58.0,D. Lillard makes 2-pt jump shot from 15 ft,,6,10
1,7:37.0,,Shooting foul by J. Nurkić (drawn by B. Simmons),6,10
1,7:37.0,,B. Simmons makes free throw 1 of 2,6,11
1,7:37.0,,B. Simmons makes free throw 2 of 2,6,12
1,7:23.0,D. Lillard makes 2-pt jump shot from 15 ft,,8,12
1,7:13.0,,Personal foul by M. Harkless (drawn by B. Simmons),8,12
1,7:08.0,,B. Simmons misses 2-pt jump shot from 11 ft,8,12
1,7:05.0,Defensive rebound by A. Aminu,,8,12
1,6:56.0,A. Aminu misses 3-pt jump shot from 26 ft,,8,12
1,6:53.0,Offensive rebound by J. Nurkić,,8,12
1,6:48.0,C. McCollum misses 3-pt jump shot from 26 ft,,8,12
1,6:46.0,Offensive rebound by J. Nurkić,,8,12
1,6:45.0,J. Nurkić makes 2-pt hook shot from 5 ft,,10,12
1,6:37.0,,J. Butler misses 3-pt jump shot from 26 ft,10,12
1,6:34.0,Defensive rebound by A. Aminu,,10,12
1,6:32.0,Turnover by D. Lillard (bad pass; steal by J. Redick),,10,12
1,6:31.0,,Personal take foul by M. Harkless (drawn by J. Redick),10,12
1,6:31.0,,Philadelphia full timeout,10,12
1,6:31.0,,J. Bolden enters the game for J. Butler,10,12
1,6:31.0,,J. Ennis enters the game for B. Marjanović,10,12
1,6:31.0,,J. Simmons enters the game for J. Redick,10,12
1,6:19.0,,J. Ennis misses 2-pt layup from 2 ft,10,12
1,6:17.0,Defensive rebound by A. Aminu,,10,12
1,6:10.0,J. Nurkić misses 2-pt layup from 4 ft (block by J. Bolden),,10,12
1,6:10.0,Offensive rebound by Team,,10,12
1,6:01.0,C. McCollum makes 2-pt layup from 2 ft (assist by D. Lillard),,12,12
1,5:47.0,,Turnover by J. Bolden (bad pass),12,12
1,5:31.0,M. Harkless makes 2-pt layup from 7 ft (assist by D. Lillard),,14,12
1,5:29.0,,Philadelphia full timeout,14,12
1,5:20.0,Violation by Team (kicked ball),,14,12
1,5:06.0,,Turnover by J. Simmons (lost ball; steal by M. Harkless),14,12
1,5:02.0,A. Aminu makes 2-pt layup from 8 ft (assist by M. Harkless),,16,12
1,5:02.0,Shooting foul by T. Harris (drawn by A. Aminu),,16,12
1,5:02.0,A. Aminu makes free throw 1 of 1,,17,12
1,4:52.0,,Shooting foul by D. Lillard (drawn by J. Ennis),17,12
1,4:52.0,,J. Ennis makes free throw 1 of 2,17,13
1,4:52.0,R. Hood enters the game for M. Harkless,,17,13
1,4:52.0,,J. Ennis makes free throw 2 of 2,17,14
1,4:32.0,R. Hood makes 2-pt jump shot from 16 ft (assist by J. Nurkić),,19,14
1,4:21.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by B. Simmons),19,17
1,4:03.0,A. Aminu makes 2-pt dunk from 1 ft (assist by J. Nurkić),,21,17
1,3:52.0,,Turnover by J. Ennis (bad pass; steal by C. McCollum),21,17
1,3:49.0,Personal foul by J. Simmons (drawn by J. Nurkić),,21,17
1,3:49.0,E. Freedom enters the game for C. McCollum,,21,17
1,3:49.0,J. Layman enters the game for J. Nurkić,,21,17
1,3:29.0,R. Hood makes 2-pt jump shot from 21 ft (assist by E. Freedom),,23,17
1,3:18.0,,B. Simmons makes 2-pt hook shot from 1 ft,23,19
1,3:06.0,Personal foul by J. Ennis (drawn by E. Freedom),,23,19
1,3:06.0,S. Curry enters the game for A. Aminu,,23,19
1,3:06.0,,J. Butler enters the game for J. Bolden,23,19
1,3:06.0,,B. Marjanović enters the game for J. Ennis,23,19
1,3:06.0,,T. McConnell enters the game for T. Harris,23,19
1,3:06.0,,J. Redick enters the game for B. Simmons,23,19
1,3:06.0,,M. Scott enters the game for J. Simmons,23,19
1,3:05.0,Turnover by S. Curry (bad pass; steal by T. McConnell),,23,19
1,3:03.0,,T. McConnell makes 2-pt layup from 1 ft,23,21
1,2:41.0,R. Hood misses 2-pt layup from 10 ft (block by J. Butler),,23,21
1,2:41.0,,Defensive rebound by Team,23,21
1,2:29.0,,J. Redick misses 3-pt jump shot from 26 ft,23,21
1,2:25.0,Defensive rebound by D. Lillard,,23,21
1,2:20.0,E. Freedom misses 2-pt layup from 3 ft,,23,21
1,2:19.0,Offensive rebound by J. Layman,,23,21
