QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PHILADELPHIA_ACTION,CLEVELAND_SCORE,PHILADELPHIA_SCORE
1,11:48.0,,J. Redick makes 2-pt jump shot from 21 ft (assist by J. Embiid),0,2
1,11:28.0,A. Žižić misses 2-pt jump shot from 12 ft,,0,2
1,11:26.0,,Defensive rebound by J. Embiid,0,2
1,11:19.0,,Turnover by J. Embiid (dbl dribble),0,2
1,11:04.0,C. Osman misses 2-pt layup from 3 ft,,0,2
1,11:02.0,Offensive rebound by A. Žižić,,0,2
1,10:58.0,Turnover by C. Osman (bad pass),,0,2
1,10:47.0,,J. Embiid misses 2-pt jump shot from 8 ft,0,2
1,10:44.0,Defensive rebound by C. Osman,,0,2
1,10:33.0,C. Sexton misses 2-pt layup from 3 ft,,0,2
1,10:30.0,Offensive rebound by A. Žižić,,0,2
1,10:28.0,A. Žižić misses 2-pt hook shot from 6 ft (block by J. Redick),,0,2
1,10:28.0,,Defensive rebound by B. Simmons,0,2
1,10:22.0,,B. Simmons misses 2-pt layup from 4 ft,0,2
1,10:21.0,,Offensive rebound by J. Ennis,0,2
1,10:19.0,,J. Ennis makes 2-pt layup from 2 ft,0,4
1,10:00.0,B. Knight misses 2-pt jump shot from 12 ft,,0,4
1,9:59.0,,Defensive rebound by B. Simmons,0,4
1,9:49.0,,Turnover by J. Embiid (lost ball; steal by B. Knight),0,4
1,9:44.0,B. Knight makes 2-pt layup from 2 ft,,2,4
1,9:35.0,,Turnover by T. Harris (bad pass; steal by B. Knight),2,4
1,9:31.0,B. Knight makes 2-pt layup from 3 ft,,4,4
1,9:17.0,,J. Redick misses 3-pt jump shot from 25 ft,4,4
1,9:15.0,Defensive rebound by D. Nwaba,,4,4
1,9:05.0,Personal foul by J. Ennis (drawn by A. Žižić),,4,4
1,8:53.0,C. Sexton misses 2-pt layup from 2 ft,,4,4
1,8:49.0,,Defensive rebound by B. Simmons,4,4
1,8:46.0,,B. Simmons makes 2-pt layup from 2 ft,4,6
1,8:26.0,D. Nwaba misses 2-pt hook shot from 5 ft,,4,6
1,8:24.0,,Defensive rebound by J. Embiid,4,6
1,8:14.0,,J. Ennis makes 2-pt layup at rim (assist by B. Simmons),4,8
1,8:14.0,Cleveland full timeout,,4,8
1,8:04.0,A. Žižić makes 2-pt hook shot from 4 ft (assist by C. Osman),,6,8
1,7:52.0,,J. Embiid makes 2-pt layup from 2 ft (assist by B. Simmons),6,10
1,7:25.0,Turnover by Team (shot clock),,6,10
1,7:14.0,,T. Harris makes 2-pt dunk at rim (assist by J. Embiid),6,12
1,7:02.0,Personal foul by T. Harris (drawn by C. Osman),,6,12
1,7:02.0,C. Frye enters the game for A. Žižić,,6,12
1,7:02.0,,B. Marjanović enters the game for J. Embiid,6,12
1,6:52.0,C. Frye misses 3-pt jump shot from 26 ft,,6,12
1,6:49.0,Offensive rebound by C. Sexton,,6,12
1,6:49.0,Personal foul by J. Ennis (drawn by C. Sexton),,6,12
1,6:37.0,C. Frye misses 3-pt jump shot from 27 ft,,6,12
1,6:34.0,,Defensive rebound by T. Harris,6,12
1,6:26.0,,B. Marjanović makes 2-pt dunk at rim (assist by T. Harris),6,14
1,6:16.0,C. Sexton misses 2-pt jump shot from 16 ft,,6,14
1,6:12.0,,Defensive rebound by T. Harris,6,14
1,6:09.0,,Offensive foul by J. Ennis (drawn by C. Sexton),6,14
1,6:09.0,,Turnover by J. Ennis (offensive foul),6,14
1,6:09.0,D. Adel enters the game for B. Knight,,6,14
1,6:09.0,J. Clarkson enters the game for D. Nwaba,,6,14
1,6:09.0,,T. McConnell enters the game for J. Ennis,6,14
1,6:09.0,,M. Scott enters the game for J. Redick,6,14
1,6:09.0,,J. Simmons enters the game for B. Simmons,6,14
1,5:48.0,C. Osman misses 2-pt jump shot from 18 ft,,6,14
