QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DALLAS_ACTION,WASHINGTON_SCORE,DALLAS_SCORE
1,11:45.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by L. Dončić),0,3
1,11:23.0,M. Morris misses 3-pt jump shot from 25 ft,,0,3
1,11:20.0,,Defensive rebound by H. Barnes,0,3
1,11:14.0,,Shooting foul by D. Howard (drawn by D. Jordan),0,3
1,11:14.0,,D. Jordan makes free throw 1 of 2,0,4
1,11:14.0,,D. Jordan makes free throw 2 of 2,0,5
1,10:54.0,Turnover by J. Wall (bad pass; steal by H. Barnes),,0,5
1,10:50.0,,Shooting foul by M. Morris (drawn by D. Smith),0,5
1,10:50.0,,D. Smith makes free throw 1 of 2,0,6
1,10:50.0,,D. Smith makes free throw 2 of 2,0,7
1,10:36.0,J. Wall misses 3-pt jump shot from 25 ft,,0,7
1,10:33.0,Offensive rebound by O. Porter,,0,7
1,10:32.0,O. Porter makes 2-pt jump shot from 17 ft,,2,7
1,10:23.0,,L. Dončić misses 2-pt jump shot from 8 ft,2,7
1,10:21.0,Defensive rebound by B. Beal,,2,7
1,10:12.0,B. Beal misses 2-pt layup from 4 ft (block by W. Matthews),,2,7
1,10:12.0,Offensive rebound by Team,,2,7
1,10:09.0,B. Beal misses 3-pt jump shot from 25 ft,,2,7
1,10:07.0,,Defensive rebound by D. Smith,2,7
1,9:59.0,,L. Dončić misses 2-pt layup from 4 ft (block by D. Howard),2,7
1,9:56.0,Defensive rebound by J. Wall,,2,7
1,9:51.0,O. Porter makes 3-pt jump shot from 23 ft (assist by B. Beal),,5,7
1,9:35.0,,D. Smith misses 2-pt jump shot from 7 ft (block by B. Beal),5,7
1,9:35.0,,Offensive rebound by Team,5,7
1,9:28.0,,D. Smith misses 3-pt jump shot from 25 ft,5,7
1,9:26.0,Defensive rebound by D. Howard,,5,7
1,9:18.0,B. Beal misses 3-pt jump shot from 22 ft,,5,7
1,9:15.0,,Defensive rebound by D. Jordan,5,7
1,9:07.0,,H. Barnes misses 3-pt jump shot from 23 ft,5,7
1,9:05.0,Defensive rebound by D. Howard,,5,7
1,8:57.0,Turnover by M. Morris (step out of bounds),,5,7
1,8:47.0,,Offensive foul by D. Jordan (drawn by O. Porter),5,7
1,8:47.0,,Turnover by D. Jordan (offensive foul),5,7
1,8:35.0,Shooting foul by H. Barnes (drawn by D. Howard),,5,7
1,8:35.0,D. Howard misses free throw 1 of 2,,5,7
1,8:35.0,Offensive rebound by Team,,5,7
1,8:35.0,D. Howard makes free throw 2 of 2,,6,7
1,8:21.0,,W. Matthews misses 2-pt jump shot from 10 ft,6,7
1,8:19.0,,Offensive rebound by H. Barnes,6,7
1,8:16.0,,Turnover by H. Barnes (bad pass; steal by O. Porter),6,7
1,8:08.0,Turnover by M. Morris (bad pass; steal by D. Smith),,6,7
1,8:07.0,,Personal foul by J. Wall (drawn by D. Smith),6,7
1,7:57.0,,H. Barnes misses 2-pt jump shot from 16 ft,6,7
1,7:54.0,Defensive rebound by D. Howard,,6,7
1,7:36.0,M. Morris misses 2-pt jump shot from 8 ft,,6,7
1,7:34.0,,Defensive rebound by L. Dončić,6,7
1,7:26.0,,L. Dončić misses 3-pt jump shot from 26 ft,6,7
1,7:22.0,Defensive rebound by B. Beal,,6,7
1,7:19.0,O. Porter misses 2-pt jump shot from 21 ft,,6,7
1,7:16.0,,Defensive rebound by D. Jordan,6,7
1,7:11.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),6,9
1,6:51.0,B. Beal makes 2-pt jump shot from 19 ft,,8,9
1,6:50.0,,Dallas full timeout,8,9
1,6:50.0,,D. Finney-Smith enters the game for W. Matthews,8,9
1,6:31.0,,D. Smith makes 3-pt jump shot from 27 ft (assist by H. Barnes),8,12
1,6:14.0,B. Beal makes 2-pt layup from 1 ft (assist by O. Porter),,10,12
1,6:03.0,,H. Barnes misses 3-pt jump shot from 26 ft,10,12
1,6:01.0,Defensive rebound by B. Beal,,10,12
1,5:48.0,O. Porter makes 3-pt jump shot from 26 ft (assist by M. Morris),,13,12
1,5:24.0,,L. Dončić makes 2-pt layup from 1 ft,13,14
1,5:24.0,,Shooting foul by O. Porter (drawn by L. Dončić),13,14
1,5:24.0,K. Oubre enters the game for M. Morris,,13,14
1,5:24.0,,L. Dončić makes free throw 1 of 1,13,15
1,5:10.0,K. Oubre misses 3-pt jump shot from 23 ft,,13,15
1,5:07.0,,Defensive rebound by D. Finney-Smith,13,15
1,5:03.0,,D. Smith makes 2-pt dunk at rim,13,17
1,4:47.0,J. Wall makes 2-pt jump shot from 11 ft,,15,17
1,4:33.0,,D. Smith makes 2-pt layup from 1 ft,15,19
1,4:19.0,J. Wall misses 2-pt layup from 1 ft (block by D. Finney-Smith),,15,19
1,4:17.0,Offensive rebound by J. Wall,,15,19
1,4:17.0,J. Wall misses 2-pt layup at rim,,15,19
1,4:15.0,,Defensive rebound by D. Jordan,15,19
1,4:13.0,,L. Dončić makes 3-pt jump shot from 25 ft (assist by D. Jordan),15,22
1,4:12.0,Washington full timeout,,15,22
1,4:12.0,A. Rivers enters the game for O. Porter,,15,22
1,3:59.0,D. Howard misses 2-pt jump shot from 17 ft,,15,22
1,3:57.0,,Defensive rebound by H. Barnes,15,22
1,3:50.0,,D. Smith misses 2-pt jump shot from 8 ft,15,22
1,3:47.0,Defensive rebound by K. Oubre,,15,22
1,3:37.0,Turnover by J. Wall (bad pass),,15,22
1,3:37.0,,J. Barea enters the game for D. Smith,15,22
1,3:14.0,,L. Dončić makes 2-pt jump shot from 12 ft (assist by D. Jordan),15,24
1,2:51.0,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),,18,24
1,2:39.0,,Personal foul by B. Beal (drawn by H. Barnes),18,24
1,2:39.0,,H. Barnes makes free throw 1 of 2,18,25
1,2:39.0,J. Green enters the game for D. Howard,,18,25
1,2:39.0,T. Satoranský enters the game for J. Wall,,18,25
1,2:39.0,,D. Powell enters the game for D. Jordan,18,25
1,2:39.0,,H. Barnes makes free throw 2 of 2,18,26
1,2:18.0,A. Rivers makes 2-pt layup from 4 ft (assist by B. Beal),,20,26
1,2:08.0,,Turnover by L. Dončić (bad pass; steal by T. Satoranský),20,26
1,1:54.0,Turnover by A. Rivers (bad pass; steal by L. Dončić),,20,26
1,1:43.0,,J. Barea misses 2-pt jump shot from 19 ft,20,26
1,1:40.0,,Offensive rebound by H. Barnes,20,26
1,1:40.0,,H. Barnes makes 2-pt layup from 1 ft,20,28
1,1:18.0,A. Rivers makes 3-pt jump shot from 25 ft (assist by K. Oubre),,23,28
1,1:06.0,,J. Barea misses 3-pt jump shot from 27 ft,23,28
1,1:04.0,,Offensive rebound by D. Finney-Smith,23,28
1,1:01.0,,Shooting foul by K. Oubre (drawn by D. Finney-Smith),23,28
1,1:01.0,,D. Finney-Smith makes free throw 1 of 2,23,29
1,1:01.0,J. Smith enters the game for B. Beal,,23,29
1,1:01.0,,M. Kleber enters the game for H. Barnes,23,29
1,1:01.0,,W. Matthews enters the game for L. Dončić,23,29
1,1:01.0,,D. Finney-Smith makes free throw 2 of 2,23,30
1,0:45.0,A. Rivers misses 2-pt layup from 1 ft (block by D. Finney-Smith),,23,30
1,0:42.0,,Defensive rebound by D. Powell,23,30
1,0:31.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by J. Barea),23,33
1,0:10.0,Shooting foul by D. Finney-Smith (drawn by J. Green),,23,33
1,0:10.0,J. Green misses free throw 1 of 2,,23,33
1,0:10.0,Offensive rebound by Team,,23,33
1,0:10.0,J. Green makes free throw 2 of 2,,24,33
1,0:01.0,,J. Barea makes 2-pt layup from 1 ft,24,35
2,11:44.0,,Violation by Team (kicked ball),24,35
2,11:31.0,T. Satoranský misses 2-pt layup from 3 ft (block by D. Finney-Smith),,24,35
2,11:28.0,,Defensive rebound by M. Kleber,24,35
2,11:21.0,,Shooting foul by J. Smith (drawn by D. Powell),24,35
2,11:21.0,,D. Powell misses free throw 1 of 2,24,35
2,11:21.0,,Offensive rebound by Team,24,35
2,11:21.0,,D. Powell makes free throw 2 of 2,24,36
2,11:10.0,K. Oubre misses 3-pt jump shot from 25 ft,,24,36
2,11:08.0,Offensive rebound by Team,,24,36
2,11:01.0,J. Smith makes 2-pt jump shot from 18 ft (assist by A. Rivers),,26,36
2,10:45.0,,M. Kleber misses 3-pt jump shot from 26 ft,26,36
2,10:42.0,Defensive rebound by A. Rivers,,26,36
2,10:38.0,Offensive foul by J. Green (drawn by M. Kleber),,26,36
2,10:38.0,Turnover by J. Green (offensive foul),,26,36
2,10:22.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by J. Barea),26,39
2,10:01.0,Personal foul by M. Kleber (drawn by J. Smith),,26,39
2,10:01.0,M. Morris enters the game for J. Smith,,26,39
2,9:46.0,K. Oubre makes 2-pt jump shot from 16 ft (assist by M. Morris),,28,39
2,9:29.0,,W. Matthews makes 2-pt jump shot from 13 ft,28,41
2,9:18.0,A. Rivers misses 3-pt jump shot from 25 ft,,28,41
2,9:15.0,,Defensive rebound by W. Matthews,28,41
2,9:12.0,,D. Finney-Smith misses 2-pt jump shot from 5 ft,28,41
2,9:09.0,,Offensive rebound by M. Kleber,28,41
2,9:00.0,,W. Matthews makes 3-pt jump shot from 30 ft (assist by J. Barea),28,44
2,8:57.0,Washington full timeout,,28,44
2,8:57.0,J. Wall enters the game for T. Satoranský,,28,44
2,8:40.0,M. Morris makes 2-pt jump shot from 9 ft,,30,44
2,8:26.0,,D. Powell makes 2-pt dunk from 1 ft (assist by J. Barea),30,46
2,8:08.0,K. Oubre misses 2-pt layup at rim,,30,46
2,8:05.0,Offensive rebound by J. Green,,30,46
2,8:05.0,J. Green makes 2-pt layup at rim,,32,46
2,7:48.0,,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by J. Barea),32,49
2,7:35.0,J. Wall misses 2-pt layup from 1 ft,,32,49
2,7:33.0,,Defensive rebound by D. Powell,32,49
2,7:26.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by J. Barea),32,52
2,7:24.0,Washington full timeout,,32,52
2,7:24.0,B. Beal enters the game for J. Green,,32,52
2,7:24.0,D. Howard enters the game for K. Oubre,,32,52
2,7:24.0,O. Porter enters the game for A. Rivers,,32,52
2,7:17.0,Turnover by B. Beal (traveling),,32,52
2,6:55.0,,D. Powell misses 2-pt jump shot from 14 ft,32,52
2,6:55.0,Defensive rebound by D. Howard,,32,52
2,6:44.0,B. Beal misses 3-pt jump shot from 25 ft,,32,52
2,6:43.0,,Defensive rebound by Team,32,52
2,6:43.0,Loose ball foul by M. Morris (drawn by M. Kleber),,32,52
2,6:43.0,,H. Barnes enters the game for M. Kleber,32,52
2,6:43.0,,D. Jordan enters the game for W. Matthews,32,52
2,6:43.0,,D. Smith enters the game for D. Powell,32,52
2,6:28.0,,J. Barea makes 3-pt jump shot from 27 ft (assist by H. Barnes),32,55
2,6:13.0,D. Howard makes 2-pt dunk at rim (assist by O. Porter),,34,55
2,5:57.0,,D. Smith misses 2-pt layup from 1 ft,34,55
2,5:56.0,Defensive rebound by D. Howard,,34,55
2,5:51.0,Personal foul by H. Barnes (drawn by J. Wall),,34,55
2,5:51.0,,L. Dončić enters the game for J. Barea,34,55
2,5:42.0,M. Morris misses 2-pt hook shot from 9 ft,,34,55
2,5:39.0,,Defensive rebound by H. Barnes,34,55
2,5:33.0,,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by H. Barnes),34,58
2,5:17.0,B. Beal misses 2-pt jump shot from 14 ft,,34,58
2,5:13.0,,Defensive rebound by D. Jordan,34,58
2,5:09.0,,Turnover by L. Dončić (bad pass; steal by J. Wall),34,58
2,5:09.0,Personal foul by L. Dončić (drawn by B. Beal),,34,58
2,5:01.0,J. Wall makes 2-pt layup at rim,,36,58
2,5:00.0,,Dallas full timeout,36,58
2,5:00.0,,W. Matthews enters the game for D. Finney-Smith,36,58
2,4:50.0,,H. Barnes misses 3-pt jump shot from 25 ft,36,58
2,4:47.0,Defensive rebound by D. Howard,,36,58
2,4:38.0,J. Wall misses 2-pt jump shot from 9 ft,,36,58
2,4:36.0,,Defensive rebound by D. Jordan,36,58
2,4:33.0,,Turnover by D. Smith (out of bounds lost ball),36,58
2,4:22.0,Personal foul by H. Barnes (drawn by J. Wall),,36,58
2,4:12.0,O. Porter makes 2-pt jump shot from 17 ft (assist by D. Howard),,38,58
2,3:58.0,,Offensive foul by L. Dončić (drawn by O. Porter),38,58
2,3:58.0,,Turnover by L. Dončić (offensive foul),38,58
2,3:58.0,,M. Kleber enters the game for H. Barnes,38,58
2,3:48.0,J. Wall makes 3-pt jump shot from 24 ft (assist by B. Beal),,41,58
2,3:33.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Smith),41,61
2,3:16.0,M. Morris misses 3-pt jump shot from 22 ft,,41,61
2,3:14.0,,Defensive rebound by L. Dončić,41,61
2,3:05.0,,M. Kleber misses 3-pt jump shot from 23 ft,41,61
2,3:02.0,Defensive rebound by O. Porter,,41,61
2,2:58.0,J. Wall makes 2-pt layup from 1 ft (assist by O. Porter),,43,61
2,2:51.0,,D. Smith misses 2-pt layup from 1 ft (block by B. Beal),43,61
2,2:49.0,,Offensive rebound by D. Smith,43,61
2,2:46.0,,Def 3 sec tech foul by Team,43,61
2,2:46.0,,D. Smith makes technical free throw,43,62
2,2:39.0,,W. Matthews misses 3-pt jump shot from 25 ft,43,62
2,2:36.0,Defensive rebound by J. Wall,,43,62
2,2:31.0,B. Beal misses 3-pt jump shot from 25 ft,,43,62
2,2:28.0,,Defensive rebound by D. Jordan,43,62
2,2:16.0,,Personal foul by O. Porter (drawn by L. Dončić),43,62
2,2:10.0,,L. Dončić misses 3-pt jump shot from 25 ft,43,62
2,2:08.0,Defensive rebound by Team,,43,62
2,1:56.0,M. Morris makes 2-pt jump shot from 7 ft,,45,62
2,1:37.0,,L. Dončić makes 2-pt dunk from 1 ft (assist by D. Smith),45,64
2,1:18.0,J. Wall makes 2-pt layup from 1 ft,,47,64
2,1:02.0,,D. Smith makes 3-pt jump shot from 26 ft,47,67
2,0:52.0,Shooting foul by D. Jordan (drawn by B. Beal),,47,67
2,0:52.0,B. Beal makes free throw 1 of 2,,48,67
2,0:52.0,,D. Finney-Smith enters the game for W. Matthews,48,67
2,0:52.0,B. Beal makes free throw 2 of 2,,49,67
2,0:42.0,,M. Kleber misses 2-pt layup from 1 ft (block by O. Porter),49,67
2,0:41.0,Defensive rebound by D. Howard,,49,67
2,0:41.0,Turnover by D. Howard (bad pass),,49,67
2,0:31.0,,D. Smith misses 2-pt jump shot from 10 ft,49,67
2,0:30.0,Defensive rebound by B. Beal,,49,67
2,0:10.0,J. Wall misses 3-pt jump shot from 25 ft,,49,67
2,0:06.0,,Defensive rebound by D. Finney-Smith,49,67
2,0:00.0,,L. Dončić makes 3-pt jump shot from 25 ft (assist by D. Smith),49,70
2,0:00.0,M. Morris misses 3-pt jump shot from 53 ft,,49,70
2,0:00.0,Offensive rebound by Team,,49,70
3,11:52.0,B. Beal misses 3-pt jump shot from 25 ft,,49,70
3,11:49.0,,Defensive rebound by D. Smith,49,70
3,11:44.0,,Turnover by D. Jordan (bad pass),49,70
3,11:34.0,D. Howard misses 2-pt hook shot from 9 ft (block by D. Jordan),,49,70
3,11:30.0,,Defensive rebound by D. Jordan,49,70
3,11:22.0,,Personal foul by D. Howard (drawn by D. Jordan),49,70
3,11:09.0,,D. Jordan misses 2-pt jump shot from 10 ft,49,70
3,11:07.0,,Offensive rebound by L. Dončić,49,70
3,11:07.0,,Turnover by L. Dončić (bad pass; steal by O. Porter),49,70
3,11:00.0,O. Porter misses 2-pt jump shot from 9 ft,,49,70
3,10:58.0,,Defensive rebound by W. Matthews,49,70
3,10:46.0,,Personal foul by M. Morris (drawn by D. Smith),49,70
3,10:37.0,,H. Barnes misses 2-pt layup from 4 ft,49,70
3,10:35.0,,Offensive rebound by H. Barnes,49,70
3,10:28.0,,Turnover by D. Smith (bad pass; steal by O. Porter),49,70
3,10:21.0,J. Wall misses 2-pt layup from 1 ft,,49,70
3,10:18.0,Offensive rebound by D. Howard,,49,70
3,10:18.0,D. Howard makes 2-pt layup from 1 ft,,51,70
3,10:02.0,,Personal foul by D. Howard (drawn by D. Jordan),51,70
3,9:55.0,,W. Matthews misses 2-pt jump shot from 9 ft,51,70
3,9:53.0,Defensive rebound by J. Wall,,51,70
3,9:50.0,B. Beal makes 2-pt layup from 2 ft (assist by J. Wall),,53,70
3,9:50.0,,Violation by Team (def goaltending),53,70
3,9:38.0,,Personal foul by M. Morris (drawn by H. Barnes),53,70
3,9:38.0,K. Oubre enters the game for M. Morris,,53,70
3,9:23.0,,Turnover by Team (shot clock),53,70
3,9:08.0,B. Beal misses 2-pt jump shot from 15 ft,,53,70
3,9:06.0,,Defensive rebound by D. Jordan,53,70
3,8:56.0,,L. Dončić misses 3-pt jump shot from 26 ft,53,70
3,8:53.0,Defensive rebound by O. Porter,,53,70
3,8:47.0,O. Porter misses 2-pt jump shot from 16 ft,,53,70
3,8:44.0,,Defensive rebound by L. Dončić,53,70
3,8:28.0,,Turnover by H. Barnes (lost ball; steal by J. Wall),53,70
3,8:21.0,K. Oubre misses 3-pt jump shot from 23 ft,,53,70
3,8:20.0,Offensive rebound by D. Howard,,53,70
3,8:20.0,Shooting foul by W. Matthews (drawn by D. Howard),,53,70
3,8:20.0,D. Howard misses free throw 1 of 2,,53,70
3,8:20.0,Offensive rebound by Team,,53,70
3,8:20.0,D. Howard makes free throw 2 of 2,,54,70
3,8:02.0,,W. Matthews misses 3-pt jump shot from 25 ft,54,70
3,7:58.0,Defensive rebound by O. Porter,,54,70
3,7:52.0,Personal foul by D. Smith (drawn by D. Howard),,54,70
3,7:46.0,J. Wall makes 2-pt jump shot from 16 ft,,56,70
3,7:28.0,,L. Dončić makes 2-pt jump shot from 16 ft (assist by D. Jordan),56,72
3,7:08.0,B. Beal makes 2-pt jump shot from 21 ft (assist by O. Porter),,58,72
3,7:00.0,,Personal take foul by J. Wall (drawn by D. Smith),58,72
3,7:00.0,,D. Smith makes free throw 1 of 2,58,73
3,7:00.0,,D. Smith makes free throw 2 of 2,58,74
3,6:49.0,B. Beal misses 3-pt jump shot from 25 ft,,58,74
3,6:46.0,,Defensive rebound by H. Barnes,58,74
3,6:36.0,,W. Matthews misses 2-pt jump shot from 14 ft,58,74
3,6:33.0,Defensive rebound by D. Howard,,58,74
3,6:28.0,B. Beal makes 2-pt layup from 2 ft (assist by J. Wall),,60,74
3,6:28.0,,Dallas full timeout,60,74
