QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA LAKERS_ACTION,GOLDEN STATE_SCORE,LA LAKERS_SCORE
1,11:48.0,,Violation by Team (kicked ball),0,0
1,11:46.0,K. Thompson makes 2-pt jump shot from 20 ft (assist by K. Durant),,2,0
1,11:24.0,,T. Chandler misses 2-pt layup from 6 ft (block by K. Durant),2,0
1,11:24.0,,Offensive rebound by Team,2,0
1,11:19.0,,K. Kuzma misses 2-pt jump shot from 18 ft,2,0
1,11:18.0,,Offensive rebound by Team,2,0
1,11:18.0,,Turnover by Team (shot clock),2,0
1,11:01.0,Shooting foul by T. Chandler (drawn by D. Cousins),,2,0
1,11:01.0,D. Cousins makes free throw 1 of 2,,3,0
1,11:01.0,D. Cousins misses free throw 2 of 2,,3,0
1,10:59.0,,Defensive rebound by K. Kuzma,3,0
1,10:50.0,,J. Hart makes 3-pt jump shot from 27 ft,3,3
1,10:38.0,D. Green misses 2-pt layup from 3 ft,,3,3
1,10:36.0,,Defensive rebound by T. Chandler,3,3
1,10:26.0,,B. Ingram misses 2-pt jump shot from 20 ft,3,3
1,10:22.0,Defensive rebound by D. Cousins,,3,3
1,10:14.0,K. Durant makes 2-pt jump shot from 20 ft (assist by D. Cousins),,5,3
1,9:57.0,,Shooting foul by D. Cousins (drawn by T. Chandler),5,3
1,9:57.0,,T. Chandler misses free throw 1 of 2,5,3
1,9:57.0,,Offensive rebound by Team,5,3
1,9:57.0,,T. Chandler makes free throw 2 of 2,5,4
1,9:45.0,K. Thompson misses 2-pt jump shot from 19 ft,,5,4
1,9:43.0,,Defensive rebound by T. Chandler,5,4
1,9:28.0,,Turnover by K. Kuzma (bad pass; steal by D. Green),5,4
1,9:21.0,S. Curry misses 3-pt jump shot from 28 ft,,5,4
1,9:18.0,Offensive rebound by D. Cousins,,5,4
1,9:15.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Cousins),,8,4
1,9:07.0,,B. Ingram misses 2-pt jump shot from 18 ft,8,4
1,9:04.0,Defensive rebound by K. Thompson,,8,4
1,8:57.0,D. Cousins misses 3-pt jump shot from 26 ft,,8,4
1,8:54.0,,Defensive rebound by B. Ingram,8,4
1,8:49.0,,K. Kuzma misses 3-pt jump shot from 24 ft,8,4
1,8:46.0,Defensive rebound by K. Durant,,8,4
1,8:39.0,Turnover by K. Durant (bad pass),,8,4
1,8:21.0,,K. Kuzma misses 2-pt jump shot from 20 ft,8,4
1,8:17.0,Defensive rebound by K. Thompson,,8,4
1,8:13.0,K. Durant misses 3-pt jump shot from 28 ft,,8,4
1,8:08.0,,Defensive rebound by K. Caldwell-Pope,8,4
1,7:57.0,,Offensive foul by B. Ingram (drawn by D. Cousins),8,4
1,7:57.0,,Turnover by B. Ingram (offensive foul),8,4
1,7:57.0,,J. McGee enters the game for T. Chandler,8,4
1,7:44.0,K. Thompson makes 2-pt jump shot from 20 ft (assist by D. Green),,10,4
1,7:15.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,10,4
1,7:14.0,,Offensive rebound by Team,10,4
1,7:14.0,Loose ball foul by D. Cousins (drawn by J. McGee),,10,4
1,7:14.0,K. Looney enters the game for D. Cousins,,10,4
1,7:05.0,,J. McGee misses 2-pt layup from 5 ft,10,4
1,7:03.0,,Offensive rebound by J. Hart,10,4
1,7:01.0,,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by J. Hart),10,6
1,6:53.0,Offensive foul by K. Looney (drawn by K. Caldwell-Pope),,10,6
1,6:53.0,Turnover by K. Looney (offensive foul),,10,6
1,6:53.0,,LA Lakers full timeout,10,6
1,6:37.0,,B. Ingram makes 2-pt jump shot from 15 ft,10,8
1,6:11.0,D. Green misses 3-pt jump shot from 27 ft,,10,8
1,6:07.0,,Defensive rebound by J. Hart,10,8
1,5:56.0,,Shooting foul by S. Curry (drawn by B. Ingram),10,8
1,5:56.0,,B. Ingram makes free throw 1 of 2,10,9
1,5:56.0,,B. Ingram makes free throw 2 of 2,10,10
1,5:47.0,Shooting foul by J. Hart (drawn by D. Green),,10,10
1,5:47.0,D. Green makes free throw 1 of 2,,11,10
1,5:47.0,D. Green makes free throw 2 of 2,,12,10
1,5:34.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,12,10
1,5:31.0,Defensive rebound by K. Thompson,,12,10
1,5:22.0,K. Thompson misses 2-pt jump shot from 4 ft,,12,10
1,5:19.0,,Defensive rebound by J. McGee,12,10
1,5:16.0,,B. Ingram makes 2-pt jump shot from 3 ft,12,12
1,5:16.0,,Shooting foul by K. Thompson (drawn by B. Ingram),12,12
1,5:16.0,A. Iguodala enters the game for D. Green,,12,12
1,5:16.0,,B. Ingram misses free throw 1 of 1,12,12
1,5:13.0,,Offensive rebound by K. Kuzma,12,12
1,5:11.0,,K. Kuzma makes 2-pt layup from 1 ft,12,14
1,4:51.0,K. Thompson makes 2-pt layup from 3 ft (assist by K. Looney),,14,14
1,4:37.0,,K. Kuzma misses 2-pt layup from 5 ft (block by K. Durant),14,14
1,4:36.0,Defensive rebound by K. Looney,,14,14
1,4:32.0,,Violation by Team (kicked ball),14,14
1,4:24.0,A. Iguodala makes 2-pt dunk from 2 ft (assist by K. Looney),,16,14
1,4:04.0,,J. McGee makes 2-pt jump shot from 12 ft (assist by K. Caldwell-Pope),16,16
1,3:52.0,K. Thompson makes 2-pt jump shot from 14 ft (assist by S. Curry),,18,16
1,3:39.0,,K. Kuzma makes 2-pt layup from 2 ft,18,18
1,3:24.0,S. Curry makes 3-pt jump shot from 29 ft (assist by K. Durant),,21,18
1,3:17.0,,B. Ingram misses 2-pt jump shot from 14 ft,21,18
1,3:16.0,Defensive rebound by Team,,21,18
1,3:16.0,A. McKinnie enters the game for K. Thompson,,21,18
1,3:01.0,K. Looney makes 2-pt dunk from 4 ft (assist by A. Iguodala),,23,18
1,2:51.0,,K. Kuzma misses 2-pt layup from 2 ft,23,18
1,2:49.0,Defensive rebound by K. Durant,,23,18
1,2:46.0,K. Durant makes 2-pt dunk from 2 ft,,25,18
1,2:46.0,,LA Lakers full timeout,25,18
1,2:46.0,,M. Beasley enters the game for K. Caldwell-Pope,25,18
1,2:46.0,,L. Stephenson enters the game for K. Kuzma,25,18
1,2:35.0,,J. McGee makes 2-pt hook shot from 8 ft (assist by L. Stephenson),25,20
1,2:20.0,S. Curry misses 3-pt jump shot from 26 ft,,25,20
1,2:17.0,,Defensive rebound by J. McGee,25,20
1,2:09.0,,M. Beasley makes 2-pt jump shot from 4 ft,25,22
1,1:45.0,Shooting foul by J. Hart (drawn by S. Curry),,25,22
1,1:45.0,S. Curry makes free throw 1 of 2,,26,22
1,1:45.0,,S. Mykhailiuk enters the game for J. Hart,26,22
1,1:45.0,S. Curry makes free throw 2 of 2,,27,22
1,1:26.0,,M. Beasley misses 2-pt jump shot from 9 ft,27,22
1,1:23.0,Defensive rebound by K. Durant,,27,22
1,1:16.0,K. Durant misses 2-pt jump shot from 14 ft,,27,22
1,1:12.0,,Defensive rebound by B. Ingram,27,22
1,1:04.0,,J. McGee misses 2-pt layup from 5 ft (block by A. Iguodala),27,22
1,1:01.0,Defensive rebound by K. Looney,,27,22
1,1:01.0,Shooting foul by L. Stephenson (drawn by K. Durant),,27,22
1,1:01.0,K. Durant makes free throw 1 of 2,,28,22
1,1:01.0,K. Durant makes free throw 2 of 2,,29,22
1,0:48.0,,J. McGee misses 2-pt hook shot from 5 ft,29,22
1,0:45.0,Defensive rebound by S. Curry,,29,22
1,0:38.0,Personal foul by S. Mykhailiuk (drawn by A. McKinnie),,29,22
1,0:38.0,A. McKinnie misses free throw 1 of 2,,29,22
1,0:38.0,Offensive rebound by Team,,29,22
1,0:38.0,A. McKinnie misses free throw 2 of 2,,29,22
1,0:36.0,Offensive rebound by K. Looney,,29,22
1,0:34.0,A. McKinnie misses 2-pt layup from 1 ft (block by M. Beasley),,29,22
1,0:30.0,,Defensive rebound by M. Beasley,29,22
1,0:22.0,,M. Beasley makes 2-pt layup from 3 ft (assist by J. McGee),29,24
1,0:06.0,S. Curry misses 3-pt jump shot from 24 ft,,29,24
1,0:02.0,Offensive rebound by K. Looney,,29,24
1,0:01.0,K. Looney misses 2-pt jump shot from 9 ft,,29,24
1,0:00.0,,Defensive rebound by S. Mykhailiuk,29,24
2,11:48.0,,M. Beasley makes 2-pt dunk from 1 ft,29,26
2,11:29.0,Shooting foul by S. Mykhailiuk (drawn by D. Cousins),,29,26
2,11:29.0,D. Cousins makes free throw 1 of 2,,30,26
2,11:29.0,D. Cousins makes free throw 2 of 2,,31,26
2,11:12.0,,L. Stephenson misses 3-pt jump shot from 27 ft,31,26
2,11:08.0,,Offensive rebound by Team,31,26
2,11:01.0,,K. Kuzma misses 3-pt jump shot from 27 ft,31,26
2,10:58.0,Defensive rebound by S. Livingston,,31,26
2,10:52.0,Personal foul by K. Kuzma (drawn by D. Green),,31,26
2,10:40.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Cousins),,34,26
2,10:19.0,,I. Zubac makes 2-pt dunk from 2 ft (assist by K. Kuzma),34,28
2,10:14.0,D. Cousins makes 2-pt dunk from 3 ft (assist by S. Livingston),,36,28
2,10:05.0,,L. Stephenson misses 2-pt layup from 2 ft (block by K. Thompson),36,28
2,10:03.0,Defensive rebound by Team,,36,28
2,10:00.0,S. Livingston makes 2-pt dunk from 3 ft (assist by D. Green),,38,28
2,9:59.0,,LA Lakers full timeout,38,28
2,9:59.0,,B. Ingram enters the game for L. Stephenson,38,28
2,9:49.0,,S. Mykhailiuk misses 3-pt jump shot from 25 ft,38,28
2,9:46.0,Defensive rebound by D. Green,,38,28
2,9:28.0,D. Green misses 3-pt jump shot from 25 ft,,38,28
2,9:25.0,,Defensive rebound by B. Ingram,38,28
2,9:18.0,,Personal foul by S. Livingston (drawn by I. Zubac),38,28
2,9:09.0,,M. Beasley makes 2-pt jump shot from 13 ft,38,30
2,8:57.0,K. Thompson makes 3-pt jump shot from 28 ft (assist by D. Green),,41,30
2,8:43.0,,B. Ingram makes 2-pt layup from 3 ft,41,32
2,8:24.0,S. Livingston makes 2-pt layup from 2 ft (assist by K. Thompson),,43,32
2,8:09.0,,Turnover by M. Beasley (bad pass; steal by A. Iguodala),43,32
2,8:03.0,D. Cousins makes 2-pt layup from 2 ft,,45,32
2,7:36.0,,K. Kuzma misses 2-pt jump shot from 4 ft,45,32
2,7:34.0,Defensive rebound by D. Cousins,,45,32
2,7:25.0,D. Cousins misses 2-pt jump shot from 4 ft (block by I. Zubac),,45,32
2,7:22.0,Offensive rebound by D. Cousins,,45,32
2,7:11.0,Turnover by Team (shot clock),,45,32
2,7:11.0,,K. Caldwell-Pope enters the game for M. Beasley,45,32
2,7:11.0,,J. Hart enters the game for S. Mykhailiuk,45,32
2,6:58.0,,I. Zubac makes 2-pt hook shot from 3 ft (assist by B. Ingram),45,34
2,6:44.0,K. Thompson makes 2-pt layup from 3 ft (assist by D. Green),,47,34
2,6:30.0,,B. Ingram makes 3-pt jump shot from 27 ft,47,37
2,6:21.0,Turnover by D. Green (bad pass),,47,37
2,6:21.0,A. McKinnie enters the game for A. Iguodala,,47,37
2,6:14.0,,Offensive foul by I. Zubac (drawn by D. Green),47,37
2,6:14.0,,Turnover by I. Zubac (offensive foul),47,37
2,6:14.0,S. Curry enters the game for D. Cousins,,47,37
2,6:14.0,K. Durant enters the game for D. Green,,47,37
2,6:14.0,K. Looney enters the game for K. Thompson,,47,37
2,5:56.0,A. McKinnie misses 3-pt jump shot from 24 ft,,47,37
2,5:53.0,,Defensive rebound by I. Zubac,47,37
2,5:41.0,,J. Hart makes 3-pt jump shot from 25 ft (assist by K. Kuzma),47,40
2,5:41.0,Golden State full timeout,,47,40
2,5:26.0,K. Looney misses 2-pt layup from 2 ft,,47,40
2,5:24.0,,Defensive rebound by I. Zubac,47,40
2,5:23.0,,Turnover by I. Zubac (lost ball; steal by K. Looney),47,40
2,5:19.0,K. Durant makes 2-pt jump shot from 7 ft (assist by K. Looney),,49,40
2,5:03.0,,Turnover by J. Hart (bad pass),49,40
2,4:52.0,A. McKinnie makes 3-pt jump shot from 24 ft (assist by S. Curry),,52,40
2,4:37.0,,I. Zubac makes 2-pt hook shot from 4 ft (assist by B. Ingram),52,42
2,4:22.0,A. McKinnie makes 3-pt jump shot from 26 ft (assist by S. Curry),,55,42
2,4:08.0,,K. Kuzma makes 2-pt jump shot from 2 ft,55,44
2,4:08.0,,Shooting foul by A. McKinnie (drawn by K. Kuzma),55,44
2,4:08.0,D. Green enters the game for S. Livingston,,55,44
2,4:08.0,K. Thompson enters the game for A. McKinnie,,55,44
2,4:08.0,,K. Kuzma makes free throw 1 of 1,55,45
2,3:59.0,S. Curry makes 2-pt layup from 2 ft,,57,45
2,3:59.0,Shooting foul by I. Zubac (drawn by S. Curry),,57,45
2,3:59.0,A. Iguodala enters the game for K. Looney,,57,45
2,3:59.0,S. Curry makes free throw 1 of 1,,58,45
2,3:38.0,,K. Kuzma makes 2-pt jump shot from 12 ft,58,47
2,3:23.0,S. Curry misses 3-pt jump shot from 26 ft,,58,47
2,3:21.0,,Defensive rebound by B. Ingram,58,47
2,3:16.0,,K. Kuzma misses 2-pt jump shot from 22 ft,58,47
2,3:11.0,,Offensive rebound by K. Caldwell-Pope,58,47
2,3:10.0,,I. Zubac makes 2-pt dunk from 2 ft (assist by K. Caldwell-Pope),58,49
2,2:49.0,Personal foul by K. Caldwell-Pope (drawn by S. Curry),,58,49
2,2:35.0,A. Iguodala makes 2-pt dunk from 2 ft (assist by D. Green),,60,49
2,2:27.0,,Personal foul by K. Thompson (drawn by B. Ingram),60,49
2,2:14.0,,B. Ingram misses 2-pt jump shot from 10 ft,60,49
2,2:12.0,Defensive rebound by K. Durant,,60,49
2,2:07.0,Turnover by A. Iguodala (traveling),,60,49
2,1:55.0,,Shooting foul by S. Curry (drawn by K. Caldwell-Pope),60,49
2,1:55.0,,K. Caldwell-Pope makes free throw 1 of 2,60,50
2,1:55.0,,K. Caldwell-Pope makes free throw 2 of 2,60,51
2,1:44.0,Shooting foul by I. Zubac (drawn by D. Green),,60,51
2,1:44.0,D. Green makes free throw 1 of 2,,61,51
2,1:44.0,,J. McGee enters the game for I. Zubac,61,51
2,1:44.0,D. Green misses free throw 2 of 2,,61,51
2,1:42.0,,Defensive rebound by J. McGee,61,51
2,1:17.0,,Turnover by K. Caldwell-Pope (bad pass; steal by D. Green),61,51
2,1:16.0,K. Thompson makes 2-pt dunk from 1 ft (assist by D. Green),,63,51
2,1:07.0,,B. Ingram misses 2-pt layup from 2 ft (block by K. Durant),63,51
2,1:04.0,Defensive rebound by S. Curry,,63,51
2,0:54.0,S. Curry misses 3-pt jump shot from 24 ft,,63,51
2,0:52.0,,Defensive rebound by J. McGee,63,51
2,0:45.0,,K. Kuzma makes 2-pt jump shot from 14 ft,63,53
2,0:40.0,Turnover by K. Durant (out of bounds lost ball),,63,53
2,0:40.0,,S. Mykhailiuk enters the game for K. Caldwell-Pope,63,53
2,0:33.0,,B. Ingram makes 2-pt jump shot from 5 ft,63,55
2,0:14.0,K. Durant makes 2-pt jump shot from 16 ft (assist by S. Curry),,65,55
2,0:05.0,,K. Kuzma misses 3-pt jump shot from 25 ft,65,55
2,0:03.0,Defensive rebound by A. Iguodala,,65,55
2,0:00.0,S. Curry misses 3-pt jump shot from 39 ft,,65,55
2,0:00.0,Offensive rebound by Team,,65,55
3,11:50.0,,Turnover by K. Caldwell-Pope (step out of bounds),65,55
3,11:38.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),,68,55
3,11:38.0,Away from play foul by J. Hart (drawn by D. Cousins),,68,55
3,11:38.0,D. Cousins makes free throw 1 of 1,,69,55
3,11:25.0,,B. Ingram misses 2-pt layup from 2 ft,69,55
3,11:21.0,Defensive rebound by D. Cousins,,69,55
3,11:14.0,K. Durant misses 2-pt jump shot from 13 ft,,69,55
3,11:12.0,,Defensive rebound by T. Chandler,69,55
3,11:03.0,,B. Ingram misses 2-pt jump shot from 14 ft,69,55
3,11:01.0,Defensive rebound by D. Cousins,,69,55
3,10:51.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Cousins),,72,55
3,10:35.0,,Turnover by K. Kuzma (bad pass),72,55
3,10:35.0,,Loose ball foul by J. Hart (drawn by K. Thompson),72,55
3,10:20.0,D. Cousins misses 3-pt jump shot from 27 ft,,72,55
3,10:17.0,,Defensive rebound by B. Ingram,72,55
3,10:16.0,,K. Kuzma makes 2-pt layup from 3 ft (assist by B. Ingram),72,57
3,10:16.0,,Shooting foul by D. Green (drawn by K. Kuzma),72,57
3,10:16.0,,K. Kuzma makes free throw 1 of 1,72,58
3,10:10.0,K. Thompson makes 3-pt jump shot from 27 ft (assist by S. Curry),,75,58
3,9:55.0,,B. Ingram makes 2-pt jump shot from 18 ft,75,60
3,9:46.0,K. Thompson makes 2-pt layup from 1 ft (assist by S. Curry),,77,60
3,9:39.0,,K. Kuzma misses 3-pt jump shot from 25 ft,77,60
3,9:36.0,Defensive rebound by S. Curry,,77,60
