QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DALLAS_ACTION,MINNESOTA_SCORE,DALLAS_SCORE
1,11:46.0,,Personal foul by K. Towns (drawn by L. Dončić),0,0
1,11:42.0,,Turnover by L. Dončić (traveling),0,0
1,11:25.0,K. Towns misses 2-pt hook shot from 7 ft,,0,0
1,11:22.0,,Defensive rebound by D. Jordan,0,0
1,11:06.0,,L. Dončić misses 2-pt jump shot from 8 ft,0,0
1,11:03.0,,Offensive rebound by D. Finney-Smith,0,0
1,10:54.0,,L. Dončić misses 3-pt jump shot from 26 ft,0,0
1,10:51.0,Defensive rebound by A. Wiggins,,0,0
1,10:44.0,A. Wiggins makes 2-pt jump shot from 15 ft,,2,0
1,10:30.0,,W. Matthews misses 3-pt jump shot from 26 ft,2,0
1,10:27.0,Defensive rebound by J. Okogie,,2,0
1,10:24.0,T. Gibson makes 2-pt layup from 2 ft (assist by J. Okogie),,4,0
1,10:24.0,Shooting foul by W. Matthews (drawn by T. Gibson),,4,0
1,10:24.0,T. Gibson makes free throw 1 of 1,,5,0
1,10:12.0,,D. Smith makes 2-pt jump shot from 19 ft,5,2
1,10:00.0,J. Teague misses 2-pt jump shot from 5 ft,,5,2
1,9:55.0,,Defensive rebound by D. Smith,5,2
1,9:51.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),5,4
1,9:39.0,K. Towns misses 2-pt jump shot from 3 ft,,5,4
1,9:37.0,,Defensive rebound by L. Dončić,5,4
1,9:32.0,,Turnover by L. Dončić (lost ball; steal by T. Gibson),5,4
1,9:26.0,J. Teague makes 3-pt jump shot from 27 ft,,8,4
1,9:07.0,,W. Matthews misses 2-pt jump shot from 11 ft,8,4
1,9:03.0,Defensive rebound by J. Teague,,8,4
1,8:57.0,A. Wiggins makes 3-pt jump shot from 28 ft (assist by J. Teague),,11,4
1,8:56.0,,Dallas full timeout,11,4
1,8:42.0,,W. Matthews makes 2-pt hook shot from 2 ft (assist by D. Finney-Smith),11,6
1,8:15.0,T. Gibson makes 2-pt hook shot from 4 ft,,13,6
1,8:05.0,,D. Finney-Smith misses 3-pt jump shot from 26 ft,13,6
1,8:02.0,,Offensive rebound by W. Matthews,13,6
1,7:59.0,,D. Smith misses 3-pt jump shot from 28 ft,13,6
1,7:55.0,Defensive rebound by J. Okogie,,13,6
