QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA CLIPPERS_ACTION,GOLDEN STATE_SCORE,LA CLIPPERS_SCORE
1,11:49.0,S. Curry misses 3-pt jump shot from 25 ft,,0,0
1,11:44.0,Offensive rebound by D. Green,,0,0
1,11:44.0,D. Green misses 2-pt layup at rim,,0,0
1,11:43.0,Offensive rebound by D. Green,,0,0
1,11:43.0,D. Green makes 2-pt layup at rim,,2,0
1,11:25.0,,D. Gallinari makes 2-pt jump shot from 11 ft (assist by P. Beverley),2,2
1,11:15.0,S. Livingston misses 2-pt layup from 2 ft,,2,2
1,11:12.0,,Defensive rebound by S. Gilgeous-Alexander,2,2
1,10:56.0,,P. Beverley makes 2-pt layup from 1 ft,2,4
1,10:41.0,D. Green misses 2-pt hook shot from 6 ft (block by P. Beverley),,2,4
1,10:39.0,,Defensive rebound by D. Gallinari,2,4
1,10:31.0,,Shooting foul by S. Livingston (drawn by L. Shamet),2,4
1,10:31.0,,L. Shamet makes free throw 1 of 3,2,5
1,10:31.0,,L. Shamet makes free throw 2 of 3,2,6
1,10:31.0,,L. Shamet makes free throw 3 of 3,2,7
1,10:21.0,K. Durant makes 2-pt jump shot from 17 ft (assist by S. Livingston),,4,7
1,10:12.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 3 ft,4,9
1,10:00.0,S. Curry misses 2-pt layup from 2 ft,,4,9
1,9:58.0,Offensive rebound by D. Green,,4,9
1,9:58.0,D. Green misses 2-pt layup at rim,,4,9
1,9:57.0,Offensive rebound by S. Livingston,,4,9
1,9:57.0,S. Livingston misses 2-pt layup at rim,,4,9
1,9:57.0,Offensive rebound by D. Green,,4,9
1,9:52.0,D. Green makes 2-pt layup at rim,,6,9
1,9:46.0,,L. Shamet misses 3-pt jump shot from 25 ft,6,9
1,9:44.0,Defensive rebound by D. Green,,6,9
1,9:37.0,K. Thompson misses 3-pt jump shot from 26 ft,,6,9
1,9:35.0,,Defensive rebound by P. Beverley,6,9
1,9:15.0,,D. Gallinari misses 2-pt layup from 3 ft,6,9
1,9:14.0,Defensive rebound by K. Thompson,,6,9
1,9:01.0,S. Livingston misses 2-pt jump shot from 15 ft (block by P. Beverley),,6,9
1,8:57.0,,Defensive rebound by L. Shamet,6,9
1,8:57.0,,L. Shamet misses 2-pt layup from 2 ft (block by D. Green),6,9
1,8:50.0,Defensive rebound by K. Thompson,,6,9
1,8:46.0,K. Durant makes 2-pt jump shot from 12 ft,,8,9
1,8:33.0,,Personal foul by D. Green (drawn by S. Gilgeous-Alexander),8,9
1,8:22.0,,P. Beverley makes 2-pt jump shot from 3 ft,8,11
1,8:09.0,K. Durant misses 3-pt jump shot from 24 ft,,8,11
1,8:07.0,,Defensive rebound by S. Gilgeous-Alexander,8,11
1,8:01.0,,S. Gilgeous-Alexander misses 2-pt layup from 2 ft,8,11
1,7:58.0,,Offensive rebound by D. Gallinari,8,11
1,7:58.0,,D. Gallinari misses 2-pt layup from 1 ft,8,11
1,7:56.0,,Offensive rebound by D. Gallinari,8,11
1,7:56.0,,D. Gallinari makes 2-pt layup from 1 ft,8,13
1,7:53.0,Golden State full timeout,,8,13
1,7:45.0,K. Thompson misses 2-pt layup from 3 ft (block by D. Gallinari),,8,13
1,7:42.0,,Defensive rebound by J. Green,8,13
1,7:39.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 16 ft (assist by P. Beverley),8,15
1,7:20.0,D. Green misses 3-pt jump shot from 27 ft,,8,15
1,7:16.0,,Defensive rebound by P. Beverley,8,15
1,7:13.0,,Offensive foul by P. Beverley (drawn by D. Green),8,15
1,7:13.0,,Turnover by P. Beverley (offensive foul),8,15
1,7:03.0,K. Durant misses 3-pt jump shot from 28 ft,,8,15
1,7:00.0,,Defensive rebound by P. Beverley,8,15
1,6:55.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 26 ft (assist by P. Beverley),8,18
1,6:43.0,S. Curry makes 2-pt layup from 1 ft,,10,18
1,6:31.0,,Personal foul by S. Curry (drawn by P. Beverley),10,18
