QUARTER,TIME_REMAINING,ORLANDO_ACTION,MIAMI_ACTION,ORLANDO_SCORE,MIAMI_SCORE
1,11:44.0,J. Isaac misses 3-pt jump shot from 26 ft,,0,0
1,11:41.0,,Defensive rebound by B. Adebayo,0,0
1,11:32.0,,J. Richardson makes 3-pt jump shot from 26 ft (assist by D. Waiters),0,3
1,11:17.0,A. Gordon misses 3-pt jump shot from 23 ft,,0,3
1,11:13.0,,Defensive rebound by D. Jones,0,3
1,11:07.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Richardson),0,5
1,10:49.0,E. Fournier makes 3-pt jump shot from 24 ft (assist by J. Isaac),,3,5
1,10:24.0,,D. Jones makes 2-pt layup from 2 ft (assist by J. Richardson),3,7
1,10:09.0,J. Isaac misses 3-pt jump shot from 23 ft,,3,7
1,10:03.0,Offensive rebound by A. Gordon,,3,7
1,10:03.0,A. Gordon misses 2-pt layup from 1 ft,,3,7
1,10:03.0,Offensive rebound by A. Gordon,,3,7
1,10:00.0,E. Fournier misses 3-pt jump shot from 26 ft,,3,7
1,9:58.0,,Defensive rebound by K. Olynyk,3,7
1,9:48.0,,Offensive foul by K. Olynyk (drawn by D. Augustin),3,7
1,9:48.0,,Turnover by K. Olynyk (offensive foul),3,7
1,9:32.0,E. Fournier misses 2-pt layup from 1 ft (block by D. Jones),,3,7
1,9:32.0,Offensive rebound by Team,,3,7
1,9:22.0,D. Augustin misses 3-pt jump shot from 26 ft,,3,7
1,9:22.0,,Defensive rebound by Team,3,7
1,9:07.0,,B. Adebayo misses 2-pt jump shot from 13 ft,3,7
1,9:04.0,,Offensive rebound by B. Adebayo,3,7
1,8:59.0,,D. Waiters misses 3-pt jump shot from 24 ft,3,7
1,8:57.0,Defensive rebound by N. Vučević,,3,7
1,8:48.0,A. Gordon misses 2-pt layup from 2 ft,,3,7
1,8:46.0,,Defensive rebound by D. Jones,3,7
1,8:40.0,,D. Waiters makes 2-pt layup from 1 ft,3,9
1,8:40.0,,Shooting foul by J. Isaac (drawn by D. Waiters),3,9
1,8:40.0,,D. Waiters makes free throw 1 of 1,3,10
1,8:31.0,Turnover by J. Isaac (bad pass; steal by B. Adebayo),,3,10
1,8:18.0,,K. Olynyk misses 2-pt jump shot from 21 ft,3,10
1,8:16.0,,Offensive rebound by B. Adebayo,3,10
1,8:08.0,,D. Jones misses 2-pt jump shot from 10 ft,3,10
1,8:06.0,Defensive rebound by A. Gordon,,3,10
1,8:00.0,A. Gordon makes 2-pt dunk from 1 ft,,5,10
1,7:49.0,,J. Richardson makes 2-pt dunk from 1 ft (assist by B. Adebayo),5,12
1,7:33.0,Turnover by N. Vučević (lost ball; steal by J. Richardson),,5,12
1,7:17.0,,D. Waiters makes 2-pt layup from 1 ft,5,14
1,7:12.0,Orlando full timeout,,5,14
1,7:00.0,J. Isaac makes 2-pt hook shot from 4 ft (assist by E. Fournier),,7,14
1,6:46.0,,Offensive foul by B. Adebayo (drawn by D. Augustin),7,14
1,6:46.0,,Turnover by B. Adebayo (offensive foul),7,14
1,6:35.0,N. Vučević makes 2-pt hook shot from 7 ft (assist by D. Augustin),,9,14
1,6:09.0,,B. Adebayo makes 2-pt jump shot from 12 ft,9,16
1,5:58.0,Personal foul by D. Waiters (drawn by E. Fournier),,9,16
1,5:58.0,W. Iwundu enters the game for A. Gordon,,9,16
1,5:58.0,,D. Wade enters the game for J. Richardson,9,16
1,5:51.0,J. Isaac misses 3-pt jump shot from 25 ft,,9,16
1,5:49.0,,Defensive rebound by D. Jones,9,16
1,5:47.0,,D. Jones misses 2-pt layup from 2 ft,9,16
1,5:45.0,,Offensive rebound by D. Jones,9,16
1,5:44.0,,D. Jones misses 2-pt layup at rim,9,16
1,5:43.0,,Offensive rebound by D. Jones,9,16
1,5:42.0,,D. Jones makes 2-pt layup at rim,9,18
1,5:24.0,N. Vučević misses 2-pt jump shot from 6 ft,,9,18
1,5:21.0,Offensive rebound by N. Vučević,,9,18
1,5:21.0,N. Vučević misses 2-pt layup from 1 ft,,9,18
1,5:21.0,Offensive rebound by D. Augustin,,9,18
1,5:13.0,D. Augustin makes 2-pt layup from 1 ft,,11,18
1,5:11.0,,Personal foul by J. Isaac (drawn by K. Olynyk),11,18
1,5:11.0,,J. Johnson enters the game for B. Adebayo,11,18
1,5:04.0,,K. Olynyk misses 3-pt jump shot from 26 ft,11,18
1,5:00.0,Defensive rebound by E. Fournier,,11,18
1,4:52.0,J. Isaac misses 3-pt jump shot from 24 ft,,11,18
1,4:48.0,,Defensive rebound by D. Jones,11,18
1,4:36.0,,D. Waiters misses 3-pt jump shot from 23 ft,11,18
1,4:34.0,Defensive rebound by N. Vučević,,11,18
1,4:28.0,Shooting foul by D. Wade (drawn by D. Augustin),,11,18
1,4:28.0,D. Augustin makes free throw 1 of 2,,12,18
1,4:28.0,T. Ross enters the game for E. Fournier,,12,18
1,4:28.0,,G. Dragić enters the game for D. Waiters,12,18
1,4:28.0,D. Augustin makes free throw 2 of 2,,13,18
1,4:16.0,,J. Johnson misses 2-pt jump shot from 11 ft,13,18
1,4:13.0,Defensive rebound by N. Vučević,,13,18
1,4:07.0,N. Vučević makes 2-pt layup from 2 ft (assist by D. Augustin),,15,18
1,3:51.0,,D. Wade misses 2-pt layup from 1 ft (block by N. Vučević),15,18
1,3:51.0,,Offensive rebound by Team,15,18
1,3:51.0,M. Carter-Williams enters the game for D. Augustin,,15,18
1,3:42.0,,D. Wade misses 2-pt jump shot from 15 ft,15,18
1,3:39.0,Defensive rebound by N. Vučević,,15,18
1,3:34.0,Turnover by J. Isaac (bad pass),,15,18
1,3:16.0,,Shooting foul by W. Iwundu (drawn by D. Wade),15,18
1,3:16.0,,D. Wade makes free throw 1 of 2,15,19
1,3:16.0,A. Gordon enters the game for J. Isaac,,15,19
1,3:16.0,,D. Wade makes free throw 2 of 2,15,20
1,3:05.0,A. Gordon makes 3-pt jump shot from 24 ft (assist by N. Vučević),,18,20
1,3:03.0,,Miami full timeout,18,20
1,3:03.0,K. Birch enters the game for N. Vučević,,18,20
1,3:03.0,,J. Richardson enters the game for D. Jones,18,20
1,3:03.0,,H. Whiteside enters the game for K. Olynyk,18,20
1,2:46.0,,G. Dragić makes 2-pt layup from 1 ft (assist by D. Wade),18,22
1,2:22.0,A. Gordon misses 2-pt jump shot from 20 ft,,18,22
1,2:17.0,Offensive rebound by K. Birch,,18,22
1,2:15.0,W. Iwundu misses 2-pt jump shot from 17 ft,,18,22
1,2:13.0,,Defensive rebound by J. Johnson,18,22
1,2:09.0,,Turnover by G. Dragić (bad pass; steal by A. Gordon),18,22
1,2:07.0,Turnover by K. Birch (bad pass; steal by H. Whiteside),,18,22
1,2:05.0,,H. Whiteside misses 2-pt dunk from 2 ft,18,22
1,2:04.0,Defensive rebound by A. Gordon,,18,22
1,1:53.0,M. Carter-Williams misses 3-pt jump shot from 28 ft,,18,22
1,1:51.0,,Defensive rebound by H. Whiteside,18,22
