QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MILWAUKEE_ACTION,OKLAHOMA CITY_SCORE,MILWAUKEE_SCORE
1,11:39.0,S. Adams misses 2-pt hook shot from 2 ft,,0,0
1,11:37.0,,Defensive rebound by K. Middleton,0,0
1,11:21.0,,D. Wilson makes 2-pt layup from 2 ft (assist by K. Middleton),0,2
1,11:08.0,T. Ferguson makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,3,2
1,10:59.0,,D. Wilson makes 3-pt jump shot from 25 ft (assist by T. Frazier),3,5
1,10:48.0,J. Grant misses 2-pt jump shot from 14 ft,,3,5
1,10:46.0,,Defensive rebound by D. Wilson,3,5
1,10:41.0,,T. Frazier makes 3-pt jump shot from 26 ft,3,8
1,10:29.0,Turnover by R. Westbrook (bad pass; steal by K. Middleton),,3,8
1,10:18.0,,Turnover by T. Frazier (bad pass),3,8
1,10:06.0,D. Schröder misses 2-pt layup from 2 ft,,3,8
1,10:04.0,,Defensive rebound by E. İlyasova,3,8
1,9:54.0,,E. İlyasova misses 3-pt jump shot from 26 ft,3,8
1,9:51.0,Defensive rebound by R. Westbrook,,3,8
1,9:48.0,T. Ferguson misses 3-pt jump shot from 24 ft,,3,8
1,9:45.0,,Defensive rebound by E. İlyasova,3,8
1,9:33.0,,K. Middleton misses 3-pt jump shot from 27 ft,3,8
1,9:30.0,Defensive rebound by D. Schröder,,3,8
1,9:29.0,Personal take foul by K. Middleton (drawn by S. Adams),,3,8
1,9:20.0,R. Westbrook makes 3-pt jump shot from 24 ft (assist by T. Ferguson),,6,8
1,9:02.0,,T. Frazier misses 2-pt layup from 4 ft,6,8
1,8:58.0,Defensive rebound by T. Ferguson,,6,8
1,8:55.0,Shooting foul by E. İlyasova (drawn by J. Grant),,6,8
1,8:55.0,J. Grant makes free throw 1 of 2,,7,8
1,8:55.0,J. Grant makes free throw 2 of 2,,8,8
1,8:44.0,,D. Wilson makes 2-pt dunk from 2 ft (assist by K. Middleton),8,10
1,8:27.0,R. Westbrook misses 3-pt jump shot from 27 ft,,8,10
1,8:25.0,,Defensive rebound by E. İlyasova,8,10
1,8:16.0,,T. Frazier misses 2-pt layup from 3 ft,8,10
1,8:16.0,,Offensive rebound by T. Frazier,8,10
1,8:16.0,,Personal foul by S. Adams (drawn by T. Frazier),8,10
1,8:16.0,,Milwaukee full timeout,8,10
1,8:06.0,,K. Middleton makes 2-pt jump shot from 18 ft (assist by D. Wilson),8,12
1,7:52.0,S. Adams misses 2-pt layup from 2 ft,,8,12
1,7:50.0,,Defensive rebound by E. İlyasova,8,12
1,7:43.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by T. Frazier),8,15
1,7:27.0,J. Grant makes 2-pt jump shot from 17 ft (assist by R. Westbrook),,10,15
1,7:14.0,,B. Colson makes 3-pt jump shot from 27 ft (assist by K. Middleton),10,18
1,7:02.0,D. Schröder makes 3-pt jump shot from 27 ft (assist by R. Westbrook),,13,18
1,6:45.0,,D. Wilson misses 2-pt jump shot from 8 ft,13,18
1,6:45.0,,Offensive rebound by Team,13,18
1,6:45.0,Loose ball foul by D. Schröder (drawn by T. Frazier),,13,18
1,6:45.0,N. Noel enters the game for S. Adams,,13,18
1,6:45.0,,S. Brown enters the game for E. İlyasova,13,18
1,6:45.0,,P. Connaughton enters the game for K. Middleton,13,18
