QUARTER,TIME_REMAINING,CHICAGO_ACTION,SAN ANTONIO_ACTION,CHICAGO_SCORE,SAN ANTONIO_SCORE
1,11:36.0,K. Dunn misses 2-pt layup at rim,,0,0
1,11:34.0,,Defensive rebound by L. Aldridge,0,0
1,11:24.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by B. Forbes),0,2
1,11:04.0,L. Markkanen makes 3-pt jump shot from 28 ft (assist by R. Arcidiacono),,3,2
1,10:40.0,,Turnover by D. DeRozan (bad pass; steal by J. Holiday),3,2
1,10:36.0,R. Arcidiacono misses 3-pt jump shot from 23 ft,,3,2
1,10:34.0,,Defensive rebound by Team,3,2
1,10:34.0,Loose ball foul by W. Carter (drawn by D. White),,3,2
1,10:19.0,,L. Aldridge makes 2-pt jump shot at rim (assist by R. Gay),3,4
1,10:03.0,W. Carter makes 2-pt layup from 1 ft (assist by L. Markkanen),,5,4
1,9:51.0,,D. DeRozan makes 2-pt layup from 1 ft,5,6
1,9:31.0,J. Holiday misses 2-pt layup at rim,,5,6
1,9:29.0,Offensive rebound by R. Arcidiacono,,5,6
1,9:25.0,J. Holiday misses 3-pt jump shot from 24 ft,,5,6
1,9:22.0,,Defensive rebound by B. Forbes,5,6
1,9:09.0,,L. Aldridge makes 2-pt jump shot from 13 ft (assist by B. Forbes),5,8
1,8:46.0,L. Markkanen misses 2-pt jump shot from 13 ft (block by R. Gay),,5,8
1,8:45.0,,Defensive rebound by R. Gay,5,8
1,8:45.0,,Turnover by R. Gay (bad pass),5,8
1,8:34.0,K. Dunn misses 2-pt jump shot from 17 ft,,5,8
1,8:32.0,,Defensive rebound by B. Forbes,5,8
1,8:24.0,,D. DeRozan misses 2-pt jump shot from 10 ft,5,8
1,8:23.0,Defensive rebound by K. Dunn,,5,8
1,8:14.0,Personal foul by R. Gay (drawn by K. Dunn),,5,8
1,8:01.0,J. Holiday misses 3-pt jump shot from 25 ft,,5,8
1,7:58.0,,Defensive rebound by R. Gay,5,8
