QUARTER,TIME_REMAINING,PHOENIX_ACTION,UTAH_ACTION,PHOENIX_SCORE,UTAH_SCORE
1,11:47.0,,D. Mitchell misses 2-pt jump shot from 6 ft (block by D. Ayton),0,0
1,11:44.0,Defensive rebound by D. Ayton,,0,0
1,11:35.0,D. Booker makes 3-pt jump shot from 23 ft,,3,0
1,11:13.0,,J. Ingles misses 3-pt jump shot from 27 ft,3,0
1,11:09.0,Defensive rebound by D. Melton,,3,0
1,10:54.0,D. Booker misses 2-pt jump shot from 9 ft,,3,0
1,10:50.0,,Defensive rebound by J. Ingles,3,0
1,10:43.0,,R. Gobert makes 2-pt layup from 2 ft (assist by J. Ingles),3,2
1,10:30.0,,Violation by Team (kicked ball),3,2
1,10:24.0,D. Ayton misses 2-pt jump shot from 17 ft,,3,2
1,10:21.0,,Defensive rebound by D. Favors,3,2
1,10:14.0,,Shooting foul by D. Bender (drawn by R. Gobert),3,2
1,10:14.0,,R. Gobert makes free throw 1 of 2,3,3
1,10:14.0,,R. Gobert makes free throw 2 of 2,3,4
1,9:53.0,Turnover by D. Ayton (lost ball; steal by R. Rubio),,3,4
1,9:46.0,,D. Favors makes 2-pt hook shot from 5 ft (assist by R. Rubio),3,6
1,9:24.0,D. Booker makes 3-pt jump shot from 24 ft,,6,6
1,9:06.0,,Turnover by J. Ingles (bad pass; steal by D. Ayton),6,6
1,8:56.0,D. Booker makes 3-pt jump shot from 25 ft,,9,6
1,8:41.0,,Personal foul by D. Booker (drawn by D. Mitchell),9,6
1,8:34.0,,Turnover by J. Ingles (bad pass; steal by D. Ayton),9,6
1,8:29.0,D. Booker misses 3-pt jump shot from 25 ft,,9,6
1,8:26.0,,Defensive rebound by R. Gobert,9,6
1,8:14.0,,D. Favors makes 2-pt jump shot from 5 ft (assist by R. Rubio),9,8
1,7:54.0,D. Bender misses 2-pt jump shot from 19 ft,,9,8
1,7:51.0,,Defensive rebound by R. Rubio,9,8
1,7:42.0,,Turnover by D. Mitchell (lost ball; steal by M. Bridges),9,8
1,7:25.0,D. Ayton makes 2-pt jump shot from 5 ft,,11,8
1,7:23.0,,Utah full timeout,11,8
1,7:23.0,,J. Crowder enters the game for D. Favors,11,8
1,7:23.0,,R. O'Neale enters the game for J. Ingles,11,8
1,7:06.0,,J. Crowder misses 3-pt jump shot from 24 ft,11,8
1,7:04.0,Defensive rebound by D. Booker,,11,8
1,6:50.0,D. Ayton misses 2-pt jump shot from 16 ft,,11,8
1,6:47.0,,Defensive rebound by R. O'Neale,11,8
1,6:39.0,,D. Mitchell makes 2-pt layup from 4 ft,11,10
1,6:29.0,Shooting foul by R. Rubio (drawn by D. Bender),,11,10
1,6:29.0,D. Bender misses free throw 1 of 2,,11,10
1,6:29.0,Offensive rebound by Team,,11,10
1,6:29.0,D. Bender makes free throw 2 of 2,,12,10
1,6:17.0,,J. Crowder misses 2-pt layup from 3 ft,12,10
1,6:16.0,Defensive rebound by D. Ayton,,12,10
1,6:09.0,D. Booker makes 2-pt layup from 6 ft,,14,10
1,5:54.0,,Shooting foul by D. Melton (drawn by R. Rubio),14,10
1,5:54.0,,R. Rubio makes free throw 1 of 2,14,11
1,5:54.0,,R. Rubio makes free throw 2 of 2,14,12
1,5:38.0,Turnover by M. Bridges (palming),,14,12
1,5:27.0,,R. Rubio misses 2-pt jump shot from 16 ft,14,12
1,5:25.0,Defensive rebound by D. Ayton,,14,12
1,5:18.0,Turnover by D. Melton (bad pass; steal by J. Crowder),,14,12
1,5:13.0,,R. Rubio makes 2-pt layup from 3 ft (assist by J. Crowder),14,14
1,5:12.0,Phoenix full timeout,,14,14
1,5:12.0,T. Daniels enters the game for D. Ayton,,14,14
1,5:12.0,R. Holmes enters the game for M. Bridges,,14,14
1,5:12.0,,K. Korver enters the game for R. Rubio,14,14
1,4:51.0,D. Booker misses 2-pt jump shot from 10 ft,,14,14
1,4:49.0,Offensive rebound by R. Holmes,,14,14
1,4:49.0,Turnover by R. Holmes (out of bounds lost ball),,14,14
1,4:41.0,,J. Crowder makes 2-pt layup from 3 ft,14,16
1,4:18.0,Turnover by T. Daniels (bad pass; steal by J. Crowder),,14,16
1,4:14.0,,Shooting foul by D. Bender (drawn by R. Gobert),14,16
1,4:14.0,,R. Gobert makes free throw 1 of 2,14,17
1,4:14.0,R. Spalding enters the game for D. Bender,,14,17
1,4:14.0,,R. Gobert makes free throw 2 of 2,14,18
1,3:55.0,Turnover by D. Booker (bad pass; steal by R. O'Neale),,14,18
1,3:50.0,,K. Korver misses 2-pt jump shot from 23 ft,14,18
1,3:47.0,Defensive rebound by R. Spalding,,14,18
1,3:35.0,Turnover by R. Holmes (bad pass),,14,18
1,3:35.0,E. Okobo enters the game for D. Melton,,14,18
1,3:23.0,,K. Korver misses 3-pt jump shot from 27 ft,14,18
1,3:19.0,Defensive rebound by R. Spalding,,14,18
1,3:06.0,Turnover by D. Booker (bad pass),,14,18
1,3:06.0,,D. Favors enters the game for R. Gobert,14,18
1,3:06.0,,J. Ingles enters the game for D. Mitchell,14,18
1,3:06.0,,R. Neto enters the game for R. O'Neale,14,18
