QUARTER,TIME_REMAINING,CLEVELAND_ACTION,TORONTO_ACTION,CLEVELAND_SCORE,TORONTO_SCORE
1,11:44.0,K. Love misses 2-pt jump shot from 14 ft,,0,0
1,11:41.0,,Defensive rebound by K. Leonard,0,0
1,11:24.0,,K. Leonard misses 2-pt jump shot from 21 ft,0,0
1,11:21.0,Defensive rebound by T. Thompson,,0,0
1,11:14.0,Shooting foul by P. Siakam (drawn by K. Love),,0,0
1,11:14.0,K. Love makes free throw 1 of 2,,1,0
1,11:14.0,K. Love makes free throw 2 of 2,,2,0
1,11:02.0,,K. Lowry makes 2-pt layup from 1 ft,2,2
1,10:50.0,K. Love misses 2-pt jump shot from 2 ft,,2,2
1,10:48.0,,Defensive rebound by J. Valančiūnas,2,2
1,10:44.0,,Turnover by K. Lowry (bad pass; steal by R. Hood),2,2
1,10:37.0,R. Hood misses 3-pt jump shot from 23 ft,,2,2
1,10:34.0,,Defensive rebound by J. Valančiūnas,2,2
1,10:30.0,,D. Green misses 3-pt jump shot from 26 ft,2,2
1,10:26.0,Defensive rebound by T. Thompson,,2,2
1,10:07.0,K. Love misses 3-pt jump shot from 26 ft,,2,2
1,10:03.0,Offensive rebound by R. Hood,,2,2
1,10:00.0,R. Hood makes 2-pt layup from 2 ft (assist by T. Thompson),,4,2
1,9:47.0,,K. Leonard misses 2-pt jump shot from 13 ft,4,2
1,9:41.0,,Offensive rebound by J. Valančiūnas,4,2
1,9:41.0,,J. Valančiūnas misses 2-pt layup from 1 ft,4,2
1,9:41.0,Defensive rebound by K. Love,,4,2
1,9:34.0,R. Hood makes 2-pt hook shot from 5 ft,,6,2
1,9:21.0,,Personal foul by R. Hood (drawn by K. Leonard),6,2
1,9:10.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by K. Lowry),6,5
1,8:50.0,R. Hood misses 2-pt layup from 7 ft,,6,5
1,8:48.0,Offensive rebound by Team,,6,5
1,8:46.0,C. Osman misses 2-pt jump shot from 17 ft,,6,5
1,8:43.0,Offensive rebound by K. Love,,6,5
1,8:36.0,T. Thompson misses 2-pt layup from 1 ft (block by K. Lowry),,6,5
1,8:34.0,,Defensive rebound by J. Valančiūnas,6,5
1,8:31.0,,K. Leonard misses 2-pt jump shot from 12 ft,6,5
1,8:27.0,Defensive rebound by K. Love,,6,5
1,8:13.0,C. Osman misses 2-pt layup from 3 ft,,6,5
1,8:10.0,Offensive rebound by T. Thompson,,6,5
1,8:10.0,T. Thompson misses 2-pt layup at rim,,6,5
1,8:09.0,Offensive rebound by C. Osman,,6,5
1,8:08.0,Turnover by C. Osman (lost ball; steal by D. Green),,6,5
1,8:03.0,,K. Leonard makes 2-pt layup from 1 ft (assist by K. Lowry),6,7
1,7:52.0,Turnover by G. Hill (out of bounds lost ball),,6,7
1,7:44.0,,P. Siakam makes 2-pt hook shot from 4 ft (assist by K. Lowry),6,9
1,7:26.0,Shooting foul by P. Siakam (drawn by K. Love),,6,9
1,7:26.0,K. Love makes free throw 1 of 2,,7,9
1,7:26.0,K. Korver enters the game for R. Hood,,7,9
1,7:26.0,A. Žižić enters the game for T. Thompson,,7,9
1,7:26.0,,O. Anunoby enters the game for P. Siakam,7,9
1,7:26.0,K. Love misses free throw 2 of 2,,7,9
1,7:24.0,,Defensive rebound by J. Valančiūnas,7,9
1,7:16.0,,J. Valančiūnas makes 2-pt jump shot from 9 ft (assist by K. Lowry),7,11
1,6:51.0,C. Osman makes 3-pt jump shot from 25 ft (assist by K. Love),,10,11
1,6:35.0,,Turnover by O. Anunoby (traveling),10,11
1,6:35.0,,Toronto full timeout,10,11
1,6:25.0,Turnover by K. Love (lost ball; steal by O. Anunoby),,10,11
1,6:20.0,,O. Anunoby makes 2-pt dunk from 2 ft,10,13
1,6:02.0,G. Hill makes 2-pt jump shot from 21 ft (assist by A. Žižić),,12,13
1,5:39.0,,Turnover by K. Leonard (bad pass; steal by C. Osman),12,13
1,5:33.0,C. Osman makes 2-pt layup at rim,,14,13
1,5:19.0,,K. Lowry makes 3-pt jump shot from 28 ft (assist by K. Leonard),14,16
1,5:03.0,K. Love makes 2-pt hook shot from 2 ft,,16,16
1,5:03.0,Shooting foul by O. Anunoby (drawn by K. Love),,16,16
1,5:03.0,,S. Ibaka enters the game for D. Green,16,16
1,5:03.0,,F. VanVleet enters the game for J. Valančiūnas,16,16
1,5:03.0,K. Love makes free throw 1 of 1,,17,16
1,4:54.0,,Personal foul by A. Žižić (drawn by K. Leonard),17,16
1,4:54.0,T. Thompson enters the game for A. Žižić,,17,16
1,4:44.0,,K. Leonard makes 2-pt jump shot from 4 ft (assist by F. VanVleet),17,18
1,4:34.0,C. Osman makes 2-pt layup from 1 ft,,19,18
1,4:16.0,,S. Ibaka misses 2-pt jump shot from 13 ft,19,18
1,4:13.0,Defensive rebound by K. Love,,19,18
1,4:04.0,Turnover by T. Thompson (traveling),,19,18
1,3:49.0,,Personal foul by G. Hill (drawn by S. Ibaka),19,18
1,3:49.0,R. Hood enters the game for G. Hill,,19,18
1,3:49.0,C. Sexton enters the game for C. Osman,,19,18
1,3:36.0,,F. VanVleet makes 2-pt layup from 1 ft,19,20
1,3:23.0,K. Love misses 3-pt jump shot from 23 ft,,19,20
1,3:19.0,Offensive rebound by C. Sexton,,19,20
1,3:19.0,Shooting foul by K. Leonard (drawn by C. Sexton),,19,20
1,3:19.0,C. Sexton makes free throw 1 of 2,,20,20
1,3:19.0,C. Sexton makes free throw 2 of 2,,21,20
1,3:07.0,,K. Lowry misses 3-pt jump shot from 28 ft,21,20
1,3:03.0,Defensive rebound by T. Thompson,,21,20
1,2:58.0,R. Hood misses 2-pt jump shot from 11 ft,,21,20
1,2:55.0,Offensive rebound by T. Thompson,,21,20
1,2:51.0,C. Sexton misses 3-pt jump shot from 25 ft,,21,20
1,2:48.0,,Defensive rebound by S. Ibaka,21,20
1,2:42.0,,F. VanVleet misses 3-pt jump shot from 28 ft,21,20
1,2:40.0,,Offensive rebound by Team,21,20
1,2:40.0,Loose ball foul by C. Sexton (drawn by O. Anunoby),,21,20
1,2:40.0,Cleveland full timeout,,21,20
1,2:40.0,J. Clarkson enters the game for K. Korver,,21,20
1,2:40.0,S. Dekker enters the game for K. Love,,21,20
1,2:40.0,,N. Powell enters the game for K. Lowry,21,20
1,2:26.0,,K. Leonard misses 3-pt jump shot from 24 ft,21,20
1,2:25.0,Defensive rebound by Team,,21,20
1,2:12.0,T. Thompson misses 2-pt hook shot from 4 ft (block by S. Ibaka),,21,20
1,2:12.0,Offensive rebound by Team,,21,20
1,2:00.0,R. Hood makes 2-pt jump shot from 16 ft,,23,20
1,1:37.0,,F. VanVleet makes 2-pt layup from 1 ft,23,22
1,1:18.0,J. Clarkson misses 2-pt jump shot from 15 ft,,23,22
1,1:14.0,,Defensive rebound by K. Leonard,23,22
