QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PORTLAND_ACTION,MEMPHIS_SCORE,PORTLAND_SCORE
1,11:39.0,,Turnover by A. Aminu (bad pass; steal by J. Holiday),0,0
1,11:35.0,T. Dorsey misses 2-pt layup from 1 ft,,0,0
1,11:33.0,,Defensive rebound by E. Freedom,0,0
1,11:17.0,,A. Aminu makes 2-pt layup from 1 ft (assist by D. Lillard),0,2
1,11:00.0,J. Holiday misses 2-pt jump shot from 20 ft,,0,2
1,10:57.0,,Defensive rebound by A. Aminu,0,2
1,10:45.0,,Shooting foul by T. Dorsey (drawn by A. Aminu),0,2
1,10:45.0,,A. Aminu makes free throw 1 of 2,0,3
1,10:45.0,,A. Aminu makes free throw 2 of 2,0,4
1,10:27.0,I. Rabb makes 2-pt jump shot from 13 ft (assist by J. Washburn),,2,4
1,10:01.0,,Turnover by M. Harkless (bad pass; steal by T. Dorsey),2,4
1,9:50.0,Turnover by J. Holiday (bad pass; steal by R. Hood),,2,4
1,9:35.0,,Shooting foul by T. Dorsey (drawn by M. Harkless),2,4
1,9:35.0,,M. Harkless misses free throw 1 of 2,2,4
1,9:35.0,,Offensive rebound by Team,2,4
1,9:35.0,C. Parsons enters the game for T. Dorsey,,2,4
1,9:35.0,,M. Harkless makes free throw 2 of 2,2,5
1,9:29.0,J. Washburn makes 3-pt jump shot from 23 ft (assist by D. Wright),,5,5
1,9:11.0,,D. Lillard makes 3-pt jump shot from 23 ft (assist by M. Harkless),5,8
1,8:58.0,D. Wright makes 2-pt layup from 1 ft (assist by J. Holiday),,7,8
1,8:44.0,,R. Hood makes 3-pt jump shot from 26 ft (assist by D. Lillard),7,11
1,8:29.0,C. Parsons misses 2-pt jump shot from 21 ft,,7,11
1,8:26.0,,Defensive rebound by D. Lillard,7,11
1,8:17.0,,E. Freedom makes 2-pt layup from 1 ft (assist by M. Harkless),7,13
1,8:02.0,D. Wright makes 3-pt jump shot from 23 ft (assist by C. Parsons),,10,13
1,7:34.0,,R. Hood misses 3-pt jump shot from 25 ft,10,13
1,7:33.0,Defensive rebound by I. Rabb,,10,13
1,7:17.0,C. Parsons makes 2-pt layup from 2 ft (assist by J. Washburn),,12,13
1,6:50.0,,A. Aminu misses 3-pt jump shot from 25 ft,12,13
1,6:48.0,Defensive rebound by D. Wright,,12,13
1,6:40.0,D. Wright misses 2-pt jump shot from 4 ft,,12,13
1,6:38.0,Offensive rebound by D. Wright,,12,13
1,6:31.0,Turnover by D. Wright (bad pass; steal by E. Freedom),,12,13
1,6:27.0,,Portland full timeout,12,13
1,6:13.0,,Turnover by E. Freedom (bad pass; steal by C. Parsons),12,13
1,6:05.0,C. Parsons misses 2-pt jump shot from 14 ft,,12,13
1,6:03.0,,Defensive rebound by D. Lillard,12,13
1,5:59.0,,Turnover by D. Lillard (bad pass),12,13
1,5:44.0,Turnover by C. Parsons (bad pass; steal by M. Harkless),,12,13
1,5:37.0,,D. Lillard misses 3-pt jump shot from 33 ft,12,13
1,5:34.0,Defensive rebound by C. Parsons,,12,13
1,5:28.0,C. Parsons makes 3-pt jump shot from 24 ft (assist by J. Washburn),,15,13
1,5:00.0,,D. Lillard makes 2-pt layup from 2 ft,15,15
1,4:42.0,J. Holiday misses 2-pt jump shot from 16 ft,,15,15
1,4:40.0,,Defensive rebound by E. Freedom,15,15
1,4:32.0,,D. Lillard makes 2-pt layup from 1 ft,15,17
1,4:16.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by D. Wright),,18,17
1,4:03.0,,E. Freedom makes 2-pt layup from 1 ft (assist by D. Lillard),18,19
1,4:03.0,,Shooting foul by D. Wright (drawn by E. Freedom),18,19
1,4:03.0,B. Caboclo enters the game for I. Rabb,,18,19
1,4:03.0,J. Carter enters the game for J. Washburn,,18,19
1,4:03.0,Y. Watanabe enters the game for D. Wright,,18,19
1,4:03.0,,E. Freedom makes free throw 1 of 1,18,20
1,3:39.0,J. Carter makes 2-pt jump shot from 21 ft,,20,20
1,3:23.0,,A. Aminu makes 3-pt jump shot from 22 ft (assist by D. Lillard),20,23
1,3:09.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by J. Carter),,23,23
1,2:45.0,,A. Aminu misses 2-pt jump shot from 2 ft,23,23
1,2:43.0,Defensive rebound by J. Carter,,23,23
1,2:38.0,Shooting foul by E. Freedom (drawn by B. Caboclo),,23,23
1,2:38.0,Memphis full timeout,,23,23
1,2:38.0,,Z. Collins enters the game for A. Aminu,23,23
1,2:38.0,,S. Curry enters the game for R. Hood,23,23
1,2:38.0,,E. Turner enters the game for E. Freedom,23,23
1,2:38.0,B. Caboclo makes free throw 1 of 2,,24,23
1,2:38.0,B. Caboclo makes free throw 2 of 2,,25,23
1,2:23.0,,M. Harkless makes 2-pt dunk at rim (assist by S. Curry),25,25
1,2:05.0,C. Parsons makes 3-pt jump shot from 25 ft (assist by J. Carter),,28,25
1,1:43.0,,Turnover by S. Curry (bad pass; steal by J. Carter),28,25
1,1:37.0,J. Carter misses 3-pt jump shot from 25 ft,,28,25
1,1:36.0,,Defensive rebound by D. Lillard,28,25
1,1:21.0,,Turnover by D. Lillard (bad pass; steal by C. Parsons),28,25
1,1:15.0,Y. Watanabe misses 2-pt jump shot from 17 ft,,28,25
1,1:14.0,,Defensive rebound by E. Turner,28,25
1,1:02.0,,S. Curry misses 3-pt jump shot from 27 ft (block by B. Caboclo),28,25
1,0:58.0,Defensive rebound by J. Holiday,,28,25
1,0:49.0,C. Parsons misses 3-pt jump shot from 25 ft,,28,25
1,0:48.0,,Defensive rebound by E. Turner,28,25
1,0:31.0,,M. Harkless misses 3-pt jump shot from 25 ft,28,25
1,0:29.0,,Offensive rebound by Z. Collins,28,25
1,0:28.0,,Z. Collins makes 2-pt layup from 1 ft,28,27
