QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PORTLAND_ACTION,MINNESOTA_SCORE,PORTLAND_SCORE
1,11:37.0,,C. McCollum misses 2-pt jump shot from 10 ft (block by T. Gibson),0,0
1,11:36.0,,Offensive rebound by J. Nurkić,0,0
1,11:36.0,,Shooting foul by T. Gibson (drawn by J. Nurkić),0,0
1,11:36.0,,J. Nurkić makes free throw 1 of 2,0,1
1,11:36.0,,J. Nurkić misses free throw 2 of 2,0,1
1,11:34.0,Defensive rebound by T. Gibson,,0,1
1,11:16.0,A. Wiggins misses 2-pt jump shot from 16 ft,,0,1
1,11:14.0,,Defensive rebound by J. Nurkić,0,1
1,11:07.0,,D. Lillard misses 2-pt jump shot from 22 ft,0,1
1,11:03.0,,Offensive rebound by J. Nurkić,0,1
1,11:03.0,,J. Nurkić makes 2-pt layup from 1 ft,0,3
1,10:51.0,A. Wiggins makes 2-pt dunk from 2 ft (assist by T. Gibson),,2,3
1,10:33.0,,Personal foul by J. Okogie (drawn by A. Aminu),2,3
1,10:22.0,,D. Lillard misses 3-pt jump shot from 26 ft,2,3
1,10:19.0,,Offensive rebound by A. Aminu,2,3
1,10:14.0,,D. Lillard makes 2-pt layup from 1 ft (assist by J. Nurkić),2,5
1,9:56.0,T. Gibson misses 3-pt jump shot from 23 ft,,2,5
1,9:54.0,,Defensive rebound by D. Lillard,2,5
1,9:50.0,,J. Nurkić makes 2-pt dunk from 1 ft (assist by D. Lillard),2,7
1,9:42.0,Minnesota full timeout,,2,7
1,9:32.0,T. Gibson misses 2-pt jump shot from 18 ft,,2,7
1,9:31.0,,Defensive rebound by D. Lillard,2,7
1,9:16.0,,Turnover by J. Nurkić (bad pass; steal by A. Wiggins),2,7
1,9:13.0,Personal foul by J. Layman (drawn by J. Okogie),,2,7
1,9:04.0,Def 3 sec tech foul by Team,,2,7
1,9:04.0,K. Towns misses technical free throw,,2,7
1,9:04.0,Offensive rebound by Team,,2,7
1,8:57.0,T. Gibson misses 2-pt jump shot from 20 ft,,2,7
1,8:55.0,,Defensive rebound by J. Layman,2,7
1,8:44.0,,C. McCollum misses 3-pt jump shot from 25 ft,2,7
1,8:41.0,,Offensive rebound by J. Nurkić,2,7
1,8:41.0,,J. Nurkić misses 2-pt layup from 1 ft,2,7
1,8:41.0,,Offensive rebound by J. Layman,2,7
1,8:36.0,,C. McCollum misses 3-pt jump shot from 24 ft,2,7
1,8:34.0,Defensive rebound by T. Gibson,,2,7
1,8:27.0,A. Wiggins misses 2-pt hook shot from 15 ft,,2,7
1,8:26.0,,Defensive rebound by Team,2,7
1,8:26.0,Loose ball foul by K. Towns (drawn by J. Nurkić),,2,7
1,8:05.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),2,9
1,7:56.0,Personal foul by A. Aminu (drawn by K. Towns),,2,9
1,7:44.0,A. Wiggins makes 2-pt layup from 2 ft (assist by T. Jones),,4,9
1,7:22.0,,C. McCollum misses 2-pt jump shot from 15 ft,4,9
1,7:20.0,,Offensive rebound by A. Aminu,4,9
1,7:18.0,,A. Aminu misses 2-pt layup from 2 ft,4,9
1,7:16.0,Defensive rebound by T. Jones,,4,9
1,7:05.0,T. Jones misses 2-pt layup from 2 ft,,4,9
1,7:03.0,,Defensive rebound by D. Lillard,4,9
1,6:58.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by C. McCollum),4,12
1,6:43.0,K. Towns makes 2-pt hook shot from 6 ft,,6,12
1,6:29.0,,D. Lillard misses 2-pt layup from 2 ft,6,12
1,6:29.0,Defensive rebound by Team,,6,12
1,6:16.0,T. Jones misses 2-pt jump shot from 2 ft,,6,12
1,6:12.0,Offensive rebound by T. Gibson,,6,12
1,6:12.0,T. Gibson makes 2-pt layup at rim,,8,12
1,5:56.0,,J. Layman makes 2-pt jump shot from 10 ft (assist by D. Lillard),8,14
1,5:50.0,J. Okogie makes 2-pt dunk from 2 ft (assist by T. Jones),,10,14
1,5:37.0,,Turnover by J. Nurkić (lost ball; steal by A. Wiggins),10,14
1,5:30.0,K. Towns misses 2-pt layup from 1 ft,,10,14
1,5:27.0,Offensive rebound by T. Gibson,,10,14
1,5:27.0,T. Gibson makes 2-pt layup at rim,,12,14
1,5:14.0,,J. Nurkić misses 3-pt jump shot from 25 ft,12,14
1,5:12.0,Defensive rebound by T. Gibson,,12,14
1,5:03.0,Turnover by T. Gibson (bad pass),,12,14
1,5:03.0,,Z. Collins enters the game for J. Layman,12,14
1,5:03.0,,E. Turner enters the game for J. Nurkić,12,14
1,4:42.0,,D. Lillard makes 2-pt layup from 2 ft,12,16
1,4:29.0,K. Towns makes 2-pt layup from 2 ft (assist by T. Jones),,14,16
1,4:29.0,Shooting foul by A. Aminu (drawn by K. Towns),,14,16
1,4:29.0,K. Towns makes free throw 1 of 1,,15,16
1,4:19.0,,C. McCollum makes 3-pt jump shot from 23 ft (assist by E. Turner),15,19
1,4:10.0,J. Okogie misses 2-pt jump shot from 20 ft,,15,19
1,4:09.0,Offensive rebound by J. Okogie,,15,19
1,4:07.0,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Okogie),,18,19
1,3:51.0,,D. Lillard misses 2-pt layup from 2 ft,18,19
1,3:50.0,Defensive rebound by K. Towns,,18,19
1,3:44.0,J. Okogie makes 3-pt jump shot from 22 ft (assist by T. Gibson),,21,19
1,3:44.0,,Portland full timeout,21,19
1,3:44.0,A. Tolliver enters the game for T. Gibson,,21,19
