QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PHILADELPHIA_ACTION,NEW ORLEANS_SCORE,PHILADELPHIA_SCORE
1,11:44.0,,J. Butler misses 2-pt layup from 4 ft,0,0
1,11:39.0,,Offensive rebound by J. Butler,0,0
1,11:36.0,,J. Butler misses 3-pt jump shot from 24 ft,0,0
1,11:33.0,Defensive rebound by W. Johnson,,0,0
1,11:27.0,E. Moore makes 2-pt layup from 2 ft (assist by J. Holiday),,2,0
1,11:17.0,,B. Simmons misses 2-pt layup from 4 ft (block by A. Davis),2,0
1,11:14.0,Defensive rebound by A. Davis,,2,0
1,11:01.0,J. Holiday misses 2-pt jump shot from 13 ft,,2,0
1,10:58.0,,Defensive rebound by J. Embiid,2,0
1,10:52.0,,Shooting foul by W. Johnson (drawn by J. Redick),2,0
1,10:52.0,,J. Redick makes free throw 1 of 2,2,1
1,10:52.0,,J. Redick makes free throw 2 of 2,2,2
1,10:38.0,Turnover by J. Holiday (bad pass; steal by J. Butler),,2,2
1,10:32.0,,J. Embiid misses 2-pt layup from 5 ft (block by N. Mirotić),2,2
1,10:32.0,,Offensive rebound by Team,2,2
1,10:25.0,,W. Chandler misses 3-pt jump shot from 26 ft,2,2
1,10:20.0,Defensive rebound by N. Mirotić,,2,2
1,10:15.0,W. Johnson misses 3-pt jump shot from 25 ft,,2,2
1,10:12.0,,Defensive rebound by Team,2,2
1,9:55.0,,Turnover by J. Embiid (bad pass; steal by J. Holiday),2,2
1,9:52.0,Turnover by N. Mirotić (out of bounds lost ball),,2,2
1,9:41.0,,Shooting foul by N. Mirotić (drawn by J. Embiid),2,2
1,9:41.0,,J. Embiid makes free throw 1 of 2,2,3
1,9:41.0,,J. Embiid makes free throw 2 of 2,2,4
1,9:33.0,J. Holiday misses 2-pt layup from 3 ft,,2,4
1,9:31.0,,Defensive rebound by J. Embiid,2,4
1,9:25.0,,J. Redick misses 2-pt jump shot from 9 ft,2,4
1,9:24.0,,Offensive rebound by J. Embiid,2,4
1,9:24.0,,J. Embiid makes 2-pt layup from 3 ft,2,6
1,9:24.0,,Shooting foul by E. Moore (drawn by J. Embiid),2,6
1,9:24.0,,J. Embiid makes free throw 1 of 1,2,7
1,9:10.0,A. Davis makes 2-pt jump shot from 16 ft (assist by J. Holiday),,4,7
1,9:01.0,,Turnover by B. Simmons (bad pass; steal by A. Davis),4,7
1,8:55.0,A. Davis misses 2-pt jump shot from 18 ft,,4,7
1,8:53.0,,Defensive rebound by J. Butler,4,7
1,8:42.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by J. Butler),4,10
