QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,GOLDEN STATE_ACTION,LA CLIPPERS_SCORE,GOLDEN STATE_SCORE
1,11:37.0,,D. Green misses 3-pt jump shot from 26 ft,0,0
1,11:35.0,Defensive rebound by P. Beverley,,0,0
1,11:17.0,J. Green misses 3-pt jump shot from 26 ft,,0,0
1,11:15.0,,Defensive rebound by K. Thompson,0,0
1,11:05.0,,K. Thompson makes 3-pt jump shot from 30 ft (assist by D. Green),0,3
1,10:40.0,Shooting foul by K. Durant (drawn by D. Gallinari),,0,3
1,10:40.0,D. Gallinari makes free throw 1 of 2,,1,3
1,10:40.0,D. Gallinari makes free throw 2 of 2,,2,3
1,10:28.0,,K. Thompson misses 2-pt jump shot from 17 ft,2,3
1,10:26.0,Defensive rebound by J. Green,,2,3
1,10:23.0,D. Gallinari misses 3-pt jump shot from 28 ft,,2,3
1,10:21.0,,Defensive rebound by A. Bogut,2,3
1,10:12.0,,K. Durant makes 2-pt jump shot from 14 ft,2,5
1,10:12.0,,Shooting foul by L. Shamet (drawn by K. Durant),2,5
1,10:12.0,,K. Durant makes free throw 1 of 1,2,6
1,9:47.0,Shooting foul by S. Curry (drawn by L. Shamet),,2,6
1,9:47.0,L. Shamet makes free throw 1 of 3,,3,6
1,9:47.0,L. Shamet makes free throw 2 of 3,,4,6
1,9:47.0,L. Shamet makes free throw 3 of 3,,5,6
1,9:33.0,,K. Durant misses 2-pt jump shot from 17 ft,5,6
1,9:29.0,Defensive rebound by Team,,5,6
1,9:18.0,L. Shamet misses 2-pt layup from 6 ft (block by K. Durant),,5,6
1,9:17.0,,Defensive rebound by A. Bogut,5,6
1,9:13.0,,Personal foul by P. Beverley (drawn by K. Durant),5,6
1,9:12.0,,S. Curry misses 2-pt jump shot from 20 ft,5,6
1,9:10.0,Defensive rebound by P. Beverley,,5,6
1,9:00.0,J. Green makes 2-pt jump shot from 23 ft (assist by P. Beverley),,7,6
1,8:49.0,,A. Bogut misses 2-pt layup from 2 ft,7,6
1,8:48.0,Defensive rebound by S. Gilgeous-Alexander,,7,6
