QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,BOSTON_ACTION,LA CLIPPERS_SCORE,BOSTON_SCORE
1,11:42.0,,M. Morris misses 2-pt jump shot from 13 ft,0,0
1,11:40.0,Defensive rebound by I. Zubac,,0,0
1,11:30.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by M. Smart),,0,0
1,11:23.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by A. Horford),0,3
1,11:07.0,Turnover by D. Gallinari (bad pass),,0,3
1,11:00.0,,A. Horford makes 2-pt jump shot from 19 ft (assist by K. Irving),0,5
1,10:43.0,Turnover by P. Beverley (traveling),,0,5
1,10:35.0,,Personal foul by D. Gallinari (drawn by J. Tatum),0,5
1,10:30.0,,A. Horford misses 2-pt jump shot from 20 ft,0,5
1,10:28.0,Defensive rebound by D. Gallinari,,0,5
1,10:12.0,D. Gallinari misses 2-pt layup from 7 ft (block by A. Horford),,0,5
1,10:10.0,,Defensive rebound by K. Irving,0,5
1,10:06.0,,Shooting foul by I. Zubac (drawn by M. Morris),0,5
1,10:06.0,,M. Morris makes free throw 1 of 2,0,6
1,10:06.0,,M. Morris makes free throw 2 of 2,0,7
1,9:54.0,D. Gallinari misses 3-pt jump shot from 27 ft,,0,7
1,9:52.0,,Defensive rebound by M. Morris,0,7
1,9:43.0,,K. Irving makes 2-pt jump shot from 12 ft,0,9
1,9:27.0,S. Gilgeous-Alexander misses 2-pt jump shot from 9 ft,,0,9
1,9:27.0,Offensive rebound by I. Zubac,,0,9
1,9:27.0,I. Zubac makes 2-pt layup from 3 ft,,2,9
1,9:25.0,Personal foul by A. Horford (drawn by I. Zubac),,2,9
1,9:25.0,I. Zubac makes free throw 1 of 1,,3,9
1,9:17.0,,Def 3 sec tech foul by Team,3,9
1,9:17.0,,K. Irving makes technical free throw,3,10
1,9:10.0,,K. Irving makes 2-pt layup from 1 ft (assist by A. Horford),3,12
1,8:50.0,G. Temple makes 3-pt jump shot from 23 ft (assist by S. Gilgeous-Alexander),,6,12
1,8:39.0,,K. Irving misses 2-pt jump shot from 19 ft,6,12
1,8:39.0,Defensive rebound by Team,,6,12
1,8:29.0,D. Gallinari misses 3-pt jump shot from 29 ft,,6,12
1,8:26.0,,Defensive rebound by A. Horford,6,12
1,8:18.0,,M. Morris makes 2-pt jump shot from 16 ft,6,14
1,8:06.0,Shooting foul by K. Irving (drawn by D. Gallinari),,6,14
1,8:06.0,D. Gallinari makes free throw 1 of 2,,7,14
1,8:06.0,D. Gallinari makes free throw 2 of 2,,8,14
1,7:46.0,,M. Morris misses 2-pt jump shot from 16 ft,8,14
1,7:44.0,Defensive rebound by P. Beverley,,8,14
1,7:37.0,S. Gilgeous-Alexander misses 2-pt jump shot from 9 ft,,8,14
1,7:36.0,Offensive rebound by S. Gilgeous-Alexander,,8,14
1,7:35.0,S. Gilgeous-Alexander makes 2-pt jump shot from 3 ft,,10,14
1,7:22.0,,Turnover by J. Tatum (lost ball; steal by P. Beverley),10,14
1,7:14.0,I. Zubac misses 2-pt layup from 3 ft,,10,14
1,7:12.0,,Defensive rebound by A. Horford,10,14
1,7:04.0,,J. Tatum misses 3-pt jump shot from 23 ft,10,14
1,7:02.0,,Offensive rebound by Team,10,14
1,7:02.0,,Boston full timeout,10,14
1,7:01.0,,Personal foul by G. Temple (drawn by A. Horford),10,14
1,6:54.0,,A. Horford misses 2-pt layup from 4 ft (block by I. Zubac),10,14
1,6:52.0,Defensive rebound by D. Gallinari,,10,14
1,6:33.0,I. Zubac makes 2-pt dunk from 1 ft (assist by D. Gallinari),,12,14
1,6:20.0,,K. Irving misses 2-pt layup from 4 ft (block by S. Gilgeous-Alexander),12,14
1,6:18.0,Defensive rebound by S. Gilgeous-Alexander,,12,14
1,6:16.0,Shooting foul by M. Morris (drawn by S. Gilgeous-Alexander),,12,14
1,6:16.0,S. Gilgeous-Alexander makes free throw 1 of 2,,13,14
