QUARTER,TIME_REMAINING,PORTLAND_ACTION,DALLAS_ACTION,PORTLAND_SCORE,DALLAS_SCORE
1,11:40.0,J. Nurkić misses 2-pt hook shot from 7 ft,,0,0
1,11:37.0,,Defensive rebound by L. Dončić,0,0
1,11:18.0,,L. Dončić misses 3-pt jump shot from 28 ft,0,0
1,11:14.0,Defensive rebound by A. Aminu,,0,0
1,11:02.0,A. Aminu makes 2-pt jump shot from 10 ft,,2,0
1,10:53.0,,L. Dončić makes 2-pt dunk from 1 ft,2,2
1,10:53.0,,Shooting foul by J. Nurkić (drawn by L. Dončić),2,2
1,10:53.0,,L. Dončić makes free throw 1 of 1,2,3
1,10:45.0,D. Lillard misses 2-pt jump shot from 18 ft,,2,3
1,10:42.0,,Defensive rebound by L. Dončić,2,3
1,10:37.0,,T. Hardaway makes 2-pt layup from 2 ft,2,5
1,10:24.0,C. McCollum makes 2-pt jump shot from 13 ft,,4,5
1,10:04.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,4,5
1,10:00.0,Defensive rebound by M. Harkless,,4,5
1,9:51.0,J. Nurkić makes 2-pt jump shot from 3 ft (assist by C. McCollum),,6,5
1,9:39.0,,M. Kleber misses 2-pt jump shot from 3 ft,6,5
1,9:36.0,,Offensive rebound by J. Brunson,6,5
1,9:35.0,,J. Brunson makes 2-pt layup at rim,6,7
1,9:22.0,A. Aminu misses 3-pt jump shot from 26 ft,,6,7
1,9:22.0,,Defensive rebound by L. Dončić,6,7
1,9:16.0,,M. Kleber misses 3-pt jump shot from 26 ft,6,7
1,9:14.0,,Offensive rebound by Team,6,7
1,9:14.0,Loose ball foul by J. Nurkić (drawn by L. Dončić),,6,7
1,9:10.0,,Personal foul by C. McCollum (drawn by T. Hardaway),6,7
1,8:56.0,,M. Kleber misses 2-pt jump shot from 13 ft,6,7
1,8:55.0,Defensive rebound by D. Lillard,,6,7
1,8:44.0,M. Harkless misses 2-pt jump shot from 5 ft,,6,7
1,8:40.0,,Defensive rebound by D. Finney-Smith,6,7
1,8:28.0,,Turnover by L. Dončić (lost ball; steal by M. Harkless),6,7
1,8:24.0,D. Lillard makes 2-pt jump shot from 5 ft (assist by C. McCollum),,8,7
1,8:09.0,,T. Hardaway misses 2-pt jump shot from 18 ft,8,7
1,8:06.0,Defensive rebound by J. Nurkić,,8,7
1,7:57.0,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),,10,7
1,7:45.0,,L. Dončić makes 2-pt layup from 2 ft,10,9
1,7:33.0,C. McCollum misses 3-pt jump shot from 27 ft,,10,9
1,7:30.0,,Defensive rebound by L. Dončić,10,9
1,7:19.0,,Turnover by J. Brunson (lost ball; steal by D. Lillard),10,9
1,7:13.0,D. Lillard misses 2-pt jump shot from 10 ft,,10,9
1,7:10.0,,Defensive rebound by Team,10,9
1,6:54.0,,Turnover by J. Brunson (lost ball; steal by D. Lillard),10,9
1,6:41.0,C. McCollum misses 2-pt jump shot from 17 ft,,10,9
1,6:38.0,,Defensive rebound by J. Brunson,10,9
1,6:34.0,,T. Hardaway misses 3-pt jump shot from 28 ft,10,9
1,6:31.0,Defensive rebound by J. Nurkić,,10,9
1,6:24.0,Turnover by D. Lillard (traveling),,10,9
1,6:24.0,,Dallas full timeout,10,9
1,6:24.0,,T. Burke enters the game for L. Dončić,10,9
1,6:24.0,,D. Powell enters the game for M. Kleber,10,9
1,6:07.0,,T. Hardaway makes 2-pt jump shot from 12 ft,10,11
1,5:42.0,Offensive foul by M. Harkless (drawn by J. Brunson),,10,11
1,5:42.0,Turnover by M. Harkless (offensive foul),,10,11
1,5:42.0,Z. Collins enters the game for M. Harkless,,10,11
1,5:42.0,R. Hood enters the game for J. Nurkić,,10,11
1,5:33.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by J. Brunson),10,14
1,5:21.0,Shooting foul by D. Powell (drawn by C. McCollum),,10,14
1,5:21.0,C. McCollum makes free throw 1 of 2,,11,14
1,5:21.0,,D. Nowitzki enters the game for D. Finney-Smith,11,14
1,5:21.0,C. McCollum makes free throw 2 of 2,,12,14
1,5:10.0,,Turnover by D. Nowitzki (traveling),12,14
1,4:59.0,D. Lillard misses 3-pt jump shot from 25 ft,,12,14
1,4:55.0,,Defensive rebound by D. Powell,12,14
1,4:46.0,,Shooting foul by Z. Collins (drawn by D. Powell),12,14
1,4:46.0,,D. Powell makes free throw 1 of 2,12,15
1,4:46.0,,D. Powell misses free throw 2 of 2,12,15
1,4:44.0,Defensive rebound by Z. Collins,,12,15
1,4:32.0,Turnover by A. Aminu (bad pass),,12,15
