QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ATLANTA_ACTION,PHILADELPHIA_SCORE,ATLANTA_SCORE
1,11:45.0,J. Redick makes 3-pt jump shot from 24 ft (assist by J. Butler),,3,0
1,11:32.0,,T. Young makes 2-pt layup from 3 ft,3,2
1,11:20.0,Shooting foul by A. Len (drawn by J. Redick),,3,2
1,11:20.0,J. Redick makes free throw 1 of 2,,4,2
1,11:20.0,J. Redick makes free throw 2 of 2,,5,2
1,11:11.0,,J. Collins makes 3-pt jump shot from 25 ft (assist by T. Young),5,5
1,10:55.0,B. Simmons makes 2-pt hook shot from 4 ft (assist by J. Bolden),,7,5
1,10:38.0,,A. Len makes 2-pt hook shot from 6 ft (assist by T. Prince),7,7
1,10:29.0,Shooting foul by A. Len (drawn by B. Simmons),,7,7
1,10:29.0,B. Marjanović enters the game for J. Bolden,,7,7
1,10:29.0,,D. Davis enters the game for A. Len,7,7
1,10:29.0,B. Simmons makes free throw 1 of 2,,8,7
1,10:29.0,B. Simmons misses free throw 2 of 2,,8,7
1,10:26.0,,Defensive rebound by D. Davis,8,7
1,10:19.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by K. Huerter),8,10
1,10:05.0,B. Marjanović misses 2-pt jump shot from 9 ft (block by D. Davis),,8,10
1,10:04.0,Offensive rebound by B. Simmons,,8,10
1,10:03.0,B. Simmons misses 2-pt layup from 1 ft,,8,10
1,10:00.0,Offensive rebound by J. Butler,,8,10
1,10:00.0,Shooting foul by D. Davis (drawn by B. Simmons),,8,10
1,10:00.0,B. Simmons makes free throw 1 of 2,,9,10
1,10:00.0,B. Simmons makes free throw 2 of 2,,10,10
1,9:47.0,,T. Prince misses 3-pt jump shot from 25 ft,10,10
1,9:43.0,Defensive rebound by B. Marjanović,,10,10
1,9:38.0,Turnover by B. Simmons (bad pass; steal by T. Prince),,10,10
1,9:34.0,,T. Prince misses 3-pt jump shot from 25 ft,10,10
1,9:30.0,,Offensive rebound by D. Davis,10,10
1,9:20.0,,T. Young misses 3-pt jump shot from 26 ft,10,10
1,9:17.0,Defensive rebound by B. Marjanović,,10,10
1,9:09.0,T. Harris misses 2-pt jump shot from 3 ft,,10,10
1,9:07.0,Offensive rebound by T. Harris,,10,10
1,9:05.0,T. Harris makes 2-pt layup from 1 ft,,12,10
1,8:46.0,,K. Huerter makes 2-pt jump shot from 11 ft (assist by T. Young),12,12
1,8:36.0,J. Redick makes 3-pt jump shot from 24 ft (assist by B. Simmons),,15,12
1,8:15.0,,K. Huerter makes 3-pt jump shot from 25 ft,15,15
1,7:54.0,Turnover by B. Marjanović (bad pass; steal by K. Huerter),,15,15
1,7:50.0,,J. Collins makes 2-pt dunk from 1 ft (assist by K. Huerter),15,17
1,7:50.0,,Shooting foul by B. Marjanović (drawn by J. Collins),15,17
1,7:50.0,,J. Collins makes free throw 1 of 1,15,18
1,7:29.0,B. Marjanović makes 2-pt jump shot from 13 ft (assist by B. Simmons),,17,18
1,7:27.0,,T. Young makes 2-pt jump shot from 13 ft,17,20
1,6:57.0,B. Simmons misses 2-pt layup from 2 ft (block by J. Collins),,17,20
1,6:54.0,Offensive rebound by B. Simmons,,17,20
1,6:52.0,B. Simmons misses 2-pt layup from 3 ft,,17,20
1,6:52.0,Offensive rebound by B. Marjanović,,17,20
1,6:49.0,B. Marjanović makes 2-pt dunk from 1 ft,,19,20
1,6:33.0,,J. Collins misses 2-pt jump shot from 18 ft,19,20
1,6:29.0,Defensive rebound by B. Simmons,,19,20
1,6:24.0,B. Simmons misses 2-pt layup from 2 ft,,19,20
1,6:21.0,,Defensive rebound by D. Davis,19,20
1,6:18.0,,K. Huerter misses 3-pt jump shot from 26 ft,19,20
1,6:15.0,Defensive rebound by B. Simmons,,19,20
1,6:09.0,B. Marjanović makes 2-pt layup from 1 ft (assist by B. Simmons),,21,20
