QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MINNESOTA_ACTION,SACRAMENTO_SCORE,MINNESOTA_SCORE
4,1:13.0,,Defensive rebound by K. Towns,104,110
4,0:55.0,,A. Wiggins misses 3-pt jump shot from 23 ft,104,110
4,0:54.0,Defensive rebound by C. Brewer,,104,110
4,0:51.0,Shooting foul by T. Jones (drawn by C. Brewer),,104,110
4,0:51.0,C. Brewer makes free throw 1 of 2,,105,110
4,0:51.0,C. Brewer misses free throw 2 of 2,,105,110
4,0:48.0,,Defensive rebound by K. Towns,105,110
4,0:29.0,,D. Rose makes 2-pt jump shot from 20 ft,105,112
4,0:20.0,D. Fox misses 3-pt jump shot from 25 ft,,105,112
4,0:17.0,,Defensive rebound by L. Deng,105,112
