QUARTER,TIME_REMAINING,BOSTON_ACTION,MEMPHIS_ACTION,BOSTON_SCORE,MEMPHIS_SCORE
1,11:44.0,M. Morris makes 3-pt jump shot from 27 ft (assist by K. Irving),,3,0
1,11:17.0,,G. Temple misses 2-pt jump shot from 19 ft,3,0
1,11:16.0,,Offensive rebound by Team,3,0
1,11:10.0,,Turnover by K. Anderson (lost ball; steal by J. Tatum),3,0
1,10:55.0,J. Tatum misses 2-pt jump shot from 19 ft,,3,0
1,10:52.0,Offensive rebound by A. Horford,,3,0
1,10:51.0,M. Morris misses 3-pt jump shot from 25 ft,,3,0
1,10:47.0,,Defensive rebound by K. Anderson,3,0
1,10:41.0,,K. Anderson makes 2-pt jump shot from 7 ft,3,2
1,10:15.0,M. Morris misses 3-pt jump shot from 25 ft,,3,2
1,10:12.0,,Defensive rebound by M. Gasol,3,2
1,10:01.0,,Personal foul by M. Smart (drawn by M. Gasol),3,2
1,9:55.0,,M. Conley makes 2-pt jump shot from 8 ft (assist by G. Temple),3,4
1,9:36.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by K. Irving),,6,4
1,9:24.0,,Turnover by M. Gasol (lost ball; steal by J. Tatum),6,4
1,9:17.0,Turnover by J. Tatum (bad pass; steal by J. Jackson),,6,4
1,9:11.0,,K. Anderson makes 2-pt layup from 1 ft (assist by M. Conley),6,6
1,8:57.0,,Loose ball foul by J. Jackson (drawn by K. Irving),6,6
1,8:51.0,A. Horford misses 2-pt jump shot from 20 ft,,6,6
1,8:48.0,,Defensive rebound by K. Anderson,6,6
1,8:29.0,,M. Conley misses 3-pt jump shot from 25 ft,6,6
1,8:24.0,Defensive rebound by M. Morris,,6,6
1,8:19.0,Turnover by A. Horford (lost ball; steal by K. Anderson),,6,6
1,8:13.0,,G. Temple misses 3-pt jump shot from 25 ft,6,6
1,8:08.0,Defensive rebound by J. Tatum,,6,6
1,8:03.0,K. Irving misses 3-pt jump shot from 26 ft,,6,6
1,8:03.0,Offensive rebound by A. Horford,,6,6
1,7:59.0,M. Smart misses 3-pt jump shot from 25 ft,,6,6
1,7:56.0,,Defensive rebound by J. Jackson,6,6
1,7:45.0,,M. Gasol makes 2-pt jump shot from 13 ft (assist by K. Anderson),6,8
1,7:29.0,A. Horford misses 3-pt jump shot from 25 ft,,6,8
1,7:26.0,Offensive rebound by J. Tatum,,6,8
1,7:26.0,J. Tatum makes 2-pt dunk at rim,,8,8
1,7:26.0,,Memphis full timeout,8,8
1,7:08.0,,K. Anderson makes 2-pt layup from 1 ft (assist by M. Gasol),8,10
1,6:51.0,A. Horford makes 3-pt jump shot from 25 ft (assist by K. Irving),,11,10
1,6:34.0,,J. Jackson makes 2-pt jump shot from 3 ft (assist by M. Conley),11,12
1,6:18.0,K. Irving makes 2-pt jump shot from 9 ft,,13,12
1,6:04.0,,M. Conley makes 2-pt layup from 1 ft (assist by M. Gasol),13,14
1,5:43.0,M. Morris misses 2-pt jump shot from 17 ft,,13,14
1,5:41.0,,Defensive rebound by K. Anderson,13,14
1,5:26.0,,M. Gasol misses 3-pt jump shot from 26 ft,13,14
1,5:23.0,Defensive rebound by J. Tatum,,13,14
1,5:17.0,J. Tatum makes 2-pt layup at rim (assist by A. Horford),,15,14
1,4:56.0,,M. Conley misses 3-pt jump shot from 27 ft,15,14
1,4:53.0,Defensive rebound by J. Tatum,,15,14
1,4:45.0,Turnover by A. Horford (bad pass; steal by G. Temple),,15,14
1,4:38.0,,K. Anderson misses 3-pt jump shot from 26 ft,15,14
1,4:35.0,Defensive rebound by M. Morris,,15,14
1,4:25.0,Shooting foul by M. Conley (drawn by M. Morris),,15,14
1,4:25.0,M. Morris makes free throw 1 of 2,,16,14
1,4:25.0,G. Hayward enters the game for A. Horford,,16,14
1,4:25.0,D. Theis enters the game for M. Smart,,16,14
1,4:25.0,,D. Brooks enters the game for M. Conley,16,14
1,4:25.0,,J. Green enters the game for J. Jackson,16,14
1,4:25.0,,S. Mack enters the game for G. Temple,16,14
1,4:25.0,M. Morris makes free throw 2 of 2,,17,14
1,4:07.0,,M. Gasol makes 2-pt hook shot from 7 ft,17,16
1,3:54.0,G. Hayward makes 2-pt jump shot from 4 ft (assist by K. Irving),,19,16
1,3:54.0,Shooting foul by J. Green (drawn by G. Hayward),,19,16
1,3:54.0,J. Brown enters the game for J. Tatum,,19,16
1,3:54.0,G. Hayward makes free throw 1 of 1,,20,16
1,3:37.0,,M. Gasol makes 2-pt jump shot from 7 ft,20,18
1,3:18.0,M. Morris makes 3-pt jump shot from 25 ft (assist by G. Hayward),,23,18
1,2:59.0,,Turnover by J. Green (traveling),23,18
1,2:59.0,Boston full timeout,,23,18
1,2:59.0,T. Rozier enters the game for K. Irving,,23,18
1,2:59.0,,W. Selden enters the game for K. Anderson,23,18
1,2:48.0,J. Brown makes 2-pt jump shot from 11 ft (assist by G. Hayward),,25,18
1,2:48.0,Shooting foul by W. Selden (drawn by J. Brown),,25,18
1,2:48.0,J. Brown misses free throw 1 of 1,,25,18
1,2:46.0,,Defensive rebound by J. Green,25,18
1,2:29.0,,J. Green makes 2-pt jump shot from 22 ft (assist by D. Brooks),25,20
1,2:13.0,Turnover by J. Brown (out of bounds lost ball),,25,20
1,2:13.0,,M. Conley enters the game for M. Gasol,25,20
1,2:13.0,,J. Noah enters the game for S. Mack,25,20
1,1:55.0,,W. Selden makes 2-pt jump shot from 7 ft,25,22
1,1:36.0,D. Theis misses 2-pt jump shot from 9 ft,,25,22
1,1:35.0,Offensive rebound by Team,,25,22
1,1:35.0,S. Ojeleye enters the game for M. Morris,,25,22
1,1:31.0,Turnover by T. Rozier (lost ball; steal by M. Conley),,25,22
1,1:26.0,,W. Selden misses 2-pt layup from 1 ft,25,22
1,1:24.0,,Offensive rebound by W. Selden,25,22
1,1:19.0,Violation by Team (kicked ball),,25,22
1,1:06.0,,D. Brooks makes 2-pt jump shot from 8 ft (assist by W. Selden),25,24
1,0:52.0,T. Rozier misses 3-pt jump shot from 25 ft,,25,24
1,0:50.0,,Defensive rebound by W. Selden,25,24
1,0:44.0,,W. Selden makes 2-pt layup at rim,25,26
1,0:27.0,T. Rozier makes 2-pt jump shot from 2 ft (assist by D. Theis),,27,26
1,0:02.0,,Turnover by Team (shot clock),27,26
1,0:01.0,J. Brown makes 2-pt jump shot from 20 ft (assist by S. Ojeleye),,29,26
2,11:37.0,,W. Selden misses 3-pt jump shot from 22 ft,29,26
2,11:35.0,,Offensive rebound by J. Noah,29,26
2,11:33.0,,D. Brooks makes 3-pt jump shot from 25 ft (assist by J. Noah),29,29
2,11:18.0,Shooting foul by J. Noah (drawn by D. Theis),,29,29
2,11:18.0,D. Theis makes free throw 1 of 2,,30,29
2,11:18.0,D. Theis misses free throw 2 of 2,,30,29
2,11:16.0,,Defensive rebound by J. Green,30,29
2,10:56.0,,Shooting foul by J. Brown (drawn by D. Brooks),30,29
2,10:56.0,,D. Brooks makes free throw 1 of 2,30,30
2,10:56.0,,D. Brooks makes free throw 2 of 2,30,31
2,10:46.0,Turnover by G. Hayward (bad pass; steal by M. Conley),,30,31
