QUARTER,TIME_REMAINING,BROOKLYN_ACTION,WASHINGTON_ACTION,BROOKLYN_SCORE,WASHINGTON_SCORE
1,11:38.0,A. Crabbe misses 2-pt jump shot from 8 ft,,0,0
1,11:35.0,,Defensive rebound by T. Bryant,0,0
1,11:24.0,,O. Porter makes 2-pt jump shot from 10 ft,0,2
1,11:04.0,A. Crabbe makes 3-pt jump shot from 29 ft (assist by D. Russell),,3,2
1,10:41.0,,Turnover by T. Satoranský (bad pass; steal by A. Crabbe),3,2
1,10:35.0,D. Russell misses 3-pt jump shot from 25 ft,,3,2
1,10:31.0,,Defensive rebound by T. Bryant,3,2
1,10:23.0,,B. Beal misses 2-pt jump shot from 20 ft,3,2
1,10:19.0,Defensive rebound by D. Russell,,3,2
1,10:01.0,A. Crabbe misses 2-pt jump shot from 20 ft,,3,2
1,9:57.0,,Defensive rebound by J. Wall,3,2
1,9:55.0,,Personal foul by D. Russell (drawn by T. Satoranský),3,2
1,9:50.0,,T. Bryant misses 3-pt jump shot from 25 ft,3,2
1,9:48.0,Defensive rebound by J. Allen,,3,2
1,9:41.0,S. Dinwiddie makes 2-pt layup from 2 ft,,5,2
1,9:22.0,,B. Beal misses 2-pt jump shot from 10 ft,5,2
1,9:19.0,Defensive rebound by S. Dinwiddie,,5,2
1,9:15.0,D. Russell misses 3-pt jump shot from 26 ft,,5,2
1,9:12.0,,Defensive rebound by T. Satoranský,5,2
1,9:08.0,,J. Wall misses 3-pt jump shot from 27 ft,5,2
1,9:05.0,,Offensive rebound by O. Porter,5,2
1,9:04.0,,O. Porter misses 2-pt layup from 3 ft,5,2
1,9:02.0,Defensive rebound by R. Hollis-Jefferson,,5,2
1,8:47.0,R. Hollis-Jefferson misses 2-pt jump shot from 12 ft,,5,2
1,8:45.0,,Defensive rebound by O. Porter,5,2
1,8:37.0,,J. Wall makes 2-pt jump shot from 17 ft,5,4
1,8:28.0,Personal foul by T. Satoranský (drawn by D. Russell),,5,4
1,8:16.0,D. Russell makes 2-pt jump shot from 10 ft,,7,4
1,8:07.0,,Turnover by B. Beal (bad pass; steal by D. Russell),7,4
1,8:05.0,D. Russell makes 3-pt jump shot from 26 ft,,10,4
1,7:48.0,,T. Satoranský makes 2-pt jump shot from 9 ft (assist by J. Wall),10,6
1,7:30.0,Turnover by J. Allen (lost ball; steal by J. Wall),,10,6
1,7:25.0,,J. Wall makes 2-pt jump shot from 14 ft,10,8
1,7:14.0,Turnover by S. Dinwiddie (bad pass),,10,8
1,7:04.0,,J. Wall makes 2-pt jump shot from 15 ft,10,10
1,6:39.0,Turnover by R. Hollis-Jefferson (lost ball; steal by T. Bryant),,10,10
1,6:35.0,,O. Porter misses 3-pt jump shot from 24 ft,10,10
1,6:30.0,,Offensive rebound by T. Bryant,10,10
1,6:28.0,,J. Wall misses 3-pt jump shot from 26 ft,10,10
1,6:25.0,Defensive rebound by A. Crabbe,,10,10
1,6:17.0,S. Dinwiddie misses 2-pt layup from 2 ft,,10,10
1,6:13.0,Offensive rebound by J. Allen,,10,10
1,6:13.0,J. Allen misses 2-pt layup from 1 ft,,10,10
1,6:12.0,,Defensive rebound by O. Porter,10,10
1,6:08.0,,Offensive foul by T. Bryant (drawn by A. Crabbe),10,10
1,6:08.0,,Turnover by T. Bryant (offensive foul),10,10
1,6:08.0,,Washington full timeout,10,10
1,6:08.0,S. Napier enters the game for D. Russell,,10,10
1,5:56.0,A. Crabbe misses 2-pt jump shot from 5 ft,,10,10
1,5:46.0,Offensive rebound by R. Hollis-Jefferson,,10,10
1,5:46.0,R. Hollis-Jefferson misses 2-pt layup from 1 ft,,10,10
1,5:45.0,,Defensive rebound by O. Porter,10,10
1,5:37.0,,B. Beal makes 2-pt layup from 2 ft (assist by T. Bryant),10,12
1,5:09.0,S. Napier misses 2-pt jump shot from 15 ft,,10,12
1,5:07.0,,Defensive rebound by J. Wall,10,12
1,4:55.0,,T. Satoranský makes 2-pt layup from 2 ft (assist by J. Wall),10,14
1,4:38.0,S. Napier misses 3-pt jump shot from 26 ft,,10,14
1,4:35.0,,Defensive rebound by T. Bryant,10,14
1,4:29.0,,B. Beal misses 3-pt jump shot from 25 ft,10,14
1,4:27.0,Defensive rebound by R. Hollis-Jefferson,,10,14
1,4:21.0,Shooting foul by O. Porter (drawn by R. Hollis-Jefferson),,10,14
1,4:21.0,R. Hollis-Jefferson makes free throw 1 of 2,,11,14
1,4:21.0,D. Carroll enters the game for J. Allen,,11,14
1,4:21.0,E. Davis enters the game for S. Dinwiddie,,11,14
1,4:21.0,,M. Morris enters the game for T. Bryant,11,14
1,4:21.0,,K. Oubre enters the game for T. Satoranský,11,14
1,4:21.0,R. Hollis-Jefferson makes free throw 2 of 2,,12,14
1,4:08.0,,B. Beal misses 2-pt jump shot from 21 ft,12,14
1,4:06.0,Defensive rebound by R. Hollis-Jefferson,,12,14
1,3:47.0,D. Carroll misses 2-pt jump shot from 5 ft,,12,14
1,3:46.0,,Defensive rebound by Team,12,14
1,3:46.0,J. Dudley enters the game for R. Hollis-Jefferson,,12,14
1,3:36.0,,J. Wall makes 2-pt dunk from 2 ft,12,16
1,3:14.0,Turnover by J. Dudley (bad pass; steal by M. Morris),,12,16
1,3:07.0,,Turnover by K. Oubre (lost ball; steal by A. Crabbe),12,16
1,3:01.0,D. Carroll makes 3-pt jump shot from 23 ft (assist by S. Napier),,15,16
1,2:38.0,,B. Beal makes 2-pt jump shot from 15 ft,15,18
1,2:38.0,Brooklyn full timeout,,15,18
1,2:38.0,D. Russell enters the game for A. Crabbe,,15,18
1,2:26.0,D. Carroll misses 3-pt jump shot from 23 ft,,15,18
1,2:23.0,,Defensive rebound by O. Porter,15,18
1,2:06.0,,M. Morris misses 3-pt jump shot from 26 ft,15,18
1,2:04.0,,Offensive rebound by Team,15,18
1,2:04.0,,A. Rivers enters the game for B. Beal,15,18
1,1:53.0,,J. Wall makes 2-pt layup from 1 ft,15,20
1,1:39.0,S. Napier misses 2-pt jump shot from 16 ft,,15,20
1,1:36.0,Offensive rebound by E. Davis,,15,20
1,1:34.0,E. Davis misses 2-pt layup at rim,,15,20
1,1:34.0,Offensive rebound by E. Davis,,15,20
1,1:31.0,E. Davis makes 2-pt layup from 1 ft,,17,20
1,1:13.0,,K. Oubre makes 2-pt dunk from 3 ft (assist by J. Wall),17,22
1,0:57.0,Personal foul by K. Oubre (drawn by D. Russell),,17,22
1,0:43.0,D. Russell misses 2-pt jump shot from 18 ft,,17,22
1,0:40.0,,Defensive rebound by K. Oubre,17,22
1,0:34.0,,J. Wall makes 2-pt layup from 2 ft,17,24
1,0:24.0,J. Dudley makes 2-pt layup from 3 ft (assist by D. Russell),,19,24
1,0:01.0,,M. Morris misses 3-pt jump shot from 26 ft,19,24
1,0:01.0,Defensive rebound by Team,,19,24
2,11:45.0,,A. Rivers misses 3-pt jump shot from 26 ft,19,24
2,11:41.0,Defensive rebound by E. Davis,,19,24
2,11:23.0,D. Russell makes 2-pt jump shot from 16 ft,,21,24
2,11:07.0,,B. Beal makes 2-pt jump shot from 20 ft,21,26
2,10:48.0,J. Dudley misses 2-pt layup from 3 ft (block by M. Morris),,21,26
2,10:48.0,Offensive rebound by Team,,21,26
2,10:48.0,Turnover by D. Carroll (bad pass),,21,26
2,10:36.0,,B. Beal misses 2-pt jump shot from 20 ft,21,26
2,10:33.0,Defensive rebound by E. Davis,,21,26
2,10:30.0,J. Dudley misses 3-pt jump shot from 25 ft,,21,26
2,10:27.0,,Defensive rebound by M. Morris,21,26
2,10:10.0,,M. Morris makes 2-pt jump shot from 15 ft,21,28
2,10:08.0,,Violation by Team (delay of game),21,28
2,9:57.0,S. Napier misses 3-pt jump shot from 26 ft,,21,28
2,9:54.0,Offensive rebound by E. Davis,,21,28
2,9:54.0,E. Davis makes 2-pt dunk from 1 ft,,23,28
2,9:54.0,Shooting foul by M. Morris (drawn by E. Davis),,23,28
2,9:54.0,E. Davis makes free throw 1 of 1,,24,28
2,9:35.0,,K. Oubre misses 2-pt layup from 3 ft,24,28
2,9:33.0,Defensive rebound by E. Davis,,24,28
2,9:26.0,D. Carroll misses 3-pt jump shot from 24 ft,,24,28
2,9:24.0,,Defensive rebound by K. Oubre,24,28
2,9:13.0,,Turnover by A. Rivers (lost ball; steal by S. Napier),24,28
2,9:03.0,S. Napier misses 2-pt jump shot from 15 ft,,24,28
2,9:02.0,,Defensive rebound by Team,24,28
2,9:02.0,Loose ball foul by E. Davis (drawn by B. Beal),,24,28
2,8:40.0,,K. Oubre makes 3-pt jump shot from 27 ft,24,31
2,8:13.0,S. Napier misses 3-pt jump shot from 26 ft,,24,31
2,8:09.0,Offensive rebound by E. Davis,,24,31
2,7:58.0,D. Carroll misses 3-pt jump shot from 25 ft,,24,31
2,7:56.0,Offensive rebound by D. Carroll,,24,31
2,7:55.0,D. Carroll makes 2-pt layup from 1 ft,,26,31
2,7:37.0,,B. Beal makes 2-pt layup from 3 ft,26,33
2,7:27.0,Offensive foul by D. Russell (drawn by K. Oubre),,26,33
2,7:27.0,Turnover by D. Russell (offensive foul),,26,33
2,7:27.0,,J. Wall enters the game for T. Satoranský,26,33
2,7:05.0,,A. Rivers makes 3-pt jump shot from 28 ft (assist by M. Morris),26,36
2,6:47.0,D. Carroll misses 2-pt hook shot from 5 ft,,26,36
2,6:46.0,,Defensive rebound by A. Rivers,26,36
2,6:29.0,,Turnover by M. Morris (3 sec),26,36
2,6:29.0,,Washington full timeout,26,36
2,6:29.0,A. Crabbe enters the game for D. Carroll,,26,36
2,6:29.0,S. Dinwiddie enters the game for D. Russell,,26,36
2,6:04.0,E. Davis misses 2-pt jump shot from 7 ft (block by B. Beal),,26,36
2,6:01.0,,Defensive rebound by M. Morris,26,36
2,5:55.0,,A. Rivers misses 2-pt layup from 6 ft,26,36
2,5:55.0,Defensive rebound by Team,,26,36
2,5:55.0,J. Allen enters the game for E. Davis,,26,36
2,5:55.0,R. Hollis-Jefferson enters the game for J. Dudley,,26,36
2,5:43.0,S. Napier misses 3-pt jump shot from 26 ft,,26,36
2,5:41.0,,Defensive rebound by B. Beal,26,36
2,5:37.0,,K. Oubre misses 2-pt jump shot from 5 ft,26,36
2,5:35.0,Defensive rebound by J. Allen,,26,36
2,5:35.0,,O. Porter enters the game for A. Rivers,26,36
2,5:18.0,R. Hollis-Jefferson misses 2-pt jump shot from 13 ft,,26,36
2,5:16.0,,Defensive rebound by K. Oubre,26,36
2,5:01.0,,Shooting foul by A. Crabbe (drawn by B. Beal),26,36
2,5:01.0,,B. Beal makes free throw 1 of 2,26,37
2,5:01.0,,B. Beal makes free throw 2 of 2,26,38
