QUARTER,TIME_REMAINING,BOSTON_ACTION,ATLANTA_ACTION,BOSTON_SCORE,ATLANTA_SCORE
1,11:26.0,,Turnover by Team (shot clock),0,0
1,11:18.0,K. Irving misses 2-pt layup from 2 ft,,0,0
1,11:14.0,Offensive rebound by A. Baynes,,0,0
1,11:14.0,A. Baynes makes 2-pt layup from 1 ft,,2,0
1,11:04.0,,Turnover by J. Collins (bad pass; steal by J. Tatum),2,0
1,11:00.0,J. Brown misses 3-pt jump shot from 23 ft,,2,0
1,10:55.0,,Defensive rebound by D. Dedmon,2,0
1,10:48.0,,D. Dedmon makes 2-pt jump shot from 5 ft (assist by K. Bazemore),2,2
1,10:25.0,M. Morris misses 3-pt jump shot from 24 ft,,2,2
1,10:22.0,Offensive rebound by A. Baynes,,2,2
1,10:15.0,K. Irving makes 3-pt jump shot from 26 ft (assist by A. Baynes),,5,2
1,10:04.0,,D. Dedmon makes 2-pt jump shot from 20 ft (assist by T. Young),5,4
1,9:51.0,K. Irving misses 3-pt jump shot from 25 ft,,5,4
1,9:43.0,,Defensive rebound by D. Dedmon,5,4
1,9:35.0,,T. Prince misses 2-pt layup from 5 ft,5,4
1,9:32.0,Defensive rebound by J. Brown,,5,4
1,9:27.0,Personal foul by T. Prince (drawn by J. Brown),,5,4
1,9:20.0,K. Irving makes 3-pt jump shot from 26 ft (assist by J. Brown),,8,4
1,9:04.0,,Shooting foul by A. Baynes (drawn by J. Collins),8,4
1,9:04.0,,J. Collins misses free throw 1 of 2,8,4
1,9:04.0,,Offensive rebound by Team,8,4
1,9:04.0,,J. Collins makes free throw 2 of 2,8,5
1,8:46.0,A. Baynes makes 2-pt hook shot from 8 ft (assist by J. Brown),,10,5
1,8:27.0,,T. Prince misses 3-pt jump shot from 26 ft,10,5
1,8:26.0,Defensive rebound by Team,,10,5
1,8:13.0,J. Brown makes 2-pt jump shot from 18 ft,,12,5
1,8:13.0,Away from play foul by T. Prince (drawn by A. Baynes),,12,5
1,8:13.0,,J. Lin enters the game for T. Prince,12,5
1,8:13.0,A. Baynes makes free throw 1 of 1,,13,5
1,8:02.0,,D. Dedmon misses 2-pt layup from 2 ft,13,5
1,7:59.0,Defensive rebound by M. Morris,,13,5
1,7:40.0,J. Brown misses 3-pt jump shot from 26 ft,,13,5
1,7:37.0,,Defensive rebound by J. Collins,13,5
1,7:29.0,,J. Collins makes 2-pt dunk from 2 ft (assist by T. Young),13,7
1,7:08.0,J. Tatum misses 2-pt layup at rim (block by T. Young),,13,7
1,7:07.0,Offensive rebound by Team,,13,7
1,7:07.0,,A. Len enters the game for D. Dedmon,13,7
1,6:59.0,J. Tatum makes 2-pt jump shot from 15 ft,,15,7
1,6:45.0,,J. Lin makes 2-pt layup from 1 ft,15,9
1,6:33.0,A. Baynes makes 3-pt jump shot from 26 ft (assist by K. Irving),,18,9
1,6:17.0,,T. Young makes 2-pt jump shot from 10 ft,18,11
1,6:05.0,K. Irving makes 2-pt jump shot from 23 ft (assist by A. Baynes),,20,11
1,5:54.0,,Shooting foul by J. Tatum (drawn by A. Len),20,11
1,5:54.0,,Atlanta full timeout,20,11
1,5:54.0,G. Hayward enters the game for J. Brown,,20,11
1,5:54.0,,K. Huerter enters the game for K. Bazemore,20,11
1,5:54.0,,O. Spellman enters the game for J. Collins,20,11
1,5:54.0,,A. Len makes free throw 1 of 2,20,12
1,5:54.0,,A. Len misses free throw 2 of 2,20,12
1,5:52.0,Defensive rebound by M. Morris,,20,12
1,5:29.0,G. Hayward makes 2-pt jump shot from 23 ft (assist by K. Irving),,22,12
1,5:29.0,,D. Bembry enters the game for T. Young,22,12
1,5:16.0,,J. Lin makes 2-pt jump shot from 15 ft,22,14
1,5:04.0,J. Tatum makes 2-pt jump shot from 18 ft (assist by K. Irving),,24,14
1,4:53.0,,Personal foul by K. Irving (drawn by J. Lin),24,14
1,4:50.0,,Turnover by A. Len (bad pass),24,14
1,4:37.0,K. Irving makes 3-pt jump shot from 26 ft (assist by A. Baynes),,27,14
1,4:24.0,,A. Len misses 3-pt jump shot from 26 ft,27,14
1,4:21.0,Defensive rebound by J. Tatum,,27,14
1,4:17.0,J. Tatum makes 3-pt jump shot from 26 ft,,30,14
1,4:16.0,,Atlanta full timeout,30,14
1,4:16.0,M. Smart enters the game for K. Irving,,30,14
1,4:01.0,,K. Huerter makes 2-pt jump shot from 8 ft,30,16
1,3:47.0,M. Morris makes 3-pt jump shot from 26 ft (assist by A. Baynes),,33,16
1,3:32.0,,J. Lin misses 3-pt jump shot from 26 ft,33,16
1,3:29.0,Defensive rebound by M. Morris,,33,16
1,3:20.0,M. Morris makes 3-pt jump shot from 24 ft (assist by M. Smart),,36,16
1,3:02.0,,D. Bembry misses 3-pt jump shot from 25 ft,36,16
1,2:59.0,Defensive rebound by G. Hayward,,36,16
1,2:51.0,G. Hayward misses 2-pt jump shot from 13 ft,,36,16
1,2:50.0,Offensive rebound by Team,,36,16
1,2:50.0,,Loose ball foul by D. Bembry (drawn by A. Baynes),36,16
1,2:47.0,Turnover by A. Baynes (bad pass; steal by J. Lin),,36,16
1,2:44.0,,J. Lin makes 2-pt layup from 2 ft,36,18
1,2:35.0,Personal foul by K. Huerter (drawn by G. Hayward),,36,18
1,2:22.0,M. Morris makes 2-pt jump shot from 19 ft (assist by G. Hayward),,38,18
1,2:11.0,,Personal foul by M. Smart (drawn by J. Lin),38,18
1,2:11.0,T. Rozier enters the game for A. Baynes,,38,18
1,2:11.0,D. Theis enters the game for J. Tatum,,38,18
1,2:11.0,,J. Collins enters the game for A. Len,38,18
1,2:11.0,,D. Dedmon enters the game for O. Spellman,38,18
1,2:02.0,,Turnover by J. Collins (bad pass; steal by M. Morris),38,18
1,1:58.0,M. Morris misses 2-pt layup from 2 ft (block by D. Bembry),,38,18
1,1:55.0,,Defensive rebound by K. Huerter,38,18
1,1:52.0,,D. Dedmon makes 3-pt jump shot from 25 ft (assist by K. Huerter),38,21
1,1:35.0,Shooting foul by J. Lin (drawn by M. Smart),,38,21
1,1:35.0,M. Smart makes free throw 1 of 2,,39,21
1,1:35.0,M. Smart makes free throw 2 of 2,,40,21
1,1:16.0,,D. Bembry misses 3-pt jump shot from 26 ft,40,21
1,1:14.0,,Offensive rebound by K. Huerter,40,21
1,1:11.0,,J. Collins makes 2-pt layup from 1 ft (assist by K. Huerter),40,23
1,0:49.0,M. Smart misses 2-pt jump shot from 8 ft (block by D. Bembry),,40,23
1,0:46.0,,Defensive rebound by J. Collins,40,23
1,0:42.0,,K. Huerter misses 3-pt jump shot from 26 ft,40,23
1,0:39.0,Defensive rebound by Team,,40,23
1,0:39.0,S. Ojeleye enters the game for M. Morris,,40,23
