QUARTER,TIME_REMAINING,ATLANTA_ACTION,CHICAGO_ACTION,ATLANTA_SCORE,CHICAGO_SCORE
1,11:43.0,,C. Hutchison misses 3-pt jump shot from 23 ft,0,0
1,11:40.0,Defensive rebound by T. Prince,,0,0
1,11:38.0,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),,2,0
1,11:38.0,,Violation by Team (def goaltending),2,0
1,11:19.0,,L. Markkanen misses 3-pt jump shot from 27 ft,2,0
1,11:19.0,Defensive rebound by D. Bembry,,2,0
1,11:11.0,D. Bembry misses 2-pt layup from 2 ft,,2,0
1,11:09.0,,Defensive rebound by R. Lopez,2,0
1,11:06.0,,Shooting foul by T. Prince (drawn by L. Markkanen),2,0
1,11:06.0,,L. Markkanen makes free throw 1 of 2,2,1
1,11:06.0,,L. Markkanen makes free throw 2 of 2,2,2
1,10:49.0,T. Prince makes 3-pt jump shot from 22 ft (assist by D. Bembry),,5,2
1,10:32.0,,L. Markkanen misses 3-pt jump shot from 26 ft,5,2
1,10:29.0,Defensive rebound by T. Young,,5,2
1,10:22.0,D. Dedmon misses 3-pt jump shot from 25 ft,,5,2
1,10:20.0,,Defensive rebound by Z. LaVine,5,2
1,10:14.0,,C. Hutchison makes 2-pt dunk from 1 ft (assist by Z. LaVine),5,4
1,9:52.0,J. Collins makes 3-pt jump shot from 23 ft (assist by D. Bembry),,8,4
1,9:31.0,,Turnover by R. Lopez (bad pass; steal by J. Collins),8,4
1,9:20.0,T. Young misses 2-pt layup from 5 ft (block by K. Dunn),,8,4
1,9:16.0,,Defensive rebound by L. Markkanen,8,4
1,9:16.0,,C. Hutchison makes 2-pt layup from 1 ft (assist by L. Markkanen),8,6
1,8:51.0,J. Collins makes 3-pt jump shot from 23 ft (assist by T. Prince),,11,6
1,8:35.0,,Offensive foul by R. Lopez (drawn by T. Prince),11,6
1,8:35.0,,Turnover by R. Lopez (offensive foul),11,6
1,8:27.0,D. Dedmon makes 2-pt dunk at rim (assist by T. Young),,13,6
1,8:27.0,,Chicago full timeout,13,6
1,8:11.0,,Z. LaVine misses 2-pt jump shot from 21 ft,13,6
1,8:09.0,Defensive rebound by Team,,13,6
1,7:55.0,D. Bembry makes 2-pt layup from 1 ft,,15,6
1,7:41.0,,L. Markkanen makes 2-pt layup from 1 ft (assist by K. Dunn),15,8
1,7:36.0,Personal foul by K. Dunn (drawn by T. Young),,15,8
1,7:36.0,D. Hamilton enters the game for D. Bembry,,15,8
1,7:28.0,D. Hamilton makes 3-pt jump shot from 22 ft (assist by J. Collins),,18,8
1,7:07.0,,L. Markkanen misses 2-pt hook shot from 6 ft,18,8
1,7:07.0,,Offensive rebound by R. Lopez,18,8
1,7:07.0,,Shooting foul by D. Dedmon (drawn by R. Lopez),18,8
1,7:07.0,,R. Lopez makes free throw 1 of 2,18,9
1,7:07.0,,R. Lopez misses free throw 2 of 2,18,9
1,7:05.0,Defensive rebound by D. Dedmon,,18,9
1,6:50.0,T. Young misses 2-pt jump shot from 20 ft,,18,9
1,6:40.0,Offensive rebound by D. Dedmon,,18,9
1,6:40.0,D. Dedmon makes 2-pt layup from 1 ft,,20,9
1,6:35.0,,K. Dunn misses 2-pt jump shot from 21 ft,20,9
1,6:33.0,Defensive rebound by J. Collins,,20,9
1,6:31.0,J. Collins makes 2-pt dunk at rim (assist by T. Young),,22,9
1,6:31.0,Shooting foul by C. Hutchison (drawn by J. Collins),,22,9
1,6:31.0,A. Len enters the game for D. Dedmon,,22,9
1,6:31.0,,B. Portis enters the game for R. Lopez,22,9
1,6:31.0,J. Collins makes free throw 1 of 1,,23,9
1,6:21.0,,B. Portis misses 3-pt jump shot from 26 ft,23,9
1,6:18.0,Defensive rebound by A. Len,,23,9
1,6:12.0,D. Hamilton makes 3-pt jump shot from 23 ft (assist by T. Young),,26,9
1,6:12.0,,Chicago full timeout,26,9
1,6:12.0,J. Anderson enters the game for J. Collins,,26,9
1,6:12.0,O. Spellman enters the game for T. Prince,,26,9
1,5:57.0,,K. Dunn misses 2-pt jump shot from 7 ft,26,9
1,5:54.0,Defensive rebound by A. Len,,26,9
1,5:46.0,T. Young misses 3-pt jump shot from 25 ft,,26,9
1,5:41.0,Offensive rebound by A. Len,,26,9
1,5:38.0,A. Len makes 2-pt layup from 2 ft,,28,9
1,5:27.0,,Z. LaVine makes 2-pt layup from 1 ft,28,11
1,5:12.0,A. Len misses 2-pt dunk from 1 ft (block by C. Hutchison),,28,11
1,5:08.0,,Defensive rebound by K. Dunn,28,11
1,5:08.0,J. Lin enters the game for T. Young,,28,11
1,5:06.0,,Z. LaVine misses 2-pt jump shot from 20 ft,28,11
1,5:02.0,Defensive rebound by O. Spellman,,28,11
1,4:54.0,D. Hamilton misses 2-pt jump shot from 5 ft (block by L. Markkanen),,28,11
1,4:51.0,,Defensive rebound by C. Hutchison,28,11
1,4:49.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by C. Hutchison),28,13
1,4:31.0,J. Lin makes 2-pt layup at rim (assist by A. Len),,30,13
1,4:17.0,,Z. LaVine makes 3-pt jump shot from 26 ft (assist by B. Portis),30,16
1,3:55.0,Shooting foul by Z. LaVine (drawn by A. Len),,30,16
1,3:55.0,A. Len makes free throw 1 of 2,,31,16
1,3:55.0,A. Len makes free throw 2 of 2,,32,16
1,3:43.0,,B. Portis makes 2-pt layup from 1 ft (assist by Z. LaVine),32,18
1,3:25.0,A. Len misses 2-pt layup from 1 ft,,32,18
1,3:23.0,Offensive rebound by J. Anderson,,32,18
1,3:23.0,Turnover by J. Anderson (traveling),,32,18
1,3:10.0,,Personal foul by O. Spellman (drawn by B. Portis),32,18
1,3:02.0,,B. Portis misses 2-pt jump shot from 23 ft,32,18
1,2:58.0,Defensive rebound by A. Len,,32,18
1,2:52.0,Shooting foul by B. Portis (drawn by O. Spellman),,32,18
1,2:52.0,O. Spellman misses free throw 1 of 2,,32,18
1,2:52.0,Offensive rebound by Team,,32,18
1,2:52.0,D. Bembry enters the game for D. Hamilton,,32,18
1,2:52.0,,R. Arcidiacono enters the game for L. Markkanen,32,18
1,2:52.0,O. Spellman makes free throw 2 of 2,,33,18
1,2:37.0,,K. Dunn makes 3-pt jump shot from 27 ft,33,21
1,2:20.0,J. Anderson makes 2-pt dunk from 1 ft,,35,21
1,2:20.0,Shooting foul by R. Arcidiacono (drawn by J. Anderson),,35,21
1,2:20.0,J. Anderson misses free throw 1 of 1,,35,21
1,2:17.0,,Defensive rebound by C. Hutchison,35,21
1,2:08.0,,Shooting foul by J. Lin (drawn by Z. LaVine),35,21
1,2:08.0,,Z. LaVine makes free throw 1 of 2,35,22
1,2:08.0,J. Collins enters the game for A. Len,,35,22
1,2:08.0,D. Dedmon enters the game for O. Spellman,,35,22
1,2:08.0,,Z. LaVine makes free throw 2 of 2,35,23
1,1:54.0,J. Anderson misses 3-pt jump shot from 25 ft,,35,23
1,1:51.0,,Defensive rebound by R. Arcidiacono,35,23
1,1:46.0,,Personal foul by D. Dedmon (drawn by Z. LaVine),35,23
1,1:46.0,,Z. LaVine makes free throw 1 of 2,35,24
1,1:46.0,T. Young enters the game for D. Bembry,,35,24
1,1:46.0,,Z. LaVine makes free throw 2 of 2,35,25
1,1:35.0,J. Anderson makes 3-pt jump shot from 26 ft (assist by T. Young),,38,25
1,1:12.0,,Z. LaVine misses 3-pt jump shot from 26 ft,38,25
1,1:10.0,Defensive rebound by D. Dedmon,,38,25
1,0:59.0,J. Collins misses 2-pt jump shot from 4 ft,,38,25
1,0:56.0,,Defensive rebound by C. Hutchison,38,25
1,0:46.0,,B. Portis misses 2-pt hook shot from 7 ft,38,25
1,0:42.0,Defensive rebound by T. Young,,38,25
1,0:39.0,Personal foul by R. Arcidiacono (drawn by J. Collins),,38,25
1,0:39.0,J. Collins makes free throw 1 of 2,,39,25
1,0:39.0,,S. Harrison enters the game for K. Dunn,39,25
1,0:39.0,J. Collins makes free throw 2 of 2,,40,25
1,0:28.0,,S. Harrison misses 2-pt layup from 2 ft,40,25
1,0:24.0,Defensive rebound by D. Dedmon,,40,25
1,0:08.0,J. Collins makes 2-pt layup from 1 ft (assist by D. Dedmon),,42,25
1,0:00.0,,Z. LaVine misses 3-pt jump shot from 26 ft,42,25
1,0:00.0,,Offensive rebound by Team,42,25
2,11:49.0,Offensive foul by J. Collins (drawn by L. Markkanen),,42,25
2,11:49.0,Turnover by J. Collins (offensive foul),,42,25
2,11:34.0,,S. Harrison misses 3-pt jump shot from 27 ft,42,25
2,11:31.0,Defensive rebound by T. Prince,,42,25
2,11:18.0,Turnover by J. Collins (bad pass),,42,25
2,11:10.0,,Turnover by L. Markkanen (bad pass; steal by D. Bembry),42,25
2,11:02.0,D. Bembry misses 2-pt layup from 2 ft,,42,25
2,10:58.0,,Defensive rebound by B. Portis,42,25
