QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PHILADELPHIA_ACTION,BROOKLYN_SCORE,PHILADELPHIA_SCORE
1,11:54.0,,B. Simmons misses 2-pt jump shot from 5 ft,0,0
1,11:51.0,,Offensive rebound by B. Simmons,0,0
1,11:50.0,,T. Harris misses 3-pt jump shot from 26 ft,0,0
1,11:48.0,Defensive rebound by Team,,0,0
1,11:36.0,D. Russell misses 3-pt jump shot from 25 ft,,0,0
1,11:29.0,Offensive rebound by R. Kurucs,,0,0
1,11:26.0,D. Carroll misses 2-pt jump shot from 4 ft,,0,0
1,11:24.0,Offensive rebound by J. Allen,,0,0
1,11:23.0,Turnover by J. Harris (out of bounds lost ball),,0,0
1,11:13.0,,J. Butler makes 2-pt jump shot from 8 ft,0,2
1,10:52.0,D. Carroll makes 3-pt jump shot from 25 ft (assist by J. Allen),,3,2
1,10:39.0,,T. Harris misses 2-pt jump shot from 9 ft,3,2
1,10:34.0,Defensive rebound by J. Allen,,3,2
1,10:27.0,D. Carroll makes 3-pt jump shot from 26 ft (assist by J. Harris),,6,2
1,10:19.0,,B. Simmons makes 2-pt layup from 3 ft,6,4
1,9:56.0,D. Russell misses 2-pt jump shot from 7 ft,,6,4
1,9:52.0,,Defensive rebound by B. Simmons,6,4
1,9:49.0,,Shooting foul by R. Kurucs (drawn by B. Simmons),6,4
1,9:49.0,,B. Simmons misses free throw 1 of 2,6,4
1,9:49.0,,Offensive rebound by Team,6,4
1,9:49.0,,B. Simmons makes free throw 2 of 2,6,5
1,9:30.0,D. Russell makes 2-pt jump shot from 10 ft,,8,5
1,9:09.0,,B. Simmons makes 2-pt jump shot from 5 ft,8,7
1,8:59.0,Personal foul by J. Redick (drawn by J. Allen),,8,7
1,8:48.0,D. Russell misses 2-pt jump shot from 14 ft,,8,7
1,8:44.0,,Defensive rebound by T. Harris,8,7
1,8:34.0,,T. Harris misses 2-pt layup from 3 ft,8,7
1,8:32.0,Defensive rebound by D. Carroll,,8,7
1,8:29.0,J. Harris misses 3-pt jump shot from 24 ft,,8,7
1,8:24.0,Offensive rebound by D. Carroll,,8,7
1,8:22.0,J. Harris misses 3-pt jump shot from 25 ft,,8,7
1,8:19.0,,Defensive rebound by J. Embiid,8,7
1,8:11.0,,J. Redick makes 2-pt layup from 1 ft (assist by B. Simmons),8,9
1,7:55.0,J. Harris misses 2-pt jump shot from 19 ft,,8,9
1,7:52.0,,Defensive rebound by T. Harris,8,9
1,7:49.0,,Personal foul by J. Allen (drawn by J. Embiid),8,9
1,7:45.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Butler),8,12
1,7:27.0,D. Russell misses 3-pt jump shot from 26 ft,,8,12
1,7:24.0,,Defensive rebound by B. Simmons,8,12
1,7:21.0,,B. Simmons makes 2-pt layup from 1 ft,8,14
1,7:06.0,Offensive foul by D. Russell (drawn by B. Simmons),,8,14
1,7:06.0,Turnover by D. Russell (offensive foul),,8,14
1,7:06.0,,Philadelphia full timeout,8,14
1,7:06.0,S. Dinwiddie enters the game for D. Carroll,,8,14
1,7:06.0,T. Graham enters the game for R. Kurucs,,8,14
1,7:06.0,,B. Marjanović enters the game for J. Embiid,8,14
1,6:54.0,,J. Redick misses 3-pt jump shot from 26 ft,8,14
1,6:53.0,,Offensive rebound by Team,8,14
1,6:53.0,Loose ball foul by J. Harris (drawn by B. Marjanović),,8,14
1,6:47.0,,J. Butler misses 3-pt jump shot from 23 ft,8,14
1,6:44.0,,Offensive rebound by T. Harris,8,14
1,6:42.0,,T. Harris misses 2-pt jump shot from 2 ft,8,14
1,6:42.0,,Offensive rebound by B. Marjanović,8,14
1,6:41.0,,B. Marjanović makes 2-pt layup at rim,8,16
1,6:25.0,S. Dinwiddie makes 2-pt jump shot from 10 ft (assist by J. Allen),,10,16
