QUARTER,TIME_REMAINING,MIAMI_ACTION,MILWAUKEE_ACTION,MIAMI_SCORE,MILWAUKEE_SCORE
1,11:46.0,,K. Middleton misses 2-pt jump shot from 7 ft,0,0
1,11:45.0,,Offensive rebound by K. Middleton,0,0
1,11:43.0,,K. Middleton misses 2-pt layup at rim (block by J. Winslow),0,0
1,11:43.0,Defensive rebound by J. Richardson,,0,0
1,11:33.0,H. Whiteside makes 2-pt jump shot from 14 ft (assist by J. Richardson),,2,0
1,11:20.0,,M. Brogdon makes 2-pt jump shot from 19 ft (assist by G. Antetokounmpo),2,2
1,11:06.0,R. McGruder misses 3-pt jump shot from 24 ft,,2,2
1,11:06.0,,Defensive rebound by E. Bledsoe,2,2
1,10:54.0,,G. Antetokounmpo misses 2-pt layup from 3 ft (block by R. McGruder),2,2
1,10:51.0,Defensive rebound by R. McGruder,,2,2
1,10:48.0,Turnover by J. Winslow (dbl dribble),,2,2
1,10:35.0,,G. Antetokounmpo misses 2-pt layup from 4 ft (block by H. Whiteside),2,2
1,10:31.0,Defensive rebound by J. Johnson,,2,2
1,10:21.0,Turnover by J. Johnson (bad pass; steal by E. Bledsoe),,2,2
1,10:17.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,2,2
1,10:12.0,Defensive rebound by J. Johnson,,2,2
1,10:01.0,H. Whiteside makes 2-pt jump shot from 19 ft (assist by J. Winslow),,4,2
1,9:48.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,4,2
1,9:45.0,Defensive rebound by H. Whiteside,,4,2
1,9:38.0,J. Winslow makes 2-pt jump shot from 14 ft,,6,2
1,9:22.0,,M. Brogdon misses 2-pt layup from 5 ft,6,2
1,9:20.0,Defensive rebound by J. Winslow,,6,2
1,9:07.0,J. Richardson misses 2-pt jump shot from 16 ft,,6,2
1,9:04.0,,Defensive rebound by G. Antetokounmpo,6,2
1,8:57.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,6,2
1,8:55.0,Defensive rebound by J. Richardson,,6,2
1,8:45.0,Turnover by R. McGruder (bad pass; steal by M. Brogdon),,6,2
1,8:42.0,,Shooting foul by J. Winslow (drawn by G. Antetokounmpo),6,2
1,8:42.0,,G. Antetokounmpo misses free throw 1 of 2,6,2
1,8:42.0,,Offensive rebound by Team,6,2
1,8:42.0,,G. Antetokounmpo makes free throw 2 of 2,6,3
1,8:29.0,J. Winslow misses 3-pt jump shot from 27 ft,,6,3
1,8:26.0,,Defensive rebound by G. Antetokounmpo,6,3
1,8:17.0,,E. Bledsoe makes 2-pt jump shot from 13 ft (assist by G. Antetokounmpo),6,5
1,8:01.0,R. McGruder makes 2-pt jump shot from 13 ft (assist by H. Whiteside),,8,5
1,7:52.0,,M. Brogdon misses 2-pt layup from 1 ft,8,5
1,7:49.0,Defensive rebound by J. Winslow,,8,5
1,7:46.0,J. Winslow misses 2-pt layup from 6 ft,,8,5
1,7:43.0,,Defensive rebound by K. Middleton,8,5
1,7:40.0,,K. Middleton misses 2-pt jump shot from 12 ft (block by J. Johnson),8,5
1,7:34.0,,Offensive rebound by G. Antetokounmpo,8,5
1,7:33.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,8,7
1,7:23.0,Turnover by J. Richardson (step out of bounds),,8,7
1,7:23.0,,S. Brown enters the game for M. Brogdon,8,7
