QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DALLAS_ACTION,GOLDEN STATE_SCORE,DALLAS_SCORE
1,11:38.0,,D. Jordan makes 2-pt hook shot from 1 ft (assist by L. Dončić),0,2
1,11:23.0,K. Thompson makes 2-pt jump shot from 19 ft (assist by A. Iguodala),,2,2
1,11:02.0,,L. Dončić makes 3-pt jump shot from 26 ft (assist by D. Finney-Smith),2,5
1,10:49.0,K. Thompson makes 2-pt jump shot from 22 ft (assist by J. Jerebko),,4,5
1,10:34.0,,H. Barnes misses 2-pt layup from 2 ft,4,5
1,10:32.0,Defensive rebound by J. Jerebko,,4,5
1,10:21.0,K. Thompson misses 2-pt jump shot from 9 ft,,4,5
1,10:17.0,,Defensive rebound by D. Jordan,4,5
1,10:14.0,,L. Dončić makes 3-pt jump shot from 29 ft,4,8
1,9:59.0,A. Iguodala misses 2-pt jump shot from 20 ft,,4,8
1,9:57.0,,Defensive rebound by D. Jordan,4,8
1,9:44.0,,Offensive foul by D. Finney-Smith (drawn by J. Jerebko),4,8
1,9:44.0,,Turnover by D. Finney-Smith (offensive foul),4,8
1,9:32.0,K. Durant makes 2-pt dunk at rim (assist by J. Jerebko),,6,8
1,9:19.0,,H. Barnes makes 2-pt jump shot from 19 ft (assist by D. Smith),6,10
1,8:59.0,Turnover by A. Iguodala (bad pass; steal by D. Finney-Smith),,6,10
1,8:48.0,,Shooting foul by J. Jerebko (drawn by L. Dončić),6,10
1,8:48.0,,L. Dončić makes free throw 1 of 2,6,11
1,8:48.0,,L. Dončić makes free throw 2 of 2,6,12
1,8:37.0,K. Thompson misses 3-pt jump shot from 25 ft,,6,12
1,8:33.0,Offensive rebound by K. Looney,,6,12
1,8:30.0,K. Thompson misses 3-pt jump shot from 23 ft,,6,12
1,8:26.0,,Defensive rebound by H. Barnes,6,12
1,8:20.0,,D. Finney-Smith misses 3-pt jump shot from 28 ft,6,12
1,8:17.0,Defensive rebound by K. Durant,,6,12
1,8:11.0,K. Durant makes 2-pt jump shot from 17 ft,,8,12
1,7:47.0,,L. Dončić misses 3-pt jump shot from 32 ft,8,12
1,7:42.0,,Offensive rebound by D. Finney-Smith,8,12
1,7:40.0,,L. Dončić makes 2-pt layup from 2 ft (assist by D. Finney-Smith),8,14
1,7:26.0,K. Durant makes 2-pt jump shot from 4 ft (assist by K. Thompson),,10,14
1,7:18.0,,Personal foul by K. Looney (drawn by D. Jordan),10,14
1,7:14.0,,Offensive foul by D. Jordan (drawn by K. Durant),10,14
1,7:14.0,,Turnover by D. Jordan (offensive foul),10,14
1,7:06.0,K. Thompson misses 3-pt jump shot from 27 ft,,10,14
1,7:02.0,,Defensive rebound by H. Barnes,10,14
1,6:59.0,,D. Smith misses 3-pt jump shot from 28 ft,10,14
1,6:54.0,Defensive rebound by K. Thompson,,10,14
1,6:46.0,K. Looney misses 2-pt layup from 2 ft (block by D. Smith),,10,14
1,6:46.0,Offensive rebound by Team,,10,14
1,6:46.0,,Dallas full timeout,10,14
1,6:38.0,J. Jerebko misses 3-pt jump shot from 27 ft,,10,14
1,6:34.0,,Defensive rebound by H. Barnes,10,14
1,6:28.0,,Personal foul by J. Jerebko (drawn by D. Jordan),10,14
1,6:28.0,D. Jones enters the game for J. Jerebko,,10,14
1,6:16.0,,D. Finney-Smith misses 3-pt jump shot from 22 ft,10,14
1,6:12.0,Defensive rebound by K. Durant,,10,14
1,6:00.0,K. Thompson misses 3-pt jump shot from 24 ft,,10,14
1,5:58.0,,Defensive rebound by D. Jordan,10,14
1,5:51.0,,H. Barnes misses 2-pt jump shot from 14 ft,10,14
1,5:48.0,,Offensive rebound by D. Finney-Smith,10,14
1,5:46.0,,H. Barnes misses 3-pt jump shot from 23 ft,10,14
1,5:44.0,Defensive rebound by D. Jones,,10,14
1,5:38.0,Turnover by A. Iguodala (bad pass; steal by D. Finney-Smith),,10,14
1,5:31.0,,D. Finney-Smith makes 2-pt layup from 2 ft (assist by L. Dončić),10,16
1,5:09.0,Turnover by K. Durant (bad pass; steal by D. Jordan),,10,16
1,5:05.0,,D. Smith makes 2-pt layup from 2 ft,10,18
1,5:05.0,Golden State full timeout,,10,18
1,5:05.0,Q. Cook enters the game for A. Iguodala,,10,18
1,5:05.0,M. Derrickson enters the game for K. Looney,,10,18
1,4:47.0,K. Durant makes 2-pt layup from 2 ft (assist by Q. Cook),,12,18
1,4:47.0,Shooting foul by H. Barnes (drawn by K. Durant),,12,18
1,4:47.0,K. Durant makes free throw 1 of 1,,13,18
1,4:33.0,,Turnover by L. Dončić (bad pass; steal by K. Thompson),13,18
1,4:17.0,K. Durant misses 2-pt jump shot from 13 ft,,13,18
1,4:14.0,,Defensive rebound by L. Dončić,13,18
1,4:06.0,,D. Jordan misses 2-pt hook shot from 2 ft,13,18
1,4:04.0,,Offensive rebound by D. Finney-Smith,13,18
1,4:03.0,,D. Finney-Smith misses 2-pt layup at rim,13,18
1,4:02.0,Defensive rebound by D. Jones,,13,18
1,3:57.0,K. Thompson makes 2-pt jump shot from 19 ft,,15,18
