QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,TORONTO_ACTION,PHILADELPHIA_SCORE,TORONTO_SCORE
1,11:40.0,,S. Ibaka misses 2-pt jump shot from 3 ft,0,0
1,11:38.0,Defensive rebound by J. Embiid,,0,0
1,11:27.0,Turnover by B. Simmons (lost ball; steal by K. Leonard),,0,0
1,11:21.0,,Turnover by P. Siakam (bad pass; steal by R. Covington),0,0
1,11:15.0,M. Fultz misses 3-pt jump shot from 22 ft,,0,0
1,11:11.0,,Defensive rebound by P. Siakam,0,0
1,11:09.0,,K. Lowry misses 2-pt layup from 2 ft,0,0
1,11:09.0,,Offensive rebound by P. Siakam,0,0
1,11:08.0,,Shooting foul by D. Šarić (drawn by P. Siakam),0,0
1,11:08.0,,P. Siakam makes free throw 1 of 2,0,1
1,11:08.0,,P. Siakam makes free throw 2 of 2,0,2
1,10:53.0,J. Embiid makes 2-pt jump shot from 10 ft,,2,2
1,10:34.0,,D. Green misses 3-pt jump shot from 26 ft,2,2
1,10:32.0,Defensive rebound by J. Embiid,,2,2
1,10:27.0,Turnover by B. Simmons (bad pass; steal by K. Leonard),,2,2
1,10:21.0,,K. Leonard misses 3-pt jump shot from 25 ft,2,2
1,10:18.0,Defensive rebound by B. Simmons,,2,2
1,10:12.0,J. Embiid makes 2-pt jump shot from 14 ft (assist by R. Covington),,4,2
1,9:57.0,,S. Ibaka makes 2-pt hook shot from 14 ft (assist by K. Leonard),4,4
1,9:47.0,D. Šarić makes 2-pt layup from 3 ft (assist by B. Simmons),,6,4
1,9:39.0,,S. Ibaka misses 3-pt jump shot from 26 ft,6,4
1,9:37.0,Defensive rebound by B. Simmons,,6,4
1,9:30.0,M. Fultz misses 3-pt jump shot from 23 ft,,6,4
1,9:30.0,,Defensive rebound by P. Siakam,6,4
1,9:23.0,,Turnover by K. Lowry (step out of bounds),6,4
1,9:11.0,M. Fultz makes 2-pt layup from 2 ft,,8,4
1,9:11.0,Shooting foul by K. Lowry (drawn by M. Fultz),,8,4
1,9:11.0,M. Fultz makes free throw 1 of 1,,9,4
1,8:58.0,,K. Leonard makes 2-pt jump shot from 3 ft,9,6
1,8:46.0,R. Covington misses 2-pt jump shot from 12 ft,,9,6
1,8:43.0,,Defensive rebound by K. Leonard,9,6
1,8:41.0,,Shooting foul by R. Covington (drawn by K. Leonard),9,6
1,8:41.0,,K. Leonard misses free throw 1 of 2,9,6
1,8:41.0,,Offensive rebound by Team,9,6
1,8:41.0,,K. Leonard makes free throw 2 of 2,9,7
1,8:24.0,J. Embiid misses 2-pt jump shot from 5 ft (block by S. Ibaka),,9,7
1,8:19.0,,Defensive rebound by K. Leonard,9,7
1,8:11.0,,P. Siakam misses 3-pt jump shot from 23 ft,9,7
1,8:09.0,Defensive rebound by M. Fultz,,9,7
1,7:57.0,Turnover by B. Simmons (bad pass; steal by P. Siakam),,9,7
1,7:53.0,,Turnover by P. Siakam (bad pass),9,7
1,7:41.0,B. Simmons makes 2-pt jump shot from 6 ft,,11,7
1,7:32.0,,K. Leonard makes 3-pt jump shot from 26 ft (assist by K. Lowry),11,10
1,7:10.0,J. Embiid misses 2-pt jump shot from 12 ft,,11,10
1,7:08.0,,Defensive rebound by P. Siakam,11,10
1,7:03.0,,S. Ibaka makes 2-pt jump shot from 14 ft (assist by K. Lowry),11,12
1,7:02.0,Philadelphia full timeout,,11,12
1,7:02.0,A. Johnson enters the game for J. Embiid,,11,12
1,7:02.0,J. Redick enters the game for M. Fultz,,11,12
1,6:44.0,A. Johnson misses 2-pt hook shot from 10 ft (block by S. Ibaka),,11,12
1,6:41.0,,Defensive rebound by S. Ibaka,11,12
1,6:34.0,,K. Leonard misses 3-pt jump shot from 25 ft,11,12
1,6:33.0,,Offensive rebound by K. Leonard,11,12
1,6:22.0,,S. Ibaka makes 2-pt hook shot from 12 ft (assist by K. Lowry),11,14
1,6:12.0,Offensive foul by A. Johnson (drawn by D. Green),,11,14
1,6:12.0,Turnover by A. Johnson (offensive foul),,11,14
1,6:12.0,,J. Valančiūnas enters the game for S. Ibaka,11,14
1,5:55.0,,K. Lowry misses 3-pt jump shot from 25 ft,11,14
1,5:52.0,,Offensive rebound by D. Green,11,14
1,5:52.0,,D. Green makes 2-pt layup from 5 ft,11,16
1,5:44.0,J. Redick misses 3-pt jump shot from 25 ft,,11,16
1,5:41.0,Offensive rebound by B. Simmons,,11,16
1,5:37.0,J. Redick makes 3-pt jump shot from 22 ft (assist by B. Simmons),,14,16
1,5:26.0,,J. Valančiūnas misses 3-pt jump shot from 26 ft,14,16
1,5:23.0,Defensive rebound by A. Johnson,,14,16
1,5:18.0,Turnover by D. Šarić (step out of bounds),,14,16
1,5:12.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by K. Lowry),14,18
1,4:58.0,Turnover by A. Johnson (lost ball; steal by D. Green),,14,18
1,4:53.0,,P. Siakam makes 2-pt layup from 3 ft (assist by D. Green),14,20
1,4:46.0,Personal foul by D. Green (drawn by J. Redick),,14,20
1,4:33.0,Turnover by A. Johnson (lost ball; steal by D. Green),,14,20
1,4:17.0,,Turnover by K. Lowry (bad pass; steal by A. Johnson),14,20
1,4:13.0,R. Covington makes 3-pt jump shot from 24 ft (assist by A. Johnson),,17,20
1,3:55.0,,K. Leonard misses 2-pt layup from 3 ft,17,20
1,3:52.0,Defensive rebound by A. Johnson,,17,20
1,3:46.0,D. Šarić misses 3-pt jump shot from 25 ft,,17,20
1,3:42.0,,Defensive rebound by P. Siakam,17,20
1,3:33.0,,Personal foul by B. Simmons (drawn by K. Lowry),17,20
1,3:33.0,,Toronto full timeout,17,20
1,3:33.0,J. Embiid enters the game for A. Johnson,,17,20
1,3:33.0,M. Fultz enters the game for D. Šarić,,17,20
