QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SACRAMENTO_ACTION,MINNESOTA_SCORE,SACRAMENTO_SCORE
1,11:42.0,D. Rose misses 2-pt jump shot from 5 ft,,0,0
1,11:40.0,Offensive rebound by K. Towns,,0,0
1,11:38.0,K. Towns makes 2-pt hook shot from 4 ft,,2,0
1,11:26.0,,N. Bjelica misses 3-pt jump shot from 25 ft,2,0
1,11:26.0,Defensive rebound by J. Okogie,,2,0
1,11:02.0,J. Butler misses 2-pt jump shot from 20 ft,,2,0
1,10:59.0,,Defensive rebound by B. Hield,2,0
1,10:53.0,,B. Hield misses 2-pt jump shot from 20 ft,2,0
1,10:47.0,,Offensive rebound by D. Fox,2,0
1,10:43.0,,I. Shumpert misses 3-pt jump shot from 25 ft,2,0
1,10:39.0,Defensive rebound by K. Towns,,2,0
1,10:31.0,T. Gibson makes 2-pt jump shot from 5 ft (assist by J. Butler),,4,0
1,10:22.0,,B. Hield misses 3-pt jump shot from 25 ft,4,0
1,10:19.0,Defensive rebound by J. Butler,,4,0
1,10:15.0,D. Rose makes 3-pt jump shot from 25 ft (assist by J. Butler),,7,0
1,10:05.0,,Shooting foul by D. Rose (drawn by D. Fox),7,0
1,10:05.0,,D. Fox makes free throw 1 of 2,7,1
1,10:05.0,,D. Fox misses free throw 2 of 2,7,1
1,10:05.0,Defensive rebound by T. Gibson,,7,1
1,9:57.0,D. Rose misses 2-pt jump shot from 4 ft,,7,1
1,9:57.0,,Defensive rebound by N. Bjelica,7,1
1,9:53.0,,Turnover by N. Bjelica (palming),7,1
1,9:29.0,K. Towns makes 2-pt jump shot from 3 ft,,9,1
1,9:22.0,,N. Bjelica misses 3-pt jump shot from 23 ft,9,1
1,9:22.0,Defensive rebound by J. Okogie,,9,1
1,9:10.0,J. Butler misses 2-pt layup from 1 ft,,9,1
1,9:09.0,,Defensive rebound by Team,9,1
1,9:09.0,,Sacramento full timeout,9,1
1,9:09.0,,M. Bagley enters the game for N. Bjelica,9,1
1,8:48.0,,M. Bagley misses 2-pt jump shot from 12 ft,9,1
1,8:48.0,,Offensive rebound by Team,9,1
1,8:48.0,,Personal foul by K. Towns (drawn by W. Cauley-Stein),9,1
1,8:39.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by B. Hield),9,3
1,8:22.0,T. Gibson makes 2-pt layup from 3 ft,,11,3
1,8:13.0,,I. Shumpert misses 2-pt jump shot from 18 ft,11,3
1,8:09.0,,Offensive rebound by M. Bagley,11,3
1,8:08.0,,M. Bagley misses 2-pt hook shot from 8 ft,11,3
1,8:08.0,Defensive rebound by T. Gibson,,11,3
1,7:52.0,K. Towns makes 2-pt hook shot from 7 ft (assist by J. Butler),,13,3
1,7:31.0,,I. Shumpert misses 2-pt layup from 5 ft (block by K. Towns),13,3
1,7:28.0,,Offensive rebound by W. Cauley-Stein,13,3
1,7:26.0,,W. Cauley-Stein makes 2-pt jump shot from 13 ft,13,5
1,7:20.0,Shooting foul by B. Hield (drawn by D. Rose),,13,5
1,7:20.0,D. Rose makes free throw 1 of 2,,14,5
1,7:20.0,D. Rose makes free throw 2 of 2,,15,5
1,7:04.0,,M. Bagley misses 3-pt jump shot from 25 ft,15,5
1,6:58.0,Defensive rebound by J. Butler,,15,5
1,6:55.0,J. Butler misses 2-pt layup from 9 ft (block by M. Bagley),,15,5
1,6:55.0,Offensive rebound by J. Butler,,15,5
1,6:50.0,J. Butler misses 2-pt jump shot from 11 ft,,15,5
1,6:50.0,Offensive rebound by T. Gibson,,15,5
1,6:46.0,T. Gibson misses 2-pt layup from 3 ft,,15,5
1,6:46.0,Offensive rebound by K. Towns,,15,5
1,6:44.0,K. Towns makes 2-pt hook shot from 5 ft,,17,5
1,6:30.0,,W. Cauley-Stein misses 2-pt hook shot from 3 ft,17,5
1,6:30.0,,Offensive rebound by B. Hield,17,5
1,6:24.0,,B. Hield makes 2-pt dunk at rim,17,7
1,6:10.0,K. Towns makes 2-pt layup from 3 ft,,19,7
1,6:10.0,,Violation by Team (def goaltending),19,7
1,5:50.0,,I. Shumpert misses 3-pt jump shot from 26 ft,19,7
1,5:49.0,Defensive rebound by D. Rose,,19,7
1,5:48.0,Turnover by D. Rose (bad pass),,19,7
1,5:40.0,,W. Cauley-Stein makes 2-pt jump shot from 15 ft (assist by D. Fox),19,9
1,5:24.0,Personal foul by B. Hield (drawn by K. Towns),,19,9
1,5:11.0,D. Rose makes 2-pt jump shot from 18 ft,,21,9
1,4:57.0,,B. Hield makes 2-pt jump shot from 10 ft,21,11
1,4:45.0,T. Gibson misses 2-pt layup from 1 ft (block by M. Bagley),,21,11
1,4:44.0,,Defensive rebound by Team,21,11
1,4:43.0,,Personal foul by J. Okogie (drawn by B. Hield),21,11
1,4:35.0,,M. Bagley makes 2-pt dunk from 2 ft (assist by D. Fox),21,13
1,4:13.0,J. Okogie misses 3-pt jump shot from 23 ft,,21,13
1,4:10.0,Offensive rebound by T. Gibson,,21,13
1,3:59.0,T. Gibson makes 2-pt jump shot from 23 ft (assist by J. Okogie),,23,13
1,3:48.0,,W. Cauley-Stein makes 3-pt jump shot from 26 ft (assist by D. Fox),23,16
1,3:28.0,K. Towns makes 2-pt dunk from 8 ft (assist by D. Rose),,25,16
1,3:20.0,,B. Hield misses 3-pt jump shot from 25 ft,25,16
1,3:20.0,Defensive rebound by T. Gibson,,25,16
1,3:02.0,J. Butler misses 3-pt jump shot from 23 ft,,25,16
1,2:59.0,Offensive rebound by K. Towns,,25,16
1,2:57.0,K. Towns misses 2-pt jump shot from 14 ft,,25,16
1,2:57.0,,Defensive rebound by B. Hield,25,16
1,2:53.0,,I. Shumpert makes 3-pt jump shot from 25 ft (assist by B. Hield),25,19
1,2:46.0,Minnesota full timeout,,25,19
1,2:46.0,C. Williams enters the game for J. Butler,,25,19
1,2:46.0,,K. Koufos enters the game for W. Cauley-Stein,25,19
1,2:37.0,D. Rose misses 2-pt jump shot from 21 ft,,25,19
1,2:35.0,,Defensive rebound by M. Bagley,25,19
1,2:14.0,,I. Shumpert misses 2-pt jump shot from 20 ft,25,19
1,2:12.0,,Offensive rebound by Team,25,19
