QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHICAGO_ACTION,WASHINGTON_SCORE,CHICAGO_SCORE
1,11:41.0,,R. Lopez makes 2-pt hook shot from 4 ft,0,2
1,11:27.0,J. Green misses 3-pt jump shot from 25 ft,,0,2
1,11:22.0,,Defensive rebound by L. Markkanen,0,2
1,11:15.0,,K. Dunn makes 3-pt jump shot from 27 ft (assist by L. Markkanen),0,5
1,10:58.0,J. Green makes 3-pt jump shot from 26 ft (assist by B. Beal),,3,5
1,10:33.0,,L. Markkanen misses 2-pt hook shot from 11 ft,3,5
1,10:31.0,,Offensive rebound by L. Markkanen,3,5
1,10:23.0,,K. Dunn misses 2-pt layup from 3 ft,3,5
1,10:20.0,Defensive rebound by B. Portis,,3,5
1,10:14.0,T. Ariza misses 2-pt layup from 1 ft,,3,5
1,10:14.0,,Defensive rebound by Team,3,5
1,9:59.0,,L. Markkanen makes 3-pt jump shot from 22 ft (assist by K. Dunn),3,8
1,9:48.0,Turnover by T. Satoranský (lost ball; steal by S. Harrison),,3,8
1,9:32.0,,K. Dunn misses 2-pt jump shot from 4 ft,3,8
1,9:31.0,,Offensive rebound by Team,3,8
1,9:31.0,Loose ball foul by J. Green (drawn by R. Lopez),,3,8
1,9:16.0,,R. Lopez misses 2-pt jump shot from 21 ft,3,8
1,9:12.0,,Offensive rebound by L. Markkanen,3,8
1,9:06.0,,A. Blakeney misses 2-pt jump shot from 18 ft,3,8
1,9:02.0,Defensive rebound by T. Satoranský,,3,8
1,8:52.0,B. Beal misses 2-pt jump shot from 20 ft,,3,8
1,8:50.0,,Defensive rebound by S. Harrison,3,8
1,8:47.0,,S. Harrison makes 2-pt layup from 1 ft,3,10
1,8:45.0,Washington full timeout,,3,10
1,8:24.0,J. Green misses 3-pt jump shot from 26 ft,,3,10
1,8:21.0,,Defensive rebound by A. Blakeney,3,10
1,8:12.0,,L. Markkanen makes 2-pt jump shot from 11 ft (assist by K. Dunn),3,12
1,7:58.0,B. Beal makes 2-pt jump shot from 13 ft (assist by T. Satoranský),,5,12
1,7:58.0,Shooting foul by K. Dunn (drawn by B. Beal),,5,12
1,7:58.0,B. Beal makes free throw 1 of 1,,6,12
1,7:47.0,,L. Markkanen misses 3-pt jump shot from 25 ft,6,12
1,7:44.0,Defensive rebound by J. Green,,6,12
1,7:41.0,T. Satoranský makes 2-pt layup from 2 ft (assist by T. Ariza),,8,12
1,7:30.0,,K. Dunn misses 2-pt jump shot from 15 ft,8,12
1,7:26.0,Defensive rebound by B. Beal,,8,12
1,7:22.0,Shooting foul by K. Dunn (drawn by B. Beal),,8,12
1,7:22.0,B. Beal misses free throw 1 of 3,,8,12
1,7:22.0,Offensive rebound by Team,,8,12
1,7:22.0,B. Beal misses free throw 2 of 3,,8,12
1,7:22.0,Offensive rebound by Team,,8,12
1,7:22.0,B. Beal makes free throw 3 of 3,,9,12
1,7:09.0,,Personal foul by B. Portis (drawn by K. Dunn),9,12
1,7:04.0,,A. Blakeney misses 2-pt jump shot from 15 ft (block by B. Portis),9,12
1,7:01.0,Defensive rebound by T. Satoranský,,9,12
1,7:00.0,Personal foul by L. Markkanen (drawn by T. Satoranský),,9,12
1,6:49.0,B. Beal makes 3-pt jump shot from 23 ft (assist by B. Portis),,12,12
1,6:30.0,,K. Dunn makes 2-pt jump shot from 12 ft (assist by R. Lopez),12,14
1,6:19.0,T. Satoranský makes 2-pt jump shot from 7 ft (assist by J. Green),,14,14
1,5:55.0,,L. Markkanen makes 2-pt jump shot from 9 ft (assist by K. Dunn),14,16
1,5:44.0,B. Portis misses 2-pt layup from 2 ft,,14,16
1,5:41.0,,Defensive rebound by L. Markkanen,14,16
1,5:34.0,,Shooting foul by J. Green (drawn by S. Harrison),14,16
1,5:34.0,,S. Harrison makes free throw 1 of 2,14,17
1,5:34.0,J. Parker enters the game for J. Green,,14,17
1,5:34.0,,R. Arcidiacono enters the game for K. Dunn,14,17
1,5:34.0,,S. Harrison makes free throw 2 of 2,14,18
1,5:21.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by T. Satoranský),,17,18
1,5:09.0,,Turnover by R. Lopez (lost ball; steal by T. Satoranský),17,18
1,5:03.0,B. Portis makes 2-pt dunk at rim (assist by T. Ariza),,19,18
1,4:55.0,,Def 3 sec tech foul by Team,19,18
1,4:55.0,,L. Markkanen makes technical free throw,19,19
1,4:55.0,C. Randle enters the game for T. Satoranský,,19,19
1,4:47.0,,R. Arcidiacono makes 2-pt layup from 2 ft,19,21
1,4:32.0,B. Portis misses 3-pt jump shot from 24 ft,,19,21
1,4:31.0,,Defensive rebound by Team,19,21
1,4:19.0,,Personal foul by C. Randle (drawn by L. Markkanen),19,21
1,4:19.0,,C. Felício enters the game for A. Blakeney,19,21
1,4:19.0,,W. Selden enters the game for R. Lopez,19,21
1,4:09.0,,R. Arcidiacono makes 2-pt jump shot from 10 ft,19,23
1,3:53.0,T. Ariza makes 3-pt jump shot from 22 ft (assist by B. Beal),,22,23
1,3:34.0,,R. Arcidiacono misses 2-pt jump shot from 6 ft (block by B. Portis),22,23
1,3:30.0,,Offensive rebound by L. Markkanen,22,23
1,3:28.0,,L. Markkanen makes 2-pt layup from 1 ft (assist by R. Arcidiacono),22,25
1,3:16.0,C. Randle misses 2-pt layup from 2 ft,,22,25
1,3:14.0,,Defensive rebound by L. Markkanen,22,25
1,3:13.0,,C. Felício makes 2-pt layup from 1 ft (assist by L. Markkanen),22,27
1,3:13.0,,Shooting foul by B. Beal (drawn by C. Felício),22,27
1,3:13.0,T. Brown enters the game for T. Ariza,,22,27
1,3:13.0,,C. Felício makes free throw 1 of 1,22,28
1,2:58.0,T. Brown makes 2-pt layup from 2 ft,,24,28
1,2:46.0,,Chicago full timeout,24,28
1,2:46.0,T. Bryant enters the game for B. Portis,,24,28
1,2:46.0,,T. Luwawu-Cabarrot enters the game for L. Markkanen,24,28
1,2:34.0,,W. Selden makes 2-pt jump shot from 15 ft,24,30
1,2:30.0,Offensive foul by J. Parker (drawn by S. Harrison),,24,30
1,2:30.0,Turnover by J. Parker (offensive foul),,24,30
1,2:14.0,,W. Selden misses 2-pt jump shot from 15 ft,24,30
1,2:11.0,Defensive rebound by T. Brown,,24,30
1,2:04.0,Personal foul by C. Felício (drawn by J. Parker),,24,30
1,2:03.0,Turnover by C. Randle (bad pass),,24,30
1,1:52.0,,R. Arcidiacono misses 2-pt jump shot from 9 ft,24,30
1,1:48.0,Defensive rebound by T. Bryant,,24,30
1,1:42.0,Turnover by B. Beal (bad pass),,24,30
1,1:29.0,,C. Felício makes 2-pt layup from 2 ft (assist by T. Luwawu-Cabarrot),24,32
1,1:22.0,B. Beal misses 3-pt jump shot from 25 ft,,24,32
1,1:18.0,Offensive rebound by T. Brown,,24,32
1,1:11.0,T. Bryant makes 2-pt jump shot from 21 ft (assist by B. Beal),,26,32
1,0:57.0,,S. Harrison misses 2-pt layup from 1 ft,26,32
1,0:54.0,Defensive rebound by J. Parker,,26,32
1,0:51.0,J. Parker makes 2-pt dunk from 1 ft,,28,32
1,0:41.0,,W. Selden misses 2-pt layup from 2 ft,28,32
1,0:36.0,,W. Selden misses 2-pt layup at rim,28,32
1,0:36.0,,Offensive rebound by W. Selden,28,32
1,0:36.0,Defensive rebound by T. Bryant,,28,32
1,0:30.0,T. Brown misses 3-pt jump shot from 23 ft,,28,32
1,0:27.0,,Defensive rebound by R. Arcidiacono,28,32
1,0:07.0,,W. Selden makes 2-pt jump shot from 8 ft (assist by R. Arcidiacono),28,34
1,0:07.0,,Shooting foul by T. Brown (drawn by W. Selden),28,34
1,0:07.0,,W. Selden makes free throw 1 of 1,28,35
2,11:44.0,Shooting foul by W. Selden (drawn by T. Brown),,28,35
2,11:44.0,T. Brown makes free throw 1 of 2,,29,35
2,11:44.0,T. Brown makes free throw 2 of 2,,30,35
2,11:23.0,,K. Dunn misses 2-pt jump shot from 17 ft,30,35
2,11:20.0,Defensive rebound by T. Satoranský,,30,35
2,11:16.0,J. Parker makes 2-pt jump shot from 23 ft (assist by T. Satoranský),,32,35
2,10:54.0,,K. Dunn misses 3-pt jump shot from 23 ft,32,35
2,10:51.0,,Offensive rebound by W. Selden,32,35
2,10:50.0,,W. Selden misses 2-pt jump shot from 9 ft,32,35
2,10:50.0,Defensive rebound by T. Brown,,32,35
2,10:38.0,J. Parker makes 2-pt hook shot from 3 ft,,34,35
2,10:23.0,,T. Luwawu-Cabarrot makes 3-pt jump shot from 22 ft (assist by K. Dunn),34,38
2,10:02.0,J. Parker makes 2-pt hook shot from 6 ft,,36,38
2,9:48.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 25 ft,36,38
2,9:45.0,Defensive rebound by T. Brown,,36,38
2,9:29.0,C. Randle misses 2-pt jump shot from 18 ft,,36,38
2,9:26.0,,Defensive rebound by C. Felício,36,38
2,9:08.0,,C. Felício misses 2-pt layup from 1 ft,36,38
2,9:06.0,Defensive rebound by C. Randle,,36,38
2,8:52.0,J. Parker misses 2-pt layup from 1 ft,,36,38
2,8:50.0,,Defensive rebound by W. Selden,36,38
2,8:47.0,,R. Arcidiacono misses 2-pt layup from 2 ft,36,38
2,8:45.0,Defensive rebound by T. Brown,,36,38
2,8:37.0,Turnover by T. Bryant (lost ball; steal by K. Dunn),,36,38
2,8:31.0,,R. Arcidiacono misses 3-pt jump shot from 23 ft,36,38
2,8:29.0,,Offensive rebound by T. Luwawu-Cabarrot,36,38
2,8:28.0,,R. Arcidiacono makes 2-pt layup from 2 ft (assist by T. Luwawu-Cabarrot),36,40
2,8:28.0,Washington full timeout,,36,40
2,8:28.0,J. Green enters the game for T. Bryant,,36,40
2,8:28.0,B. Portis enters the game for C. Randle,,36,40
2,8:09.0,Turnover by T. Satoranský (bad pass; steal by C. Felício),,36,40
2,8:05.0,,Turnover by W. Selden (bad pass; steal by T. Brown),36,40
2,8:00.0,T. Satoranský makes 2-pt dunk at rim (assist by J. Parker),,38,40
2,7:42.0,,C. Felício makes 2-pt layup from 1 ft (assist by T. Luwawu-Cabarrot),38,42
2,7:20.0,B. Portis makes 2-pt hook shot from 7 ft,,40,42
2,6:56.0,,K. Dunn misses 3-pt jump shot from 25 ft,40,42
2,6:52.0,,Offensive rebound by C. Felício,40,42
2,6:47.0,,W. Selden misses 2-pt jump shot from 4 ft (block by J. Parker),40,42
2,6:44.0,Defensive rebound by B. Portis,,40,42
2,6:43.0,B. Portis makes 2-pt layup from 1 ft,,42,42
2,6:43.0,,Violation by Team (def goaltending),42,42
2,6:29.0,,T. Luwawu-Cabarrot misses 2-pt jump shot from 20 ft,42,42
2,6:26.0,Defensive rebound by T. Satoranský,,42,42
2,6:16.0,B. Portis misses 3-pt jump shot from 25 ft,,42,42
2,6:12.0,,Defensive rebound by R. Arcidiacono,42,42
2,6:11.0,,Chicago full timeout,42,42
2,6:11.0,T. Ariza enters the game for T. Brown,,42,42
2,6:11.0,B. Beal enters the game for T. Satoranský,,42,42
2,6:11.0,,A. Blakeney enters the game for R. Arcidiacono,42,42
2,6:11.0,,R. Lopez enters the game for C. Felício,42,42
