QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,WASHINGTON_ACTION,SAN ANTONIO_SCORE,WASHINGTON_SCORE
4,2:09.0,Defensive rebound by L. Walker,,125,104
4,2:07.0,D. Motiejūnas misses 2-pt layup from 3 ft (block by D. Robinson),,125,104
4,2:03.0,,Defensive rebound by T. Brown,125,104
4,1:59.0,,C. Randle misses 3-pt jump shot from 28 ft,125,104
4,1:54.0,,Offensive rebound by T. Brown,125,104
4,1:38.0,,B. Portis makes 2-pt jump shot from 12 ft (assist by T. Brown),125,106
4,1:17.0,Offensive foul by D. Cunningham (drawn by D. Robinson),,125,106
4,1:17.0,Turnover by D. Cunningham (offensive foul),,125,106
4,0:59.0,,S. Dekker makes 3-pt jump shot from 26 ft (assist by B. Portis),125,109
4,0:42.0,D. Eubanks makes 2-pt layup from 1 ft (assist by L. Walker),,127,109
4,0:34.0,,C. Randle makes 3-pt jump shot from 27 ft,127,112
4,0:16.0,D. Motiejūnas makes 2-pt layup from 1 ft (assist by L. Walker),,129,112
4,0:03.0,,T. Brown misses 3-pt jump shot from 26 ft,129,112
4,0:03.0,,Offensive rebound by D. Robinson,129,112
