QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,WASHINGTON_ACTION,SAN ANTONIO_SCORE,WASHINGTON_SCORE
1,7:19.0,R. Gay makes free throw 1 of 2,,11,12
1,7:19.0,R. Gay makes free throw 2 of 2,,12,12
1,7:06.0,,T. Bryant makes 3-pt jump shot from 26 ft (assist by T. Brown),12,15
1,6:54.0,Turnover by D. DeRozan (bad pass),,12,15
1,6:54.0,,Washington full timeout,12,15
1,6:32.0,,Turnover by T. Bryant (bad pass),12,15
1,6:23.0,D. DeRozan misses 2-pt layup from 2 ft,,12,15
1,6:21.0,,Defensive rebound by T. Bryant,12,15
1,6:16.0,,B. Beal misses 3-pt jump shot from 26 ft,12,15
1,6:14.0,,Offensive rebound by Team,12,15
1,6:14.0,Loose ball foul by B. Forbes (drawn by T. Brown),,12,15
1,6:04.0,,B. Portis misses 2-pt jump shot from 21 ft,12,15
1,6:02.0,Defensive rebound by R. Gay,,12,15
1,5:57.0,R. Gay makes 2-pt jump shot from 8 ft,,14,15
1,5:57.0,Shooting foul by T. Brown (drawn by R. Gay),,14,15
1,5:57.0,P. Mills enters the game for B. Forbes,,14,15
1,5:57.0,,J. McRae enters the game for T. Brown,14,15
1,5:57.0,R. Gay makes free throw 1 of 1,,15,15
1,5:44.0,,B. Beal misses 2-pt jump shot from 20 ft,15,15
1,5:41.0,Defensive rebound by R. Gay,,15,15
1,5:31.0,L. Aldridge misses 2-pt hook shot from 3 ft,,15,15
1,5:26.0,Offensive rebound by L. Aldridge,,15,15
1,5:26.0,L. Aldridge makes 2-pt layup from 1 ft,,17,15
1,5:12.0,,J. McRae misses 3-pt jump shot from 25 ft,17,15
1,5:09.0,,Offensive rebound by B. Portis,17,15
1,5:06.0,,T. Bryant makes 2-pt layup from 1 ft (assist by B. Portis),17,17
1,5:06.0,,Shooting foul by L. Aldridge (drawn by T. Bryant),17,17
1,5:06.0,,T. Bryant makes free throw 1 of 1,17,18
1,5:06.0,,J. Green enters the game for B. Portis,17,18
1,4:53.0,D. DeRozan makes 2-pt jump shot from 17 ft (assist by R. Gay),,19,18
1,4:37.0,,J. Green misses 2-pt layup from 2 ft,19,18
1,4:34.0,,Offensive rebound by J. Green,19,18
1,4:33.0,Violation by Team (kicked ball),,19,18
1,4:22.0,,B. Beal misses 2-pt jump shot from 18 ft,19,18
1,4:18.0,Defensive rebound by P. Mills,,19,18
1,4:16.0,P. Mills misses 3-pt jump shot from 26 ft,,19,18
1,4:13.0,,Defensive rebound by J. McRae,19,18
1,4:04.0,,T. Satoranský misses 3-pt jump shot from 25 ft,19,18
