QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SACRAMENTO_ACTION,LA LAKERS_SCORE,SACRAMENTO_SCORE
1,11:50.0,L. Ball misses 3-pt jump shot from 24 ft,,0,0
1,11:49.0,Offensive rebound by Team,,0,0
1,11:44.0,L. James makes 2-pt layup from 2 ft (assist by B. Ingram),,2,0
1,11:26.0,,I. Shumpert misses 2-pt jump shot from 14 ft,2,0
1,11:23.0,Defensive rebound by L. James,,2,0
1,11:11.0,K. Kuzma misses 3-pt jump shot from 25 ft,,2,0
1,11:08.0,,Defensive rebound by W. Cauley-Stein,2,0
1,11:02.0,,D. Fox makes 2-pt layup from 2 ft,2,2
1,11:02.0,,Shooting foul by K. Kuzma (drawn by D. Fox),2,2
1,11:02.0,,D. Fox makes free throw 1 of 1,2,3
1,10:48.0,B. Ingram makes 2-pt layup from 2 ft,,4,3
1,10:40.0,,I. Shumpert misses 3-pt jump shot from 23 ft,4,3
1,10:37.0,,Offensive rebound by B. Hield,4,3
1,10:35.0,,I. Shumpert misses 3-pt jump shot from 23 ft,4,3
1,10:32.0,Defensive rebound by K. Kuzma,,4,3
1,10:24.0,J. McGee misses 2-pt layup from 2 ft,,4,3
1,10:21.0,,Defensive rebound by W. Cauley-Stein,4,3
1,10:10.0,,Shooting foul by L. Ball (drawn by B. Hield),4,3
1,10:10.0,,B. Hield makes free throw 1 of 2,4,4
1,10:10.0,,B. Hield makes free throw 2 of 2,4,5
1,9:53.0,K. Kuzma misses 2-pt layup from 2 ft,,4,5
1,9:53.0,Offensive rebound by Team,,4,5
1,9:46.0,L. Ball makes 2-pt jump shot from 18 ft,,6,5
1,9:30.0,,B. Hield misses 2-pt jump shot from 12 ft,6,5
1,9:28.0,Defensive rebound by L. James,,6,5
1,9:24.0,Turnover by L. James (bad pass; steal by D. Fox),,6,5
1,9:19.0,,B. Hield makes 2-pt jump shot from 16 ft (assist by N. Bjelica),6,7
1,9:06.0,B. Ingram makes 2-pt layup from 3 ft,,8,7
1,8:47.0,,W. Cauley-Stein misses 2-pt layup from 4 ft (block by J. McGee),8,7
1,8:46.0,Defensive rebound by B. Ingram,,8,7
1,8:46.0,Personal foul by N. Bjelica (drawn by B. Ingram),,8,7
1,8:35.0,J. McGee makes 2-pt dunk from 3 ft (assist by L. Ball),,10,7
1,8:24.0,,B. Hield misses 3-pt jump shot from 25 ft,10,7
1,8:22.0,Defensive rebound by L. Ball,,10,7
1,8:15.0,J. McGee makes 2-pt dunk from 1 ft (assist by K. Kuzma),,12,7
1,8:09.0,,Sacramento full timeout,12,7
1,8:09.0,T. Chandler enters the game for J. McGee,,12,7
1,8:02.0,,W. Cauley-Stein misses 2-pt jump shot from 10 ft,12,7
1,7:59.0,Defensive rebound by T. Chandler,,12,7
1,7:45.0,K. Kuzma misses 3-pt jump shot from 25 ft,,12,7
1,7:41.0,Offensive rebound by T. Chandler,,12,7
1,7:34.0,L. Ball misses 3-pt jump shot from 25 ft,,12,7
1,7:31.0,,Defensive rebound by B. Hield,12,7
