QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ORLANDO_ACTION,CLEVELAND_SCORE,ORLANDO_SCORE
1,11:47.0,,E. Fournier misses 2-pt jump shot from 23 ft,0,0
1,11:42.0,Defensive rebound by S. Dekker,,0,0
1,11:23.0,C. Osman makes 2-pt layup from 3 ft (assist by R. Hood),,2,0
1,11:00.0,,W. Iwundu misses 2-pt layup from 2 ft,2,0
1,10:58.0,Defensive rebound by Team,,2,0
1,10:45.0,C. Osman misses 2-pt hook shot from 6 ft,,2,0
1,10:42.0,,Defensive rebound by W. Iwundu,2,0
1,10:34.0,,N. Vučević makes 2-pt jump shot from 20 ft (assist by E. Fournier),2,2
1,10:18.0,T. Thompson misses 2-pt hook shot from 7 ft,,2,2
1,10:16.0,,Defensive rebound by N. Vučević,2,2
1,10:10.0,,A. Gordon makes 2-pt layup from 3 ft (assist by D. Augustin),2,4
1,9:56.0,C. Osman misses 3-pt jump shot from 26 ft,,2,4
1,9:54.0,,Defensive rebound by A. Gordon,2,4
1,9:48.0,,A. Gordon makes 3-pt jump shot from 25 ft,2,7
1,9:24.0,S. Dekker misses 3-pt jump shot from 25 ft,,2,7
1,9:22.0,,Defensive rebound by E. Fournier,2,7
1,9:15.0,,Personal foul by G. Hill (drawn by D. Augustin),2,7
1,9:00.0,,Turnover by D. Augustin (bad pass; steal by G. Hill),2,7
1,8:54.0,G. Hill makes 2-pt layup from 2 ft,,4,7
1,8:31.0,,W. Iwundu misses 3-pt jump shot from 23 ft,4,7
1,8:27.0,Defensive rebound by C. Osman,,4,7
1,8:24.0,C. Osman misses 2-pt layup from 3 ft,,4,7
1,8:23.0,Offensive rebound by T. Thompson,,4,7
1,8:22.0,T. Thompson makes 2-pt layup from 3 ft,,6,7
1,8:00.0,,Shooting foul by R. Hood (drawn by W. Iwundu),6,7
1,8:00.0,,W. Iwundu makes free throw 1 of 2,6,8
1,8:00.0,,W. Iwundu makes free throw 2 of 2,6,9
1,7:44.0,G. Hill makes 2-pt jump shot from 12 ft,,8,9
1,7:26.0,,E. Fournier misses 3-pt jump shot from 25 ft,8,9
1,7:24.0,Defensive rebound by C. Osman,,8,9
1,7:03.0,Turnover by R. Hood (bad pass; steal by E. Fournier),,8,9
1,6:59.0,,W. Iwundu makes 2-pt dunk from 1 ft (assist by E. Fournier),8,11
1,6:47.0,Personal foul by D. Augustin (drawn by G. Hill),,8,11
1,6:47.0,,Orlando full timeout,8,11
1,6:38.0,G. Hill makes 2-pt jump shot from 17 ft,,10,11
1,6:21.0,,A. Gordon makes 2-pt layup from 2 ft (assist by E. Fournier),10,13
1,6:05.0,C. Osman misses 3-pt jump shot from 24 ft,,10,13
1,6:05.0,,Defensive rebound by N. Vučević,10,13
1,5:52.0,,Shooting foul by R. Hood (drawn by D. Augustin),10,13
1,5:52.0,,D. Augustin makes free throw 1 of 2,10,14
1,5:52.0,J. Clarkson enters the game for R. Hood,,10,14
1,5:52.0,,D. Augustin makes free throw 2 of 2,10,15
1,5:36.0,T. Thompson makes 2-pt hook shot from 5 ft (assist by S. Dekker),,12,15
1,5:22.0,,A. Gordon makes 3-pt jump shot from 25 ft (assist by E. Fournier),12,18
1,4:55.0,T. Thompson makes 2-pt layup from 3 ft,,14,18
1,4:55.0,Shooting foul by W. Iwundu (drawn by T. Thompson),,14,18
1,4:55.0,C. Sexton enters the game for S. Dekker,,14,18
1,4:55.0,,T. Ross enters the game for W. Iwundu,14,18
1,4:55.0,T. Thompson makes free throw 1 of 1,,15,18
1,4:44.0,,A. Gordon misses 3-pt jump shot from 25 ft,15,18
1,4:40.0,Defensive rebound by G. Hill,,15,18
1,4:36.0,Personal foul by A. Gordon (drawn by T. Thompson),,15,18
1,4:36.0,,J. Grant enters the game for D. Augustin,15,18
1,4:36.0,,J. Martin enters the game for A. Gordon,15,18
1,4:22.0,C. Sexton makes 2-pt layup from 3 ft,,17,18
1,4:09.0,,J. Martin misses 3-pt jump shot from 24 ft,17,18
1,4:06.0,Defensive rebound by T. Thompson,,17,18
1,3:49.0,Turnover by J. Clarkson (bad pass; steal by N. Vučević),,17,18
1,3:41.0,,Turnover by E. Fournier (bad pass),17,18
1,3:41.0,J. Smith enters the game for G. Hill,,17,18
1,3:41.0,,M. Bamba enters the game for N. Vučević,17,18
1,3:21.0,J. Smith misses 2-pt jump shot from 14 ft,,17,18
1,3:20.0,Offensive rebound by Team,,17,18
1,3:20.0,,Loose ball foul by J. Martin (drawn by T. Thompson),17,18
1,3:20.0,L. Nance enters the game for T. Thompson,,17,18
1,3:08.0,J. Smith misses 2-pt jump shot from 21 ft,,17,18
1,3:05.0,,Defensive rebound by J. Martin,17,18
1,3:01.0,,E. Fournier makes 2-pt jump shot from 15 ft,17,20
1,2:54.0,Cleveland full timeout,,17,20
1,2:54.0,,J. Simmons enters the game for E. Fournier,17,20
1,2:44.0,Turnover by J. Smith (bad pass),,17,20
1,2:29.0,,Personal foul by J. Clarkson (drawn by J. Simmons),17,20
1,2:24.0,,Turnover by J. Simmons (bad pass; steal by J. Smith),17,20
