QUARTER,TIME_REMAINING,HOUSTON_ACTION,PORTLAND_ACTION,HOUSTON_SCORE,PORTLAND_SCORE
1,11:40.0,,J. Nurkić makes 2-pt hook shot from 7 ft,0,2
1,11:17.0,J. Harden misses 3-pt jump shot from 25 ft,,0,2
1,11:15.0,,Defensive rebound by D. Lillard,0,2
1,11:06.0,,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),0,4
1,10:45.0,A. Rivers makes 3-pt jump shot from 28 ft (assist by P. Tucker),,3,4
1,10:25.0,,J. Nurkić makes 2-pt jump shot from 4 ft (assist by D. Lillard),3,6
1,10:07.0,J. Harden misses 2-pt jump shot from 5 ft,,3,6
1,10:03.0,Offensive rebound by C. Capela,,3,6
1,10:03.0,C. Capela misses 2-pt layup at rim,,3,6
1,10:03.0,Offensive rebound by C. Capela,,3,6
1,10:02.0,C. Capela misses 2-pt layup at rim,,3,6
1,10:02.0,,Defensive rebound by E. Turner,3,6
1,9:53.0,,D. Lillard misses 2-pt jump shot from 13 ft,3,6
1,9:51.0,,Offensive rebound by E. Turner,3,6
1,9:48.0,,C. McCollum misses 3-pt jump shot from 24 ft,3,6
1,9:44.0,Defensive rebound by C. Capela,,3,6
1,9:36.0,A. Rivers makes 3-pt jump shot from 25 ft (assist by P. Tucker),,6,6
1,9:19.0,,E. Turner makes 2-pt jump shot from 16 ft,6,8
1,9:08.0,A. Rivers makes 3-pt jump shot from 25 ft,,9,8
1,8:57.0,,Personal foul by A. Rivers (drawn by D. Lillard),9,8
1,8:46.0,,A. Aminu misses 2-pt jump shot from 4 ft,9,8
1,8:42.0,,Offensive rebound by A. Aminu,9,8
1,8:39.0,,C. McCollum makes 2-pt layup from 1 ft (assist by A. Aminu),9,10
1,8:23.0,Shooting foul by J. Nurkić (drawn by C. Capela),,9,10
1,8:23.0,C. Capela makes free throw 1 of 2,,10,10
1,8:23.0,C. Capela makes free throw 2 of 2,,11,10
1,8:08.0,,E. Turner misses 3-pt jump shot from 22 ft,11,10
1,8:05.0,,Offensive rebound by J. Nurkić,11,10
1,7:51.0,,J. Nurkić misses 2-pt jump shot from 5 ft,11,10
1,7:49.0,Defensive rebound by C. Capela,,11,10
1,7:46.0,Shooting foul by A. Aminu (drawn by J. Harden),,11,10
1,7:46.0,J. Harden makes free throw 1 of 2,,12,10
1,7:46.0,J. Harden makes free throw 2 of 2,,13,10
1,7:22.0,,E. Turner misses 3-pt jump shot from 23 ft,13,10
1,7:19.0,,Offensive rebound by D. Lillard,13,10
1,7:16.0,,D. Lillard makes 3-pt jump shot from 25 ft,13,13
1,7:01.0,J. Harden misses 3-pt jump shot from 28 ft,,13,13
1,6:58.0,,Defensive rebound by C. McCollum,13,13
1,6:53.0,,C. McCollum makes 2-pt layup from 5 ft,13,15
1,6:35.0,Personal foul by E. Turner (drawn by J. Harden),,13,15
1,6:35.0,,Portland full timeout,13,15
1,6:35.0,G. Green enters the game for D. House,,13,15
1,6:26.0,A. Rivers makes 3-pt jump shot from 25 ft (assist by C. Capela),,16,15
1,5:58.0,,E. Turner makes 2-pt layup from 2 ft (assist by J. Nurkić),16,17
1,5:32.0,Turnover by J. Harden (bad pass; steal by A. Aminu),,16,17
1,5:25.0,,D. Lillard misses 2-pt layup from 3 ft,16,17
1,5:23.0,Defensive rebound by P. Tucker,,16,17
1,5:16.0,J. Harden makes 2-pt jump shot from 20 ft,,18,17
1,5:08.0,,Shooting foul by P. Tucker (drawn by C. McCollum),18,17
1,5:08.0,,C. McCollum makes free throw 1 of 2,18,18
1,5:08.0,,J. Layman enters the game for E. Turner,18,18
1,5:08.0,,C. McCollum makes free throw 2 of 2,18,19
1,4:47.0,J. Harden misses 3-pt jump shot from 25 ft,,18,19
1,4:46.0,,Defensive rebound by Team,18,19
1,4:46.0,N. Hilário enters the game for C. Capela,,18,19
1,4:32.0,,J. Layman misses 3-pt jump shot from 23 ft,18,19
1,4:30.0,Defensive rebound by G. Green,,18,19
1,4:18.0,J. Harden misses 3-pt jump shot from 25 ft,,18,19
