QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MILWAUKEE_ACTION,BROOKLYN_SCORE,MILWAUKEE_SCORE
1,11:44.0,,K. Middleton makes 2-pt jump shot from 14 ft (assist by S. Brown),0,2
1,11:28.0,R. Kurucs misses 3-pt jump shot from 25 ft,,0,2
1,11:24.0,,Defensive rebound by K. Middleton,0,2
1,11:18.0,,D. Wilson misses 3-pt jump shot from 23 ft,0,2
1,11:14.0,Defensive rebound by D. Carroll,,0,2
1,11:06.0,D. Russell makes 2-pt jump shot from 8 ft,,2,2
1,10:52.0,,E. Bledsoe makes 3-pt jump shot from 26 ft,2,5
1,10:38.0,J. Harris misses 2-pt jump shot from 11 ft,,2,5
1,10:36.0,,Defensive rebound by K. Middleton,2,5
1,10:33.0,,S. Brown misses 2-pt layup from 2 ft,2,5
1,10:27.0,Defensive rebound by J. Allen,,2,5
1,10:23.0,Turnover by D. Russell (lost ball; steal by K. Middleton),,2,5
1,10:19.0,,D. Wilson makes 2-pt dunk at rim (assist by K. Middleton),2,7
1,10:08.0,D. Russell makes 2-pt jump shot from 9 ft,,4,7
1,9:50.0,,B. Lopez misses 2-pt hook shot from 3 ft,4,7
1,9:47.0,Defensive rebound by R. Kurucs,,4,7
1,9:42.0,J. Harris misses 3-pt jump shot from 27 ft,,4,7
1,9:38.0,Offensive rebound by J. Allen,,4,7
1,9:33.0,D. Carroll makes 2-pt layup from 2 ft (assist by R. Kurucs),,6,7
1,9:19.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by B. Lopez),6,9
1,9:06.0,R. Kurucs makes 2-pt layup from 2 ft (assist by D. Russell),,8,9
1,9:06.0,Shooting foul by S. Brown (drawn by R. Kurucs),,8,9
1,9:06.0,R. Kurucs misses free throw 1 of 1,,8,9
1,9:02.0,,Defensive rebound by D. Wilson,8,9
1,8:49.0,,K. Middleton misses 2-pt jump shot from 11 ft,8,9
1,8:44.0,Defensive rebound by J. Allen,,8,9
1,8:34.0,R. Kurucs misses 3-pt jump shot from 26 ft,,8,9
1,8:32.0,,Defensive rebound by E. Bledsoe,8,9
1,8:29.0,,Turnover by E. Bledsoe (bad pass; steal by D. Carroll),8,9
1,8:18.0,Turnover by J. Harris (bad pass; steal by E. Bledsoe),,8,9
1,8:14.0,,S. Brown makes 2-pt dunk from 2 ft (assist by E. Bledsoe),8,11
1,8:04.0,J. Harris misses 3-pt jump shot from 24 ft,,8,11
1,8:01.0,,Defensive rebound by S. Brown,8,11
1,7:59.0,,D. Wilson misses 3-pt jump shot from 26 ft,8,11
1,7:55.0,Defensive rebound by J. Harris,,8,11
1,7:49.0,D. Russell makes 2-pt jump shot from 14 ft,,10,11
1,7:49.0,,Milwaukee full timeout,10,11
1,7:49.0,,E. İlyasova enters the game for D. Wilson,10,11
1,7:35.0,,B. Lopez misses 2-pt layup from 4 ft,10,11
1,7:34.0,,Offensive rebound by B. Lopez,10,11
1,7:32.0,,B. Lopez misses 2-pt layup from 3 ft,10,11
1,7:32.0,,Offensive rebound by B. Lopez,10,11
1,7:32.0,,Personal foul by J. Allen (drawn by B. Lopez),10,11
1,7:23.0,,K. Middleton misses 2-pt layup from 3 ft,10,11
1,7:20.0,Defensive rebound by R. Kurucs,,10,11
1,7:17.0,J. Allen makes 2-pt dunk from 2 ft (assist by D. Carroll),,12,11
1,7:02.0,,E. Bledsoe makes 3-pt jump shot from 26 ft,12,14
1,6:42.0,D. Carroll misses 2-pt jump shot from 13 ft,,12,14
1,6:42.0,,Defensive rebound by Team,12,14
1,6:42.0,S. Dinwiddie enters the game for J. Allen,,12,14
1,6:42.0,J. Dudley enters the game for D. Carroll,,12,14
1,6:42.0,,P. Connaughton enters the game for S. Brown,12,14
1,6:31.0,,Turnover by K. Middleton (bad pass),12,14
1,6:19.0,D. Russell makes 3-pt jump shot from 28 ft,,15,14
1,6:09.0,,B. Lopez misses 3-pt jump shot from 26 ft,15,14
1,6:06.0,Defensive rebound by J. Harris,,15,14
1,5:54.0,D. Russell makes 3-pt jump shot from 27 ft,,18,14
1,5:43.0,,Turnover by E. Bledsoe (bad pass; steal by J. Dudley),18,14
1,5:31.0,S. Dinwiddie makes 2-pt layup from 2 ft,,20,14
1,5:31.0,,Milwaukee full timeout,20,14
1,5:31.0,D. Carroll enters the game for J. Harris,,20,14
1,5:31.0,,T. Frazier enters the game for E. Bledsoe,20,14
1,5:31.0,,G. Hill enters the game for B. Lopez,20,14
1,5:31.0,,D. Wilson enters the game for K. Middleton,20,14
1,5:26.0,,Personal foul by D. Russell (drawn by T. Frazier),20,14
1,5:12.0,,P. Connaughton misses 2-pt layup from 2 ft,20,14
1,5:09.0,Defensive rebound by D. Carroll,,20,14
1,4:57.0,R. Kurucs misses 3-pt jump shot from 27 ft,,20,14
1,4:54.0,,Defensive rebound by P. Connaughton,20,14
1,4:38.0,,E. İlyasova makes 2-pt jump shot from 16 ft,20,16
1,4:19.0,D. Carroll misses 3-pt jump shot from 26 ft,,20,16
1,4:15.0,,Defensive rebound by D. Wilson,20,16
1,4:09.0,,T. Frazier misses 2-pt jump shot from 16 ft,20,16
1,4:06.0,Defensive rebound by D. Russell,,20,16
1,4:02.0,J. Dudley misses 3-pt jump shot from 27 ft,,20,16
1,3:58.0,,Defensive rebound by D. Wilson,20,16
1,3:50.0,,E. İlyasova misses 2-pt layup from 2 ft,20,16
1,3:47.0,Defensive rebound by R. Kurucs,,20,16
1,3:40.0,R. Kurucs makes 3-pt jump shot from 27 ft (assist by D. Russell),,23,16
1,3:18.0,,D. Wilson misses 3-pt jump shot from 25 ft,23,16
1,3:18.0,,Offensive rebound by Team,23,16
1,3:18.0,T. Graham enters the game for R. Kurucs,,23,16
1,3:18.0,C. LeVert enters the game for D. Russell,,23,16
1,3:11.0,,D. Wilson misses 2-pt jump shot from 13 ft,23,16
1,3:08.0,Defensive rebound by C. LeVert,,23,16
1,3:01.0,Personal foul by D. Wilson (drawn by S. Dinwiddie),,23,16
1,2:56.0,T. Graham misses 3-pt jump shot from 27 ft,,23,16
1,2:52.0,,Defensive rebound by P. Connaughton,23,16
1,2:46.0,,E. İlyasova misses 3-pt jump shot from 27 ft,23,16
1,2:42.0,Defensive rebound by T. Graham,,23,16
1,2:36.0,T. Graham makes 3-pt jump shot from 23 ft (assist by C. LeVert),,26,16
1,2:19.0,,G. Hill makes 2-pt jump shot from 16 ft,26,18
1,2:06.0,C. LeVert makes 2-pt jump shot from 10 ft,,28,18
1,1:44.0,,G. Hill makes 2-pt jump shot from 21 ft,28,20
1,1:36.0,C. LeVert makes 3-pt jump shot from 28 ft,,31,20
1,1:23.0,,T. Frazier makes 3-pt jump shot from 29 ft (assist by D. Wilson),31,23
1,1:23.0,Brooklyn full timeout,,31,23
1,1:23.0,,E. Bledsoe enters the game for P. Connaughton,31,23
1,1:23.0,,S. Brown enters the game for T. Frazier,31,23
1,1:23.0,,B. Lopez enters the game for E. İlyasova,31,23
1,1:23.0,,K. Middleton enters the game for D. Wilson,31,23
1,1:11.0,D. Carroll misses 3-pt jump shot from 28 ft,,31,23
1,1:08.0,,Defensive rebound by E. Bledsoe,31,23
1,1:02.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),31,26
1,0:46.0,T. Graham makes 3-pt jump shot from 27 ft (assist by C. LeVert),,34,26
1,0:41.0,,Shooting foul by S. Dinwiddie (drawn by E. Bledsoe),34,26
1,0:41.0,,E. Bledsoe misses free throw 1 of 2,34,26
1,0:41.0,,Offensive rebound by Team,34,26
1,0:41.0,,E. Bledsoe misses free throw 2 of 2,34,26
1,0:30.0,,Offensive rebound by Team,34,26
1,0:20.0,,K. Middleton misses 3-pt jump shot from 27 ft,34,26
1,0:18.0,Defensive rebound by D. Carroll,,34,26
1,0:01.0,S. Dinwiddie misses 2-pt layup from 3 ft,,34,26
1,0:01.0,,Defensive rebound by K. Middleton,34,26
2,11:37.0,C. LeVert makes 2-pt jump shot from 12 ft,,36,26
2,11:16.0,,K. Middleton makes 2-pt jump shot from 12 ft,36,28
2,11:03.0,T. Graham misses 2-pt jump shot from 13 ft,,36,28
2,11:00.0,Offensive rebound by T. Graham,,36,28
2,10:57.0,Turnover by T. Graham (bad pass; steal by E. Bledsoe),,36,28
2,10:51.0,,G. Hill misses 3-pt jump shot from 27 ft,36,28
2,10:48.0,Defensive rebound by T. Graham,,36,28
2,10:40.0,C. LeVert makes 2-pt layup from 3 ft,,38,28
2,10:22.0,,K. Middleton misses 3-pt jump shot from 27 ft,38,28
2,10:19.0,Defensive rebound by J. Harris,,38,28
2,10:11.0,T. Graham misses 3-pt jump shot from 27 ft,,38,28
2,10:08.0,,Defensive rebound by K. Middleton,38,28
2,10:05.0,,Shooting foul by C. LeVert (drawn by K. Middleton),38,28
2,10:05.0,,K. Middleton makes free throw 1 of 2,38,29
2,10:05.0,,P. Connaughton enters the game for G. Hill,38,29
2,10:05.0,,K. Middleton makes free throw 2 of 2,38,30
2,9:46.0,C. LeVert makes 2-pt jump shot from 2 ft (assist by T. Graham),,40,30
2,9:30.0,,Turnover by K. Middleton (bad pass),40,30
2,9:30.0,,Loose ball foul by B. Lopez (drawn by T. Graham),40,30
2,9:30.0,,D. Wilson enters the game for S. Brown,40,30
2,9:20.0,E. Davis makes 2-pt layup from 2 ft (assist by D. Russell),,42,30
2,9:01.0,,K. Middleton makes 2-pt jump shot from 7 ft,42,32
2,8:47.0,D. Russell makes 2-pt jump shot from 12 ft,,44,32
2,8:40.0,,E. Bledsoe makes 2-pt layup from 1 ft,44,34
2,8:29.0,D. Russell makes 2-pt jump shot from 17 ft,,46,34
2,8:29.0,Shooting foul by E. Bledsoe (drawn by D. Russell),,46,34
2,8:29.0,D. Russell misses free throw 1 of 1,,46,34
2,8:25.0,,Defensive rebound by D. Wilson,46,34
2,8:19.0,,Offensive foul by E. Bledsoe (drawn by T. Graham),46,34
2,8:19.0,,Turnover by E. Bledsoe (offensive foul),46,34
2,8:04.0,D. Russell misses 2-pt jump shot from 13 ft,,46,34
2,7:58.0,Offensive rebound by E. Davis,,46,34
2,7:58.0,E. Davis makes 2-pt layup from 1 ft,,48,34
2,7:45.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),48,37
2,7:27.0,D. Russell makes 2-pt jump shot from 9 ft,,50,37
2,7:18.0,,Shooting foul by T. Graham (drawn by K. Middleton),50,37
2,7:18.0,,K. Middleton makes free throw 1 of 2,50,38
2,7:18.0,R. Kurucs enters the game for T. Graham,,50,38
2,7:18.0,,T. Frazier enters the game for E. Bledsoe,50,38
2,7:18.0,,K. Middleton makes free throw 2 of 2,50,39
2,7:01.0,D. Russell misses 2-pt jump shot from 14 ft,,50,39
2,6:58.0,,Defensive rebound by B. Lopez,50,39
2,6:51.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by K. Middleton),50,42
2,6:50.0,Brooklyn full timeout,,50,42
2,6:50.0,S. Dinwiddie enters the game for C. LeVert,,50,42
2,6:50.0,,G. Hill enters the game for B. Lopez,50,42
2,6:50.0,,E. İlyasova enters the game for K. Middleton,50,42
2,6:33.0,E. Davis makes 2-pt layup from 2 ft (assist by D. Russell),,52,42
2,6:12.0,,D. Wilson misses 3-pt jump shot from 22 ft,52,42
2,6:09.0,Defensive rebound by S. Dinwiddie,,52,42
2,6:06.0,Shooting foul by D. Wilson (drawn by E. Davis),,52,42
2,6:06.0,E. Davis makes free throw 1 of 2,,53,42
2,6:06.0,E. Davis makes free throw 2 of 2,,54,42
2,5:53.0,,Personal foul by S. Dinwiddie (drawn by G. Hill),54,42
2,5:46.0,,E. İlyasova misses 2-pt dunk from 3 ft,54,42
2,5:45.0,,Offensive rebound by P. Connaughton,54,42
2,5:43.0,,P. Connaughton makes 3-pt jump shot from 26 ft,54,45
2,5:36.0,R. Kurucs misses 3-pt jump shot from 27 ft,,54,45
2,5:33.0,,Defensive rebound by E. İlyasova,54,45
2,5:17.0,,T. Frazier makes 3-pt jump shot from 26 ft (assist by D. Wilson),54,48
2,4:56.0,J. Harris misses 2-pt layup from 3 ft,,54,48
2,4:53.0,,Defensive rebound by P. Connaughton,54,48
2,4:42.0,,G. Hill misses 3-pt jump shot from 23 ft,54,48
2,4:39.0,Defensive rebound by S. Dinwiddie,,54,48
2,4:36.0,E. Davis makes 2-pt layup from 2 ft (assist by R. Kurucs),,56,48
2,4:36.0,Shooting foul by D. Wilson (drawn by E. Davis),,56,48
2,4:36.0,C. LeVert enters the game for D. Russell,,56,48
2,4:36.0,E. Davis misses free throw 1 of 1,,56,48
2,4:33.0,,Defensive rebound by D. Wilson,56,48
2,4:16.0,,T. Frazier makes 2-pt jump shot from 13 ft,56,50
2,4:07.0,R. Kurucs misses 3-pt jump shot from 26 ft,,56,50
2,4:04.0,Offensive rebound by S. Dinwiddie,,56,50
2,3:59.0,S. Dinwiddie misses 3-pt jump shot from 28 ft,,56,50
2,3:57.0,,Defensive rebound by P. Connaughton,56,50
2,3:42.0,,T. Frazier misses 2-pt layup from 4 ft,56,50
2,3:39.0,Defensive rebound by E. Davis,,56,50
2,3:33.0,S. Dinwiddie makes 3-pt jump shot from 22 ft (assist by C. LeVert),,59,50
2,3:32.0,,Milwaukee full timeout,59,50
2,3:32.0,J. Allen enters the game for E. Davis,,59,50
2,3:32.0,D. Carroll enters the game for R. Kurucs,,59,50
2,3:32.0,,E. Bledsoe enters the game for T. Frazier,59,50
2,3:32.0,,S. Brown enters the game for D. Wilson,59,50
2,3:16.0,,G. Hill makes 2-pt jump shot from 11 ft (assist by E. Bledsoe),59,52
