QUARTER,TIME_REMAINING,HOUSTON_ACTION,ATLANTA_ACTION,HOUSTON_SCORE,ATLANTA_SCORE
1,11:37.0,Shooting foul by T. Prince (drawn by J. Harden),,0,0
1,11:37.0,J. Harden makes free throw 1 of 3,,1,0
1,11:37.0,J. Harden makes free throw 2 of 3,,2,0
1,11:37.0,J. Harden makes free throw 3 of 3,,3,0
1,11:19.0,,T. Young misses 3-pt jump shot from 27 ft,3,0
1,11:15.0,Defensive rebound by C. Capela,,3,0
1,11:07.0,J. Harden misses 3-pt jump shot from 25 ft,,3,0
1,11:04.0,,Defensive rebound by J. Collins,3,0
1,11:01.0,,K. Huerter misses 3-pt jump shot from 26 ft,3,0
1,10:56.0,Defensive rebound by J. Harden,,3,0
1,10:51.0,E. Gordon misses 3-pt jump shot from 24 ft,,3,0
1,10:47.0,,Defensive rebound by K. Huerter,3,0
1,10:42.0,,D. Dedmon misses 2-pt layup from 5 ft (block by P. Tucker),3,0
1,10:38.0,Defensive rebound by C. Capela,,3,0
1,10:36.0,C. Capela makes 2-pt layup from 2 ft (assist by C. Paul),,5,0
1,10:24.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),5,2
1,10:06.0,J. Harden misses 3-pt jump shot from 25 ft,,5,2
1,10:04.0,,Defensive rebound by K. Huerter,5,2
1,9:56.0,,Shooting foul by J. Harden (drawn by J. Collins),5,2
1,9:56.0,,J. Collins makes free throw 1 of 2,5,3
1,9:56.0,,J. Collins misses free throw 2 of 2,5,3
1,9:54.0,Defensive rebound by P. Tucker,,5,3
1,9:41.0,P. Tucker misses 3-pt jump shot from 23 ft,,5,3
1,9:38.0,,Defensive rebound by J. Collins,5,3
1,9:26.0,,T. Prince misses 3-pt jump shot from 25 ft,5,3
1,9:21.0,Defensive rebound by C. Paul,,5,3
1,9:15.0,C. Capela makes 2-pt layup from 1 ft (assist by C. Paul),,7,3
1,8:59.0,,T. Prince makes 2-pt layup from 1 ft (assist by T. Young),7,5
1,8:53.0,Offensive foul by P. Tucker (drawn by T. Prince),,7,5
1,8:53.0,Turnover by P. Tucker (offensive foul),,7,5
1,8:44.0,,J. Collins misses 3-pt jump shot from 23 ft,7,5
1,8:41.0,Defensive rebound by C. Capela,,7,5
1,8:31.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,9,5
1,8:14.0,,Turnover by D. Dedmon (bad pass; steal by C. Paul),9,5
1,7:53.0,C. Paul misses 3-pt jump shot from 25 ft,,9,5
1,7:50.0,,Defensive rebound by T. Prince,9,5
1,7:46.0,,T. Prince misses 2-pt jump shot from 20 ft,9,5
1,7:42.0,Defensive rebound by C. Capela,,9,5
1,7:27.0,C. Paul misses 3-pt jump shot from 25 ft,,9,5
1,7:23.0,,Defensive rebound by J. Collins,9,5
1,7:15.0,,D. Dedmon makes 3-pt jump shot from 23 ft (assist by K. Huerter),9,8
1,6:56.0,C. Capela misses 2-pt layup from 2 ft,,9,8
1,6:54.0,,Defensive rebound by D. Dedmon,9,8
1,6:47.0,,T. Young makes 2-pt layup from 6 ft,9,10
1,6:35.0,Turnover by C. Capela (lost ball; steal by T. Young),,9,10
1,6:35.0,,Personal foul by P. Tucker (drawn by T. Young),9,10
1,6:35.0,,Atlanta full timeout,9,10
1,6:35.0,D. House enters the game for E. Gordon,,9,10
1,6:35.0,A. Rivers enters the game for C. Paul,,9,10
