QUARTER,TIME_REMAINING,PHOENIX_ACTION,BOSTON_ACTION,PHOENIX_SCORE,BOSTON_SCORE
1,11:46.0,,A. Baynes makes 2-pt hook shot from 3 ft (assist by K. Irving),0,2
1,11:31.0,Turnover by D. Melton (bad pass; steal by K. Irving),,0,2
1,11:25.0,,K. Irving makes 3-pt jump shot from 25 ft (assist by M. Smart),0,5
1,11:04.0,D. Ayton makes 2-pt jump shot from 16 ft,,2,5
1,10:50.0,,J. Brown makes 2-pt jump shot from 4 ft (assist by K. Irving),2,7
1,10:33.0,D. Booker misses 2-pt jump shot from 19 ft,,2,7
1,10:31.0,Offensive rebound by D. Ayton,,2,7
1,10:29.0,Turnover by D. Ayton (lost ball; steal by K. Irving),,2,7
1,10:25.0,,J. Brown makes 2-pt jump shot from 16 ft (assist by M. Smart),2,9
1,10:04.0,D. Booker misses 2-pt jump shot from 10 ft,,2,9
1,10:01.0,,Defensive rebound by A. Baynes,2,9
1,9:56.0,,A. Baynes makes 2-pt dunk from 2 ft (assist by K. Irving),2,11
1,9:56.0,Phoenix full timeout,,2,11
1,9:56.0,,R. Williams enters the game for A. Baynes,2,11
1,9:43.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by T. Warren),,5,11
1,9:27.0,,Turnover by K. Irving (bad pass; steal by M. Bridges),5,11
1,9:19.0,Turnover by D. Melton (bad pass; steal by J. Tatum),,5,11
1,9:10.0,,K. Irving makes 2-pt layup from 1 ft,5,13
1,8:51.0,D. Booker misses 2-pt jump shot from 10 ft,,5,13
1,8:49.0,,Defensive rebound by K. Irving,5,13
1,8:43.0,,Personal foul by D. Booker (drawn by J. Brown),5,13
1,8:29.0,,J. Brown misses 2-pt jump shot from 19 ft,5,13
1,8:27.0,Defensive rebound by D. Ayton,,5,13
1,8:20.0,T. Warren misses 2-pt layup from 2 ft (block by J. Tatum),,5,13
1,8:17.0,Offensive rebound by T. Warren,,5,13
1,8:15.0,T. Warren misses 2-pt layup from 6 ft,,5,13
1,8:13.0,Offensive rebound by T. Warren,,5,13
1,8:12.0,T. Warren misses 2-pt layup from 3 ft,,5,13
1,8:10.0,Offensive rebound by M. Bridges,,5,13
1,8:01.0,D. Melton misses 3-pt jump shot from 23 ft,,5,13
1,7:58.0,Offensive rebound by D. Ayton,,5,13
1,7:55.0,D. Ayton misses 2-pt layup from 5 ft (block by J. Brown),,5,13
1,7:52.0,Offensive rebound by D. Ayton,,5,13
1,7:51.0,D. Ayton makes 2-pt hook shot from 7 ft,,7,13
1,7:33.0,,J. Tatum misses 2-pt jump shot from 17 ft,7,13
1,7:30.0,Defensive rebound by T. Warren,,7,13
1,7:16.0,D. Ayton makes 2-pt jump shot from 18 ft (assist by D. Melton),,9,13
1,7:00.0,,J. Tatum misses 2-pt layup from 1 ft,9,13
1,6:58.0,,Offensive rebound by R. Williams,9,13
1,6:51.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by K. Irving),9,16
1,6:31.0,D. Booker misses 2-pt layup from 5 ft (block by J. Tatum),,9,16
1,6:31.0,Offensive rebound by Team,,9,16
1,6:31.0,,G. Hayward enters the game for J. Brown,9,16
1,6:22.0,T. Warren misses 2-pt jump shot from 21 ft,,9,16
1,6:19.0,Offensive rebound by M. Bridges,,9,16
1,6:15.0,Shooting foul by G. Hayward (drawn by T. Warren),,9,16
1,6:15.0,T. Warren makes free throw 1 of 2,,10,16
1,6:15.0,T. Warren makes free throw 2 of 2,,11,16
1,6:03.0,,K. Irving makes 2-pt jump shot from 16 ft,11,18
1,5:44.0,T. Warren misses 2-pt layup from 9 ft (block by G. Hayward),,11,18
1,5:42.0,,Defensive rebound by J. Tatum,11,18
1,5:31.0,,R. Williams makes 2-pt dunk from 1 ft (assist by K. Irving),11,20
1,5:10.0,M. Bridges misses 2-pt layup from 6 ft (block by R. Williams),,11,20
1,5:10.0,Offensive rebound by Team,,11,20
1,5:08.0,T. Warren misses 2-pt jump shot from 11 ft,,11,20
1,5:05.0,,Defensive rebound by G. Hayward,11,20
1,4:59.0,,Turnover by K. Irving (bad pass),11,20
1,4:50.0,T. Warren makes 2-pt dunk from 1 ft,,13,20
1,4:34.0,,J. Tatum makes 2-pt jump shot from 17 ft (assist by G. Hayward),13,22
1,4:21.0,D. Ayton makes 2-pt layup from 2 ft (assist by D. Melton),,15,22
1,4:21.0,Violation by Team (delay of game),,15,22
1,4:07.0,,R. Williams makes 2-pt dunk from 1 ft (assist by K. Irving),15,24
1,3:57.0,Shooting foul by K. Irving (drawn by D. Ayton),,15,24
1,3:57.0,D. Ayton makes free throw 1 of 2,,16,24
1,3:57.0,J. Jackson enters the game for M. Bridges,,16,24
1,3:57.0,,T. Rozier enters the game for K. Irving,16,24
1,3:57.0,D. Ayton makes free throw 2 of 2,,17,24
1,3:48.0,,Personal foul by D. Melton (drawn by G. Hayward),17,24
1,3:48.0,R. Holmes enters the game for D. Ayton,,17,24
1,3:41.0,,M. Smart misses 3-pt jump shot from 27 ft,17,24
1,3:39.0,,Offensive rebound by R. Williams,17,24
1,3:25.0,,J. Tatum makes 2-pt jump shot from 18 ft,17,26
1,3:18.0,Personal foul by R. Williams (drawn by D. Booker),,17,26
1,3:18.0,,D. Theis enters the game for R. Williams,17,26
1,3:10.0,Turnover by J. Jackson (bad pass; steal by M. Smart),,17,26
1,3:06.0,,J. Tatum makes 2-pt layup from 1 ft (assist by T. Rozier),17,28
1,3:06.0,Violation by Team (def goaltending),,17,28
1,2:53.0,D. Booker makes 2-pt jump shot from 7 ft,,19,28
1,2:37.0,,D. Theis makes 2-pt layup from 1 ft (assist by G. Hayward),19,30
1,2:27.0,D. Booker makes 3-pt jump shot from 22 ft (assist by D. Melton),,22,30
1,2:26.0,,Boston full timeout,22,30
1,2:26.0,J. Crawford enters the game for D. Melton,,22,30
1,2:26.0,,J. Brown enters the game for M. Smart,22,30
1,2:26.0,,S. Ojeleye enters the game for J. Tatum,22,30
1,2:13.0,,J. Brown misses 2-pt jump shot from 6 ft,22,30
1,2:10.0,Defensive rebound by R. Holmes,,22,30
1,1:56.0,R. Holmes misses 2-pt hook shot from 5 ft,,22,30
1,1:53.0,,Defensive rebound by J. Brown,22,30
1,1:42.0,,T. Rozier misses 2-pt jump shot from 17 ft,22,30
1,1:40.0,Defensive rebound by R. Holmes,,22,30
1,1:30.0,D. Booker makes 2-pt jump shot from 5 ft (assist by J. Crawford),,24,30
1,1:10.0,,D. Theis misses 2-pt jump shot from 15 ft,24,30
1,1:07.0,Defensive rebound by J. Crawford,,24,30
1,1:00.0,R. Holmes misses 2-pt layup from 1 ft,,24,30
1,0:59.0,,Defensive rebound by G. Hayward,24,30
1,0:54.0,,G. Hayward makes 2-pt jump shot from 11 ft,24,32
1,0:43.0,D. Booker makes 2-pt jump shot from 16 ft (assist by J. Crawford),,26,32
1,0:30.0,,D. Theis makes 2-pt jump shot from 7 ft (assist by T. Rozier),26,34
1,0:10.0,J. Crawford misses 2-pt jump shot from 9 ft,,26,34
1,0:08.0,,Defensive rebound by D. Theis,26,34
1,0:04.0,,G. Hayward makes 3-pt jump shot from 26 ft,26,37
1,0:00.0,J. Crawford misses 3-pt jump shot from 27 ft,,26,37
1,0:00.0,Offensive rebound by Team,,26,37
2,11:48.0,R. Holmes makes 2-pt dunk from 2 ft (assist by J. Jackson),,28,37
2,11:31.0,,G. Hayward misses 3-pt jump shot from 23 ft,28,37
2,11:28.0,Defensive rebound by M. Bridges,,28,37
2,11:22.0,K. Oubre misses 2-pt jump shot from 8 ft,,28,37
2,11:19.0,,Defensive rebound by G. Hayward,28,37
2,11:14.0,,T. Rozier makes 3-pt jump shot from 25 ft,28,40
2,10:59.0,J. Jackson makes 2-pt jump shot from 20 ft,,30,40
2,10:47.0,,Personal foul by K. Oubre (drawn by G. Hayward),30,40
2,10:38.0,,J. Brown makes 2-pt jump shot from 13 ft (assist by G. Hayward),30,42
2,10:21.0,M. Bridges misses 3-pt jump shot from 24 ft,,30,42
2,10:19.0,,Defensive rebound by T. Rozier,30,42
2,10:10.0,,Turnover by T. Rozier (bad pass; steal by J. Jackson),30,42
2,9:54.0,Shooting foul by T. Rozier (drawn by R. Holmes),,30,42
2,9:54.0,R. Holmes makes free throw 1 of 2,,31,42
2,9:54.0,R. Holmes makes free throw 2 of 2,,32,42
2,9:47.0,,Offensive foul by G. Hayward (drawn by K. Oubre),32,42
2,9:47.0,,Turnover by G. Hayward (offensive foul),32,42
2,9:38.0,K. Oubre misses 2-pt jump shot from 8 ft,,32,42
2,9:37.0,Offensive rebound by R. Holmes,,32,42
2,9:37.0,R. Holmes makes 2-pt layup at rim,,34,42
2,9:17.0,,J. Brown misses 2-pt layup from 2 ft (block by R. Holmes),34,42
2,9:17.0,,Offensive rebound by S. Ojeleye,34,42
2,9:14.0,,T. Rozier makes 3-pt jump shot from 26 ft (assist by S. Ojeleye),34,45
2,8:57.0,Shooting foul by T. Rozier (drawn by K. Oubre),,34,45
2,8:57.0,K. Oubre makes free throw 1 of 2,,35,45
2,8:57.0,K. Oubre makes free throw 2 of 2,,36,45
2,8:49.0,,D. Theis misses 3-pt jump shot from 25 ft,36,45
2,8:47.0,Defensive rebound by J. Jackson,,36,45
2,8:41.0,J. Jackson makes 2-pt hook shot from 8 ft,,38,45
2,8:31.0,,T. Rozier misses 2-pt jump shot from 18 ft,38,45
2,8:31.0,,Offensive rebound by Team,38,45
2,8:23.0,,G. Hayward misses 2-pt jump shot from 18 ft,38,45
2,8:20.0,Defensive rebound by R. Holmes,,38,45
2,8:16.0,,Loose ball foul by J. Brown (drawn by J. Crawford),38,45
