QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DENVER_ACTION,LA LAKERS_SCORE,DENVER_SCORE
1,11:48.0,L. Ball misses 3-pt jump shot from 25 ft,,0,0
1,11:45.0,,Defensive rebound by N. Jokić,0,0
1,11:37.0,,J. Hernangómez makes 2-pt layup from 2 ft (assist by N. Jokić),0,2
1,11:14.0,J. McGee makes 2-pt layup from 1 ft (assist by K. Kuzma),,2,2
1,10:48.0,,J. Murray misses 3-pt jump shot from 26 ft,2,2
1,10:42.0,Defensive rebound by L. James,,2,2
1,10:36.0,J. McGee misses 2-pt layup from 2 ft,,2,2
1,10:33.0,Offensive rebound by L. Ball,,2,2
1,10:29.0,B. Ingram misses 2-pt jump shot from 16 ft,,2,2
1,10:26.0,,Defensive rebound by T. Craig,2,2
1,10:19.0,,P. Millsap makes 2-pt layup from 2 ft (assist by N. Jokić),2,4
1,10:19.0,,Shooting foul by K. Kuzma (drawn by P. Millsap),2,4
1,10:19.0,,P. Millsap makes free throw 1 of 1,2,5
1,9:57.0,L. James misses 2-pt layup from 2 ft,,2,5
1,9:55.0,,Defensive rebound by N. Jokić,2,5
1,9:53.0,,J. Murray misses 3-pt jump shot from 25 ft,2,5
1,9:49.0,,Offensive rebound by T. Craig,2,5
1,9:45.0,,N. Jokić misses 2-pt layup from 2 ft (block by J. McGee),2,5
1,9:43.0,Defensive rebound by K. Kuzma,,2,5
1,9:43.0,L. James makes 2-pt layup from 1 ft (assist by K. Kuzma),,4,5
1,9:43.0,Shooting foul by P. Millsap (drawn by L. James),,4,5
1,9:43.0,L. James makes free throw 1 of 1,,5,5
1,9:26.0,,J. Murray makes 2-pt layup from 4 ft (assist by J. Hernangómez),5,7
1,9:03.0,K. Kuzma misses 3-pt jump shot from 22 ft,,5,7
1,9:01.0,,Defensive rebound by T. Craig,5,7
1,8:47.0,,P. Millsap misses 2-pt layup from 3 ft,5,7
1,8:44.0,Defensive rebound by B. Ingram,,5,7
1,8:36.0,B. Ingram makes 2-pt layup from 2 ft,,7,7
1,8:24.0,,J. Hernangómez makes 2-pt dunk from 2 ft (assist by N. Jokić),7,9
1,8:15.0,L. James misses 3-pt jump shot from 28 ft,,7,9
1,8:10.0,,Defensive rebound by T. Craig,7,9
1,7:55.0,,P. Millsap makes 2-pt dunk from 1 ft,7,11
1,7:34.0,L. Ball makes 2-pt layup at rim (assist by J. McGee),,9,11
1,7:21.0,,J. Hernangómez makes 2-pt layup from 1 ft (assist by N. Jokić),9,13
1,7:02.0,L. James misses 3-pt jump shot from 25 ft,,9,13
1,7:00.0,,Defensive rebound by P. Millsap,9,13
1,6:49.0,,P. Millsap makes 2-pt jump shot from 8 ft,9,15
1,6:48.0,LA Lakers full timeout,,9,15
1,6:48.0,T. Chandler enters the game for J. McGee,,9,15
1,6:40.0,Personal foul by T. Craig (drawn by B. Ingram),,9,15
1,6:32.0,Shooting foul by T. Craig (drawn by T. Chandler),,9,15
1,6:32.0,T. Chandler misses free throw 1 of 2,,9,15
1,6:32.0,Offensive rebound by Team,,9,15
1,6:32.0,,M. Beasley enters the game for T. Craig,9,15
1,6:32.0,T. Chandler makes free throw 2 of 2,,10,15
1,6:05.0,,N. Jokić misses 2-pt jump shot from 11 ft,10,15
1,6:03.0,Defensive rebound by T. Chandler,,10,15
1,6:00.0,L. James makes 2-pt layup from 3 ft,,12,15
1,6:00.0,Shooting foul by J. Hernangómez (drawn by L. James),,12,15
1,6:00.0,L. James misses free throw 1 of 1,,12,15
1,6:00.0,,Defensive rebound by P. Millsap,12,15
1,5:44.0,,J. Murray makes 2-pt layup from 3 ft (assist by P. Millsap),12,17
1,5:33.0,Shooting foul by N. Jokić (drawn by T. Chandler),,12,17
1,5:33.0,T. Chandler makes free throw 1 of 2,,13,17
1,5:33.0,T. Chandler misses free throw 2 of 2,,13,17
1,5:31.0,,Defensive rebound by P. Millsap,13,17
1,5:17.0,,P. Millsap misses 2-pt jump shot from 11 ft,13,17
1,5:15.0,Defensive rebound by T. Chandler,,13,17
1,5:12.0,Turnover by L. James (bad pass; steal by P. Millsap),,13,17
1,5:07.0,,P. Millsap misses 2-pt jump shot from 4 ft,13,17
1,5:05.0,Defensive rebound by T. Chandler,,13,17
