QUARTER,TIME_REMAINING,PORTLAND_ACTION,DETROIT_ACTION,PORTLAND_SCORE,DETROIT_SCORE
1,11:42.0,,R. Jackson misses 3-pt jump shot from 27 ft,0,0
1,11:38.0,Defensive rebound by J. Layman,,0,0
1,11:22.0,E. Freedom misses 2-pt jump shot from 13 ft,,0,0
1,11:19.0,Offensive rebound by J. Layman,,0,0
1,11:17.0,J. Layman makes 2-pt layup from 1 ft,,2,0
1,11:04.0,,W. Ellington misses 3-pt jump shot from 25 ft,2,0
1,10:59.0,Defensive rebound by D. Lillard,,2,0
1,10:50.0,J. Layman misses 3-pt jump shot from 23 ft,,2,0
1,10:45.0,,Defensive rebound by W. Ellington,2,0
1,10:30.0,,T. Maker misses 3-pt jump shot from 24 ft,2,0
1,10:25.0,Defensive rebound by D. Lillard,,2,0
1,10:20.0,Turnover by M. Harkless (bad pass),,2,0
1,10:09.0,,Turnover by A. Drummond (bad pass; steal by E. Freedom),2,0
1,10:05.0,M. Harkless misses 2-pt layup from 1 ft (block by R. Jackson),,2,0
1,10:02.0,,Defensive rebound by A. Drummond,2,0
1,9:57.0,,T. Maker misses 2-pt layup from 3 ft (block by J. Layman),2,0
1,9:52.0,Defensive rebound by A. Aminu,,2,0
1,9:51.0,Personal foul by T. Maker (drawn by A. Aminu),,2,0
1,9:43.0,A. Aminu misses 2-pt dunk from 2 ft (block by A. Drummond),,2,0
1,9:39.0,,Defensive rebound by A. Drummond,2,0
1,9:32.0,,B. Brown misses 3-pt jump shot from 25 ft,2,0
1,9:29.0,Defensive rebound by A. Aminu,,2,0
1,9:13.0,E. Freedom makes 2-pt layup from 2 ft (assist by D. Lillard),,4,0
1,9:04.0,,A. Drummond misses 2-pt hook shot from 3 ft,4,0
1,9:02.0,,Offensive rebound by A. Drummond,4,0
1,8:55.0,,A. Drummond misses 2-pt jump shot from 23 ft,4,0
1,8:48.0,Defensive rebound by M. Harkless,,4,0
1,8:44.0,D. Lillard misses 3-pt jump shot from 32 ft,,4,0
1,8:40.0,,Defensive rebound by A. Drummond,4,0
1,8:31.0,,R. Jackson misses 2-pt jump shot from 16 ft,4,0
1,8:29.0,Defensive rebound by D. Lillard,,4,0
1,8:17.0,E. Freedom misses 2-pt layup from 2 ft,,4,0
1,8:17.0,Offensive rebound by Team,,4,0
1,8:04.0,J. Layman misses 3-pt jump shot from 26 ft,,4,0
1,8:01.0,,Defensive rebound by A. Drummond,4,0
1,7:49.0,,W. Ellington misses 3-pt jump shot from 26 ft,4,0
1,7:47.0,Defensive rebound by E. Freedom,,4,0
1,7:33.0,A. Aminu misses 2-pt jump shot from 10 ft,,4,0
1,7:31.0,,Defensive rebound by W. Ellington,4,0
1,7:24.0,,Shooting foul by M. Harkless (drawn by R. Jackson),4,0
1,7:24.0,,R. Jackson makes free throw 1 of 2,4,1
1,7:24.0,,R. Jackson makes free throw 2 of 2,4,2
1,7:03.0,D. Lillard makes 2-pt layup from 2 ft,,6,2
1,6:46.0,,R. Jackson misses 2-pt jump shot from 8 ft,6,2
1,6:44.0,Defensive rebound by E. Freedom,,6,2
1,6:37.0,A. Aminu misses 2-pt layup from 1 ft,,6,2
1,6:36.0,Offensive rebound by E. Freedom,,6,2
1,6:36.0,E. Freedom misses 2-pt layup from 1 ft,,6,2
1,6:36.0,Offensive rebound by E. Freedom,,6,2
1,6:36.0,E. Freedom makes 2-pt layup from 1 ft,,8,2
1,6:36.0,,Detroit full timeout,8,2
1,6:22.0,,B. Brown misses 2-pt dunk from 3 ft (block by M. Harkless),8,2
1,6:19.0,Defensive rebound by M. Harkless,,8,2
1,6:03.0,D. Lillard misses 2-pt jump shot from 18 ft,,8,2
1,6:00.0,,Defensive rebound by R. Jackson,8,2
1,5:41.0,,W. Ellington misses 2-pt layup from 2 ft,8,2
1,5:39.0,Defensive rebound by J. Layman,,8,2
