QUARTER,TIME_REMAINING,NEW YORK_ACTION,ATLANTA_ACTION,NEW YORK_SCORE,ATLANTA_SCORE
1,11:45.0,,T. Prince misses 3-pt jump shot from 24 ft,0,0
1,11:39.0,Defensive rebound by D. Dotson,,0,0
1,11:36.0,Turnover by D. Dotson (bad pass; steal by D. Dedmon),,0,0
1,11:32.0,,K. Huerter misses 3-pt jump shot from 25 ft,0,0
1,11:29.0,Defensive rebound by D. Jordan,,0,0
1,11:26.0,Shooting foul by D. Dedmon (drawn by D. Smith),,0,0
1,11:26.0,D. Smith misses free throw 1 of 2,,0,0
1,11:26.0,Offensive rebound by Team,,0,0
1,11:26.0,D. Smith makes free throw 2 of 2,,1,0
1,11:06.0,,J. Collins misses 3-pt jump shot from 23 ft,1,0
1,11:03.0,Defensive rebound by Team,,1,0
1,10:49.0,D. Smith makes 3-pt jump shot from 25 ft (assist by D. Dotson),,4,0
1,10:37.0,,T. Young misses 2-pt jump shot from 14 ft,4,0
1,10:32.0,Defensive rebound by D. Jordan,,4,0
1,10:15.0,D. Dotson misses 3-pt jump shot from 25 ft,,4,0
1,10:13.0,,Defensive rebound by K. Huerter,4,0
1,9:57.0,,Turnover by K. Huerter (bad pass; steal by D. Jordan),4,0
1,9:48.0,D. Dotson makes 2-pt jump shot from 16 ft (assist by D. Smith),,6,0
1,9:33.0,,J. Collins misses 2-pt layup from 3 ft,6,0
1,9:30.0,Defensive rebound by D. Jordan,,6,0
1,9:26.0,L. Kornet makes 3-pt jump shot from 26 ft (assist by D. Smith),,9,0
1,9:09.0,,D. Dedmon misses 3-pt jump shot from 26 ft,9,0
1,9:06.0,Defensive rebound by K. Knox,,9,0
1,9:02.0,K. Knox makes 3-pt jump shot from 25 ft,,12,0
1,9:02.0,,Atlanta full timeout,12,0
1,8:45.0,,K. Huerter misses 2-pt jump shot from 21 ft,12,0
1,8:42.0,Defensive rebound by K. Knox,,12,0
1,8:39.0,D. Smith makes 2-pt layup from 2 ft (assist by K. Knox),,14,0
1,8:25.0,,D. Dedmon misses 2-pt jump shot from 20 ft,14,0
1,8:24.0,Defensive rebound by Team,,14,0
1,8:24.0,,Loose ball foul by J. Collins (drawn by L. Kornet),14,0
1,8:11.0,L. Kornet misses 2-pt jump shot from 18 ft,,14,0
1,8:08.0,,Defensive rebound by T. Prince,14,0
1,8:03.0,,T. Young misses 2-pt layup from 1 ft (block by D. Jordan),14,0
1,8:03.0,,Offensive rebound by Team,14,0
1,7:54.0,,J. Collins misses 3-pt jump shot from 25 ft,14,0
1,7:51.0,Defensive rebound by D. Jordan,,14,0
1,7:40.0,K. Knox misses 2-pt layup from 1 ft,,14,0
1,7:37.0,,Defensive rebound by K. Huerter,14,0
1,7:34.0,,T. Prince misses 2-pt layup from 8 ft,14,0
1,7:26.0,,Offensive rebound by J. Collins,14,0
1,7:26.0,,J. Collins makes 2-pt dunk from 1 ft,14,2
1,7:08.0,Shooting foul by K. Huerter (drawn by D. Dotson),,14,2
1,7:08.0,D. Dotson makes free throw 1 of 2,,15,2
1,7:08.0,,K. Bazemore enters the game for D. Dedmon,15,2
1,7:08.0,,A. Len enters the game for K. Huerter,15,2
1,7:08.0,D. Dotson makes free throw 2 of 2,,16,2
1,6:57.0,,T. Prince misses 3-pt jump shot from 25 ft,16,2
1,6:54.0,Defensive rebound by D. Jordan,,16,2
1,6:44.0,L. Kornet misses 3-pt jump shot from 23 ft,,16,2
1,6:41.0,,Defensive rebound by A. Len,16,2
1,6:35.0,,T. Young misses 2-pt layup from 1 ft,16,2
1,6:32.0,,Offensive rebound by T. Young,16,2
1,6:31.0,,T. Young misses 2-pt layup from 1 ft,16,2
1,6:31.0,,Offensive rebound by K. Bazemore,16,2
1,6:28.0,,K. Bazemore makes 2-pt layup from 1 ft,16,4
1,6:25.0,Turnover by D. Smith (bad pass; steal by T. Prince),,16,4
1,6:18.0,,Shooting foul by D. Dotson (drawn by A. Len),16,4
1,6:18.0,,A. Len misses free throw 1 of 2,16,4
1,6:18.0,,Offensive rebound by Team,16,4
1,6:18.0,K. Allen enters the game for D. Smith,,16,4
1,6:18.0,,D. Bembry enters the game for J. Collins,16,4
1,6:18.0,,O. Spellman enters the game for T. Young,16,4
1,6:18.0,,A. Len makes free throw 2 of 2,16,5
1,6:11.0,Personal foul by D. Bembry (drawn by K. Allen),,16,5
1,6:04.0,D. Dotson misses 3-pt jump shot from 25 ft,,16,5
1,6:01.0,,Defensive rebound by O. Spellman,16,5
1,5:53.0,,T. Prince misses 2-pt layup from 6 ft,16,5
1,5:53.0,,Offensive rebound by Team,16,5
1,5:53.0,Loose ball foul by D. Dotson (drawn by O. Spellman),,16,5
1,5:42.0,,O. Spellman misses 3-pt jump shot from 23 ft,16,5
1,5:39.0,Defensive rebound by K. Knox,,16,5
1,5:33.0,K. Knox misses 2-pt layup from 6 ft (block by A. Len),,16,5
1,5:33.0,Offensive rebound by Team,,16,5
1,5:33.0,A. Trier enters the game for D. Dotson,,16,5
1,5:33.0,,V. Carter enters the game for T. Prince,16,5
1,5:21.0,Offensive foul by K. Knox (drawn by V. Carter),,16,5
1,5:21.0,Turnover by K. Knox (offensive foul),,16,5
1,5:09.0,,Offensive foul by A. Len (drawn by A. Trier),16,5
1,5:09.0,,Turnover by A. Len (offensive foul),16,5
1,5:09.0,M. Robinson enters the game for D. Jordan,,16,5
1,5:02.0,M. Robinson makes 2-pt dunk from 1 ft (assist by K. Allen),,18,5
1,4:42.0,,D. Bembry misses 2-pt jump shot from 13 ft,18,5
1,4:38.0,Defensive rebound by K. Knox,,18,5
1,4:37.0,Shooting foul by K. Bazemore (drawn by K. Knox),,18,5
1,4:37.0,K. Knox makes free throw 1 of 2,,19,5
1,4:37.0,K. Knox misses free throw 2 of 2,,19,5
1,4:35.0,,Defensive rebound by O. Spellman,19,5
1,4:27.0,,Personal foul by A. Trier (drawn by O. Spellman),19,5
1,4:19.0,,D. Bembry makes 2-pt dunk from 1 ft (assist by O. Spellman),19,7
1,4:01.0,Turnover by K. Allen (lost ball; steal by D. Bembry),,19,7
1,3:56.0,,K. Bazemore misses 2-pt layup from 1 ft (block by L. Kornet),19,7
1,3:49.0,,Offensive rebound by O. Spellman,19,7
1,3:49.0,,O. Spellman misses 2-pt layup from 2 ft,19,7
1,3:48.0,Defensive rebound by K. Knox,,19,7
1,3:48.0,New York full timeout,,19,7
1,3:34.0,L. Kornet misses 3-pt jump shot from 26 ft,,19,7
1,3:29.0,,Defensive rebound by K. Bazemore,19,7
1,3:25.0,,K. Bazemore makes 2-pt layup from 1 ft,19,9
1,2:56.0,K. Knox makes 3-pt jump shot from 23 ft (assist by K. Allen),,22,9
1,2:39.0,,A. Len misses 3-pt jump shot from 25 ft,22,9
1,2:37.0,Defensive rebound by K. Knox,,22,9
1,2:32.0,K. Knox misses 2-pt layup from 4 ft,,22,9
1,2:28.0,Offensive rebound by K. Knox,,22,9
1,2:28.0,K. Knox misses 2-pt layup at rim,,22,9
1,2:28.0,Offensive rebound by M. Robinson,,22,9
1,2:28.0,M. Robinson misses 2-pt layup from 2 ft,,22,9
1,2:28.0,Offensive rebound by K. Knox,,22,9
1,2:28.0,Turnover by M. Robinson (off goaltending),,22,9
1,2:28.0,J. Jenkins enters the game for K. Knox,,22,9
1,2:28.0,N. Vonleh enters the game for L. Kornet,,22,9
1,2:14.0,,K. Bazemore misses 2-pt layup from 3 ft,22,9
1,2:11.0,Defensive rebound by M. Robinson,,22,9
1,2:09.0,Turnover by K. Allen (traveling),,22,9
1,1:51.0,,V. Carter makes 2-pt jump shot from 10 ft (assist by A. Len),22,11
1,1:29.0,Personal foul by K. Bazemore (drawn by A. Trier),,22,11
1,1:29.0,A. Trier makes free throw 1 of 2,,23,11
1,1:29.0,,J. Anderson enters the game for K. Bazemore,23,11
1,1:29.0,A. Trier misses free throw 2 of 2,,23,11
1,1:27.0,,Defensive rebound by O. Spellman,23,11
1,1:12.0,,J. Anderson misses 2-pt layup from 2 ft (block by M. Robinson),23,11
1,1:09.0,Defensive rebound by M. Robinson,,23,11
1,1:02.0,J. Jenkins makes 3-pt jump shot from 25 ft (assist by K. Allen),,26,11
1,0:43.0,,J. Anderson makes 2-pt layup from 6 ft,26,13
1,0:24.0,K. Allen makes 2-pt layup from 2 ft (assist by N. Vonleh),,28,13
1,0:06.0,,Personal foul by K. Allen (drawn by D. Bembry),28,13
1,0:02.0,,D. Bembry misses 3-pt jump shot from 27 ft (block by M. Robinson),28,13
1,0:02.0,Defensive rebound by Team,,28,13
2,11:47.0,J. Jenkins misses 3-pt jump shot from 28 ft,,28,13
2,11:46.0,Offensive rebound by Team,,28,13
2,11:37.0,N. Vonleh makes 2-pt jump shot from 19 ft,,30,13
2,11:23.0,,J. Collins makes 2-pt dunk at rim (assist by T. Young),30,15
2,11:13.0,Personal foul by J. Anderson (drawn by J. Jenkins),,30,15
2,11:00.0,N. Vonleh misses 2-pt layup from 7 ft,,30,15
2,10:57.0,,Defensive rebound by T. Young,30,15
2,10:49.0,,J. Anderson misses 3-pt jump shot from 25 ft,30,15
2,10:46.0,Defensive rebound by N. Vonleh,,30,15
2,10:34.0,J. Jenkins makes 2-pt jump shot from 16 ft (assist by K. Allen),,32,15
2,10:24.0,,Personal foul by M. Robinson (drawn by T. Young),32,15
2,10:22.0,,Personal foul by N. Vonleh (drawn by T. Young),32,15
2,10:15.0,,Shooting foul by M. Robinson (drawn by D. Dedmon),32,15
2,10:15.0,,D. Dedmon makes free throw 1 of 2,32,16
2,10:15.0,D. Jordan enters the game for M. Robinson,,32,16
2,10:15.0,,D. Dedmon makes free throw 2 of 2,32,17
2,9:56.0,Turnover by J. Jenkins (bad pass; steal by J. Collins),,32,17
2,9:52.0,,Shooting foul by K. Allen (drawn by T. Young),32,17
2,9:52.0,,T. Young makes free throw 1 of 2,32,18
2,9:52.0,,T. Prince enters the game for J. Anderson,32,18
2,9:52.0,,T. Young makes free throw 2 of 2,32,19
2,9:43.0,J. Jenkins makes 2-pt jump shot from 16 ft (assist by K. Allen),,34,19
2,9:28.0,,D. Dedmon makes 3-pt jump shot from 25 ft (assist by T. Young),34,22
2,9:15.0,Offensive foul by N. Vonleh (drawn by T. Prince),,34,22
2,9:15.0,Turnover by N. Vonleh (offensive foul),,34,22
2,9:04.0,,D. Dedmon makes 3-pt jump shot from 25 ft (assist by T. Young),34,25
2,8:57.0,New York full timeout,,34,25
2,8:57.0,D. Smith enters the game for A. Trier,,34,25
2,8:43.0,J. Jenkins makes 3-pt jump shot from 22 ft (assist by K. Allen),,37,25
2,8:24.0,,J. Collins makes 2-pt jump shot from 7 ft (assist by T. Young),37,27
2,8:09.0,Shooting foul by D. Dedmon (drawn by D. Smith),,37,27
2,8:09.0,D. Smith misses free throw 1 of 2,,37,27
2,8:09.0,Offensive rebound by Team,,37,27
2,8:09.0,D. Smith misses free throw 2 of 2,,37,27
2,8:05.0,,Defensive rebound by T. Prince,37,27
2,7:50.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by K. Huerter),37,30
2,7:36.0,J. Jenkins makes 2-pt jump shot from 17 ft,,39,30
2,7:11.0,,D. Dedmon makes 3-pt jump shot from 24 ft (assist by K. Huerter),39,33
2,7:03.0,J. Jenkins misses 3-pt jump shot from 26 ft,,39,33
2,7:01.0,Offensive rebound by J. Jenkins,,39,33
2,6:53.0,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),,41,33
2,6:35.0,,T. Prince makes 2-pt layup from 2 ft (assist by K. Huerter),41,35
2,6:18.0,D. Smith makes 2-pt jump shot from 17 ft,,43,35
2,5:55.0,,J. Collins misses 2-pt jump shot from 7 ft,43,35
2,5:51.0,,Offensive rebound by T. Young,43,35
2,5:51.0,,T. Young misses 2-pt layup from 1 ft,43,35
2,5:51.0,Defensive rebound by J. Jenkins,,43,35
2,5:46.0,J. Jenkins misses 2-pt jump shot from 18 ft,,43,35
2,5:42.0,,Defensive rebound by D. Dedmon,43,35
2,5:37.0,,Turnover by T. Prince (lost ball; steal by N. Vonleh),43,35
2,5:37.0,Personal foul by T. Prince (drawn by N. Vonleh),,43,35
2,5:37.0,D. Dotson enters the game for K. Allen,,43,35
2,5:37.0,K. Knox enters the game for J. Jenkins,,43,35
2,5:37.0,L. Kornet enters the game for N. Vonleh,,43,35
2,5:37.0,,O. Spellman enters the game for J. Collins,43,35
2,5:19.0,L. Kornet misses 2-pt layup from 2 ft (block by O. Spellman),,43,35
2,5:19.0,Offensive rebound by Team,,43,35
2,5:19.0,,K. Bazemore enters the game for D. Dedmon,43,35
2,5:19.0,,D. Bembry enters the game for K. Huerter,43,35
2,5:19.0,,A. Len enters the game for T. Young,43,35
2,5:16.0,L. Kornet misses 3-pt jump shot from 25 ft,,43,35
2,5:12.0,Offensive rebound by D. Jordan,,43,35
2,5:12.0,Shooting foul by K. Bazemore (drawn by L. Kornet),,43,35
2,5:12.0,L. Kornet makes free throw 1 of 2,,44,35
2,5:12.0,L. Kornet makes free throw 2 of 2,,45,35
