QUARTER,TIME_REMAINING,LA LAKERS_ACTION,INDIANA_ACTION,LA LAKERS_SCORE,INDIANA_SCORE
1,11:46.0,R. Rondo misses 2-pt layup from 4 ft,,0,0
1,11:42.0,,Defensive rebound by D. Collison,0,0
1,11:31.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by T. Young),0,2
1,11:13.0,K. Kuzma misses 3-pt jump shot from 26 ft,,0,2
1,11:10.0,,Defensive rebound by Team,0,2
1,10:56.0,,B. Bogdanović makes 2-pt jump shot from 12 ft (assist by T. Evans),0,4
1,10:38.0,K. Kuzma makes 2-pt jump shot from 19 ft (assist by I. Zubac),,2,4
1,10:25.0,,M. Turner misses 2-pt jump shot from 16 ft,2,4
1,10:22.0,Defensive rebound by B. Ingram,,2,4
1,10:17.0,Turnover by B. Ingram (bad pass; steal by D. Collison),,2,4
1,10:13.0,,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by D. Collison),2,7
1,10:03.0,Turnover by L. James (bad pass; steal by T. Evans),,2,7
1,9:59.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Evans),2,10
1,9:57.0,LA Lakers full timeout,,2,10
1,9:41.0,B. Ingram makes 2-pt jump shot from 13 ft,,4,10
1,9:23.0,,B. Bogdanović misses 2-pt layup at rim,4,10
1,9:21.0,Defensive rebound by K. Kuzma,,4,10
1,9:16.0,I. Zubac makes 2-pt layup from 1 ft (assist by L. James),,6,10
1,9:02.0,,T. Young makes 2-pt jump shot from 4 ft,6,12
1,8:53.0,Shooting foul by T. Evans (drawn by B. Ingram),,6,12
1,8:53.0,B. Ingram makes free throw 1 of 2,,7,12
1,8:53.0,B. Ingram makes free throw 2 of 2,,8,12
1,8:42.0,,Shooting foul by L. James (drawn by T. Evans),8,12
1,8:42.0,,T. Evans misses free throw 1 of 2,8,12
1,8:42.0,,Offensive rebound by Team,8,12
1,8:42.0,,T. Evans makes free throw 2 of 2,8,13
1,8:29.0,K. Kuzma misses 2-pt jump shot from 21 ft,,8,13
1,8:26.0,,Defensive rebound by T. Evans,8,13
1,8:18.0,,Turnover by T. Evans (traveling),8,13
1,8:06.0,Turnover by I. Zubac (lost ball; steal by D. Collison),,8,13
1,8:01.0,,T. Evans misses 3-pt jump shot from 26 ft,8,13
1,7:56.0,Defensive rebound by I. Zubac,,8,13
1,7:47.0,K. Kuzma misses 3-pt jump shot from 28 ft,,8,13
1,7:44.0,,Defensive rebound by T. Young,8,13
1,7:32.0,,B. Bogdanović makes 2-pt layup from 1 ft,8,15
1,7:20.0,L. James misses 2-pt layup from 2 ft,,8,15
1,7:18.0,,Defensive rebound by T. Young,8,15
1,7:14.0,,M. Turner makes 2-pt dunk from 1 ft (assist by T. Young),8,17
1,6:52.0,R. Rondo misses 2-pt layup from 1 ft (block by M. Turner),,8,17
1,6:49.0,Offensive rebound by I. Zubac,,8,17
1,6:48.0,Turnover by I. Zubac (lost ball; steal by T. Young),,8,17
1,6:42.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,8,17
1,6:39.0,Defensive rebound by Team,,8,17
1,6:39.0,,Loose ball foul by T. Young (drawn by I. Zubac),8,17
1,6:26.0,L. James makes 2-pt layup at rim (assist by R. Rondo),,10,17
1,6:10.0,,T. Evans misses 2-pt layup from 1 ft,10,17
1,6:08.0,,Offensive rebound by T. Young,10,17
1,6:08.0,,T. Young misses 2-pt layup from 1 ft,10,17
1,6:07.0,Defensive rebound by I. Zubac,,10,17
1,6:04.0,Shooting foul by B. Bogdanović (drawn by B. Ingram),,10,17
1,6:04.0,B. Ingram makes free throw 1 of 2,,11,17
1,6:04.0,B. Ingram makes free throw 2 of 2,,12,17
1,5:43.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by T. Evans),12,20
1,5:27.0,K. Kuzma makes 2-pt jump shot from 5 ft (assist by L. James),,14,20
1,5:06.0,,Personal foul by R. Rondo (drawn by M. Turner),14,20
1,5:06.0,K. Caldwell-Pope enters the game for K. Kuzma,,14,20
1,4:59.0,,M. Turner makes 2-pt layup from 2 ft (assist by B. Bogdanović),14,22
1,4:48.0,B. Ingram makes 2-pt layup at rim,,16,22
1,4:48.0,Shooting foul by B. Bogdanović (drawn by B. Ingram),,16,22
1,4:48.0,,C. Joseph enters the game for B. Bogdanović,16,22
1,4:48.0,B. Ingram misses free throw 1 of 1,,16,22
1,4:47.0,,Defensive rebound by M. Turner,16,22
1,4:26.0,,M. Turner misses 2-pt jump shot from 11 ft,16,22
1,4:23.0,Defensive rebound by B. Ingram,,16,22
1,4:09.0,I. Zubac makes 2-pt layup from 1 ft,,18,22
1,3:49.0,,M. Turner makes 2-pt jump shot from 21 ft (assist by T. Evans),18,24
1,3:38.0,L. James makes 3-pt jump shot from 29 ft (assist by R. Rondo),,21,24
1,3:18.0,,T. Young misses 2-pt layup from 2 ft,21,24
1,3:14.0,Defensive rebound by I. Zubac,,21,24
1,3:09.0,L. James misses 3-pt jump shot from 26 ft,,21,24
1,3:06.0,,Defensive rebound by T. Evans,21,24
1,2:59.0,,M. Turner makes 2-pt dunk from 2 ft (assist by T. Young),21,26
1,2:36.0,,Indiana full timeout,21,26
1,2:36.0,M. Beasley enters the game for L. James,,21,26
1,2:36.0,T. Chandler enters the game for I. Zubac,,21,26
1,2:36.0,,A. Holiday enters the game for D. Collison,21,26
1,2:36.0,,T. Leaf enters the game for T. Evans,21,26
1,2:36.0,,D. Sabonis enters the game for M. Turner,21,26
1,2:36.0,,E. Sumner enters the game for T. Young,21,26
1,2:33.0,Turnover by R. Rondo (bad pass; steal by E. Sumner),,21,26
1,2:18.0,,Personal foul by M. Beasley (drawn by A. Holiday),21,26
1,2:12.0,,D. Sabonis makes 2-pt dunk from 3 ft (assist by C. Joseph),21,28
1,1:52.0,R. Rondo makes 3-pt jump shot from 23 ft (assist by M. Beasley),,24,28
1,1:34.0,,T. Leaf misses 3-pt jump shot from 24 ft,24,28
1,1:32.0,Defensive rebound by B. Ingram,,24,28
1,1:16.0,B. Ingram makes 2-pt layup from 1 ft (assist by M. Beasley),,26,28
1,0:57.0,,C. Joseph misses 3-pt jump shot from 29 ft,26,28
1,0:54.0,Defensive rebound by M. Beasley,,26,28
1,0:36.0,M. Beasley misses 2-pt jump shot from 8 ft,,26,28
1,0:33.0,Offensive rebound by M. Beasley,,26,28
1,0:32.0,M. Beasley misses 2-pt layup from 2 ft,,26,28
1,0:32.0,,Defensive rebound by T. Leaf,26,28
1,0:26.0,,C. Joseph makes 2-pt jump shot from 17 ft (assist by T. Leaf),26,30
1,0:06.0,Turnover by R. Rondo (out of bounds lost ball),,26,30
1,0:02.0,,Personal foul by R. Rondo (drawn by A. Holiday),26,30
1,0:00.0,,E. Sumner makes 3-pt jump shot from 30 ft (assist by D. Sabonis),26,33
2,11:51.0,,A. Holiday makes 2-pt jump shot from 20 ft,26,35
2,11:33.0,Turnover by M. Beasley (bad pass),,26,35
2,11:16.0,,A. Holiday makes 2-pt layup from 2 ft,26,37
2,10:59.0,M. Beasley misses 2-pt layup from 1 ft (block by T. Leaf),,26,37
2,10:56.0,,Defensive rebound by C. Joseph,26,37
2,10:55.0,,Personal foul by K. Caldwell-Pope (drawn by C. Joseph),26,37
2,10:55.0,L. James enters the game for M. Beasley,,26,37
2,10:55.0,K. Kuzma enters the game for B. Ingram,,26,37
2,10:55.0,,B. Bogdanović enters the game for E. Sumner,26,37
2,10:50.0,,Turnover by B. Bogdanović (dbl dribble),26,37
2,10:33.0,K. Kuzma misses 3-pt jump shot from 28 ft,,26,37
2,10:30.0,,Defensive rebound by C. Joseph,26,37
2,10:24.0,,C. Joseph makes 2-pt jump shot from 18 ft (assist by D. Sabonis),26,39
2,10:08.0,K. Caldwell-Pope makes 2-pt jump shot from 15 ft (assist by L. James),,28,39
2,9:56.0,,T. Leaf misses 3-pt jump shot from 28 ft,28,39
2,9:53.0,Defensive rebound by K. Caldwell-Pope,,28,39
2,9:42.0,Turnover by K. Kuzma (bad pass),,28,39
2,9:42.0,J. McGee enters the game for T. Chandler,,28,39
