QUARTER,TIME_REMAINING,ATLANTA_ACTION,BOSTON_ACTION,ATLANTA_SCORE,BOSTON_SCORE
1,11:44.0,D. Dedmon misses 3-pt jump shot from 23 ft,,0,0
1,11:43.0,,Defensive rebound by K. Irving,0,0
1,11:23.0,,J. Tatum makes 2-pt jump shot from 20 ft (assist by A. Baynes),0,2
1,11:08.0,J. Collins misses 2-pt jump shot from 10 ft,,0,2
1,11:06.0,,Defensive rebound by M. Morris,0,2
1,10:54.0,,Turnover by K. Irving (out of bounds lost ball),0,2
1,10:43.0,K. Huerter makes 3-pt jump shot from 26 ft (assist by D. Dedmon),,3,2
1,10:26.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by K. Irving),3,5
1,10:11.0,T. Young misses 2-pt layup from 3 ft,,3,5
1,10:10.0,,Defensive rebound by M. Smart,3,5
1,10:06.0,,K. Irving makes 2-pt layup from 1 ft (assist by M. Smart),3,7
1,9:55.0,D. Dedmon misses 3-pt jump shot from 28 ft,,3,7
1,9:54.0,,Defensive rebound by M. Morris,3,7
1,9:46.0,,Shooting foul by D. Dedmon (drawn by A. Baynes),3,7
1,9:46.0,,A. Baynes misses free throw 1 of 2,3,7
1,9:46.0,,Offensive rebound by Team,3,7
1,9:46.0,,A. Baynes makes free throw 2 of 2,3,8
1,9:32.0,Turnover by T. Young (lost ball; steal by K. Irving),,3,8
1,9:30.0,,Turnover by M. Smart (bad pass),3,8
1,9:20.0,K. Huerter misses 3-pt jump shot from 28 ft,,3,8
1,9:19.0,,Defensive rebound by M. Morris,3,8
1,9:03.0,,A. Baynes makes 2-pt hook shot from 3 ft (assist by M. Smart),3,10
1,8:58.0,Turnover by J. Collins (bad pass; steal by K. Irving),,3,10
1,8:56.0,,K. Irving makes 3-pt jump shot from 27 ft,3,13
1,8:56.0,Atlanta full timeout,,3,13
1,8:49.0,Turnover by K. Huerter (step out of bounds),,3,13
1,8:37.0,,A. Baynes makes 2-pt dunk at rim (assist by K. Irving),3,15
1,8:17.0,Offensive foul by J. Collins (drawn by A. Baynes),,3,15
1,8:17.0,Turnover by J. Collins (offensive foul),,3,15
1,8:05.0,,J. Tatum makes 2-pt layup from 2 ft,3,17
1,7:50.0,T. Young makes 2-pt layup at rim,,5,17
1,7:42.0,,K. Irving makes 2-pt jump shot from 13 ft,5,19
1,7:21.0,K. Bazemore misses 2-pt jump shot from 20 ft,,5,19
1,7:20.0,Offensive rebound by J. Collins,,5,19
1,7:07.0,J. Collins misses 2-pt layup from 3 ft,,5,19
1,7:07.0,,Defensive rebound by K. Irving,5,19
1,7:01.0,,K. Irving makes 3-pt jump shot from 25 ft,5,22
1,6:44.0,T. Young misses 3-pt jump shot from 28 ft,,5,22
1,6:43.0,,Defensive rebound by A. Baynes,5,22
1,6:37.0,,K. Irving misses 2-pt layup from 4 ft,5,22
1,6:36.0,Defensive rebound by J. Collins,,5,22
1,6:31.0,T. Young misses 3-pt jump shot from 25 ft,,5,22
1,6:28.0,,Defensive rebound by M. Morris,5,22
1,6:25.0,,Shooting foul by K. Huerter (drawn by J. Tatum),5,22
1,6:25.0,,J. Tatum misses free throw 1 of 2,5,22
1,6:25.0,,Offensive rebound by Team,5,22
1,6:25.0,T. Dorsey enters the game for K. Bazemore,,5,22
1,6:25.0,J. Lin enters the game for T. Young,,5,22
1,6:25.0,,J. Tatum makes free throw 2 of 2,5,23
1,6:12.0,D. Dedmon makes 3-pt jump shot from 27 ft (assist by J. Lin),,8,23
1,5:54.0,,A. Baynes misses 2-pt jump shot from 12 ft,8,23
1,5:53.0,Defensive rebound by D. Dedmon,,8,23
1,5:37.0,K. Huerter makes 3-pt jump shot from 25 ft,,11,23
1,5:22.0,,Turnover by K. Irving (bad pass),11,23
1,5:22.0,D. Bembry enters the game for K. Huerter,,11,23
1,5:22.0,,G. Hayward enters the game for A. Baynes,11,23
1,5:22.0,,D. Theis enters the game for J. Tatum,11,23
1,5:19.0,T. Dorsey makes 2-pt layup from 2 ft (assist by D. Bembry),,13,23
1,5:18.0,Violation by Team (delay of game),,13,23
1,5:01.0,,M. Smart misses 3-pt jump shot from 25 ft,13,23
1,5:00.0,,Offensive rebound by D. Theis,13,23
1,4:53.0,,G. Hayward misses 2-pt jump shot from 17 ft,13,23
1,4:52.0,Defensive rebound by J. Collins,,13,23
1,4:40.0,Turnover by D. Dedmon (bad pass; steal by M. Smart),,13,23
1,4:29.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by M. Smart),13,26
1,4:07.0,Shooting foul by M. Smart (drawn by J. Collins),,13,26
1,4:07.0,J. Collins makes free throw 1 of 2,,14,26
