QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,LA CLIPPERS_ACTION,SACRAMENTO_SCORE,LA CLIPPERS_SCORE
1,11:44.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft (assist by A. Bradley),0,2
1,11:28.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by N. Bjelica),,2,2
1,11:04.0,,B. Marjanović makes 2-pt hook shot from 5 ft (assist by D. Gallinari),2,4
1,10:46.0,I. Shumpert misses 2-pt jump shot from 19 ft,,2,4
1,10:43.0,,Defensive rebound by A. Bradley,2,4
1,10:28.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 12 ft,2,6
1,10:20.0,Shooting foul by D. Gallinari (drawn by D. Fox),,2,6
1,10:20.0,D. Fox misses free throw 1 of 2,,2,6
1,10:20.0,Offensive rebound by Team,,2,6
1,10:20.0,D. Fox makes free throw 2 of 2,,3,6
1,10:10.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft,3,9
1,9:56.0,B. Hield misses 2-pt layup from 2 ft,,3,9
1,9:54.0,,Defensive rebound by B. Marjanović,3,9
1,9:54.0,Violation by Team (kicked ball),,3,9
1,9:40.0,,D. Gallinari makes 3-pt jump shot from 26 ft,3,12
1,9:25.0,I. Shumpert makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),,5,12
1,9:15.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,5,14
1,9:11.0,B. Hield makes 2-pt layup from 1 ft (assist by D. Fox),,7,14
1,9:11.0,Shooting foul by T. Harris (drawn by B. Hield),,7,14
1,9:11.0,B. Hield makes free throw 1 of 1,,8,14
1,8:59.0,,T. Harris misses 3-pt jump shot from 25 ft,8,14
1,8:57.0,Defensive rebound by N. Bjelica,,8,14
1,8:57.0,Personal take foul by B. Marjanović (drawn by N. Bjelica),,8,14
1,8:45.0,W. Cauley-Stein misses 2-pt jump shot from 9 ft,,8,14
1,8:39.0,,Defensive rebound by A. Bradley,8,14
1,8:37.0,,Shooting foul by B. Hield (drawn by D. Gallinari),8,14
1,8:37.0,,D. Gallinari makes free throw 1 of 2,8,15
1,8:37.0,,D. Gallinari makes free throw 2 of 2,8,16
1,8:27.0,D. Fox makes 2-pt layup from 2 ft,,10,16
1,8:10.0,,A. Bradley misses 2-pt layup from 3 ft,10,16
1,8:03.0,,Offensive rebound by A. Bradley,10,16
1,8:03.0,,A. Bradley makes 2-pt layup from 1 ft,10,18
1,8:03.0,I. Shumpert misses 3-pt jump shot from 26 ft,,10,18
1,8:03.0,,Defensive rebound by Team,10,18
1,7:50.0,,D. Gallinari misses 3-pt jump shot from 24 ft,10,18
1,7:47.0,Defensive rebound by W. Cauley-Stein,,10,18
1,7:42.0,B. Hield misses 2-pt layup from 3 ft,,10,18
1,7:40.0,,Defensive rebound by B. Marjanović,10,18
1,7:25.0,,D. Gallinari misses 2-pt jump shot from 23 ft,10,18
1,7:21.0,Defensive rebound by B. Hield,,10,18
1,7:16.0,B. Hield misses 2-pt jump shot from 12 ft,,10,18
1,7:15.0,Offensive rebound by Team,,10,18
1,7:15.0,,Loose ball foul by S. Gilgeous-Alexander (drawn by N. Bjelica),10,18
1,7:15.0,B. Bogdanović enters the game for B. Hield,,10,18
1,7:06.0,I. Shumpert makes 2-pt jump shot from 19 ft,,12,18
1,6:42.0,,B. Marjanović misses 2-pt hook shot from 11 ft,12,18
1,6:39.0,Defensive rebound by D. Fox,,12,18
1,6:35.0,B. Bogdanović misses 2-pt jump shot from 21 ft,,12,18
1,6:29.0,,Defensive rebound by S. Gilgeous-Alexander,12,18
1,6:28.0,,Turnover by D. Gallinari (offensive foul),12,18
1,6:28.0,,Offensive foul by D. Gallinari (drawn by I. Shumpert),12,18
1,6:28.0,,LA Clippers full timeout,12,18
1,6:28.0,,P. Beverley enters the game for D. Gallinari,12,18
1,6:04.0,B. Bogdanović makes 2-pt layup from 3 ft,,14,18
1,5:50.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),14,21
1,5:34.0,I. Shumpert misses 2-pt jump shot from 14 ft,,14,21
1,5:30.0,Offensive rebound by N. Bjelica,,14,21
1,5:24.0,I. Shumpert misses 3-pt jump shot from 23 ft,,14,21
1,5:23.0,,Defensive rebound by T. Harris,14,21
1,5:21.0,,A. Bradley misses 3-pt jump shot from 25 ft,14,21
1,5:18.0,,Offensive rebound by S. Gilgeous-Alexander,14,21
1,5:08.0,,Shooting foul by B. Bogdanović (drawn by A. Bradley),14,21
1,5:08.0,,A. Bradley misses free throw 1 of 2,14,21
1,5:08.0,,Offensive rebound by Team,14,21
1,5:08.0,Y. Ferrell enters the game for N. Bjelica,,14,21
1,5:08.0,J. Jackson enters the game for D. Fox,,14,21
1,5:08.0,,A. Bradley makes free throw 2 of 2,14,22
1,4:57.0,Shooting foul by B. Marjanović (drawn by W. Cauley-Stein),,14,22
1,4:57.0,B. Hield enters the game for I. Shumpert,,14,22
1,4:57.0,,M. Harrell enters the game for B. Marjanović,14,22
1,4:57.0,W. Cauley-Stein makes free throw 1 of 2,,15,22
1,4:57.0,W. Cauley-Stein misses free throw 2 of 2,,15,22
1,4:54.0,,Defensive rebound by T. Harris,15,22
1,4:40.0,,T. Harris makes 2-pt jump shot from 8 ft (assist by M. Harrell),15,24
1,4:23.0,W. Cauley-Stein makes 2-pt hook shot from 3 ft,,17,24
1,4:09.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by A. Bradley),17,26
1,3:58.0,W. Cauley-Stein misses 2-pt jump shot from 7 ft,,17,26
1,3:54.0,,Defensive rebound by T. Harris,17,26
1,3:48.0,,T. Harris misses 2-pt layup from 2 ft,17,26
1,3:46.0,Defensive rebound by J. Jackson,,17,26
1,3:42.0,Y. Ferrell misses 3-pt jump shot from 26 ft,,17,26
1,3:38.0,Offensive rebound by J. Jackson,,17,26
1,3:37.0,J. Jackson misses 3-pt jump shot from 27 ft,,17,26
1,3:37.0,Offensive rebound by B. Hield,,17,26
1,3:37.0,Shooting foul by S. Gilgeous-Alexander (drawn by B. Hield),,17,26
1,3:37.0,B. Hield makes free throw 1 of 2,,18,26
1,3:37.0,K. Koufos enters the game for W. Cauley-Stein,,18,26
1,3:37.0,,L. Williams enters the game for S. Gilgeous-Alexander,18,26
1,3:37.0,B. Hield makes free throw 2 of 2,,19,26
1,3:30.0,,L. Williams misses 2-pt jump shot from 17 ft,19,26
1,3:24.0,,Offensive rebound by A. Bradley,19,26
1,3:24.0,,A. Bradley makes 2-pt layup from 1 ft,19,28
1,3:14.0,Y. Ferrell misses 2-pt layup from 4 ft (block by M. Harrell),,19,28
1,3:10.0,,Defensive rebound by P. Beverley,19,28
1,3:02.0,,P. Beverley misses 3-pt jump shot from 26 ft,19,28
1,2:58.0,Defensive rebound by B. Hield,,19,28
1,2:51.0,B. Hield misses 3-pt jump shot from 25 ft,,19,28
1,2:48.0,,Defensive rebound by P. Beverley,19,28
1,2:35.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by L. Williams),19,31
1,2:26.0,Sacramento full timeout,,19,31
1,2:21.0,K. Koufos makes 2-pt hook shot from 10 ft (assist by Y. Ferrell),,21,31
1,1:58.0,,M. Harrell makes 2-pt hook shot from 6 ft,21,33
1,1:49.0,B. Hield misses 3-pt jump shot from 26 ft,,21,33
1,1:44.0,Offensive rebound by J. Jackson,,21,33
1,1:42.0,J. Jackson makes 2-pt jump shot from 9 ft,,23,33
1,1:33.0,,T. Harris makes 2-pt jump shot from 16 ft,23,35
1,1:30.0,Turnover by K. Koufos (bad pass; steal by M. Harrell),,23,35
1,1:30.0,,Shooting foul by K. Koufos (drawn by M. Harrell),23,35
1,1:30.0,,M. Harrell makes free throw 1 of 2,23,36
1,1:30.0,,M. Scott enters the game for A. Bradley,23,36
1,1:30.0,,T. Wallace enters the game for T. Harris,23,36
1,1:30.0,,M. Harrell makes free throw 2 of 2,23,37
1,1:12.0,K. Koufos makes 2-pt layup from 1 ft (assist by B. Bogdanović),,25,37
1,0:50.0,,T. Wallace misses 2-pt layup from 4 ft (block by Y. Ferrell),25,37
1,0:46.0,,Offensive rebound by T. Wallace,25,37
1,0:46.0,,M. Harrell makes 2-pt layup from 1 ft,25,39
1,0:43.0,Y. Ferrell misses 2-pt layup from 2 ft (block by M. Harrell),,25,39
1,0:43.0,Offensive rebound by B. Hield,,25,39
1,0:41.0,B. Hield makes 2-pt layup from 1 ft,,27,39
1,0:35.0,,L. Williams misses 2-pt jump shot from 11 ft,27,39
1,0:35.0,Defensive rebound by B. Bogdanović,,27,39
1,0:28.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,27,39
1,0:23.0,,Defensive rebound by M. Scott,27,39
1,0:07.0,,L. Williams misses 3-pt jump shot from 26 ft,27,39
1,0:03.0,,Offensive rebound by L. Williams,27,39
1,0:00.0,,Turnover by L. Williams (bad pass; steal by K. Koufos),27,39
1,0:00.0,B. Bogdanović misses 3-pt jump shot from 44 ft,,27,39
1,0:00.0,Offensive rebound by Team,,27,39
