QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,CHICAGO_ACTION,OKLAHOMA CITY_SCORE,CHICAGO_SCORE
4,3:40.0,,Defensive rebound by L. Markkanen,102,105
4,3:20.0,,L. Markkanen misses 3-pt jump shot from 26 ft,102,105
4,3:17.0,,Offensive rebound by W. Carter,102,105
4,3:17.0,,Turnover by Team (shot clock),102,105
4,3:17.0,Oklahoma City full timeout,,102,105
4,3:17.0,T. Ferguson enters the game for S. Adams,,102,105
4,3:06.0,R. Westbrook misses 2-pt layup from 2 ft,,102,105
4,3:03.0,,Defensive rebound by J. Holiday,102,105
4,2:42.0,,Z. LaVine makes 2-pt layup from 4 ft (assist by W. Carter),102,107
4,2:29.0,J. Grant makes 2-pt dunk from 1 ft (assist by P. George),,104,107
4,2:04.0,,W. Carter misses 2-pt jump shot from 14 ft,104,107
4,2:01.0,Defensive rebound by D. Schröder,,104,107
4,1:54.0,R. Westbrook makes 3-pt jump shot from 26 ft (assist by D. Schröder),,107,107
4,1:30.0,,Z. LaVine makes 2-pt jump shot from 21 ft,107,109
4,1:24.0,Shooting foul by J. Holiday (drawn by R. Westbrook),,107,109
4,1:24.0,R. Westbrook misses free throw 1 of 2,,107,109
4,1:24.0,Offensive rebound by Team,,107,109
4,1:24.0,S. Adams enters the game for T. Ferguson,,107,109
4,1:24.0,,R. Lopez enters the game for W. Carter,107,109
4,1:24.0,R. Westbrook makes free throw 2 of 2,,108,109
4,1:24.0,,Chicago full timeout,108,109
4,1:09.0,,Z. LaVine misses 2-pt layup from 2 ft,108,109
4,1:08.0,Defensive rebound by P. George,,108,109
4,0:59.0,R. Westbrook misses 2-pt jump shot from 10 ft,,108,109
4,0:57.0,Offensive rebound by J. Grant,,108,109
4,0:51.0,Turnover by J. Grant (offensive foul),,108,109
4,0:51.0,Offensive foul by J. Grant (drawn by R. Arcidiacono),,108,109
4,0:37.0,,Turnover by Z. LaVine (bad pass; steal by P. George),108,109
4,0:34.0,D. Schröder makes 2-pt layup from 2 ft (assist by P. George),,110,109
4,0:34.0,,Chicago full timeout,110,109
4,0:23.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by L. Markkanen),110,112
4,0:22.0,Oklahoma City full timeout,,110,112
4,0:22.0,,W. Carter enters the game for R. Lopez,110,112
4,0:19.0,R. Westbrook makes 2-pt layup from 1 ft (assist by P. George),,112,112
4,0:04.0,,L. Markkanen makes 2-pt layup from 2 ft,112,114
4,0:04.0,Oklahoma City full timeout,,112,114
4,0:03.0,P. George misses 3-pt jump shot from 24 ft,,112,114
4,0:03.0,,Defensive rebound by L. Markkanen,112,114
