QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,ORLANDO_ACTION,SACRAMENTO_SCORE,ORLANDO_SCORE
1,11:43.0,,A. Gordon misses 3-pt jump shot from 27 ft,0,0
1,11:40.0,Defensive rebound by D. Fox,,0,0
1,11:21.0,J. Jackson misses 3-pt jump shot from 23 ft,,0,0
1,11:19.0,,Defensive rebound by J. Isaac,0,0
1,11:08.0,,E. Fournier makes 2-pt layup from 3 ft (assist by N. Vučević),0,2
1,10:56.0,W. Cauley-Stein misses 2-pt layup from 2 ft (block by A. Gordon),,0,2
1,10:51.0,Offensive rebound by W. Cauley-Stein,,0,2
1,10:48.0,W. Cauley-Stein makes 2-pt jump shot from 17 ft (assist by J. Jackson),,2,2
1,10:28.0,,A. Gordon makes 2-pt layup from 4 ft (assist by N. Vučević),2,4
1,10:22.0,N. Bjelica makes 2-pt dunk from 1 ft (assist by D. Fox),,4,4
1,10:12.0,,Orlando full timeout,4,4
1,10:00.0,,N. Vučević makes 2-pt hook shot from 8 ft (assist by A. Gordon),4,6
1,9:41.0,B. Hield makes 2-pt jump shot from 12 ft,,6,6
1,9:24.0,,Turnover by E. Fournier (lost ball; steal by D. Fox),6,6
1,9:20.0,D. Fox misses 2-pt layup from 3 ft,,6,6
1,9:17.0,,Defensive rebound by E. Fournier,6,6
1,9:04.0,,N. Vučević makes 2-pt layup from 2 ft (assist by E. Fournier),6,8
1,8:53.0,N. Bjelica makes 2-pt hook shot from 3 ft (assist by W. Cauley-Stein),,8,8
1,8:40.0,,D. Augustin misses 3-pt jump shot from 26 ft,8,8
1,8:36.0,Defensive rebound by W. Cauley-Stein,,8,8
1,8:29.0,Turnover by D. Fox (bad pass; steal by D. Augustin),,8,8
1,8:21.0,,J. Isaac makes 2-pt jump shot from 8 ft (assist by D. Augustin),8,10
1,7:57.0,W. Cauley-Stein misses 2-pt layup from 3 ft (block by A. Gordon),,8,10
1,7:54.0,,Defensive rebound by A. Gordon,8,10
1,7:49.0,,N. Vučević misses 3-pt jump shot from 26 ft,8,10
1,7:47.0,Defensive rebound by B. Hield,,8,10
1,7:42.0,B. Hield makes 2-pt jump shot from 16 ft,,10,10
1,7:21.0,,A. Gordon makes 3-pt jump shot from 25 ft (assist by N. Vučević),10,13
1,7:17.0,Turnover by D. Fox (bad pass),,10,13
1,7:17.0,K. Koufos enters the game for W. Cauley-Stein,,10,13
1,7:17.0,T. Williams enters the game for J. Jackson,,10,13
1,6:59.0,,Shooting foul by D. Fox (drawn by D. Augustin),10,13
1,6:59.0,,D. Augustin makes free throw 1 of 2,10,14
1,6:59.0,,D. Augustin makes free throw 2 of 2,10,15
1,6:49.0,K. Koufos misses 2-pt jump shot from 11 ft,,10,15
1,6:47.0,,Defensive rebound by N. Vučević,10,15
1,6:37.0,,Shooting foul by B. Hield (drawn by A. Gordon),10,15
1,6:37.0,,A. Gordon misses free throw 1 of 2,10,15
1,6:37.0,,Offensive rebound by Team,10,15
1,6:37.0,,A. Gordon misses free throw 2 of 2,10,15
1,6:34.0,Defensive rebound by K. Koufos,,10,15
1,6:21.0,N. Bjelica misses 3-pt jump shot from 23 ft,,10,15
1,6:14.0,,Defensive rebound by A. Gordon,10,15
